"名称","区分","総合支所","町丁目","住所","調査敷地面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]"
"飯倉いきいきプラザ","区立公共施設","麻布地区","東麻布二丁目","東麻布二丁目16番11号","547","19","0","0","19","0","0","3.38 ","3.38 ","0.00 ","0.00 "
"赤坂いきいきプラザ","区立公共施設","赤坂地区","赤坂六丁目","赤坂六丁目4番8号","478","20","0","0","20","0","0","4.21 ","4.21 ","0.00 ","0.00 "
"青山いきいきプラザ","区立公共施設","赤坂地区","南青山二丁目","南青山二丁目16番5号","1,123","39","0","1","41","0","0","3.63 ","3.52 ","0.00 ","0.11 "
"青南いきいきプラザ","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目10番1号","481","14","12","0","26","0","0","5.42 ","2.84 ","2.58 ","0.00 "
"豊岡いきいきプラザ","区立公共施設","高輪地区","三田五丁目","三田五丁目7番7号","632","77","0","0","77","0","0","12.16 ","12.16 ","0.00 ","0.00 "
"白金台いきいきプラザ","区立公共施設","高輪地区","白金台四丁目","白金台四丁目8番5号","1,319","40","0","0","40","0","0","3.06 ","3.06 ","0.00 ","0.00 "
"港南いきいきプラザ（ゆとりーむ）","区立公共施設","芝浦・港南地区","港南四丁目","港南四丁目2番1号","1,410","133","0","0","133","0","0","9.46 ","9.46 ","0.00 ","0.00 "
"芝浦アイランド児童高齢者交流プラザ（あいぷら）","区立公共施設","芝浦・港南地区","芝浦四丁目","芝浦四丁目20番1号","1,789","108","0","202","310","378","0","17.33 ","6.04 ","0.00 ","11.29 "
"特別養護老人ホーム白金の森","区立公共施設","高輪地区","白金台五丁目","白金台五丁目20番5号","3,055","822","0","0","822","0","0","26.90 ","26.90 ","0.00 ","0.00 "
"高齢者在宅サービスセンター　
サン・サン赤坂","区立公共施設","赤坂地区","赤坂六丁目","赤坂六丁目6番14号","5,396","567","22","447","1,036","0","0","19.21 ","10.50 ","0.41 ","8.29 "
"芝高齢者在宅サービスセンター","区立公共施設","芝地区","芝三丁目","芝三丁目24番5号","600","68","0","0","68","0","0","11.34 ","11.34 ","0.00 ","0.00 "
"精神障害者地域生活支援センター「あいはーと・みなと」","区立公共施設","高輪地区","高輪一丁目","高輪一丁目4番8号","506","40","0","0","40","0","0","7.93 ","7.93 ","0.00 ","0.00 "
"青山児童館","区立公共施設","赤坂地区","北青山三丁目","北青山三丁目3番16号","332","5","0","0","5","0","0","1.59 ","1.59 ","0.00 ","0.00 "
"高輪子ども中高生プラザ","区立公共施設","高輪地区","高輪一丁目","高輪一丁目4番35号","2,648","818","0","40","858","0","0","32.40 ","30.91 ","0.00 ","1.49 "
"芝公園保育園","区立公共施設","芝地区","芝公園二丁目","芝公園二丁目7番3号","1,493","99","0","39","139","0","0","9.29 ","6.66 ","0.00 ","2.63 "
"神明保育園","区立公共施設","芝地区","浜松町一丁目","浜松町一丁目6番7号","2,277","277","0","361","639","0","0","28.04 ","12.18 ","0.00 ","15.86 "
"飯倉保育園","区立公共施設","麻布地区","東麻布一丁目","東麻布一丁目21番2号","584","38","0","39","77","0","0","13.14 ","6.44 ","0.00 ","6.70 "
"本村保育園","区立公共施設","麻布地区","南麻布四丁目","南麻布四丁目6番7号","5,779","1,012","1,076","353","2,441","0","0","42.24 ","17.52 ","18.63 ","6.10 "
"西麻布保育園","区立公共施設","麻布地区","西麻布二丁目","西麻布二丁目13番3号","1,872","67","0","44","111","0","0","5.94 ","3.59 ","0.00 ","2.35 "
"麻布保育園","区立公共施設","麻布地区","六本木五丁目","六本木五丁目16番46号","1,973","134","0","24","158","0","0","8.03 ","6.81 ","0.00 ","1.22 "
"高輪保育園","区立公共施設","高輪地区","高輪三丁目","高輪三丁目18番15号","1,347","250","0","85","335","0","0","24.84 ","18.55 ","0.00 ","6.29 "
"伊皿子坂保育園","区立公共施設","高輪地区","三田四丁目","三田四丁目19番30号","1,115","99","1","27","127","0","0","11.40 ","8.86 ","0.13 ","2.41 "
"白金保育園","区立公共施設","高輪地区","白金三丁目","白金三丁目10番12号","1,080","120","0","0","120","0","0","11.14 ","11.14 ","0.00 ","0.00 "
"たかはま保育園","区立公共施設","芝浦・港南地区","港南四丁目","港南四丁目3番7号","4,961","724","33","86","843","8","0","17.00 ","14.59 ","0.67 ","1.74 "
"しばうら保育園","区立公共施設","芝浦・港南地区","芝浦三丁目","芝浦三丁目1番16号","3,476","558","66","0","624","70","0","17.96 ","16.05 ","1.91 ","0.00 "
"東麻布保育室","区立公共施設","麻布地区","東麻布二丁目","東麻布二丁目1番1号","2,830","268","633","36","936","0","0","33.08 ","9.47 ","22.36 ","1.26 "
"芝五丁目保育室","区立公共施設","芝地区","芝五丁目","芝五丁目36番4号","1,987","22","80","0","102","0","0","5.13 ","1.12 ","4.01 ","0.00 "
"青南保育室","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目19番18号","2,722","658","0","0","658","0","0","24.18 ","24.18 ","0.00 ","0.00 "
"桂坂保育室","区立公共施設","高輪地区","高輪三丁目","高輪三丁目19番36号","2,135","206","49","0","254","0","0","11.92 ","9.63 ","2.29 ","0.00 "
"愛宕保育室","区立公共施設","芝地区","愛宕一丁目","愛宕一丁目7番5号","646","49","0","0","49","0","0","7.58 ","7.58 ","0.00 ","0.00 "
"志田町保育室","区立公共施設","高輪地区","白金一丁目","白金一丁目11番16号","1,585","121","0","0","121","0","0","7.62 ","7.62 ","0.00 ","0.00 "
"南麻布三丁目保育室","区立公共施設","麻布地区","南麻布四丁目","南麻布四丁目6番7号","1,102","41","0","8","49","0","0","4.47 ","3.75 ","0.00 ","0.73 "
"第二青南保育室","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目19番5号","1,623","53","0","0","53","0","0","3.28 ","3.28 ","0.00 ","0.00 "
"子育てひろば「あい・ぽーと」","区立公共施設","赤坂地区","南青山二丁目","南青山二丁目25番1号","1,017","313","0","0","313","0","0","30.77 ","30.77 ","0.00 ","0.00 "
"高輪幼稚園","区立公共施設","高輪地区","高輪二丁目","高輪二丁目12番31号","1,193","523","0","21","544","0","0","45.57 ","43.82 ","0.00 ","1.75 "
"白金台幼稚園","区立公共施設","高輪地区","白金台三丁目","白金台三丁目7番1号","1,255","506",,"97","603","0","0","48.06 ","40.32 ","0.00 ","7.74 "
"三光幼稚園","区立公共施設","高輪地区","白金三丁目","白金三丁目13番8号","943","328","0","0","328","0","0","34.76 ","34.76 ","0.00 ","0.00 "
"港南幼稚園","区立公共施設","芝浦・港南地区","港南四丁目","港南四丁目3番27号","1,966","618","0","208","826","0","0","42.02 ","31.46 ","0.00 ","10.56 "
"青南幼稚園","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目18番17号","1,404","555","0","0","555","0","0","39.56 ","39.56 ","0.00 ","0.00 "
"みなと図書館","区立公共施設","芝地区","芝公園三丁目","芝公園三丁目2番25号","1,477","315","0","0","315","0","0","21.32 ","21.32 ","0.00 ","0.00 "
"三田図書館","区立公共施設","芝地区","芝五丁目","芝五丁目28番4号","1,430","60","0","0","60","0","0","4.21 ","4.21 ","0.00 ","0.00 "
"麻布図書館","区立公共施設","麻布地区","六本木五丁目","六本木五丁目12番24号","1,281","123","0","78","201","0","0","15.67 ","9.56 ","0.00 ","6.10 "
"教育センター","区立公共施設","高輪地区","白金三丁目","白金三丁目18番2号","4,476","396","0","0","396","0","0","8.85 ","8.85 ","0.00 ","0.00 "
"芝公園多目的運動場","区立公共施設","芝地区","芝公園二丁目","芝公園二丁目7番2号","4,418","414","0","0","414","0","0","9.38 ","9.38 ","0.00 ","0.00 "
"生涯学習センター（ばるーん）","区立公共施設","芝地区","新橋三丁目","新橋三丁目16番3号","2,298","278","0","0","278","0","0","12.09 ","12.09 ","0.00 ","0.00 "
"青山生涯学習館","区立公共施設","赤坂地区","南青山四丁目","南青山四丁目19番7号","578","5","0","0","5","0","0","0.86 ","0.86 ","0.00 ","0.00 "
"みなと保健所","区立公共施設","芝地区","三田一丁目","三田一丁目4番10号","1,724","159","0","129","287","0","0","16.67 ","9.20 ","0.00 ","7.47 "
"みなとリサイクル清掃事務所","区立公共施設","芝浦・港南地区","港南三丁目","港南三丁目9番59号","4,449","297","0","251","547","0","0","12.31 ","6.67 ","0.00 ","5.64 "
"芝浦清掃作業所","区立公共施設","芝浦・港南地区","港南三丁目","港南三丁目1番18号","1,031","49","0","0","49","11","0","4.76 ","4.76 ","0.00 ","0.00 "
"新堀粗大ごみ中継所","区立公共施設","芝地区","芝三丁目","芝三丁目2番14号","289","6","0","0","6","0","0","1.93 ","1.93 ","0.00 ","0.00 "
"みなとリサイクル清掃事務所作業連絡所","区立公共施設","麻布地区","元麻布三丁目","元麻布三丁目9番6号","713","53","0","0","53","0","0","7.37 ","7.37 ","0.00 ","0.00 "
"区立公衆浴場「ふれあいの湯」","区立公共施設","芝地区","芝二丁目","芝二丁目2番18号","85","1","0","0","1","0","0","1.27 ","1.27 ","0.00 ","0.00 "
"区民斎場","区立公共施設","赤坂地区","南青山二丁目","南青山二丁目34番1号","656","153","12","0","165","0","0","25.15 ","23.38 ","1.76 ","0.00 "
"発達支援センター相談室","区立公共施設","高輪地区","白金一丁目","白金一丁目16番4号","133","0","0","0","0","0","0","0.05 ","0.05 ","0.00 ","0.00 "
"きらきらプラザ新橋","区立公共施設","芝地区","新橋六丁目","新橋六丁目4番2号","425","0","0","14","14","0","0","3.20 ","0.00 ","0.00 ","3.20 "
"神応小学校跡地","区立公共施設","高輪地区","白金六丁目","白金六丁目9番5号","4,818","782","0","0","782","0","0","16.23 ","16.23 ","0.00 ","0.00 "
"高輪二丁目職員住宅","区立公共施設","高輪地区","高輪二丁目","高輪二丁目20番28号","535","24","0","0","24","0","0","4.50 ","4.50 ","0.00 ","0.00 "
"高齢者集合住宅ピア白金","区営住宅","高輪地区","白金一丁目","白金一丁目28番13号","274","2","0","0","2","0","0","0.69 ","0.69 ","0.00 ","0.00 "
"高齢者集合住宅はなみずき白金","区営住宅","高輪地区","白金三丁目","白金三丁目3番3号","383","43","0","0","43","0","0","11.24 ","11.24 ","0.00 ","0.00 "
"高齢者集合住宅はなみずき三田","区営住宅","芝地区","三田一丁目","三田一丁目11番14号","489","83","0","0","83","0","0","16.97 ","16.97 ","0.00 ","0.00 "
"シティハイツ白金","区営住宅","高輪地区","白金三丁目","白金三丁目7番9号","1,352","407","0","0","407","0","0","30.08 ","30.08 ","0.00 ","0.00 "
"シティハイツ港南","区営住宅","芝浦・港南地区","港南三丁目","港南三丁目3番17号","5,586","1,214","9","114","1,338","0","0","23.95 ","21.74 ","0.17 ","2.05 "
"シティハイツ六本木","区営住宅","麻布地区","六本木六丁目","六本木六丁目5番25号","3,423","250","0","0","250","0","0","7.30 ","7.30 ","0.00 ","0.00 "
"シティハイツ一ツ木","区営住宅","赤坂地区","赤坂五丁目","赤坂五丁目2番50号","1,852","746","66","0","813","0","0","43.87 ","40.28 ","3.58 ","0.00 "
"シティハイツ芝浦","区営住宅","芝浦・港南地区","芝浦三丁目","芝浦三丁目5番34号","992","167","0","0","167","0","0","16.82 ","16.82 ","0.00 ","0.00 "
"シティハイツ第二芝浦","区営住宅","芝浦・港南地区","芝浦三丁目","芝浦三丁目5番35号","623","94","0","0","94","0","0","15.13 ","15.13 ","0.00 ","0.00 "
"シティハイツ高浜","区営住宅","芝浦・港南地区","港南一丁目","港南一丁目1番27号","1,111","203","0","0","203","0","0","18.28 ","18.28 ","0.00 ","0.00 "
"シティハイツ竹芝","区営住宅","芝地区","芝一丁目","芝一丁目8番23号","4,386","609","37","0","646","0","0","14.73 ","13.89 ","0.84 ","0.00 "
"シティハイツ桂坂","区営住宅","高輪地区","高輪二丁目","高輪二丁目13番8号","5,334","1,224","58","0","1,281","0","0","24.02 ","22.94 ","1.08 ","0.00 "
"シティハイツ車町","区営住宅","高輪地区","高輪二丁目","高輪二丁目20番29･30号","3,951","1,062","313","0","1,375","0","0","34.79 ","26.86 ","7.92 ","0.00 "
"シティハイツ神明","区営住宅","芝地区","浜松町一丁目","浜松町一丁目13番1号","2,096","161","0","301","463","0","0","22.07 ","7.70 ","0.00 ","14.38 "
"御成門小学校","区立学校","芝地区","芝公園三丁目","芝公園三丁目2番4号","7,503","725","123","0","848","0","0","11.30 ","9.66 ","1.64 ","0.00 "
"芝小学校","区立学校","芝地区","芝二丁目","芝二丁目21番3号","5,076","534","0","0","534","0","0","10.53 ","10.53 ","0.00 ","0.00 "
"赤羽小学校","区立学校","芝地区","三田一丁目","三田一丁目4番52号","6,764","1,453","0","0","1,453","0","0","21.49 ","21.49 ","0.00 ","0.00 "
"芝浦小学校","区立学校","芝浦・港南地区","芝浦四丁目","芝浦四丁目8番18号","14,118","2,199","225","949","3,373","0","0","23.89 ","15.57 ","1.60 ","6.73 "
"御田小学校","区立学校","高輪地区","三田四丁目","三田四丁目11番38号","5,763","1,407","5","0","1,411","0","0","24.49 ","24.41 ","0.08 ","0.00 "
"高輪台小学校","区立学校","高輪地区","高輪二丁目","高輪二丁目8番24号","6,796","1,268","199","357","1,824","0","0","26.83 ","18.66 ","2.92 ","5.25 "
"白金小学校","区立学校","高輪地区","白金台一丁目","白金台一丁目4番26号","5,200","246","0","0","246","0","0","4.72 ","4.72 ","0.00 ","0.00 "
"白金の丘学園白金の丘小学校
・中学校","区立学校","高輪地区","白金四丁目","白金四丁目1番12号","12,609","1,982","406","620","3,008","0","0","23.86 ","15.72 ","3.22 ","4.92 "
"港南小学校","区立学校","芝浦・港南地区","港南四丁目","港南四丁目3番28号","11,415","1,204","0","491","1,695","0","0","14.85 ","10.54 ","0.00 ","4.31 "
"麻布小学校","区立学校","麻布地区","麻布台一丁目","麻布台一丁目5番15号","8,422","1,823","34","0","1,857","0","0","22.05 ","21.65 ","0.40 ","0.00 "
"南山小学校","区立学校","麻布地区","元麻布三丁目","元麻布三丁目8番15号","7,414","930","23","639","1,592","0","0","21.47 ","12.54 ","0.30 ","8.62 "
"本村小学校","区立学校","麻布地区","南麻布三丁目","南麻布三丁目9番33号","7,849","1,553","0","131","1,684","0","0","21.46 ","19.79 ","0.00 ","1.67 "
"笄小学校","区立学校","麻布地区","西麻布三丁目","西麻布三丁目11番16号","5,865","844","160","0","1,004","0","0","17.12 ","14.39 ","2.73 ","0.00 "
"東町小学校","区立学校","麻布地区","南麻布一丁目","南麻布一丁目8番11号","5,692","841","22","417","1,281","0","0","22.50 ","14.78 ","0.39 ","7.33 "
"赤坂小学校","区立学校","赤坂地区","赤坂八丁目","赤坂八丁目13番29号","5,763","601","0","0","601","0","0","10.42 ","10.42 ","0.00 ","0.00 "
"青山小学校","区立学校","赤坂地区","南青山二丁目","南青山二丁目21番2号","6,446","603","83","0","686","0","0","10.64 ","9.35 ","1.29 ","0.00 "
"青南小学校","区立学校","赤坂地区","南青山四丁目","南青山四丁目21番15号","6,398","1,456","0","136","1,591","0","0","24.87 ","22.75 ","0.00 ","2.12 "
"お台場学園港陽小学校・中学校","区立学校","芝浦・港南地区","台場一丁目","台場一丁目1番5号","12,342","1,585","139","398","2,123","0","0","17.20 ","12.84 ","1.13 ","3.23 "
"御成門中学校","区立学校","芝地区","西新橋三丁目","西新橋三丁目25番30号","2,959","400","0","124","524","0","0","17.72 ","13.52 ","0.00 ","4.20 "
"三田中学校","区立学校","高輪地区","三田四丁目","三田四丁目13番13号","11,137","1,222","1,184","197","2,604","3,481","0","23.38 ","10.98 ","10.63 ","1.77 "
"高松中学校","区立学校","高輪地区","高輪一丁目","高輪一丁目16番25号","24,185","11,530","983","0","12,513","5,800","0","51.74 ","47.67 ","4.06 ","0.00 "
"港南中学校","区立学校","芝浦・港南地区","港南四丁目","港南四丁目3番3号","13,623","1,292","117","0","1,409","245","0","10.34 ","9.48 ","0.86 ","0.00 "
"六本木中学校","区立学校","麻布地区","六本木六丁目","六本木六丁目8番16号","10,877","1,640","316","44","2,001","3,720","0","18.39 ","15.08 ","2.91 ","0.40 "
"高陵中学校","区立学校","麻布地区","西麻布四丁目","西麻布四丁目14番8号","9,463","1,991","0","683","2,675","2,717","0","28.27 ","21.04 ","0.00 ","7.22 "
"赤坂中学校","区立学校","赤坂地区","赤坂九丁目","赤坂九丁目2番3号","13,417","4,832","240","0","5,072","2,925","0","37.80 ","36.01 ","1.79 ","0.00 "
"青山中学校","区立学校","赤坂地区","北青山一丁目","北青山一丁目1番9号","17,505","4,812","759","422","5,993","6,055","0","34.24 ","27.49 ","4.34 ","2.41 "

"※平成28年6月18日現在のデータである",,,,,,,,,,,,,,,
"※面積は小数第1位を四捨五入により集計値が合わない場合がある",,,,,,,,,,,,,,,

"港区みどりの実態調査（第９次）公共施設緑被状況一覧","Ver201606",,,,,,,,,,,,,,
