地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成19年中の転入者数
4,13211,小平市,249,305,1160,1275,421,335,359,358,291,405,271,247,5676
4,13212,日野市,278,246,903,963,380,261,292,350,238,343,229,251,4734
4,13213,東村山市,206,166,673,526,304,254,281,265,174,271,242,184,3546
4,13214,国分寺市,211,211,872,832,275,217,209,291,193,297,206,222,4036
4,13215,国立市,125,125,496,441,171,133,158,166,103,192,111,101,2322
4,13218,福生市,59,58,186,186,90,83,79,79,61,71,51,65,1068
4,13219,狛江市,134,173,555,438,191,161,181,192,145,170,171,139,2650
4,13220,東大和市,66,78,277,200,114,97,109,89,80,79,70,68,1327
4,13221,清瀬市,94,126,332,292,143,93,143,127,101,127,101,107,1786
4,13222,東久留米市,167,131,451,590,218,142,166,157,138,153,147,161,2621
4,13223,武蔵村山市,63,72,161,168,76,58,86,71,51,81,50,54,991
4,13224,多摩市,190,164,1213,949,330,222,208,222,182,274,196,261,4411
4,13225,稲城市,159,148,551,480,242,142,194,169,152,216,190,149,2792
4,13227,羽村市,51,60,173,264,63,59,60,53,47,76,52,70,1028
4,13228,あきる野市,44,72,180,115,80,62,58,71,86,70,87,47,972
4,13229,西東京市,302,279,1130,901,412,307,348,355,334,429,280,352,5429
1,13550,町村部,96,91,222,308,114,65,64,76,71,94,74,81,1356
2,13300,郡部,58,52,100,78,55,32,30,29,34,43,43,44,598
4,13303,瑞穂町,40,35,71,37,28,27,26,17,27,23,34,34,399
4,13305,日の出町,14,9,21,39,12,3,4,8,3,15,9,7,144
4,13307,檜原村,1,2,2,0,9,1,0,1,1,1,0,1,19
4,13308,奥多摩町,3,6,6,2,6,1,0,3,3,4,0,2,36
2,13350,島部,38,39,122,230,59,33,34,47,37,51,31,37,758
3,13360,大島支庁,19,12,54,103,14,11,12,17,8,17,8,13,288
4,13361,大島町,15,8,38,74,8,8,10,14,5,7,4,8,199
4,13362,利島村,0,1,2,1,1,1,0,0,0,2,0,0,8
4,13363,新島村,2,1,6,22,1,2,1,1,0,3,3,4,46
4,13364,神津島村,2,2,8,6,4,0,1,2,3,5,1,1,35
3,13380,三宅支庁,6,5,16,35,11,2,4,13,7,9,6,6,120
4,13381,三宅村,6,4,12,29,10,2,4,11,3,9,6,6,102
4,13382,御蔵島村,0,1,4,6,1,0,0,2,4,0,0,0,18
3,13400,八丈支庁,7,14,21,57,24,14,9,12,9,17,15,12,211
4,13401,八丈町,7,14,21,54,24,14,9,10,9,17,15,12,206
4,13402,青ヶ島村,0,0,0,3,0,0,0,2,0,0,0,0,5
3,13420,小笠原支庁,6,8,31,35,10,6,9,5,13,8,2,6,139
4,13421,小笠原村,6,8,31,35,10,6,9,5,13,8,2,6,139
,,,,,,,,,,,,,,,
人口の動き（平成19年中）,,,,,,,,,,,,,,,
第９表  区市町村別、月別他県転入者数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
