地域階層,地域コード,地域,計／栽培実経営体数（経営体）,計／露地／栽培経営体数（経営体）,計／露地／栽培面積（a）,計／施設／栽培経営体数（経営体）,計／施設／栽培面積（a）,品目別栽培経営体数／温州みかん（経営体）,品目別栽培経営体数／その他のかんきつ類（経営体）,品目別栽培経営体数／りんご（経営体）,品目別栽培経営体数／ぶどう（経営体）,品目別栽培経営体数／日本なし（経営体）,品目別栽培経営体数／西洋なし（経営体）,品目別栽培経営体数／もも（経営体）,品目別栽培経営体数／おうとう（経営体）,品目別栽培経営体数／びわ（経営体）,品目別栽培経営体数／かき（経営体）,品目別栽培経営体数／くり（経営体）,品目別栽培経営体数／うめ（経営体）,品目別栽培経営体数／すもも（経営体）,品目別栽培経営体数／キウイフルーツ（経営体）,品目別栽培経営体数／パインアップル（経営体）,品目別栽培経営体数／その他の果樹（経営体）
4,13228,あきる野市,80,79,Ｘ,2,Ｘ,9,6,1,3,3,-,1,1,1,25,50,31,3,11,-,11
4,13229,西東京市,71,71,Ｘ,2,Ｘ,19,12,4,11,13,-,1,-,3,41,20,21,4,15,-,12
1,13550,町村部,117,99,2117,39,345,10,25,3,6,4,-,2,-,3,17,33,19,5,9,4,70
2,13300,西多摩郡,53,52,1102,1,Ｘ,7,4,3,5,4,-,1,-,-,14,29,17,5,4,-,19
4,13303,瑞穂町,24,23,Ｘ,1,Ｘ,3,1,2,3,4,-,-,-,-,11,10,4,5,2,-,11
4,13305,日の出町,27,27,Ｘ,-,-,3,2,1,2,-,-,-,-,-,3,17,12,-,1,-,7
4,13307,檜原村,1,1,Ｘ,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
4,13308,奥多摩町,1,1,Ｘ,-,-,1,1,-,-,-,-,1,-,-,-,1,1,-,1,-,1
2,13350,島部,64,47,1015,38,Ｘ,3,21,-,1,-,-,1,-,3,3,4,2,-,5,4,51
3,13360,大島支庁,17,11,97,7,50,3,6,-,-,-,-,-,-,3,3,4,2,-,3,-,12
4,13361,大島町,12,9,Ｘ,4,35,3,5,-,-,-,-,-,-,3,3,4,2,-,3,-,8
4,13362,利島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13363,新島村,2,1,Ｘ,1,Ｘ,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
4,13364,神津島村,3,1,Ｘ,2,Ｘ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
3,13380,三宅支庁,7,2,Ｘ,6,Ｘ,-,2,-,-,-,-,1,-,-,-,-,-,-,2,-,6
4,13381,三宅村,7,2,Ｘ,6,Ｘ,-,2,-,-,-,-,1,-,-,-,-,-,-,2,-,6
4,13382,御蔵島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,13400,八丈支庁,11,8,117,7,Ｘ,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,11
4,13401,八丈町,10,7,Ｘ,7,Ｘ,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,10
4,13402,青ケ島村,1,1,Ｘ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
3,13420,小笠原支庁,29,26,Ｘ,18,Ｘ,-,12,-,-,-,-,-,-,-,-,-,-,-,-,3,22
4,13421,小笠原村,29,26,Ｘ,18,Ｘ,-,12,-,-,-,-,-,-,-,-,-,-,-,-,3,22
,,,,,,,,,,,,,,,,,,,,,,,
2015年農林業センサス,,,,,,,,,,,,,,,,,,,,,,,
第15表　区市町村、販売目的で栽培した果樹類の栽培経営体数及び栽培面積、品目別栽培経営体数（農業経営体）,,,,,,,,,,,,,,,,,,,,,,,
注）表名に「（農業経営体）」を追加する修正を行いました（2019年4月4日）,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,,,,,,,,,,,,
