国籍階層,地域階層,国籍,地域コード,地域,総数/転入者数(人),総数/転出者数(人),総数/転入超過数(人),男/転入者数(人),男/転出者数(人),男/転入超過数(人),女/転入者数(人),女/転出者数(人),女/転入超過数(人),区部/転入者数(人),区部/転出者数(人),区部/転入超過数(人),市町村部/転入者数(人),市町村部/転出者数(人),市町村部/転入超過数(人)
0,1,外国人含む,17,石川県,3172,1905,1267,1693,1090,603,1479,815,664,2515,1491,1024,657,414,243
0,1,外国人含む,18,福井県,1508,822,686,839,471,368,669,351,318,1220,660,560,288,162,126
0,1,外国人含む,19,山梨県,4727,3882,845,2501,2188,313,2226,1694,532,2793,2320,473,1934,1562,372
0,1,外国人含む,20,長野県,7465,6389,1076,3897,3372,525,3568,3017,551,5295,4567,728,2170,1822,348
0,1,外国人含む,21,岐阜県,3529,1862,1667,1914,1051,863,1615,811,804,2770,1433,1337,759,429,330
0,1,外国人含む,22,静岡県,13100,9187,3913,6961,5022,1939,6139,4165,1974,9869,6844,3025,3231,2343,888
0,1,外国人含む,23,愛知県,21033,13302,7731,11782,7870,3912,9251,5432,3819,16972,10213,6759,4061,3089,972
0,1,外国人含む,24,三重県,3258,1905,1353,1844,1100,744,1414,805,609,2527,1433,1094,731,472,259
0,1,外国人含む,25,滋賀県,2804,1625,1179,1612,961,651,1192,664,528,2239,1269,970,565,356,209
0,1,外国人含む,26,京都府,7695,5977,1718,4102,3222,880,3593,2755,838,6361,4921,1440,1334,1056,278
0,1,外国人含む,27,大阪府,26923,19087,7836,14862,10910,3952,12061,8177,3884,22810,15725,7085,4113,3362,751
0,1,外国人含む,28,兵庫県,12942,8197,4745,6903,4436,2467,6039,3761,2278,10791,6544,4247,2151,1653,498
0,1,外国人含む,29,奈良県,2445,1480,965,1358,794,564,1087,686,401,1975,1135,840,470,345,125
0,1,外国人含む,30,和歌山県,1314,825,489,723,466,257,591,359,232,1047,658,389,267,167,100
0,1,外国人含む,31,鳥取県,1066,583,483,544,334,210,522,249,273,828,437,391,238,146,92
0,1,外国人含む,32,島根県,1174,804,370,633,416,217,541,388,153,905,592,313,269,212,57
0,1,外国人含む,33,岡山県,3786,2053,1733,2071,1148,923,1715,905,810,3036,1595,1441,750,458,292
0,1,外国人含む,34,広島県,7050,4023,3027,3844,2335,1509,3206,1688,1518,5675,3142,2533,1375,881,494
0,1,外国人含む,35,山口県,2582,1581,1001,1383,913,470,1199,668,531,2035,1158,877,547,423,124
0,1,外国人含む,36,徳島県,1155,737,418,616,425,191,539,312,227,942,586,356,213,151,62
0,1,外国人含む,37,香川県,2189,1438,751,1251,810,441,938,628,310,1776,1141,635,413,297,116
0,1,外国人含む,38,愛媛県,2757,1721,1036,1485,959,526,1272,762,510,2166,1348,818,591,373,218
0,1,外国人含む,39,高知県,1356,864,492,672,494,178,684,370,314,1056,642,414,300,222,78
0,1,外国人含む,40,福岡県,15543,11321,4222,8192,6478,1714,7351,4843,2508,12743,9089,3654,2800,2232,568
0,1,外国人含む,41,佐賀県,1329,879,450,725,513,212,604,366,238,1039,650,389,290,229,61
0,1,外国人含む,42,長崎県,2639,1732,907,1373,960,413,1266,772,494,2033,1333,700,606,399,207
0,1,外国人含む,43,熊本県,3443,2390,1053,1848,1352,496,1595,1038,557,2718,1890,828,725,500,225
0,1,外国人含む,44,大分県,2223,1526,697,1175,865,310,1048,661,387,1788,1168,620,435,358,77
0,1,外国人含む,45,宮崎県,2263,1649,614,1173,910,263,1090,739,351,1749,1245,504,514,404,110
0,1,外国人含む,46,鹿児島県,3467,2756,711,1736,1507,229,1731,1249,482,2674,2021,653,793,735,58
0,1,外国人含む,47,沖縄県,5568,4786,782,2974,2508,466,2594,2278,316,4250,3667,583,1318,1119,199
1,0,日本人のみ,0,総数,406749,348260,58489,213412,187528,25884,193337,160732,32605,316647,267426,49221,90102,80834,9268
1,1,日本人のみ,1,北海道,13561,10110,3451,7305,5803,1502,6256,4307,1949,10524,7754,2770,3037,2356,681
1,1,日本人のみ,2,青森県,3607,2215,1392,1819,1201,618,1788,1014,774,2656,1617,1039,951,598,353
1,1,日本人のみ,3,岩手県,3072,1968,1104,1585,1084,501,1487,884,603,2337,1449,888,735,519,216
1,1,日本人のみ,4,宮城県,9069,5691,3378,4810,3265,1545,4259,2426,1833,7222,4308,2914,1847,1383,464
1,1,日本人のみ,5,秋田県,2263,1557,706,1100,876,224,1163,681,482,1707,1167,540,556,390,166
1,1,日本人のみ,6,山形県,2620,1579,1041,1328,852,476,1292,727,565,1988,1187,801,632,392,240
1,1,日本人のみ,7,福島県,5455,3515,1940,2787,1894,893,2668,1621,1047,4126,2600,1526,1329,915,414
1,1,日本人のみ,8,茨城県,11160,9667,1493,5920,5422,498,5240,4245,995,8797,7459,1338,2363,2208,155
1,1,日本人のみ,9,栃木県,6697,5036,1661,3552,2754,798,3145,2282,863,5203,3792,1411,1494,1244,250
1,1,日本人のみ,10,群馬県,6469,5136,1333,3492,2939,553,2977,2197,780,4929,3859,1070,1540,1277,263
1,1,日本人のみ,11,埼玉県,55229,62482,-7253,28053,32576,-4523,27176,29906,-2730,43114,48656,-5542,12115,13826,-1711
1,1,日本人のみ,12,千葉県,44723,46230,-1507,22973,24328,-1355,21750,21902,-152,37927,39076,-1149,6796,7154,-358
1,1,日本人のみ,14,神奈川県,78062,79529,-1467,40338,41057,-719,37724,38472,-748,55524,57449,-1925,22538,22080,458
1,1,日本人のみ,15,新潟県,6377,4101,2276,3230,2232,998,3147,1869,1278,4889,2993,1896,1488,1108,380
1,1,日本人のみ,16,富山県,2338,1470,868,1217,779,438,1121,691,430,1857,1137,720,481,333,148
1,1,日本人のみ,17,石川県,2925,1768,1157,1578,1007,571,1347,761,586,2319,1371,948,606,397,209
1,1,日本人のみ,18,福井県,1373,766,607,767,432,335,606,334,272,1104,617,487,269,149,120
1,1,日本人のみ,19,山梨県,4269,3533,736,2251,1974,277,2018,1559,459,2447,2040,407,1822,1493,329
1,1,日本人のみ,20,長野県,6882,5967,915,3542,3136,406,3340,2831,509,4821,4213,608,2061,1754,307
1,1,日本人のみ,21,岐阜県,3095,1706,1389,1670,958,712,1425,748,677,2432,1314,1118,663,392,271
1,1,日本人のみ,22,静岡県,11779,8520,3259,6232,4641,1591,5547,3879,1668,8827,6294,2533,2952,2226,726
1,1,日本人のみ,23,愛知県,18960,12250,6710,10540,7238,3302,8420,5012,3408,15318,9358,5960,3642,2892,750
1,1,日本人のみ,24,三重県,2932,1742,1190,1630,1012,618,1302,730,572,2259,1308,951,673,434,239
1,1,日本人のみ,25,滋賀県,2522,1405,1117,1417,807,610,1105,598,507,2016,1070,946,506,335,171
1,1,日本人のみ,26,京都府,6533,4705,1828,3489,2545,944,3044,2160,884,5377,3757,1620,1156,948,208
1,1,日本人のみ,27,大阪府,24258,16997,7261,13366,9698,3668,10892,7299,3593,20503,13860,6643,3755,3137,618
1,1,日本人のみ,28,兵庫県,11836,7590,4246,6271,4105,2166,5565,3485,2080,9873,6036,3837,1963,1554,409
1,1,日本人のみ,29,奈良県,2317,1398,919,1291,747,544,1026,651,375,1859,1070,789,458,328,130
1,1,日本人のみ,30,和歌山県,1220,784,436,677,441,236,543,343,200,963,623,340,257,161,96
1,1,日本人のみ,31,鳥取県,992,561,431,512,323,189,480,238,242,763,419,344,229,142,87
1,1,日本人のみ,32,島根県,1089,766,323,596,394,202,493,372,121,838,559,279,251,207,44
1,1,日本人のみ,33,岡山県,3431,1913,1518,1862,1067,795,1569,846,723,2756,1472,1284,675,441,234
1,1,日本人のみ,34,広島県,6547,3802,2745,3545,2204,1341,3002,1598,1404,5263,2962,2301,1284,840,444
1,1,日本人のみ,35,山口県,2382,1484,898,1265,857,408,1117,627,490,1873,1072,801,509,412,97
1,1,日本人のみ,36,徳島県,1075,695,380,570,398,172,505,297,208,877,551,326,198,144,54
1,1,日本人のみ,37,香川県,2023,1395,628,1161,784,377,862,611,251,1642,1103,539,381,292,89
1,1,日本人のみ,38,愛媛県,2612,1667,945,1399,931,468,1213,736,477,2037,1298,739,575,369,206
1,1,日本人のみ,39,高知県,1286,818,468,632,464,168,654,354,300,1002,598,404,284,220,64
1,1,日本人のみ,40,福岡県,14392,10707,3685,7522,6066,1456,6870,4641,2229,11753,8562,3191,2639,2145,494
1,1,日本人のみ,41,佐賀県,1248,848,400,684,495,189,564,353,211,971,625,346,277,223,54
1,1,日本人のみ,42,長崎県,2419,1664,755,1275,930,345,1144,734,410,1861,1274,587,558,390,168
1,1,日本人のみ,43,熊本県,3205,2261,944,1704,1277,427,1501,984,517,2513,1777,736,692,484,208
1,1,日本人のみ,44,大分県,1878,1412,466,979,787,192,899,625,274,1499,1073,426,379,339,40
1,1,日本人のみ,45,宮崎県,2112,1616,496,1095,898,197,1017,718,299,1634,1217,417,478,399,79
1,1,日本人のみ,46,鹿児島県,3286,2699,587,1641,1480,161,1645,1219,426,2531,1981,550,755,718,37
1,1,日本人のみ,47,沖縄県,5169,4535,634,2740,2370,370,2429,2165,264,3916,3449,467,1253,1086,167
,,,,,,,,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,,,,,,,,
第4表 各道府県との男女別移動者数及び区部・市町村部別移動者数(令和5年)　,,,,,,,,,,,,,,,,,,,
注）-は転出超過数,,,,,,,,,,,,,,,,,,,
国籍階層(0:外国人含む 1:日本人のみ),,,,,,,,,,,,,,,,,,,
地域階層(0:総数 1:道府県),,,,,,,,,,,,,,,,,,,
