年月階層,月次,地域コード,地域,総数/転入者数(人),総数/転出者数(人),総数/転入超過数(人),男/転入者数(人),男/転出者数(人),男/転入超過数(人),女/転入者数(人),女/転出者数(人),女/転入超過数(人)
1,3月,141305,川崎市,3678,3582,96,1841,1778,63,1837,1804,33
1,4月,141305,川崎市,2372,2364,8,1212,1270,-58,1160,1094,66
1,5月,141305,川崎市,2173,2376,-203,1104,1235,-131,1069,1141,-72
1,6月,141305,川崎市,2032,2215,-183,1064,1150,-86,968,1065,-97
1,7月,141305,川崎市,2071,2165,-94,1077,1130,-53,994,1035,-41
1,8月,141305,川崎市,2123,2312,-189,1079,1205,-126,1044,1107,-63
1,9月,141305,川崎市,1903,2039,-136,1031,1074,-43,872,965,-93
1,10月,141305,川崎市,2193,2168,25,1109,1149,-40,1084,1019,65
1,11月,141305,川崎市,2117,2137,-20,1123,1105,18,994,1032,-38
1,12月,141305,川崎市,2275,2376,-101,1177,1244,-67,1098,1132,-34
0,年計,141500,相模原市,7911,7545,366,3959,3912,47,3952,3633,319
1,1月,141500,相模原市,508,513,-5,252,278,-26,256,235,21
1,2月,141500,相模原市,668,566,102,325,293,32,343,273,70
1,3月,141500,相模原市,1237,1030,207,612,516,96,625,514,111
1,4月,141500,相模原市,772,760,12,401,363,38,371,397,-26
1,5月,141500,相模原市,610,579,31,300,303,-3,310,276,34
1,6月,141500,相模原市,590,567,23,293,304,-11,297,263,34
1,7月,141500,相模原市,578,597,-19,293,312,-19,285,285,0
1,8月,141500,相模原市,629,608,21,306,324,-18,323,284,39
1,9月,141500,相模原市,545,558,-13,304,304,0,241,254,-13
1,10月,141500,相模原市,603,540,63,300,280,20,303,260,43
1,11月,141500,相模原市,551,614,-63,271,310,-39,280,304,-24
1,12月,141500,相模原市,620,613,7,302,325,-23,318,288,30
0,年計,151009,新潟市,2959,1878,1081,1544,1063,481,1415,815,600
1,1月,151009,新潟市,146,91,55,84,53,31,62,38,24
1,2月,151009,新潟市,184,130,54,89,69,20,95,61,34
1,3月,151009,新潟市,898,355,543,445,217,228,453,138,315
1,4月,151009,新潟市,483,328,155,265,185,80,218,143,75
1,5月,151009,新潟市,201,151,50,104,95,9,97,56,41
1,6月,151009,新潟市,164,106,58,91,50,41,73,56,17
1,7月,151009,新潟市,203,146,57,115,88,27,88,58,30
1,8月,151009,新潟市,137,139,-2,71,67,4,66,72,-6
1,9月,151009,新潟市,150,113,37,75,65,10,75,48,27
1,10月,151009,新潟市,155,132,23,78,76,2,77,56,21
1,11月,151009,新潟市,110,88,22,66,47,19,44,41,3
1,12月,151009,新潟市,128,99,29,61,51,10,67,48,19
0,年計,221007,静岡市,2977,1931,1046,1613,1085,528,1364,846,518
1,1月,221007,静岡市,155,87,68,82,44,38,73,43,30
1,2月,221007,静岡市,190,120,70,94,62,32,96,58,38
1,3月,221007,静岡市,819,378,441,421,223,198,398,155,243
1,4月,221007,静岡市,500,354,146,277,212,65,223,142,81
1,5月,221007,静岡市,212,154,58,124,92,32,88,62,26
1,6月,221007,静岡市,162,121,41,91,66,25,71,55,16
1,7月,221007,静岡市,169,134,35,92,73,19,77,61,16
1,8月,221007,静岡市,153,132,21,86,74,12,67,58,9
1,9月,221007,静岡市,181,129,52,104,68,36,77,61,16
1,10月,221007,静岡市,145,132,13,79,75,4,66,57,9
1,11月,221007,静岡市,132,99,33,75,49,26,57,50,7
1,12月,221007,静岡市,159,91,68,88,47,41,71,44,27
0,年計,221309,浜松市,2511,1565,946,1352,830,522,1159,735,424
1,1月,221309,浜松市,147,82,65,74,42,32,73,40,33
1,2月,221309,浜松市,171,100,71,92,49,43,79,51,28
1,3月,221309,浜松市,715,307,408,380,168,212,335,139,196
1,4月,221309,浜松市,392,253,139,204,141,63,188,112,76
1,5月,221309,浜松市,171,120,51,95,69,26,76,51,25
1,6月,221309,浜松市,123,89,34,68,48,20,55,41,14
1,7月,221309,浜松市,150,88,62,78,43,35,72,45,27
1,8月,221309,浜松市,170,117,53,93,64,29,77,53,24
1,9月,221309,浜松市,137,117,20,71,61,10,66,56,10
1,10月,221309,浜松市,141,115,26,76,61,15,65,54,11
1,11月,221309,浜松市,84,77,7,55,37,18,29,40,-11
1,12月,221309,浜松市,110,100,10,66,47,19,44,53,-9
0,年計,231002,名古屋市,11514,7762,3752,6386,4552,1834,5128,3210,1918
1,1月,231002,名古屋市,641,431,210,351,255,96,290,176,114
1,2月,231002,名古屋市,700,397,303,389,225,164,311,172,139
1,3月,231002,名古屋市,2563,1424,1139,1355,794,561,1208,630,578
1,4月,231002,名古屋市,2014,1495,519,1120,922,198,894,573,321
1,5月,231002,名古屋市,918,579,339,504,343,161,414,236,178
1,6月,231002,名古屋市,700,550,150,418,321,97,282,229,53
1,7月,231002,名古屋市,807,639,168,464,374,90,343,265,78
1,8月,231002,名古屋市,674,499,175,383,276,107,291,223,68
1,9月,231002,名古屋市,668,461,207,368,266,102,300,195,105
1,10月,231002,名古屋市,799,568,231,450,352,98,349,216,133
1,11月,231002,名古屋市,492,330,162,283,197,86,209,133,76
1,12月,231002,名古屋市,538,389,149,301,227,74,237,162,75
0,年計,261009,京都市,5691,4711,980,2986,2496,490,2705,2215,490
1,1月,261009,京都市,335,215,120,167,100,67,168,115,53
1,2月,261009,京都市,365,276,89,185,161,24,180,115,65
1,3月,261009,京都市,1810,1199,611,948,617,331,862,582,280
1,4月,261009,京都市,813,958,-145,436,504,-68,377,454,-77
1,5月,261009,京都市,391,328,63,204,169,35,187,159,28
1,6月,261009,京都市,289,259,30,151,142,9,138,117,21
1,7月,261009,京都市,307,251,56,177,127,50,130,124,6
1,8月,261009,京都市,325,214,111,165,127,38,160,87,73
1,9月,261009,京都市,270,255,15,144,134,10,126,121,5
1,10月,261009,京都市,348,304,44,173,164,9,175,140,35
1,11月,261009,京都市,197,199,-2,108,115,-7,89,84,5
1,12月,261009,京都市,241,253,-12,128,136,-8,113,117,-4
0,年計,271004,大阪市,13038,9877,3161,7239,5885,1354,5799,3992,1807
1,1月,271004,大阪市,758,529,229,403,308,95,355,221,134
1,2月,271004,大阪市,804,522,282,437,302,135,367,220,147
1,3月,271004,大阪市,2499,1626,873,1365,971,394,1134,655,479
1,4月,271004,大阪市,2035,1477,558,1148,912,236,887,565,322
1,5月,271004,大阪市,1128,895,233,649,541,108,479,354,125
1,6月,271004,大阪市,845,731,114,476,426,50,369,305,64
1,7月,271004,大阪市,994,886,108,559,514,45,435,372,63
1,8月,271004,大阪市,812,668,144,465,389,76,347,279,68
1,9月,271004,大阪市,822,589,233,473,343,130,349,246,103
1,10月,271004,大阪市,984,787,197,517,474,43,467,313,154
1,11月,271004,大阪市,635,562,73,350,335,15,285,227,58
1,12月,271004,大阪市,722,605,117,397,370,27,325,235,90
0,年計,271403,堺市,1484,986,498,812,540,272,672,446,226
1,1月,271403,堺市,74,44,30,43,27,16,31,17,14
1,2月,271403,堺市,84,61,23,41,33,8,43,28,15
1,3月,271403,堺市,421,179,242,239,92,147,182,87,95
1,4月,271403,堺市,251,154,97,133,91,42,118,63,55
1,5月,271403,堺市,112,102,10,56,52,4,56,50,6
1,6月,271403,堺市,75,67,8,44,40,4,31,27,4
1,7月,271403,堺市,89,64,25,47,37,10,42,27,15
1,8月,271403,堺市,83,72,11,39,34,5,44,38,6
1,9月,271403,堺市,65,50,15,40,26,14,25,24,1
1,10月,271403,堺市,96,58,38,56,27,29,40,31,9
1,11月,271403,堺市,71,57,14,35,41,-6,36,16,20
1,12月,271403,堺市,63,78,-15,39,40,-1,24,38,-14
0,年計,281000,神戸市,4518,2966,1552,2434,1640,794,2084,1326,758
1,1月,281000,神戸市,257,178,79,151,96,55,106,82,24
1,2月,281000,神戸市,283,165,118,153,89,64,130,76,54
1,3月,281000,神戸市,1239,600,639,674,318,356,565,282,283
1,4月,281000,神戸市,734,562,172,419,323,96,315,239,76
1,5月,281000,神戸市,354,218,136,186,119,67,168,99,69
1,6月,281000,神戸市,273,189,84,150,107,43,123,82,41
1,7月,281000,神戸市,234,219,15,124,130,-6,110,89,21
1,8月,281000,神戸市,239,173,66,114,99,15,125,74,51
1,9月,281000,神戸市,223,170,53,124,87,37,99,83,16
1,10月,281000,神戸市,299,203,96,150,119,31,149,84,65
1,11月,281000,神戸市,187,134,53,91,69,22,96,65,31
1,12月,281000,神戸市,196,155,41,98,84,14,98,71,27
0,年計,331007,岡山市,2070,1071,999,1134,621,513,936,450,486
1,1月,331007,岡山市,117,58,59,66,35,31,51,23,28
1,2月,331007,岡山市,131,76,55,73,50,23,58,26,32
1,3月,331007,岡山市,574,233,341,307,122,185,267,111,156
1,4月,331007,岡山市,401,162,239,238,98,140,163,64,99
1,5月,331007,岡山市,149,67,82,72,37,35,77,30,47
1,6月,331007,岡山市,101,68,33,56,45,11,45,23,22
1,7月,331007,岡山市,122,55,67,68,32,36,54,23,31
1,8月,331007,岡山市,89,94,-5,49,57,-8,40,37,3
1,9月,331007,岡山市,99,67,32,51,43,8,48,24,24
1,10月,331007,岡山市,120,70,50,65,35,30,55,35,20
1,11月,331007,岡山市,84,45,39,46,30,16,38,15,23
1,12月,331007,岡山市,83,76,7,43,37,6,40,39,1
0,年計,341002,広島市,4146,2349,1797,2228,1355,873,1918,994,924
1,1月,341002,広島市,234,139,95,130,76,54,104,63,41
1,2月,341002,広島市,236,146,90,125,75,50,111,71,40
1,3月,341002,広島市,1119,397,722,552,229,323,567,168,399
1,4月,341002,広島市,703,461,242,382,276,106,321,185,136
1,5月,341002,広島市,296,187,109,165,107,58,131,80,51
1,6月,341002,広島市,213,144,69,122,87,35,91,57,34
1,7月,341002,広島市,275,222,53,152,121,31,123,101,22
1,8月,341002,広島市,225,130,95,117,67,50,108,63,45
1,9月,341002,広島市,243,143,100,141,83,58,102,60,42
1,10月,341002,広島市,262,164,98,160,100,60,102,64,38
1,11月,341002,広島市,170,107,63,82,67,15,88,40,48
1,12月,341002,広島市,170,109,61,100,67,33,70,42,28
0,年計,401005,北九州市,2068,1238,830,1114,717,397,954,521,433
1,1月,401005,北九州市,95,57,38,48,36,12,47,21,26
1,2月,401005,北九州市,140,82,58,75,47,28,65,35,30
1,3月,401005,北九州市,625,200,425,350,114,236,275,86,189
1,4月,401005,北九州市,306,237,69,162,140,22,144,97,47
1,5月,401005,北九州市,129,94,35,67,52,15,62,42,20
1,6月,401005,北九州市,106,104,2,64,61,3,42,43,-1
1,7月,401005,北九州市,126,100,26,65,57,8,61,43,18
1,8月,401005,北九州市,123,85,38,63,43,20,60,42,18
1,9月,401005,北九州市,131,90,41,69,51,18,62,39,23
1,10月,401005,北九州市,121,63,58,71,38,33,50,25,25
1,11月,401005,北九州市,80,61,19,36,39,-3,44,22,22
1,12月,401005,北九州市,86,65,21,44,39,5,42,26,16
0,年計,401307,福岡市,8713,7044,1669,4550,4051,499,4163,2993,1170
1,1月,401307,福岡市,514,420,94,271,252,19,243,168,75
1,2月,401307,福岡市,494,467,27,256,258,-2,238,209,29
1,3月,401307,福岡市,2141,1147,994,1106,626,480,1035,521,514
1,4月,401307,福岡市,1582,1349,233,848,795,53,734,554,180
1,5月,401307,福岡市,636,564,72,327,329,-2,309,235,74
1,6月,401307,福岡市,497,427,70,258,257,1,239,170,69
1,7月,401307,福岡市,546,529,17,298,305,-7,248,224,24
1,8月,401307,福岡市,529,442,87,253,260,-7,276,182,94
1,9月,401307,福岡市,497,443,54,251,245,6,246,198,48
1,10月,401307,福岡市,538,509,29,281,299,-18,257,210,47
1,11月,401307,福岡市,362,322,40,193,183,10,169,139,30
1,12月,401307,福岡市,377,425,-48,208,242,-34,169,183,-14
0,年計,431001,熊本市,2096,1561,535,1114,882,232,982,679,303
1,1月,431001,熊本市,121,91,30,57,46,11,64,45,19
1,2月,431001,熊本市,105,89,16,55,47,8,50,42,8
1,3月,431001,熊本市,653,280,373,339,153,186,314,127,187
1,4月,431001,熊本市,402,333,69,223,190,33,179,143,36
1,5月,431001,熊本市,130,122,8,60,73,-13,70,49,21
1,6月,431001,熊本市,92,92,0,48,52,-4,44,40,4
1,7月,431001,熊本市,128,115,13,67,70,-3,61,45,16
1,8月,431001,熊本市,125,90,35,68,47,21,57,43,14
1,9月,431001,熊本市,89,111,-22,54,61,-7,35,50,-15
1,10月,431001,熊本市,100,89,11,50,57,-7,50,32,18
1,11月,431001,熊本市,72,74,-2,48,43,5,24,31,-7
1,12月,431001,熊本市,79,75,4,45,43,2,34,32,2
,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,
第6表 月別、20大都市との男女別移動者数(令和5年) 外国人含む,,,,,,,,,,,,
注）-は転出超過数,,,,,,,,,,,,
年月階層(0:年計 1:月次),,,,,,,,,,,,
