月,地域階層,地域コード,地域,総数/転入者数(人),総数/転出者数(人),総数/転入超過数(人),男/転入者数(人),男/転出者数(人),男/転入超過数(人),女/転入者数(人),女/転出者数(人),女/転入超過数(人)
1,1,43,熊本県,212,141,71,111,79,32,101,62,39
1,1,44,大分県,118,93,25,67,61,6,51,32,19
1,1,45,宮崎県,118,102,16,68,61,7,50,41,9
1,1,46,鹿児島県,183,167,16,95,84,11,88,83,5
1,1,47,沖縄県,270,329,-59,132,169,-37,138,160,-22
2,0,0,総数,30866,26964,3902,16170,14517,1653,14696,12447,2249
2,1,1,北海道,746,565,181,416,331,85,330,234,96
2,1,2,青森県,190,129,61,97,63,34,93,66,27
2,1,3,岩手県,166,113,53,83,61,22,83,52,31
2,1,4,宮城県,523,354,169,287,174,113,236,180,56
2,1,5,秋田県,135,84,51,65,43,22,70,41,29
2,1,6,山形県,155,112,43,72,62,10,83,50,33
2,1,7,福島県,411,250,161,199,132,67,212,118,94
2,1,8,茨城県,875,812,63,472,442,30,403,370,33
2,1,9,栃木県,537,428,109,256,218,38,281,210,71
2,1,10,群馬県,508,416,92,257,234,23,251,182,69
2,1,11,埼玉県,4957,5553,-596,2542,2976,-434,2415,2577,-162
2,1,12,千葉県,3925,4053,-128,2054,2228,-174,1871,1825,46
2,1,14,神奈川県,6777,6586,191,3508,3404,104,3269,3182,87
2,1,15,新潟県,439,277,162,218,155,63,221,122,99
2,1,16,富山県,132,90,42,65,39,26,67,51,16
2,1,17,石川県,185,108,77,100,63,37,85,45,40
2,1,18,福井県,113,50,63,66,27,39,47,23,24
2,1,19,山梨県,391,272,119,220,146,74,171,126,45
2,1,20,長野県,492,399,93,244,201,43,248,198,50
2,1,21,岐阜県,243,125,118,135,68,67,108,57,51
2,1,22,静岡県,852,644,208,424,347,77,428,297,131
2,1,23,愛知県,1287,731,556,733,414,319,554,317,237
2,1,24,三重県,227,95,132,114,63,51,113,32,81
2,1,25,滋賀県,182,106,76,111,63,48,71,43,28
2,1,26,京都府,488,360,128,250,213,37,238,147,91
2,1,27,大阪府,1604,1047,557,875,588,287,729,459,270
2,1,28,兵庫県,776,478,298,415,261,154,361,217,144
2,1,29,奈良県,166,88,78,84,51,33,82,37,45
2,1,30,和歌山県,69,45,24,41,26,15,28,19,9
2,1,31,鳥取県,59,58,1,26,28,-2,33,30,3
2,1,32,島根県,68,37,31,41,17,24,27,20,7
2,1,33,岡山県,219,134,85,120,82,38,99,52,47
2,1,34,広島県,395,246,149,221,125,96,174,121,53
2,1,35,山口県,152,81,71,76,39,37,76,42,34
2,1,36,徳島県,49,38,11,26,17,9,23,21,2
2,1,37,香川県,158,103,55,85,57,28,73,46,27
2,1,38,愛媛県,177,108,69,95,60,35,82,48,34
2,1,39,高知県,92,61,31,47,31,16,45,30,15
2,1,40,福岡県,896,749,147,477,420,57,419,329,90
2,1,41,佐賀県,74,53,21,43,32,11,31,21,10
2,1,42,長崎県,123,108,15,71,62,9,52,46,6
2,1,43,熊本県,169,145,24,96,82,14,73,63,10
2,1,44,大分県,122,109,13,57,72,-15,65,37,28
2,1,45,宮崎県,106,115,-9,53,52,1,53,63,-10
2,1,46,鹿児島県,172,169,3,86,102,-16,86,67,19
2,1,47,沖縄県,284,280,4,147,146,1,137,134,3
3,0,0,総数,101405,62100,39305,52247,33368,18879,49158,28732,20426
3,1,1,北海道,4082,1855,2227,2200,1067,1133,1882,788,1094
3,1,2,青森県,1280,355,925,580,210,370,700,145,555
3,1,3,岩手県,1084,348,736,546,181,365,538,167,371
3,1,4,宮城県,2892,1024,1868,1475,590,885,1417,434,983
3,1,5,秋田県,781,224,557,360,127,233,421,97,324
3,1,6,山形県,941,320,621,461,187,274,480,133,347
3,1,7,福島県,1675,629,1046,821,344,477,854,285,569
3,1,8,茨城県,3170,1939,1231,1610,1084,526,1560,855,705
3,1,9,栃木県,1937,1018,919,982,545,437,955,473,482
3,1,10,群馬県,2034,934,1100,1044,564,480,990,370,620
3,1,11,埼玉県,9796,9980,-184,4928,5224,-296,4868,4756,112
3,1,12,千葉県,8620,8077,543,4356,4178,178,4264,3899,365
3,1,14,神奈川県,13199,12788,411,6641,6582,59,6558,6206,352
3,1,15,新潟県,2141,761,1380,1033,433,600,1108,328,780
3,1,16,富山県,720,303,417,375,152,223,345,151,194
3,1,17,石川県,882,311,571,483,173,310,399,138,261
3,1,18,福井県,410,157,253,206,92,114,204,65,139
3,1,19,山梨県,1274,670,604,608,371,237,666,299,367
3,1,20,長野県,2155,1221,934,1074,635,439,1081,586,495
3,1,21,岐阜県,939,333,606,482,200,282,457,133,324
3,1,22,静岡県,3624,1685,1939,1854,924,930,1770,761,1009
3,1,23,愛知県,5175,2484,2691,2789,1436,1353,2386,1048,1338
3,1,24,三重県,838,379,459,469,217,252,369,162,207
3,1,25,滋賀県,874,349,525,508,217,291,366,132,234
3,1,26,京都府,2472,1448,1024,1316,738,578,1156,710,446
3,1,27,大阪府,6514,3383,3131,3586,1904,1682,2928,1479,1449
3,1,28,兵庫県,3598,1645,1953,1924,877,1047,1674,768,906
3,1,29,奈良県,776,283,493,442,154,288,334,129,205
3,1,30,和歌山県,379,146,233,216,77,139,163,69,94
3,1,31,鳥取県,342,98,244,171,62,109,171,36,135
3,1,32,島根県,360,153,207,194,78,116,166,75,91
3,1,33,岡山県,1096,390,706,597,206,391,499,184,315
3,1,34,広島県,1949,717,1232,1012,432,580,937,285,652
3,1,35,山口県,716,261,455,360,152,208,356,109,247
3,1,36,徳島県,342,131,211,184,74,110,158,57,101
3,1,37,香川県,615,254,361,343,139,204,272,115,157
3,1,38,愛媛県,818,354,464,429,200,229,389,154,235
3,1,39,高知県,407,168,239,191,91,100,216,77,139
3,1,40,福岡県,4315,1940,2375,2250,1056,1194,2065,884,1181
3,1,41,佐賀県,436,147,289,242,87,155,194,60,134
3,1,42,長崎県,758,297,461,371,166,205,387,131,256
3,1,43,熊本県,1089,403,686,557,227,330,532,176,356
3,1,44,大分県,621,275,346,317,134,183,304,141,163
3,1,45,宮崎県,717,300,417,350,160,190,367,140,227
3,1,46,鹿児島県,1047,423,624,523,232,291,524,191,333
3,1,47,沖縄県,1515,740,775,787,389,398,728,351,377
4,0,0,総数,59802,50977,8825,32215,28487,3728,27587,22490,5097
4,1,1,北海道,2517,2071,446,1423,1251,172,1094,820,274
4,1,2,青森県,602,420,182,333,238,95,269,182,87
4,1,3,岩手県,520,335,185,272,196,76,248,139,109
4,1,4,宮城県,1668,1111,557,923,625,298,745,486,259
4,1,5,秋田県,371,277,94,183,166,17,188,111,77
4,1,6,山形県,429,256,173,233,134,99,196,122,74
4,1,7,福島県,864,634,230,438,344,94,426,290,136
4,1,8,茨城県,1818,1393,425,1031,812,219,787,581,206
4,1,9,栃木県,1059,832,227,575,465,110,484,367,117
4,1,10,群馬県,1098,828,270,605,493,112,493,335,158
4,1,11,埼玉県,6231,7072,-841,3169,3689,-520,3062,3383,-321
4,1,12,千葉県,5375,5489,-114,2842,2953,-111,2533,2536,-3
4,1,14,神奈川県,8301,8996,-695,4306,4847,-541,3995,4149,-154
4,1,15,新潟県,1022,722,300,559,380,179,463,342,121
4,1,16,富山県,373,282,91,183,162,21,190,120,70
4,1,17,石川県,527,355,172,285,216,69,242,139,103
4,1,18,福井県,228,137,91,132,82,50,96,55,41
4,1,19,山梨県,658,607,51,348,354,-6,310,253,57
4,1,20,長野県,1125,997,128,576,544,32,549,453,96
4,1,21,岐阜県,557,320,237,323,176,147,234,144,90
4,1,22,静岡県,1943,1263,680,1031,718,313,912,545,367
4,1,23,愛知県,3356,2236,1120,1876,1386,490,1480,850,630
4,1,24,三重県,521,285,236,298,176,122,223,109,114
4,1,25,滋賀県,401,287,114,241,180,61,160,107,53
4,1,26,京都府,1105,1179,-74,614,645,-31,491,534,-43
4,1,27,大阪府,4301,3136,1165,2407,1874,533,1894,1262,632
4,1,28,兵庫県,2061,1404,657,1147,783,364,914,621,293
4,1,29,奈良県,381,278,103,224,151,73,157,127,30
4,1,30,和歌山県,240,167,73,132,103,29,108,64,44
4,1,31,鳥取県,169,93,76,89,60,29,80,33,47
4,1,32,島根県,204,179,25,114,96,18,90,83,7
4,1,33,岡山県,650,362,288,369,207,162,281,155,126
4,1,34,広島県,1212,768,444,649,453,196,563,315,248
4,1,35,山口県,416,331,85,245,187,58,171,144,27
4,1,36,徳島県,185,148,37,107,85,22,78,63,15
4,1,37,香川県,371,272,99,225,156,69,146,116,30
4,1,38,愛媛県,427,330,97,223,197,26,204,133,71
4,1,39,高知県,239,163,76,125,99,26,114,64,50
4,1,40,福岡県,2562,2065,497,1373,1215,158,1189,850,339
4,1,41,佐賀県,215,143,72,107,87,20,108,56,52
4,1,42,長崎県,524,300,224,287,167,120,237,133,104
4,1,43,熊本県,598,471,127,320,258,62,278,213,65
4,1,44,大分県,354,286,68,196,160,36,158,126,32
4,1,45,宮崎県,400,309,91,197,186,11,203,123,80
4,1,46,鹿児島県,632,595,37,322,316,6,310,279,31
4,1,47,沖縄県,992,793,199,558,415,143,434,378,56
5,0,0,総数,34284,31040,3244,18286,16887,1399,15998,14153,1845
5,1,1,北海道,1051,840,211,565,461,104,486,379,107
5,1,2,青森県,211,175,36,98,95,3,113,80,33
5,1,3,岩手県,204,205,-1,97,113,-16,107,92,15
5,1,4,宮城県,669,492,177,347,294,53,322,198,124
5,1,5,秋田県,144,140,4,81,80,1,63,60,3
5,1,6,山形県,166,124,42,88,70,18,78,54,24
5,1,7,福島県,370,282,88,186,165,21,184,117,67
5,1,8,茨城県,979,856,123,531,487,44,448,369,79
5,1,9,栃木県,589,524,65,322,306,16,267,218,49
5,1,10,群馬県,535,442,93,310,254,56,225,188,37
5,1,11,埼玉県,5202,5906,-704,2732,3106,-374,2470,2800,-330
5,1,12,千葉県,4200,4282,-82,2233,2285,-52,1967,1997,-30
5,1,14,神奈川県,6924,7232,-308,3601,3801,-200,3323,3431,-108
5,1,15,新潟県,453,358,95,216,203,13,237,155,82
5,1,16,富山県,162,127,35,82,65,17,80,62,18
5,1,17,石川県,231,177,54,121,100,21,110,77,33
5,1,18,福井県,101,59,42,64,31,33,37,28,9
5,1,19,山梨県,339,297,42,181,170,11,158,127,31
5,1,20,長野県,504,471,33,278,256,22,226,215,11
5,1,21,岐阜県,257,158,99,151,79,72,106,79,27
5,1,22,静岡県,943,689,254,532,402,130,411,287,124
5,1,23,愛知県,1609,1006,603,917,606,311,692,400,292
5,1,24,三重県,243,143,100,137,80,57,106,63,43
5,1,25,滋賀県,226,118,108,130,64,66,96,54,42
5,1,26,京都府,536,413,123,286,219,67,250,194,56
5,1,27,大阪府,2167,1643,524,1241,942,299,926,701,225
5,1,28,兵庫県,1023,638,385,538,340,198,485,298,187
5,1,29,奈良県,200,97,103,109,53,56,91,44,47
5,1,30,和歌山県,94,57,37,45,31,14,49,26,23
5,1,31,鳥取県,62,45,17,31,23,8,31,22,9
5,1,32,島根県,73,46,27,34,21,13,39,25,14
5,1,33,岡山県,292,145,147,148,80,68,144,65,79
5,1,34,広島県,481,310,171,271,182,89,210,128,82
5,1,35,山口県,176,122,54,92,76,16,84,46,38
5,1,36,徳島県,81,49,32,39,31,8,42,18,24
5,1,37,香川県,148,125,23,83,76,7,65,49,16
5,1,38,愛媛県,200,130,70,115,70,45,85,60,25
5,1,39,高知県,72,56,16,33,36,-3,39,20,19
5,1,40,福岡県,1070,864,206,555,494,61,515,370,145
5,1,41,佐賀県,85,70,15,47,41,6,38,29,9
5,1,42,長崎県,176,138,38,87,75,12,89,63,26
5,1,43,熊本県,202,210,-8,106,118,-12,96,92,4
5,1,44,大分県,162,97,65,82,60,22,80,37,43
5,1,45,宮崎県,132,118,14,69,53,16,63,65,-2
5,1,46,鹿児島県,205,183,22,100,88,12,105,95,10
5,1,47,沖縄県,335,381,-46,175,205,-30,160,176,-16
6,0,0,総数,29177,27738,1439,15624,15041,583,13553,12697,856
6,1,1,北海道,775,764,11,424,421,3,351,343,8
6,1,2,青森県,144,166,-22,87,94,-7,57,72,-15
6,1,3,岩手県,165,153,12,80,83,-3,85,70,15
6,1,4,宮城県,474,371,103,262,220,42,212,151,61
6,1,5,秋田県,89,114,-25,42,66,-24,47,48,-1
6,1,6,山形県,122,118,4,63,67,-4,59,51,8
6,1,7,福島県,310,230,80,173,131,42,137,99,38
6,1,8,茨城県,785,736,49,411,416,-5,374,320,54
6,1,9,栃木県,435,400,35,238,240,-2,197,160,37
6,1,10,群馬県,463,453,10,256,252,4,207,201,6
6,1,11,埼玉県,4859,5551,-692,2522,2971,-449,2337,2580,-243
6,1,12,千葉県,3924,3933,-9,2121,2105,16,1803,1828,-25
6,1,14,神奈川県,6556,6698,-142,3430,3462,-32,3126,3236,-110
6,1,15,新潟県,376,283,93,197,140,57,179,143,36
6,1,16,富山県,133,105,28,65,52,13,68,53,15
6,1,17,石川県,187,104,83,96,54,42,91,50,41
6,1,18,福井県,74,52,22,49,28,21,25,24,1
6,1,19,山梨県,271,246,25,150,142,8,121,104,17
6,1,20,長野県,380,391,-11,206,196,10,174,195,-21
6,1,21,岐阜県,199,104,95,111,60,51,88,44,44
6,1,22,静岡県,751,649,102,388,367,21,363,282,81
6,1,23,愛知県,1253,903,350,741,534,207,512,369,143
6,1,24,三重県,180,142,38,108,79,29,72,63,9
6,1,25,滋賀県,167,86,81,87,53,34,80,33,47
6,1,26,京都府,409,333,76,206,180,26,203,153,50
6,1,27,大阪府,1616,1313,303,918,753,165,698,560,138
6,1,28,兵庫県,732,583,149,382,318,64,350,265,85
6,1,29,奈良県,133,85,48,80,50,30,53,35,18
6,1,30,和歌山県,65,52,13,36,25,11,29,27,2
6,1,31,鳥取県,58,40,18,32,24,8,26,16,10
6,1,32,島根県,60,54,6,31,35,-4,29,19,10
6,1,33,岡山県,193,134,59,106,77,29,87,57,30
6,1,34,広島県,375,244,131,212,138,74,163,106,57
6,1,35,山口県,125,100,25,70,63,7,55,37,18
6,1,36,徳島県,60,48,12,36,28,8,24,20,4
6,1,37,香川県,118,78,40,63,40,23,55,38,17
6,1,38,愛媛県,147,107,40,83,64,19,64,43,21
6,1,39,高知県,63,56,7,31,34,-3,32,22,10
6,1,40,福岡県,848,742,106,453,444,9,395,298,97
6,1,41,佐賀県,87,62,25,48,36,12,39,26,13
6,1,42,長崎県,122,88,34,60,49,11,62,39,23
6,1,43,熊本県,150,143,7,82,76,6,68,67,1
6,1,44,大分県,109,114,-5,52,55,-3,57,59,-2
6,1,45,宮崎県,120,86,34,62,48,14,58,38,20
6,1,46,鹿児島県,204,166,38,111,93,18,93,73,20
6,1,47,沖縄県,311,358,-47,163,178,-15,148,180,-32
7,0,0,総数,30366,29080,1286,16435,15860,575,13931,13220,711
7,1,1,北海道,824,865,-41,463,509,-46,361,356,5
7,1,2,青森県,200,164,36,106,87,19,94,77,17
7,1,3,岩手県,152,115,37,74,69,5,78,46,32
7,1,4,宮城県,545,496,49,306,288,18,239,208,31
7,1,5,秋田県,124,136,-12,60,75,-15,64,61,3
7,1,6,山形県,145,109,36,69,58,11,76,51,25
7,1,7,福島県,340,291,49,182,161,21,158,130,28
7,1,8,茨城県,813,737,76,469,422,47,344,315,29
7,1,9,栃木県,432,366,66,234,215,19,198,151,47
7,1,10,群馬県,450,415,35,263,232,31,187,183,4
7,1,11,埼玉県,4915,5520,-605,2584,2936,-352,2331,2584,-253
7,1,12,千葉県,3945,3945,0,2115,2089,26,1830,1856,-26
7,1,14,神奈川県,6611,6726,-115,3501,3518,-17,3110,3208,-98
7,1,15,新潟県,405,349,56,221,195,26,184,154,30
7,1,16,富山県,189,101,88,102,57,45,87,44,43
7,1,17,石川県,182,143,39,93,84,9,89,59,30
7,1,18,福井県,93,58,35,53,34,19,40,24,16
7,1,19,山梨県,284,326,-42,175,184,-9,109,142,-33
7,1,20,長野県,434,495,-61,232,267,-35,202,228,-26
7,1,21,岐阜県,196,141,55,94,82,12,102,59,43
7,1,22,静岡県,738,654,84,382,348,34,356,306,50
7,1,23,愛知県,1388,1048,340,815,620,195,573,428,145
7,1,24,三重県,210,152,58,127,86,41,83,66,17
7,1,25,滋賀県,147,88,59,80,52,28,67,36,31
7,1,26,京都府,406,329,77,239,176,63,167,153,14
7,1,27,大阪府,1828,1547,281,1006,874,132,822,673,149
7,1,28,兵庫県,758,627,131,407,350,57,351,277,74
7,1,29,奈良県,131,104,27,73,57,16,58,47,11
7,1,30,和歌山県,78,51,27,49,32,17,29,19,10
7,1,31,鳥取県,53,40,13,33,25,8,20,15,5
7,1,32,島根県,53,42,11,31,20,11,22,22,0
7,1,33,岡山県,195,132,63,110,74,36,85,58,27
7,1,34,広島県,445,331,114,254,179,75,191,152,39
7,1,35,山口県,140,115,25,72,69,3,68,46,22
7,1,36,徳島県,65,47,18,35,31,4,30,16,14
7,1,37,香川県,128,113,15,78,65,13,50,48,2
7,1,38,愛媛県,175,116,59,93,64,29,82,52,30
7,1,39,高知県,76,57,19,40,36,4,36,21,15
7,1,40,福岡県,916,849,67,488,487,1,428,362,66
7,1,41,佐賀県,68,71,-3,43,39,4,25,32,-7
7,1,42,長崎県,137,148,-11,69,84,-15,68,64,4
7,1,43,熊本県,210,176,34,109,104,5,101,72,29
7,1,44,大分県,125,101,24,66,63,3,59,38,21
7,1,45,宮崎県,130,107,23,77,61,16,53,46,7
7,1,46,鹿児島県,167,178,-11,82,99,-17,85,79,6
7,1,47,沖縄県,320,359,-39,181,203,-22,139,156,-17
8,0,0,総数,29825,28392,1433,15858,15174,684,13967,13218,749
8,1,1,北海道,794,758,36,433,423,10,361,335,26
8,1,2,青森県,225,204,21,118,95,23,107,109,-2
8,1,3,岩手県,159,139,20,78,74,4,81,65,16
8,1,4,宮城県,526,426,100,286,230,56,240,196,44
8,1,5,秋田県,92,131,-39,47,76,-29,45,55,-10
8,1,6,山形県,132,105,27,68,54,14,64,51,13
8,1,7,福島県,294,258,36,166,128,38,128,130,-2
8,1,8,茨城県,775,825,-50,415,481,-66,360,344,16
8,1,9,栃木県,481,382,99,274,198,76,207,184,23
8,1,10,群馬県,459,444,15,259,269,-10,200,175,25
8,1,11,埼玉県,5023,5611,-588,2682,3021,-339,2341,2590,-249
8,1,12,千葉県,3840,3964,-124,1981,2072,-91,1859,1892,-33
8,1,14,神奈川県,6652,6944,-292,3412,3599,-187,3240,3345,-105
8,1,15,新潟県,328,297,31,162,147,15,166,150,16
8,1,16,富山県,144,117,27,79,58,21,65,59,6
8,1,17,石川県,189,109,80,96,60,36,93,49,44
8,1,18,福井県,91,50,41,50,28,22,41,22,19
8,1,19,山梨県,236,250,-14,141,131,10,95,119,-24
8,1,20,長野県,435,391,44,232,195,37,203,196,7
8,1,21,岐阜県,214,100,114,122,57,65,92,43,49
8,1,22,静岡県,764,691,73,431,354,77,333,337,-4
8,1,23,愛知県,1193,939,254,670,530,140,523,409,114
8,1,24,三重県,177,117,60,107,70,37,70,47,23
8,1,25,滋賀県,172,122,50,103,69,34,69,53,16
8,1,26,京都府,442,300,142,232,176,56,210,124,86
8,1,27,大阪府,1573,1236,337,888,675,213,685,561,124
8,1,28,兵庫県,744,528,216,377,271,106,367,257,110
8,1,29,奈良県,123,95,28,64,41,23,59,54,5
8,1,30,和歌山県,74,49,25,36,26,10,38,23,15
8,1,31,鳥取県,58,34,24,26,21,5,32,13,19
8,1,32,島根県,60,49,11,36,25,11,24,24,0
8,1,33,岡山県,226,146,80,122,84,38,104,62,42
8,1,34,広島県,396,262,134,209,141,68,187,121,66
8,1,35,山口県,181,122,59,97,68,29,84,54,30
8,1,36,徳島県,76,58,18,39,32,7,37,26,11
8,1,37,香川県,128,105,23,75,59,16,53,46,7
8,1,38,愛媛県,164,119,45,93,64,29,71,55,16
8,1,39,高知県,83,55,28,47,29,18,36,26,10
8,1,40,福岡県,895,755,140,447,430,17,448,325,123
8,1,41,佐賀県,82,58,24,43,35,8,39,23,16
8,1,42,長崎県,146,149,-3,85,85,0,61,64,-3
8,1,43,熊本県,210,147,63,121,83,38,89,64,25
8,1,44,大分県,137,89,48,70,53,17,67,36,31
8,1,45,宮崎県,134,114,20,80,67,13,54,47,7
8,1,46,鹿児島県,170,209,-39,78,115,-37,92,94,-2
8,1,47,沖縄県,328,339,-11,181,175,6,147,164,-17
9,0,0,総数,27962,25166,2796,15125,13675,1450,12837,11491,1346
9,1,1,北海道,836,606,230,428,363,65,408,243,165
9,1,2,青森県,179,149,30,91,81,10,88,68,20
9,1,3,岩手県,167,100,67,90,64,26,77,36,41
9,1,4,宮城県,513,330,183,287,186,101,226,144,82
9,1,5,秋田県,124,126,-2,66,63,3,58,63,-5
9,1,6,山形県,166,120,46,88,71,17,78,49,29
9,1,7,福島県,315,249,66,174,131,43,141,118,23
9,1,8,茨城県,745,695,50,426,413,13,319,282,37
9,1,9,栃木県,428,356,72,238,206,32,190,150,40
9,1,10,群馬県,432,408,24,261,252,9,171,156,15
9,1,11,埼玉県,4598,4990,-392,2439,2649,-210,2159,2341,-182
9,1,12,千葉県,3707,3594,113,1999,1888,111,1708,1706,2
9,1,14,神奈川県,5963,6108,-145,3227,3198,29,2736,2910,-174
9,1,15,新潟県,366,247,119,182,137,45,184,110,74
9,1,16,富山県,136,102,34,80,53,27,56,49,7
9,1,17,石川県,186,123,63,102,74,28,84,49,35
9,1,18,福井県,67,49,18,34,25,9,33,24,9
9,1,19,山梨県,219,249,-30,122,144,-22,97,105,-8
9,1,20,長野県,370,367,3,212,212,0,158,155,3
9,1,21,岐阜県,213,119,94,113,75,38,100,44,56
9,1,22,静岡県,738,604,134,397,334,63,341,270,71
9,1,23,愛知県,1243,805,438,688,463,225,555,342,213
9,1,24,三重県,181,144,37,99,73,26,82,71,11
9,1,25,滋賀県,128,107,21,72,60,12,56,47,9
9,1,26,京都府,368,334,34,198,183,15,170,151,19
9,1,27,大阪府,1478,1120,358,811,638,173,667,482,185
9,1,28,兵庫県,679,410,269,360,213,147,319,197,122
9,1,29,奈良県,108,81,27,56,43,13,52,38,14
9,1,30,和歌山県,71,40,31,39,24,15,32,16,16
9,1,31,鳥取県,58,28,30,27,19,8,31,9,22
9,1,32,島根県,59,59,0,29,29,0,30,30,0
9,1,33,岡山県,172,120,52,93,68,25,79,52,27
9,1,34,広島県,395,233,162,222,138,84,173,95,78
9,1,35,山口県,139,98,41,84,57,27,55,41,14
9,1,36,徳島県,67,37,30,36,23,13,31,14,17
9,1,37,香川県,99,68,31,53,41,12,46,27,19
9,1,38,愛媛県,154,83,71,91,52,39,63,31,32
9,1,39,高知県,79,47,32,34,28,6,45,19,26
9,1,40,福岡県,903,721,182,474,404,70,429,317,112
9,1,41,佐賀県,65,43,22,34,17,17,31,26,5
9,1,42,長崎県,140,111,29,67,59,8,73,52,21
9,1,43,熊本県,163,154,9,90,85,5,73,69,4
9,1,44,大分県,154,111,43,88,61,27,66,50,16
9,1,45,宮崎県,101,105,-4,63,61,2,38,44,-6
9,1,46,鹿児島県,197,142,55,97,75,22,100,67,33
9,1,47,沖縄県,293,274,19,164,142,22,129,132,-3
10,0,0,総数,30784,28652,2132,16302,15738,564,14482,12914,1568
10,1,1,北海道,870,747,123,439,428,11,431,319,112
10,1,2,青森県,199,174,25,108,95,13,91,79,12
10,1,3,岩手県,142,146,-4,84,74,10,58,72,-14
10,1,4,宮城県,586,443,143,328,279,49,258,164,94
10,1,5,秋田県,143,140,3,68,80,-12,75,60,15
10,1,6,山形県,143,122,21,75,58,17,68,64,4
10,1,7,福島県,321,227,94,178,124,54,143,103,40
10,1,8,茨城県,851,795,56,499,448,51,352,347,5
10,1,9,栃木県,433,382,51,237,204,33,196,178,18
10,1,10,群馬県,548,435,113,309,268,41,239,167,72
10,1,11,埼玉県,5148,5734,-586,2577,3092,-515,2571,2642,-71
10,1,12,千葉県,4003,4063,-60,2137,2222,-85,1866,1841,25
10,1,14,神奈川県,6633,6664,-31,3439,3468,-29,3194,3196,-2
10,1,15,新潟県,337,301,36,165,175,-10,172,126,46
10,1,16,富山県,147,116,31,78,60,18,69,56,13
10,1,17,石川県,162,140,22,94,88,6,68,52,16
10,1,18,福井県,87,55,32,50,35,15,37,20,17
10,1,19,山梨県,267,267,0,150,148,2,117,119,-2
10,1,20,長野県,459,456,3,249,239,10,210,217,-7
10,1,21,岐阜県,183,137,46,101,73,28,82,64,18
10,1,22,静岡県,754,635,119,413,359,54,341,276,65
10,1,23,愛知県,1392,955,437,785,579,206,607,376,231
10,1,24,三重県,173,125,48,101,74,27,72,51,21
10,1,25,滋賀県,152,109,43,82,62,20,70,47,23
10,1,26,京都府,455,412,43,237,235,2,218,177,41
10,1,27,大阪府,1825,1392,433,989,810,179,836,582,254
10,1,28,兵庫県,758,558,200,395,310,85,363,248,115
10,1,29,奈良県,109,73,36,56,37,19,53,36,17
10,1,30,和歌山県,65,66,-1,32,35,-3,33,31,2
10,1,31,鳥取県,72,41,31,36,19,17,36,22,14
10,1,32,島根県,69,63,6,42,32,10,27,31,-4
10,1,33,岡山県,214,124,90,116,71,45,98,53,45
10,1,34,広島県,438,288,150,267,169,98,171,119,52
