地域階層,地域コード,地域,都内間移動者数/総数(人),都内間移動者数/男(人),都内間移動者数/女(人),都の区部からの転入者数/総数(人),都の区部からの転入者数/男(人),都の区部からの転入者数/女(人),都の市町村部からの転入者数/総数(人),都の市町村部からの転入者数/男(人),都の市町村部からの転入者数/女(人),20大都市計からの転入者数/総数(人),20大都市計からの転入者数/男(人),20大都市計からの転入者数/女(人),20大都市計からの転入者数/札幌市/総数(人),20大都市計からの転入者数/札幌市/男(人),20大都市計からの転入者数/札幌市/女(人),20大都市計からの転入者数/仙台市/総数(人),20大都市計からの転入者数/仙台市/男(人),20大都市計からの転入者数/仙台市/女(人),20大都市計からの転入者数/さいたま市/総数(人),20大都市計からの転入者数/さいたま市/男(人),20大都市計からの転入者数/さいたま市/女(人),20大都市計からの転入者数/千葉市/総数(人),20大都市計からの転入者数/千葉市/男(人),20大都市計からの転入者数/千葉市/女(人),20大都市計からの転入者数/横浜市/総数(人),20大都市計からの転入者数/横浜市/男(人),20大都市計からの転入者数/横浜市/女(人),20大都市計からの転入者数/川崎市/総数(人),20大都市計からの転入者数/川崎市/男(人),20大都市計からの転入者数/川崎市/女(人),20大都市計からの転入者数/相模原市/総数(人),20大都市計からの転入者数/相模原市/男(人),20大都市計からの転入者数/相模原市/女(人),20大都市計からの転入者数/新潟市/総数(人),20大都市計からの転入者数/新潟市/男(人),20大都市計からの転入者数/新潟市/女(人),20大都市計からの転入者数/静岡市/総数(人),20大都市計からの転入者数/静岡市/男(人),20大都市計からの転入者数/静岡市/女(人),20大都市計からの転入者数/浜松市/総数(人),20大都市計からの転入者数/浜松市/男(人),20大都市計からの転入者数/浜松市/女(人),20大都市計からの転入者数/名古屋市/総数(人),20大都市計からの転入者数/名古屋市/男(人),20大都市計からの転入者数/名古屋市/女(人),20大都市計からの転入者数/京都市/総数(人),20大都市計からの転入者数/京都市/男(人),20大都市計からの転入者数/京都市/女(人),20大都市計からの転入者数/大阪市/総数(人),20大都市計からの転入者数/大阪市/男(人),20大都市計からの転入者数/大阪市/女(人),20大都市計からの転入者数/堺市/総数(人),20大都市計からの転入者数/堺市/男(人),20大都市計からの転入者数/堺市/女(人),20大都市計からの転入者数/神戸市/総数(人),20大都市計からの転入者数/神戸市/男(人),20大都市計からの転入者数/神戸市/女(人),20大都市計からの転入者数/岡山市/総数(人),20大都市計からの転入者数/岡山市/男(人),20大都市計からの転入者数/岡山市/女(人),20大都市計からの転入者数/広島市/総数(人),20大都市計からの転入者数/広島市/男(人),20大都市計からの転入者数/広島市/女(人),20大都市計からの転入者数/北九州市/総数(人),20大都市計からの転入者数/北九州市/男(人),20大都市計からの転入者数/北九州市/女(人),20大都市計からの転入者数/福岡市/総数(人),20大都市計からの転入者数/福岡市/男(人),20大都市計からの転入者数/福岡市/女(人),20大都市計からの転入者数/熊本市/総数(人),20大都市計からの転入者数/熊本市/男(人),20大都市計からの転入者数/熊本市/女(人)
2,13109,品川区,15491,7874,7617,13847,6976,6871,1644,898,746,7766,4137,3629,274,142,132,273,148,125,400,206,194,255,138,117,2097,1066,1031,1404,746,658,163,86,77,93,53,40,127,71,56,105,55,50,540,294,246,236,110,126,685,403,282,68,41,27,244,137,107,86,44,42,206,113,93,80,45,35,372,207,165,58,32,26
2,13110,目黒区,12880,6379,6501,11804,5834,5970,1076,545,531,4870,2464,2406,203,103,100,142,72,70,232,120,112,125,67,58,1451,731,720,1007,491,516,110,50,60,51,29,22,63,29,34,53,26,27,300,158,142,161,95,66,330,178,152,26,13,13,121,64,57,47,23,24,95,46,49,44,25,19,244,110,134,65,34,31
2,13111,大田区,17370,8803,8567,14885,7508,7377,2485,1295,1190,13920,7249,6671,564,291,273,516,282,234,574,296,278,437,226,211,4034,1987,2047,2770,1453,1317,301,159,142,158,85,73,212,118,94,155,84,71,850,478,372,408,212,196,964,539,425,118,62,56,393,201,192,138,72,66,316,179,137,184,92,92,684,357,327,144,76,68
2,13112,世田谷区,28029,13590,14439,22432,10960,11472,5597,2630,2967,13012,6415,6597,514,280,234,414,202,212,578,291,287,342,172,170,2823,1358,1465,3343,1643,1700,472,211,261,201,100,101,180,90,90,130,66,64,888,453,435,424,194,230,878,461,417,99,47,52,341,159,182,165,95,70,334,175,159,131,61,70,597,274,323,158,83,75
2,13113,渋谷区,13265,6727,6538,11770,5947,5823,1495,780,715,3406,1833,1573,174,86,88,102,50,52,234,110,124,100,58,42,741,417,324,603,324,279,106,48,58,54,26,28,47,21,26,37,27,10,237,135,102,140,75,65,295,175,120,14,8,6,93,48,45,55,34,21,77,34,43,30,14,16,228,119,109,39,24,15
2,13114,中野区,17119,8975,8144,14089,7445,6644,3030,1530,1500,5033,2776,2257,279,151,128,225,125,100,368,201,167,230,134,96,802,451,351,638,346,292,165,91,74,106,51,55,115,63,52,101,50,51,406,225,181,195,103,92,527,304,223,58,36,22,141,77,64,70,33,37,129,73,56,78,43,35,329,180,149,71,39,32
2,13115,杉並区,22137,10949,11188,16452,8212,8240,5685,2737,2948,6957,3604,3353,404,218,186,362,177,185,484,236,248,264,136,128,1114,583,531,878,454,424,223,99,124,183,97,86,152,75,77,142,75,67,569,310,259,297,148,149,652,365,287,75,41,34,198,99,99,111,53,58,210,114,96,105,46,59,447,232,215,87,46,41
2,13116,豊島区,15338,8136,7202,13789,7282,6507,1549,854,695,4162,2328,1834,194,114,80,211,106,105,515,281,234,146,88,58,708,399,309,514,264,250,130,63,67,74,35,39,102,68,34,58,30,28,297,169,128,144,77,67,367,217,150,44,29,15,140,89,51,61,33,28,92,54,38,60,43,17,251,143,108,54,26,28
2,13117,北区,13652,7094,6558,12226,6337,5889,1426,757,669,5092,2773,2319,231,136,95,252,142,110,1204,597,607,212,115,97,752,425,327,531,283,248,133,60,73,120,70,50,69,32,37,58,28,30,289,171,118,143,73,70,377,224,153,54,36,18,130,77,53,60,41,19,121,63,58,68,38,30,235,135,100,53,27,26
2,13118,荒川区,8967,4781,4186,8244,4379,3865,723,402,321,2504,1393,1111,109,55,54,104,54,50,325,169,156,118,66,52,449,256,193,277,158,119,71,41,30,49,27,22,35,20,15,32,21,11,171,101,70,92,47,45,268,144,124,28,11,17,76,47,29,45,31,14,64,34,30,25,16,9,138,80,58,28,15,13
2,13119,板橋区,18429,9385,9044,16104,8199,7905,2325,1186,1139,6652,3348,3304,370,183,187,308,171,137,821,397,424,283,138,145,1086,557,529,801,399,402,191,86,105,184,97,87,126,65,61,109,51,58,498,250,248,235,121,114,534,272,262,73,37,36,179,83,96,82,42,40,173,92,81,101,55,46,383,182,201,115,70,45
2,13120,練馬区,22024,10933,11091,17271,8658,8613,4753,2275,2478,7235,3622,3613,466,239,227,392,180,212,785,434,351,312,159,153,1103,557,546,845,411,434,187,77,110,150,73,77,153,75,78,123,58,65,576,285,291,258,135,123,559,288,271,68,36,32,247,121,126,120,61,59,239,125,114,105,45,60,446,210,236,101,53,48
2,13121,足立区,16072,8566,7506,14344,7602,6742,1728,964,764,6077,3361,2716,397,224,173,361,205,156,549,289,260,347,195,152,1020,562,458,695,380,315,193,99,94,169,80,89,122,66,56,91,48,43,451,259,192,214,110,104,496,288,208,69,42,27,158,89,69,95,50,45,144,80,64,87,49,38,335,197,138,84,49,35
2,13122,葛飾区,11955,6265,5690,10757,5653,5104,1198,612,586,4336,2301,2035,276,144,132,229,125,104,320,166,154,448,229,219,705,363,342,444,241,203,113,56,57,105,59,46,67,41,26,74,50,24,329,179,150,143,86,57,370,198,172,53,24,29,123,70,53,75,41,34,121,58,63,78,39,39,209,105,104,54,27,27
2,13123,江戸川区,14996,7916,7080,13277,7014,6263,1719,902,817,6593,3659,2934,373,196,177,315,186,129,370,206,164,776,411,365,1157,644,513,636,361,275,198,115,83,136,71,65,137,80,57,99,52,47,489,274,215,189,112,77,569,318,251,92,55,37,182,92,90,74,44,30,184,100,84,94,53,41,424,235,189,99,54,45
1,13200,市部,109262,55116,54146,47224,24020,23204,62038,31096,30942,35636,18955,16681,1582,848,734,1342,731,611,2032,1062,970,1087,616,471,7205,3841,3364,7494,3835,3659,4337,2198,2139,617,330,287,692,405,287,651,363,288,1920,1095,825,932,511,421,1494,814,680,251,142,109,734,398,336,388,206,182,748,406,342,383,211,172,1335,723,612,412,220,192
2,13201,八王子市,10092,5309,4783,3937,2106,1831,6155,3203,2952,4660,2499,2161,210,110,100,163,93,70,253,134,119,134,82,52,952,504,448,627,346,281,972,491,481,82,42,40,104,63,41,89,51,38,210,118,92,110,61,49,189,97,92,39,22,17,109,59,50,45,23,22,97,54,43,62,37,25,157,79,78,56,33,23
2,13202,立川市,6622,3341,3281,2168,1116,1052,4454,2225,2229,1457,785,672,72,39,33,67,31,36,113,58,55,53,28,25,274,150,124,246,134,112,109,56,53,25,17,8,41,19,22,40,20,20,98,56,42,59,31,28,65,40,25,7,5,2,19,13,6,17,7,10,32,18,14,25,17,8,60,31,29,35,15,20
2,13203,武蔵野市,5772,2848,2924,3318,1657,1661,2454,1191,1263,1447,755,692,62,38,24,120,69,51,112,61,51,39,23,16,223,109,114,186,95,91,51,25,26,43,19,24,39,19,20,32,16,16,119,67,52,59,39,20,90,43,47,7,2,5,63,26,37,17,10,7,53,32,21,22,15,7,89,42,47,21,5,16
2,13204,三鷹市,6525,3199,3326,3685,1803,1882,2840,1396,1444,1630,873,757,104,53,51,88,41,47,82,35,47,62,33,29,268,140,128,245,129,116,59,32,27,38,18,20,31,24,7,22,13,9,145,81,64,67,34,33,129,75,54,18,9,9,53,34,19,27,14,13,52,30,22,14,5,9,91,53,38,35,20,15
2,13205,青梅市,2807,1506,1301,714,396,318,2093,1110,983,445,261,184,16,9,7,16,8,8,46,21,25,27,17,10,84,54,30,85,50,35,43,19,24,12,9,3,7,4,3,4,3,1,30,22,8,12,6,6,36,23,13,1,-,1,7,4,3,0,-,-,6,4,2,2,2,-,8,5,3,3,1,2
2,13206,府中市,7163,3691,3472,3074,1630,1444,4089,2061,2028,2415,1335,1080,135,72,63,121,73,48,148,90,58,77,49,28,424,246,178,511,264,247,159,86,73,65,35,30,48,34,14,55,30,25,129,70,59,66,32,34,110,55,55,19,14,5,64,34,30,40,21,19,74,39,35,31,15,16,111,62,49,28,14,14
2,13207,昭島市,3290,1691,1599,784,401,383,2506,1290,1216,657,374,283,35,19,16,23,13,10,51,27,24,25,14,11,150,89,61,96,51,45,44,21,23,11,5,6,16,13,3,14,10,4,46,26,20,20,11,9,29,18,11,14,9,5,16,7,9,7,7,-,13,4,9,13,9,4,29,18,11,5,3,2
2,13208,調布市,7528,3633,3895,4472,2197,2275,3056,1436,1620,2266,1169,1097,111,58,53,115,60,55,100,48,52,64,31,33,367,191,176,541,263,278,159,67,92,38,24,14,43,21,22,38,21,17,151,83,68,75,43,32,151,83,68,14,5,9,47,28,19,27,17,10,56,34,22,20,9,11,125,68,57,24,15,9
2,13209,町田市,5187,2635,2552,3123,1561,1562,2064,1074,990,6965,3576,3389,126,64,62,91,43,48,143,80,63,90,45,45,2100,1082,1018,1774,879,895,1791,903,888,44,25,19,66,36,30,48,30,18,181,114,67,69,38,31,101,58,43,15,10,5,49,23,26,34,18,16,51,23,28,36,21,15,128,69,59,28,15,13
2,13210,小金井市,4245,2071,2174,2041,1023,1018,2204,1048,1156,1103,597,506,77,44,33,60,39,21,70,30,40,51,36,15,174,86,88,146,80,66,53,30,23,35,18,17,24,13,11,26,12,14,90,54,36,55,31,24,54,22,32,8,3,5,33,18,15,28,17,11,30,16,14,8,3,5,52,28,24,29,17,12
2,13211,小平市,5960,3031,2929,2480,1282,1198,3480,1749,1731,1287,711,576,75,38,37,66,39,27,134,67,67,52,29,23,213,129,84,197,106,91,52,29,23,27,13,14,28,17,11,43,22,21,88,44,44,55,28,27,80,46,34,9,6,3,43,31,12,16,9,7,28,18,10,20,11,9,44,18,26,17,11,6
2,13212,日野市,5049,2549,2500,1466,761,705,3583,1788,1795,1448,820,628,77,47,30,42,26,16,99,56,43,57,32,25,244,140,104,263,132,131,177,94,83,25,13,12,37,21,16,39,19,20,110,66,44,28,19,9,49,32,17,15,10,5,43,27,16,15,10,5,37,19,18,19,10,9,51,35,16,21,12,9
2,13213,東村山市,3791,1887,1904,1519,753,766,2272,1134,1138,699,394,305,44,28,16,50,30,20,96,50,46,44,24,20,100,59,41,113,62,51,25,11,14,11,6,5,15,11,4,16,9,7,43,21,22,13,6,7,25,16,9,6,4,2,13,6,7,8,5,3,20,11,9,9,2,7,33,23,10,15,10,5
2,13214,国分寺市,4801,2335,2466,2023,992,1031,2778,1343,1435,1202,586,616,64,29,35,63,25,38,93,42,51,51,23,28,181,102,79,222,109,113,81,43,38,25,13,12,19,9,10,21,9,12,102,54,48,35,19,16,67,28,39,11,3,8,28,16,12,20,7,13,25,12,13,17,8,9,62,30,32,15,5,10
2,13215,国立市,2550,1226,1324,840,434,406,1710,792,918,691,358,333,28,15,13,37,23,14,45,18,27,29,13,16,139,75,64,130,62,68,38,21,17,22,10,12,18,12,6,13,9,4,33,15,18,30,12,18,39,21,18,4,2,2,16,8,8,12,6,6,13,9,4,7,5,2,30,18,12,8,4,4
2,13218,福生市,1992,1060,932,369,198,171,1623,862,761,325,189,136,17,8,9,12,8,4,19,10,9,14,9,5,57,34,23,54,31,23,47,25,22,3,1,2,6,4,2,15,10,5,16,10,6,14,7,7,11,6,5,1,1,-,10,6,4,2,1,1,5,5,-,5,3,2,14,10,4,3,-,3
2,13219,狛江市,2165,1070,1095,1554,778,776,611,292,319,942,449,493,32,15,17,24,12,12,34,15,19,23,11,12,155,70,85,388,177,211,59,27,32,18,13,5,18,8,10,11,6,5,47,27,20,24,13,11,35,17,18,7,6,1,12,6,6,10,5,5,8,4,4,5,3,2,25,11,14,7,3,4
2,13220,東大和市,2569,1313,1256,559,297,262,2010,1016,994,320,166,154,12,6,6,7,3,4,31,18,13,12,9,3,59,24,35,48,26,22,29,13,16,4,1,3,4,1,3,7,5,2,24,12,12,17,8,9,13,9,4,7,3,4,6,4,2,5,2,3,13,8,5,9,7,2,9,4,5,4,3,1
2,13221,清瀬市,1844,907,937,999,501,498,845,406,439,381,191,190,24,12,12,16,11,5,63,30,33,9,5,4,74,32,42,58,29,29,16,9,7,17,8,9,9,4,5,12,6,6,13,10,3,8,3,5,7,4,3,4,2,2,12,4,8,3,2,1,10,5,5,5,3,2,18,11,7,3,1,2
2,13222,東久留米市,2868,1426,1442,1398,717,681,1470,709,761,524,267,257,34,13,21,18,11,7,48,27,21,21,10,11,88,43,45,89,44,45,26,11,15,7,4,3,11,8,3,8,4,4,38,22,16,14,9,5,23,8,15,4,1,3,17,8,9,9,5,4,18,8,10,12,7,5,29,17,12,10,7,3
2,13223,武蔵村山市,1672,859,813,249,123,126,1423,736,687,277,166,111,6,2,4,4,2,2,16,9,7,16,10,6,48,31,17,55,31,24,20,12,8,6,3,3,7,6,1,20,14,6,12,9,3,4,1,3,10,7,3,5,3,2,7,3,4,4,-,4,7,5,2,7,3,4,14,9,5,9,6,3
2,13224,多摩市,3444,1750,1694,1314,682,632,2130,1068,1062,1272,675,597,63,34,29,42,21,21,59,34,25,36,19,17,216,120,96,393,212,181,152,79,73,20,11,9,18,10,8,22,12,10,53,26,27,28,14,14,46,24,22,6,4,2,16,8,8,16,8,8,25,8,17,7,3,4,44,25,19,10,3,7
2,13225,稲城市,1958,1004,954,802,409,393,1156,595,561,1383,733,650,30,21,9,18,9,9,31,16,15,27,20,7,224,110,114,800,403,397,79,42,37,8,6,2,22,13,9,8,4,4,31,23,8,17,12,5,28,21,7,9,7,2,4,2,2,7,2,5,17,9,8,1,1,-,20,10,10,2,2,-
2,13227,羽村市,1477,825,652,250,150,100,1227,675,552,304,210,94,24,18,6,11,8,3,14,10,4,20,13,7,84,64,20,43,27,16,16,9,7,3,1,2,5,2,3,9,7,2,14,8,6,9,6,3,20,13,7,6,5,1,4,2,2,2,2,-,5,2,3,4,3,1,8,7,1,3,3,-
2,13228,あきる野市,1938,967,971,353,177,176,1585,790,795,295,164,131,10,5,5,15,8,7,18,15,3,15,8,7,73,40,33,44,24,20,39,19,20,2,1,1,14,10,4,5,3,2,23,17,6,5,3,2,3,2,1,2,-,2,5,1,4,1,1,-,5,2,3,2,1,1,10,2,8,4,2,2
2,13229,西東京市,5953,2983,2970,3733,1876,1857,2220,1107,1113,1241,652,589,94,51,43,53,25,28,114,61,53,39,23,16,234,117,117,140,69,71,41,24,17,26,14,12,42,23,19,34,18,16,74,40,34,39,25,14,84,46,38,13,6,7,38,20,18,16,7,9,48,27,21,21,8,13,74,38,36,17,10,7
1,13300,郡部,1529,764,765,248,127,121,1281,637,644,148,102,46,3,3,-,2,2,-,6,4,2,10,7,3,25,17,8,22,16,6,22,15,7,10,5,5,3,2,1,8,3,5,13,11,2,7,3,4,2,2,-,1,1,-,3,2,1,3,3,-,2,2,-,-,-,-,3,3,-,3,1,2
1,13350,島部,978,582,396,541,321,220,437,261,176,212,115,97,7,2,5,8,5,3,26,15,11,11,7,4,71,36,35,41,22,19,14,5,9,5,4,1,7,5,2,1,1,-,4,3,1,4,2,2,5,3,2,4,2,2,1,1,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都住民基本台帳人口移動報告/令和5年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第9表 各区市・郡部・島部別都内間移動者数及び20大都市からの転入者数(令和5年) 外国人含む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
