1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
43,2,5,1,9,0,調理食品,13836,4,11.8,8408,7.6,9699,5.5,10110,4.3,13263,4.6,13125,3.8,19856,4.6,22247,2.8
44,2,6,1,9,1,主食的調理食品,6111,1.8,13.7,3437,3.1,4545,2.6,4532,1.9,5875,2,6429,1.8,9244,2.1,8654,1.1
45,2,6,1,9,2,他の調理食品,7725,2.3,10.4,4970,4.5,5154,2.9,5578,2.4,7388,2.5,6696,1.9,10612,2.4,13593,1.7
46,2,5,1,10,0,飲料,5355,1.6,12.9,2899,2.6,3605,2,3918,1.7,5576,1.9,5683,1.6,7821,1.8,7924,1
47,2,6,1,10,1,茶類,1141,0.3,-2.3,603,0.5,793,0.4,847,0.4,1149,0.4,1268,0.4,1844,0.4,1471,0.2
48,2,6,1,10,2,コーヒー・ココア,1347,0.4,19,683,0.6,995,0.6,1058,0.5,1510,0.5,1588,0.5,1772,0.4,1809,0.2
49,2,6,1,10,3,他の飲料,2867,0.8,17.4,1612,1.5,1817,1,2013,0.9,2917,1,2827,0.8,4205,1,4644,0.6
50,2,5,1,11,0,酒類,3625,1.1,2.5,1481,1.3,1604,0.9,3658,1.6,4384,1.5,2811,0.8,6764,1.6,4657,0.6
51,2,5,1,12,0,外食,17949,5.2,44.9,3599,3.2,9468,5.3,10667,4.6,15191,5.2,21832,6.2,25267,5.8,39200,4.9
52,2,6,1,12,1,一般外食,16967,5,44.9,3446,3.1,8753,4.9,10018,4.3,14202,4.9,20907,6,23974,5.5,37077,4.7
53,2,6,1,12,2,学校給食,982,0.3,46.1,153,0.1,715,0.4,649,0.3,990,0.3,925,0.3,1293,0.3,2123,0.3
54,2,4,2,0,0,住居,29029,8.5,19,4471,4,8082,4.5,23503,10,15816,5.4,43524,12.5,27901,6.4,79124,10
55,2,5,2,1,0,家賃地代,17486,5.1,9.9,3996,3.6,7104,4,20796,8.9,13730,4.7,37675,10.8,13685,3.1,25097,3.2
56,2,5,2,2,0,設備修繕・維持,11542,3.4,36.1,475,0.4,978,0.6,2707,1.2,2087,0.7,5849,1.7,14216,3.3,54027,6.8
57,2,6,2,2,1,設備材料,2423,0.7,35.4,131,0.1,454,0.3,314,0.1,1422,0.5,3939,1.1,2104,0.5,8500,1.1
58,2,6,2,2,2,工事その他のサービス,9119,2.7,36.2,344,0.3,524,0.3,2393,1,665,0.2,1910,0.5,12112,2.8,45528,5.7
59,2,4,3,0,0,光熱・水道,31180,9.1,35.8,17459,15.7,24599,13.8,28726,12.3,35308,12.1,34718,9.9,36969,8.5,40196,5.1
60,2,5,3,1,0,電気代,13983,4.1,39.9,7620,6.9,10780,6.1,12099,5.2,16682,5.7,14480,4.1,16915,3.9,19171,2.4
61,2,5,3,2,0,ガス代,10882,3.2,39.2,6069,5.5,8848,5,11008,4.7,11332,3.9,13432,3.8,13184,3,12214,1.5
62,2,5,3,3,0,他の光熱,1055,0.3,-11.5,782,0.7,1265,0.7,1134,0.5,1453,0.5,1018,0.3,365,0.1,1363,0.2
63,2,5,3,4,0,上下水道料,5259,1.5,32.9,2988,2.7,3706,2.1,4484,1.9,5840,2,5788,1.7,6505,1.5,7449,0.9
64,2,4,4,0,0,家具・家事用品,10873,3.2,-9.7,3212,2.9,6865,3.9,7222,3.1,9680,3.3,12550,3.6,18430,4.2,17963,2.3
65,2,5,4,1,0,家庭用耐久財,3071,0.9,-27.9,176,0.2,1573,0.9,1579,0.7,2602,0.9,5181,1.5,4580,1.1,5719,0.7
66,2,6,4,1,1,家事用耐久財,1671,0.5,-31.9,57,0.1,1041,0.6,799,0.3,407,0.1,2650,0.8,3473,0.8,3225,0.4
67,2,6,4,1,2,冷暖房用器具,1029,0.3,-18.2,82,0.1,413,0.2,780,0.3,538,0.2,2097,0.6,952,0.2,2312,0.3
68,2,6,4,1,3,一般家具,370,0.1,-32.2,38,0,119,0.1,-,-,1657,0.6,434,0.1,155,0,181,0
69,2,5,4,2,0,室内装備・装飾品,367,0.1,-24.6,37,0,276,0.2,103,0,287,0.1,286,0.1,689,0.2,879,0.1
70,2,5,4,3,0,寝具類,818,0.2,-0.8,18,0,345,0.2,298,0.1,819,0.3,1231,0.4,1672,0.4,1323,0.2
71,2,5,4,4,0,家事雑貨,2777,0.8,5.3,722,0.7,2129,1.2,1914,0.8,2160,0.7,2330,0.7,5106,1.2,5030,0.6
72,2,5,4,5,0,家事用消耗品,3136,0.9,5.4,1900,1.7,2419,1.4,3108,1.3,3401,1.2,3143,0.9,4103,0.9,3859,0.5
73,2,5,4,6,0,家事サービス,704,0.2,-18.2,360,0.3,121,0.1,219,0.1,411,0.1,378,0.1,2281,0.5,1153,0.1
74,2,4,5,0,0,被服及び履物,13045,3.8,12,2460,2.2,5284,3,6222,2.7,8949,3.1,11304,3.2,21494,4.9,35279,4.5
75,2,5,5,1,0,和服,95,0,578.6,-,-,-,-,-,-,284,0.1,369,0.1,12,0,-,-
76,2,5,5,2,0,洋服,6807,2,29.1,556,0.5,1505,0.8,3373,1.4,4489,1.5,3883,1.1,11939,2.7,21723,2.7
77,2,6,5,2,1,男子用洋服,3094,0.9,53.9,179,0.2,309,0.2,1077,0.5,2131,0.7,952,0.3,4520,1,12392,1.6
78,2,6,5,2,2,婦人用洋服,3324,1,17,374,0.3,889,0.5,1995,0.9,2076,0.7,2415,0.7,6650,1.5,8798,1.1
79,2,6,5,2,3,子供用洋服,389,0.1,-7.4,4,0,307,0.2,301,0.1,282,0.1,516,0.1,770,0.2,533,0.1
80,2,5,5,3,0,シャツ・セーター類,1903,0.6,9.7,473,0.4,1595,0.9,1040,0.4,871,0.3,1630,0.5,3387,0.8,4281,0.5
81,2,6,5,3,1,男子用シャツ・セーター類,817,0.2,20.5,184,0.2,683,0.4,159,0.1,133,0,344,0.1,1813,0.4,2381,0.3
82,2,6,5,3,2,婦人用シャツ・セーター類,992,0.3,1.4,285,0.3,661,0.4,881,0.4,520,0.2,1259,0.4,1535,0.4,1786,0.2
83,2,6,5,3,3,子供用シャツ・セーター類,94,0,17.5,4,0,251,0.1,-,-,218,0.1,27,0,39,0,114,0
84,2,5,5,4,0,下着類,920,0.3,18.6,476,0.4,720,0.4,683,0.3,1199,0.4,969,0.3,1236,0.3,1148,0.1
85,2,6,5,4,1,男子用下着類,352,0.1,53.7,152,0.1,301,0.2,264,0.1,471,0.2,361,0.1,636,0.1,279,0
86,2,6,5,4,2,婦人用下着類,501,0.1,7.3,275,0.2,322,0.2,373,0.2,720,0.2,538,0.2,534,0.1,742,0.1
87,2,6,5,4,3,子供用下着類,67,0,-16.3,49,0,97,0.1,47,0,8,0,70,0,66,0,127,0
88,2,5,5,5,0,生地・糸類,122,0,0.8,13,0,103,0.1,69,0,41,0,140,0,118,0,365,0
89,2,5,5,6,0,他の被服,1165,0.3,11.7,497,0.4,791,0.4,281,0.1,996,0.3,2232,0.6,1466,0.3,1863,0.2
90,2,5,5,7,0,履物類,1623,0.5,-26,168,0.2,326,0.2,368,0.2,957,0.3,1731,0.5,2536,0.6,5222,0.7
91,2,5,5,8,0,被服関連サービス,410,0.1,-17,278,0.3,245,0.1,408,0.2,112,0,351,0.1,799,0.2,676,0.1
92,2,4,6,0,0,保健医療,15540,4.5,5.6,5716,5.2,9135,5.1,12578,5.4,15372,5.3,15847,4.5,22229,5.1,27679,3.5
93,2,5,6,1,0,医薬品,2837,0.8,16.6,1838,1.7,1737,1,2354,1,2506,0.9,3083,0.9,4241,1,4078,0.5
94,2,5,6,2,0,健康保持用摂取品,1320,0.4,-3.6,406,0.4,548,0.3,967,0.4,1417,0.5,852,0.2,2061,0.5,2970,0.4
95,2,5,6,3,0,保健医療用品・器具,3076,0.9,4.1,916,0.8,2165,1.2,2710,1.2,2603,0.9,4103,1.2,4193,1,4789,0.6
96,2,5,6,4,0,保健医療サービス,8307,2.4,4.3,2557,2.3,4684,2.6,6546,2.8,8846,3,7809,2.2,11733,2.7,15842,2
97,2,4,7,0,0,交通・通信,32163,9.4,-8.8,6773,6.1,17894,10.1,17477,7.5,32142,11,29190,8.4,39745,9.1,81148,10.2
98,2,5,7,1,0,交通,8018,2.3,44,659,0.6,4213,2.4,3761,1.6,6575,2.3,9446,2.7,10525,2.4,20713,2.6
99,2,5,7,2,0,自動車等関係費,11617,3.4,-28,1450,1.3,5472,3.1,4329,1.8,11775,4,5628,1.6,11408,2.6,40898,5.2
100,2,6,7,2,1,自動車等購入,2258,0.7,-34.7,-,-,-,-,-,-,-,-,-,-,-,-,15678,2
101,2,6,7,2,2,自転車購入,520,0.2,-24.1,-,-,-,-,243,0.1,1573,0.5,223,0.1,-,-,1589,0.2
102,2,6,7,2,3,自動車等維持,8839,2.6,-26.3,1450,1.3,5472,3.1,4086,1.7,10201,3.5,5405,1.5,11408,2.6,23631,3
103,2,5,7,3,0,通信,12529,3.7,-7.7,4664,4.2,8209,4.6,9387,4,13792,4.7,14116,4,17812,4.1,19537,2.5
104,2,4,8,0,0,教育,16465,4.8,26.7,44,0,1255,0.7,1181,0.5,3593,1.2,5176,1.5,13418,3.1,89831,11.3
105,2,5,8,1,0,授業料等,10581,3.1,19,44,0,967,0.5,595,0.3,1230,0.4,1218,0.3,6184,1.4,63308,8
106,2,5,8,2,0,教科書・学習参考教材,160,0,100,-,-,67,0,24,0,49,0,461,0.1,46,0,465,0.1
107,2,5,8,3,0,補習教育,5725,1.7,42.1,-,-,221,0.1,562,0.2,2313,0.8,3498,1,7188,1.7,26058,3.3
108,2,4,9,0,0,教養娯楽,42296,12.4,36.5,7695,6.9,15905,9,19966,8.5,29496,10.1,40299,11.5,58233,13.4,123330,15.6
109,2,5,9,1,0,教養娯楽用耐久財,3999,1.2,70.8,22,0,742,0.4,51,0,1582,0.5,4339,1.2,10319,2.4,10812,1.4
110,2,5,9,2,0,教養娯楽用品,7624,2.2,22.1,2384,2.1,2821,1.6,4368,1.9,8883,3.1,5595,1.6,12242,2.8,16945,2.1
111,2,5,9,3,0,書籍・他の印刷物,3733,1.1,3.6,2435,2.2,2150,1.2,3009,1.3,3483,1.2,5371,1.5,5147,1.2,4500,0.6
112,2,5,9,4,0,教養娯楽サービス,26940,7.9,43.3,2854,2.6,10192,5.7,12537,5.4,15548,5.3,24993,7.2,30526,7,91073,11.5
113,2,6,9,4,1,宿泊料,3937,1.1,50.7,-,-,822,0.5,2431,1,1338,0.5,4270,1.2,7292,1.7,11295,1.4
114,2,6,9,4,2,パック旅行費,6790,2,113.6,-,-,1199,0.7,956,0.4,563,0.2,3163,0.9,1013,0.2,40289,5.1
115,2,6,9,4,3,月謝類,3844,1.1,2.1,581,0.5,1632,0.9,1357,0.6,2683,0.9,5849,1.7,4296,1,10389,1.3
116,2,6,9,4,4,他の教養娯楽サービス,12369,3.6,33.7,2274,2.1,6539,3.7,7793,3.3,10964,3.8,11711,3.4,17924,4.1,29100,3.7
117,2,4,10,0,0,その他の消費支出,60390,17.6,-8.9,11363,10.2,22853,12.9,42139,18,51082,17.6,63565,18.2,72473,16.7,157834,19.9
118,2,5,10,1,0,諸雑費,25760,7.5,-23,5476,4.9,11768,6.6,17969,7.7,21357,7.3,25268,7.2,38444,8.8,59502,7.5
119,2,6,10,1,1,理美容サービス,3384,1,10.2,1206,1.1,1562,0.9,2534,1.1,2280,0.8,3956,1.1,5540,1.3,6554,0.8
120,2,6,10,1,2,理美容用品,4988,1.5,3.9,1850,1.7,2680,1.5,3648,1.6,6118,2.1,4556,1.3,6754,1.6,9240,1.2
121,2,6,10,1,3,身の回り用品,2262,0.7,51.2,200,0.2,971,0.5,2198,0.9,1971,0.7,2355,0.7,2843,0.7,5249,0.7
122,2,6,10,1,4,たばこ,912,0.3,-5.4,228,0.2,339,0.2,1464,0.6,1568,0.5,802,0.2,1673,0.4,314,0
123,2,6,10,1,5,他の諸雑費,14213,4.2,-38.5,1993,1.8,6215,3.5,8124,3.5,9420,3.2,13600,3.9,21634,5,38145,4.8
124,2,5,10,2,0,こづかい,6449,1.9,-5.7,367,0.3,631,0.4,6435,2.7,6120,2.1,5590,1.6,6496,1.5,19357,2.4
125,2,5,10,3,0,交際費,23576,6.9,2.3,5519,5,10454,5.9,17632,7.5,22353,7.7,29624,8.5,27246,6.3,51705,6.5
126,2,6,10,3,0,食料,4717,1.4,35.7,1175,1.1,1524,0.9,2994,1.3,4595,1.6,6225,1.8,5395,1.2,11004,1.4
127,2,6,10,3,0,家具・家事用品,230,0.1,-7.6,9,0,94,0.1,57,0,221,0.1,374,0.1,126,0,721,0.1
128,2,6,10,3,0,被服及び履物,279,0.1,-16.7,-,-,50,0,233,0.1,116,0,821,0.2,200,0,526,0.1
129,2,6,10,3,0,教養娯楽,1413,0.4,94.4,3,0,201,0.1,10,0,483,0.2,1914,0.5,263,0.1,6941,0.9
130,2,6,10,3,0,他の物品サービス,450,0.1,-16,38,0,35,0,228,0.1,64,0,79,0,428,0.1,2266,0.3
131,2,6,10,3,6,贈与金,11924,3.5,-6,3302,3,5720,3.2,9443,4,10129,3.5,14622,4.2,13198,3,26811,3.4
132,2,6,10,3,7,他の交際費,4562,1.3,-9.3,992,0.9,2829,1.6,4668,2,6747,2.3,5589,1.6,7636,1.8,3435,0.4
133,2,5,10,4,0,仕送り金,4605,1.3,54.4,-,-,-,-,103,0,1251,0.4,3082,0.9,287,0.1,27270,3.4
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,18556,5.4,18.4,317,0.3,2529,1.4,2157,0.9,5323,1.8,7979,2.3,16475,3.8,94297,11.9
136,2,3,0,0,0,（再掲）教養娯楽関係費,47860,14,39.3,8050,7.3,17909,10.1,21821,9.3,33258,11.4,47332,13.5,65345,15,139975,17.7
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,16530,4.8,5.5,3302,3,5720,3.2,9546,4.1,11380,3.9,17705,5.1,13485,3.1,54081,6.8
138,2,3,0,0,0,（再掲）経常消費支出,242131,70.7,11.1,102901,92.8,155636,87.6,200415,85.6,238799,82.1,271137,77.6,322502,74.2,400202,50.5
139,2,3,0,0,0,（再掲）情報通信関係費,16371,4.8,-0.1,6333,5.7,12330,6.9,13506,5.8,19362,6.7,18597,5.3,22263,5.1,21995,2.8
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,294651,86,9.2,103119,93,163864,92.2,201004,85.9,263807,90.7,288293,82.5,393331,90.5,643681,81.2
