1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
57,2,6,2,2,1,設備材料,1882,0.6,-34.5,221,0.2,682,0.4,273,0.1,990,0.4,123,0.0,708,0.2,10136,1.3
58,2,6,2,2,2,工事その他のサービス,13333,4.2,249.0,337,0.3,83,0.1,1667,0.8,1863,0.7,2782,0.9,6509,1.6,79805,10.4
59,2,4,3,0,0,光熱・水道,19347,6.1,-4.8,11474,11.3,16520,10.5,19453,9.4,19163,7.5,20158,6.4,21633,5.4,26916,3.5
60,2,5,3,1,0,電気代,8775,2.8,1.0,5446,5.4,7602,4.8,8323,4.0,9057,3.6,9142,2.9,10051,2.5,11754,1.5
61,2,5,3,2,0,ガス代,5466,1.7,-5.3,3053,3.0,4611,2.9,5788,2.8,6131,2.4,5730,1.8,6108,1.5,6807,0.9
62,2,5,3,3,0,他の光熱,50,0.0,8.7,83,0.1,26,0.0,29,0.0,88,0.0,15,0.0,12,0.0,97,0.0
63,2,5,3,4,0,上下水道料,5057,1.6,-13.1,2892,2.9,4282,2.7,5312,2.6,3887,1.5,5271,1.7,5462,1.4,8259,1.1
64,2,4,4,0,0,家具・家事用品,13375,4.2,4.8,3289,3.2,5818,3.7,7761,3.8,8489,3.3,18187,5.8,16869,4.2,33092,4.3
65,2,5,4,1,0,家庭用耐久財,4878,1.5,5.5,31,0.0,914,0.6,1820,0.9,699,0.3,6824,2.2,5347,1.3,18449,2.4
66,2,6,4,1,1,家事用耐久財,2351,0.7,16.5,-,-,615,0.4,1675,0.8,491,0.2,1218,0.4,575,0.1,11840,1.5
67,2,6,4,1,2,冷暖房用器具,2501,0.8,4.1,31,0.0,298,0.2,145,0.1,208,0.1,5607,1.8,4754,1.2,6453,0.8
68,2,6,4,1,3,一般家具,25,0.0,-87.8,-,-,-,-,-,-,-,-,-,-,18,0.0,157,0.0
69,2,5,4,2,0,室内装備・装飾品,551,0.2,-20.7,217,0.2,299,0.2,325,0.2,631,0.2,276,0.1,927,0.2,1173,0.2
70,2,5,4,3,0,寝具類,840,0.3,-20.1,74,0.1,400,0.3,353,0.2,437,0.2,3255,1.0,751,0.2,617,0.1
71,2,5,4,4,0,家事雑貨,2373,0.8,1.1,686,0.7,1249,0.8,1721,0.8,1949,0.8,2670,0.9,3257,0.8,5058,0.7
72,2,5,4,5,0,家事用消耗品,3839,1.2,10.3,2128,2.1,2881,1.8,3409,1.6,4207,1.7,4553,1.4,4878,1.2,4797,0.6
73,2,5,4,6,0,家事サービス,894,0.3,58.5,153,0.2,76,0.0,134,0.1,566,0.2,609,0.2,1710,0.4,2998,0.4
74,2,4,5,0,0,被服及び履物,11703,3.7,9.0,2198,2.2,4620,2.9,6687,3.2,12166,4.8,12916,4.1,13194,3.3,30001,3.9
75,2,5,5,1,0,和服,35,0.0,94.4,-,-,-,-,17,0.0,30,0.0,94,0.0,-,-,107,0.0
76,2,5,5,2,0,洋服,5011,1.6,30.5,635,0.6,1814,1.2,2450,1.2,6159,2.4,3921,1.2,5312,1.3,14708,1.9
77,2,6,5,2,1,男子用洋服,1564,0.5,38.0,135,0.1,457,0.3,408,0.2,1801,0.7,979,0.3,1213,0.3,5931,0.8
78,2,6,5,2,2,婦人用洋服,3112,1.0,28.8,396,0.4,1124,0.7,1962,0.9,4197,1.6,2361,0.8,3448,0.9,8247,1.1
79,2,6,5,2,3,子供用洋服,334,0.1,14.8,104,0.1,232,0.1,80,0.0,161,0.1,581,0.2,650,0.2,530,0.1
80,2,5,5,3,0,シャツ・セーター類,2549,0.8,7.2,559,0.6,871,0.6,1410,0.7,2137,0.8,3962,1.3,3550,0.9,5336,0.7
81,2,6,5,3,1,男子用シャツ・セーター類,864,0.3,4.6,183,0.2,272,0.2,293,0.1,740,0.3,1725,0.5,1313,0.3,1517,0.2
82,2,6,5,3,2,婦人用シャツ・セーター類,1529,0.5,9.1,336,0.3,543,0.3,1038,0.5,1309,0.5,2003,0.6,1790,0.4,3667,0.5
83,2,6,5,3,3,子供用シャツ・セーター類,157,0.0,4.7,40,0.0,56,0.0,79,0.0,88,0.0,234,0.1,446,0.1,152,0.0
84,2,5,5,4,0,下着類,1074,0.3,4.3,175,0.2,525,0.3,723,0.3,806,0.3,1290,0.4,1347,0.3,2641,0.3
85,2,6,5,4,1,男子用下着類,251,0.1,-11.3,105,0.1,90,0.1,303,0.1,336,0.1,217,0.1,424,0.1,279,0.0
86,2,6,5,4,2,婦人用下着類,729,0.2,9.8,62,0.1,320,0.2,395,0.2,393,0.2,970,0.3,728,0.2,2229,0.3
87,2,6,5,4,3,子供用下着類,94,0.0,11.9,8,0.0,114,0.1,25,0.0,76,0.0,104,0.0,195,0.0,133,0.0
88,2,5,5,5,0,生地・糸類,127,0.0,-0.8,102,0.1,66,0.0,124,0.1,186,0.1,67,0.0,24,0.0,317,0.0
89,2,5,5,6,0,他の被服,600,0.2,-14.5,231,0.2,287,0.2,400,0.2,602,0.2,754,0.2,777,0.2,1147,0.1
90,2,5,5,7,0,履物類,1432,0.5,-14.6,435,0.4,732,0.5,1074,0.5,1393,0.5,1614,0.5,1218,0.3,3547,0.5
91,2,5,5,8,0,被服関連サービス,874,0.3,-9.1,61,0.1,325,0.2,488,0.2,854,0.3,1215,0.4,967,0.2,2198,0.3
92,2,4,6,0,0,保健医療,16743,5.3,4.5,4503,4.4,7022,4.5,13694,6.6,11917,4.7,16516,5.3,23512,5.8,39852,5.2
93,2,5,6,1,0,医薬品,2950,0.9,14.4,1531,1.5,1901,1.2,3348,1.6,2413,0.9,3844,1.2,3016,0.7,4585,0.6
94,2,5,6,2,0,健康保持用摂取品,1569,0.5,34.0,111,0.1,254,0.2,754,0.4,2134,0.8,1491,0.5,4279,1.1,1935,0.3
95,2,5,6,3,0,保健医療用品・器具,2370,0.8,-14.3,1117,1.1,1072,0.7,2323,1.1,1704,0.7,3664,1.2,2985,0.7,3712,0.5
96,2,5,6,4,0,保健医療サービス,9855,3.1,3.6,1743,1.7,3794,2.4,7269,3.5,5665,2.2,7517,2.4,13232,3.3,29621,3.9
97,2,4,7,0,0,交通・通信,34703,11.0,2.7,5992,5.9,11492,7.3,15462,7.5,25429,10.0,29292,9.3,36813,9.2,117953,15.3
98,2,5,7,1,0,交通,8703,2.8,13.4,1387,1.4,1599,1.0,2785,1.3,3813,1.5,8119,2.6,9645,2.4,33453,4.3
99,2,5,7,2,0,自動車等関係費,14518,4.6,-7.7,1411,1.4,2598,1.6,3540,1.7,10185,4.0,8924,2.8,13014,3.2,61703,8.0
100,2,6,7,2,1,自動車等購入,3827,1.2,-39.8,-,-,-,-,-,-,-,-,-,-,-,-,26701,3.5
101,2,6,7,2,2,自転車購入,491,0.2,-52.7,-,-,-,-,-,-,-,-,-,-,224,0.1,3202,0.4
102,2,6,7,2,3,自動車等維持,10199,3.2,22.5,1411,1.4,2598,1.6,3540,1.7,10185,4.0,8924,2.8,12790,3.2,31800,4.1
103,2,5,7,3,0,通信,11482,3.6,10.3,3194,3.2,7294,4.6,9138,4.4,11431,4.5,12248,3.9,14154,3.5,22797,3.0
104,2,4,8,0,0,教育,14824,4.7,14.3,1063,1.0,1356,0.9,526,0.3,2850,1.1,7941,2.5,20970,5.2,68793,8.9
105,2,5,8,1,0,授業料等,11188,3.5,38.3,1063,1.0,1356,0.9,518,0.3,2802,1.1,3318,1.1,9334,2.3,59707,7.8
106,2,5,8,2,0,教科書・学習参考教材,72,0.0,0.0,-,-,-,-,8,0.0,48,0.0,121,0.0,121,0.0,205,0.0
107,2,5,8,3,0,補習教育,3564,1.1,-26.0,-,-,-,-,-,-,-,-,4503,1.4,11516,2.9,8882,1.2
108,2,4,9,0,0,教養娯楽,35437,11.2,20.9,7627,7.5,13517,8.6,20445,9.9,29969,11.8,30845,9.8,49574,12.3,95620,12.4
109,2,5,9,1,0,教養娯楽用耐久財,1936,0.6,44.9,53,0.1,245,0.2,532,0.3,1159,0.5,195,0.1,1310,0.3,10014,1.3
110,2,5,9,2,0,教養娯楽用品,7726,2.4,24.0,2507,2.5,3358,2.1,5731,2.8,8591,3.4,8759,2.8,9766,2.4,15294,2.0
111,2,5,9,3,0,書籍・他の印刷物,3158,1.0,-2.1,1066,1.1,1701,1.1,3041,1.5,2970,1.2,4108,1.3,4227,1.1,4968,0.6
112,2,5,9,4,0,教養娯楽サービス,22618,7.2,22.2,4001,4.0,8213,5.2,11141,5.4,17249,6.8,17783,5.7,34271,8.5,65343,8.5
113,2,6,9,4,1,宿泊料,2270,0.7,28.8,-,-,438,0.3,-,-,992,0.4,2740,0.9,2937,0.7,8752,1.1
114,2,6,9,4,2,パック旅行費,4818,1.5,234.8,223,0.2,1054,0.7,851,0.4,2577,1.0,1025,0.3,4391,1.1,23504,3.1
115,2,6,9,4,3,月謝類,3732,1.2,-23.9,1004,1.0,858,0.5,2763,1.3,3444,1.4,2912,0.9,7904,2.0,7192,0.9
116,2,6,9,4,4,他の教養娯楽サービス,11798,3.7,13.4,2775,2.7,5864,3.7,7527,3.6,10236,4.0,11106,3.5,19039,4.7,25895,3.4
117,2,4,10,0,0,その他の消費支出,47871,15.2,6.8,10652,10.5,20223,12.8,28257,13.7,40724,16.0,53588,17.1,73368,18.2,107762,14.0
118,2,5,10,1,0,諸雑費,25788,8.2,6.1,6211,6.1,14420,9.1,16683,8.1,20065,7.9,27554,8.8,36210,9.0,59085,7.7
119,2,6,10,1,1,理美容サービス,3733,1.2,0.8,1148,1.1,2227,1.4,3722,1.8,3709,1.5,4046,1.3,4901,1.2,6340,0.8
120,2,6,10,1,2,理美容用品,5987,1.9,19.5,1732,1.7,3816,2.4,4028,1.9,4514,1.8,6566,2.1,7351,1.8,13838,1.8
121,2,6,10,1,3,身の回り用品,2779,0.9,26.4,209,0.2,919,0.6,379,0.2,1323,0.5,1659,0.5,2302,0.6,12613,1.6
122,2,6,10,1,4,たばこ,1204,0.4,18.5,663,0.7,571,0.4,908,0.4,1573,0.6,1415,0.5,1867,0.5,1422,0.2
123,2,6,10,1,5,他の諸雑費,12085,3.8,-2.4,2458,2.4,6888,4.4,7646,3.7,8945,3.5,13867,4.4,19790,4.9,24872,3.2
124,2,5,10,2,0,こづかい,5768,1.8,0.7,520,0.5,1170,0.7,4410,2.1,5483,2.2,7784,2.5,8087,2.0,12858,1.7
125,2,5,10,3,0,交際費,14439,4.6,2.4,3922,3.9,4633,2.9,7163,3.5,14437,5.7,16541,5.3,22136,5.5,32093,4.2
126,2,6,10,3,0,食料,4944,1.6,33.9,1152,1.1,1641,1.0,3872,1.9,4104,1.6,5540,1.8,8460,2.1,9786,1.3
127,2,6,10,3,0,家具・家事用品,191,0.1,-17.0,88,0.1,29,0.0,58,0.0,79,0.0,49,0.0,667,0.2,366,0.0
128,2,6,10,3,0,被服及び履物,262,0.1,-6.1,-,-,21,0.0,173,0.1,230,0.1,110,0.0,869,0.2,426,0.1
129,2,6,10,3,0,教養娯楽,1214,0.4,70.3,-,-,85,0.1,96,0.0,474,0.2,409,0.1,1762,0.4,5651,0.7
130,2,6,10,3,0,他の物品サービス,241,0.1,-58.5,-,-,17,0.0,88,0.0,49,0.0,254,0.1,808,0.2,465,0.1
131,2,6,10,3,6,贈与金,3939,1.2,-6.2,878,0.9,1456,0.9,1184,0.6,4256,1.7,5374,1.7,4594,1.1,9795,1.3
132,2,6,10,3,7,他の交際費,3647,1.2,-17.2,1804,1.8,1384,0.9,1692,0.8,5246,2.1,4806,1.5,4975,1.2,5605,0.7
133,2,5,10,4,0,仕送り金,1877,0.6,166.2,-,-,-,-,-,-,739,0.3,1709,0.5,6934,1.7,3726,0.5
134,2,3,0,0,0,土地家屋購入,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,16603,5.3,9.3,1137,1.1,1784,1.1,882,0.4,4865,1.9,9461,3.0,27249,6.8,70548,9.2
136,2,3,0,0,0,（再掲）教養娯楽関係費,43080,13.6,27.0,9108,9.0,14343,9.1,22046,10.7,32419,12.7,37307,11.9,58091,14.4,127675,16.6
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,5816,1.8,18.6,878,0.9,1456,0.9,1184,0.6,4995,2.0,7083,2.3,11528,2.9,13521,1.8
138,2,3,0,0,0,（再掲）経常消費支出,223027,70.7,3.9,94637,93.4,142963,90.7,186025,89.9,210871,82.7,255049,81.2,292409,72.7,377524,49.1
139,2,3,0,0,0,（再掲）情報通信関係費,15823,5.0,5.2,5426,5.4,11068,7.0,14544,7.0,15436,6.1,17953,5.7,20661,5.1,25529,3.3
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,276621,87.6,8.8,98980,97.7,151563,96.1,195546,94.5,231946,91.0,285151,90.8,360867,89.7,609641,79.3
