1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
35,2,6,1,5,4,他の野菜・海藻加工品,1280,0.4,1380,0.5,1231,0.3,1071,0.5,566,0.4,1336,0.5,1109,0.3
36,2,5,1,6,0,果物,3483,1.1,4161,1.5,3355,0.9,2040,1.0,1067,0.8,2676,1.0,3311,0.8
37,2,6,1,6,1,生鮮果物,3104,1.0,3700,1.3,2979,0.8,1939,0.9,1031,0.7,2391,0.9,2907,0.7
38,2,6,1,6,2,果物加工品,379,0.1,460,0.2,376,0.1,101,0.0,37,0.0,285,0.1,404,0.1
39,2,5,1,7,0,油脂・調味料,4319,1.4,3850,1.3,4815,1.4,3535,1.7,2439,1.7,3823,1.4,4758,1.2
40,2,6,1,7,1,油脂,493,0.2,430,0.2,556,0.2,343,0.2,43,0.0,483,0.2,571,0.1
41,2,6,1,7,2,調味料,3826,1.2,3420,1.2,4259,1.2,3191,1.5,2396,1.7,3340,1.3,4187,1.1
42,2,5,1,8,0,菓子類,8269,2.6,6999,2.4,9582,2.7,5761,2.8,4427,3.2,7394,2.8,9627,2.4
43,2,5,1,9,0,調理食品,14037,4.5,13000,4.5,15219,4.3,10610,5.1,5430,3.9,13723,5.1,15966,4.0
44,2,6,1,9,1,主食的調理食品,6244,2.0,5918,2.1,6663,1.9,4079,2.0,2272,1.6,6691,2.5,6915,1.7
45,2,6,1,9,2,他の調理食品,7793,2.5,7082,2.5,8556,2.4,6532,3.2,3159,2.2,7032,2.6,9051,2.3
46,2,5,1,10,0,飲料,6193,2.0,5892,2.1,6635,1.9,5106,2.5,3460,2.5,5582,2.1,7149,1.8
47,2,6,1,10,1,茶類,1448,0.5,1601,0.6,1281,0.4,1639,0.8,572,0.4,1688,0.6,1590,0.4
48,2,6,1,10,2,コーヒー・ココア,1118,0.4,1176,0.4,1143,0.3,875,0.4,1063,0.8,933,0.3,1205,0.3
49,2,6,1,10,3,他の飲料,3627,1.2,3115,1.1,4212,1.2,2592,1.3,1825,1.3,2961,1.1,4354,1.1
50,2,5,1,11,0,酒類,4234,1.3,4507,1.6,3970,1.1,5285,2.6,2307,1.6,3930,1.5,3948,1.0
51,2,5,1,12,0,外食,17467,5.6,16314,5.7,19500,5.5,15191,7.3,15175,10.8,11707,4.4,23953,6.0
52,2,6,1,12,1,一般外食,16813,5.3,16314,5.7,18239,5.1,15191,7.3,15175,10.8,11580,4.3,23272,5.9
53,2,6,1,12,2,学校給食,654,0.2,-,-,1261,0.4,-,-,-,-,126,0.0,680,0.2
54,2,4,2,0,0,住居,23429,7.5,18055,6.3,28844,8.1,21199,10.3,4158,3.0,14208,5.3,32649,8.2
55,2,5,2,1,0,家賃地代,14273,4.5,12016,4.2,17485,4.9,11107,5.4,4158,3.0,6556,2.5,16060,4.1
56,2,5,2,2,0,設備修繕・維持,9156,2.9,6039,2.1,11359,3.2,10092,4.9,-,-,7652,2.9,16589,4.2
57,2,6,2,2,1,設備材料,1876,0.6,1854,0.6,661,0.2,6023,2.9,-,-,5993,2.2,1629,0.4
58,2,6,2,2,2,工事その他のサービス,7280,2.3,4185,1.5,10698,3.0,4069,2.0,-,-,1658,0.6,14960,3.8
59,2,4,3,0,0,光熱・水道,22891,7.3,21443,7.5,24786,7.0,18279,8.8,7200,5.1,20869,7.8,23865,6.0
60,2,5,3,1,0,電気代,10628,3.4,9843,3.4,11480,3.2,9908,4.8,3925,2.8,9216,3.5,10250,2.6
61,2,5,3,2,0,ガス代,6919,2.2,6446,2.3,7438,2.1,5316,2.6,2747,2.0,6927,2.6,7412,1.9
62,2,5,3,3,0,他の光熱,59,0.0,83,0.0,50,0.0,65,0.0,-,-,15,0.0,56,0.0
63,2,5,3,4,0,上下水道料,5285,1.7,5071,1.8,5818,1.6,2990,1.4,528,0.4,4711,1.8,6147,1.6
64,2,4,4,0,0,家具・家事用品,12672,4.0,13559,4.7,13358,3.8,7553,3.7,8874,6.3,9024,3.4,16626,4.2
65,2,5,4,1,0,家庭用耐久財,4500,1.4,5246,1.8,4677,1.3,969,0.5,896,0.6,3202,1.2,6395,1.6
66,2,6,4,1,1,家事用耐久財,2109,0.7,1159,0.4,3224,0.9,865,0.4,-,-,189,0.1,2784,0.7
67,2,6,4,1,2,冷暖房用器具,1143,0.4,2315,0.8,692,0.2,105,0.1,896,0.6,-,-,1507,0.4
68,2,6,4,1,3,一般家具,1248,0.4,1773,0.6,761,0.2,-,-,-,-,3013,1.1,2104,0.5
69,2,5,4,2,0,室内装備・装飾品,394,0.1,760,0.3,244,0.1,55,0.0,-,-,103,0.0,704,0.2
70,2,5,4,3,0,寝具類,583,0.2,827,0.3,475,0.1,514,0.2,1323,0.9,321,0.1,836,0.2
71,2,5,4,4,0,家事雑貨,2245,0.7,2060,0.7,2441,0.7,2331,1.1,3389,2.4,1754,0.7,2826,0.7
72,2,5,4,5,0,家事用消耗品,3747,1.2,3259,1.1,4207,1.2,3231,1.6,3265,2.3,3332,1.2,4019,1.0
73,2,5,4,6,0,家事サービス,1203,0.4,1406,0.5,1314,0.4,453,0.2,-,-,313,0.1,1846,0.5
74,2,4,5,0,0,被服及び履物,10726,3.4,10252,3.6,11933,3.4,8034,3.9,5618,4.0,7495,2.8,14388,3.6
75,2,5,5,1,0,和服,17,0.0,-,-,34,0.0,-,-,-,-,-,-,36,0.0
76,2,5,5,2,0,洋服,4007,1.3,3591,1.3,4565,1.3,2379,1.2,2777,2.0,3570,1.3,5428,1.4
77,2,6,5,2,1,男子用洋服,1623,0.5,1396,0.5,1963,0.6,1234,0.6,-,-,801,0.3,2043,0.5
78,2,6,5,2,2,婦人用洋服,1909,0.6,2195,0.8,1728,0.5,1037,0.5,1851,1.3,2515,0.9,2838,0.7
79,2,6,5,2,3,子供用洋服,475,0.2,-,-,875,0.2,108,0.1,926,0.7,254,0.1,546,0.1
80,2,5,5,3,0,シャツ・セーター類,2375,0.8,2394,0.8,2627,0.7,2372,1.1,125,0.1,812,0.3,3746,0.9
81,2,6,5,3,1,男子用シャツ・セーター類,884,0.3,1133,0.4,908,0.3,243,0.1,-,-,252,0.1,1615,0.4
82,2,6,5,3,2,婦人用シャツ・セーター類,1347,0.4,1261,0.4,1450,0.4,2129,1.0,125,0.1,488,0.2,1892,0.5
83,2,6,5,3,3,子供用シャツ・セーター類,143,0.0,-,-,269,0.1,-,-,-,-,72,0.0,238,0.1
84,2,5,5,4,0,下着類,1183,0.4,1267,0.4,1158,0.3,1094,0.5,509,0.4,1072,0.4,1416,0.4
85,2,6,5,4,1,男子用下着類,303,0.1,360,0.1,280,0.1,316,0.2,-,-,209,0.1,286,0.1
86,2,6,5,4,2,婦人用下着類,787,0.3,906,0.3,696,0.2,778,0.4,509,0.4,863,0.3,923,0.2
87,2,6,5,4,3,子供用下着類,93,0.0,-,-,182,0.1,-,-,-,-,-,-,207,0.1
88,2,5,5,5,0,生地・糸類,152,0.0,152,0.1,135,0.0,98,0.0,237,0.2,297,0.1,56,0.0
89,2,5,5,6,0,他の被服,770,0.2,738,0.3,814,0.2,698,0.3,793,0.6,681,0.3,894,0.2
90,2,5,5,7,0,履物類,1285,0.4,1130,0.4,1486,0.4,1222,0.6,1177,0.8,751,0.3,1444,0.4
91,2,5,5,8,0,被服関連サービス,938,0.3,980,0.3,1114,0.3,171,0.1,-,-,311,0.1,1368,0.3
92,2,4,6,0,0,保健医療,14371,4.6,16960,5.9,13262,3.7,10633,5.1,2779,2.0,13604,5.1,16090,4.1
93,2,5,6,1,0,医薬品,2743,0.9,3005,1.1,2445,0.7,1999,1.0,1047,0.7,4041,1.5,2350,0.6
94,2,5,6,2,0,健康保持用摂取品,1179,0.4,1090,0.4,1017,0.3,3150,1.5,136,0.1,995,0.4,1214,0.3
95,2,5,6,3,0,保健医療用品・器具,2386,0.8,1721,0.6,2956,0.8,1782,0.9,1596,1.1,2089,0.8,2948,0.7
96,2,5,6,4,0,保健医療サービス,8062,2.6,11145,3.9,6844,1.9,3701,1.8,-,-,6480,2.4,9578,2.4
97,2,4,7,0,0,交通・通信,33055,10.5,29260,10.2,38556,10.9,20230,9.8,14385,10.2,25180,9.4,46215,11.7
98,2,5,7,1,0,交通,9108,2.9,8284,2.9,11413,3.2,1998,1.0,6273,4.5,4125,1.5,15560,3.9
99,2,5,7,2,0,自動車等関係費,11362,3.6,9883,3.5,13290,3.7,8052,3.9,565,0.4,8291,3.1,16562,4.2
100,2,6,7,2,1,自動車等購入,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,2,6,7,2,2,自転車購入,1218,0.4,-,-,2116,0.6,2122,1.0,-,-,-,-,2763,0.7
102,2,6,7,2,3,自動車等維持,10145,3.2,9883,3.5,11174,3.1,5930,2.9,565,0.4,8291,3.1,13799,3.5
103,2,5,7,3,0,通信,12584,4.0,11093,3.9,13854,3.9,10181,4.9,7546,5.4,12763,4.8,14093,3.6
104,2,4,8,0,0,教育,18983,6.0,-,-,36616,10.3,2372,1.1,17458,12.4,1895,0.7,40326,10.2
105,2,5,8,1,0,授業料等,15956,5.1,-,-,30696,8.6,2230,1.1,16237,11.6,1895,0.7,34790,8.8
106,2,5,8,2,0,教科書・学習参考教材,125,0.0,-,-,227,0.1,142,0.1,1221,0.9,-,-,189,0.0
107,2,5,8,3,0,補習教育,2902,0.9,-,-,5693,1.6,-,-,-,-,-,-,5347,1.3
108,2,4,9,0,0,教養娯楽,38343,12.2,37105,13.0,39085,11.0,16375,7.9,13345,9.5,55504,20.8,46724,11.8
109,2,5,9,1,0,教養娯楽用耐久財,3093,1.0,1657,0.6,1334,0.4,680,0.3,1417,1.0,20957,7.8,1879,0.5
110,2,5,9,2,0,教養娯楽用品,9582,3.0,8915,3.1,9605,2.7,7003,3.4,9308,6.6,14022,5.3,12019,3.0
111,2,5,9,3,0,書籍・他の印刷物,3187,1.0,3726,1.3,2944,0.8,2527,1.2,518,0.4,3012,1.1,3286,0.8
112,2,5,9,4,0,教養娯楽サービス,22481,7.2,22807,8.0,25202,7.1,6165,3.0,2103,1.5,17514,6.6,29540,7.5
113,2,6,9,4,1,宿泊料,3170,1.0,3837,1.3,3665,1.0,50,0.0,-,-,-,-,5305,1.3
114,2,6,9,4,2,パック旅行費,2845,0.9,2732,1.0,3601,1.0,1301,0.6,1464,1.0,-,-,3112,0.8
115,2,6,9,4,3,月謝類,3523,1.1,1949,0.7,4722,1.3,-,-,-,-,5286,2.0,4459,1.1
116,2,6,9,4,4,他の教養娯楽サービス,12943,4.1,14289,5.0,13214,3.7,4814,2.3,640,0.5,12228,4.6,16664,4.2
117,2,4,10,0,0,その他の消費支出,43426,13.8,50006,17.5,42713,12.0,24505,11.9,14419,10.3,36186,13.6,50943,12.9
118,2,5,10,1,0,諸雑費,21809,6.9,18807,6.6,24089,6.8,16163,7.8,13552,9.6,24414,9.1,27806,7.0
119,2,6,10,1,1,理美容サービス,3929,1.3,3796,1.3,4233,1.2,2474,1.2,7256,5.2,3754,1.4,4796,1.2
120,2,6,10,1,2,理美容用品,4678,1.5,4554,1.6,5098,1.4,3562,1.7,5175,3.7,3526,1.3,6260,1.6
121,2,6,10,1,3,身の回り用品,1963,0.6,1773,0.6,2064,0.6,2830,1.4,417,0.3,1456,0.5,3090,0.8
122,2,6,10,1,4,たばこ,1145,0.4,892,0.3,1246,0.4,1809,0.9,-,-,1036,0.4,1217,0.3
123,2,6,10,1,5,他の諸雑費,10095,3.2,7791,2.7,11447,3.2,5488,2.7,704,0.5,14642,5.5,12443,3.1
124,2,5,10,2,0,こづかい,5004,1.6,6252,2.2,4754,1.3,335,0.2,-,-,5137,1.9,4848,1.2
125,2,5,10,3,0,交際費,14532,4.6,21091,7.4,12401,3.5,7622,3.7,867,0.6,6635,2.5,16052,4.1
126,2,6,10,3,0,食料,4997,1.6,8780,3.1,3101,0.9,2416,1.2,437,0.3,3317,1.2,4544,1.1
127,2,6,10,3,0,家具・家事用品,166,0.1,293,0.1,125,0.0,15,0.0,-,-,29,0.0,186,0.0
128,2,6,10,3,0,被服及び履物,705,0.2,838,0.3,800,0.2,116,0.1,287,0.2,70,0.0,1195,0.3
129,2,6,10,3,0,教養娯楽,686,0.2,637,0.2,716,0.2,679,0.3,-,-,704,0.3,766,0.2
130,2,6,10,3,0,他の物品サービス,557,0.2,648,0.2,657,0.2,-,-,-,-,33,0.0,1128,0.3
131,2,6,10,3,6,贈与金,3853,1.2,6201,2.2,3089,0.9,2214,1.1,-,-,394,0.1,3493,0.9
132,2,6,10,3,7,他の交際費,3568,1.1,3694,1.3,3913,1.1,2181,1.1,143,0.1,2089,0.8,4739,1.2
133,2,5,10,4,0,仕送り金,2080,0.7,3857,1.3,1470,0.4,385,0.2,-,-,-,-,2237,0.6
134,2,3,0,0,0,土地家屋購入,2179,-,6436,-,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,21623,6.9,2495,0.9,39928,11.2,3298,1.6,21666,15.4,2439,0.9,42930,10.8
136,2,3,0,0,0,（再掲）教養娯楽関係費,44280,14.1,42981,15.0,46773,13.2,17456,8.4,15240,10.8,55018,20.6,57479,14.5
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,5933,1.9,10058,3.5,4559,1.3,2599,1.3,-,-,394,0.1,5731,1.4
138,2,3,0,0,0,（再掲）経常消費支出,234815,74.7,226288,79.2,254697,71.7,173689,84.0,115701,82.4,197212,73.8,271866,68.6
139,2,3,0,0,0,（再掲）情報通信関係費,16318,5.2,15624,5.5,17553,4.9,12286,5.9,1571,1.1,14803,5.5,18320,4.6
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,284909,90.7,257677,90.2,321590,90.6,182942,88.5,136322,97.0,252451,94.5,357959,90.3
