,13109 ,28 ,品川,0 ,29 ,品川区,大崎５丁目１６番１,大崎５－５－１２,"857,000 ",,,426 ,,1.2,1,共同住宅,ＲＣ,5F,,中層マンション、事務所等が混在する住宅地域,区道,南西,5.9,,側道,南東,ガス,水道,下水道,五反田,,460 ,準工,準防,60 ,300 ,,,,,,,,,,
,13109 ,28 ,品川,0 ,30 ,品川区,西五反田５丁目１６０番１０,西五反田５－３１－６,"579,000 ",,,129 ,,1,2,共同住宅,ＲＣ,3F,,中低層の共同住宅、作業所等が混在する住宅地域,区道,北東,5.4,,,,ガス,水道,下水道,不動前,,500 ,準工,準防,60 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,1 ,品川区,西五反田１丁目２番３外,西五反田１－２－１０,"4,150,000 ","3,990,000 ",4.0 ,413 ,,1,1.2,店舗兼事務所,ＳＲＣ,8F,2B,中高層の店舗、事務所が建ち並ぶ商業地域,国道,北西,40,,側道,北東,ガス,水道,下水道,五反田,,70 ,商業,防火,80 ,800 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,2 ,品川区,大井３丁目４１４９番６外,大井３－４－８,"825,000 ","790,000 ",4.4 ,219 ,,2,1,店舗兼住宅,ＲＣ,4F,1B,高層店舗併用マンションが進出している商業地域,都道,東,21,,,,ガス,水道,下水道,大井町,,450 ,近商,防火,80 ,400 ,,,,,*,13109,5 ,12 ,"810,000 ",1.9 
〇,13109 ,28 ,品川,5 ,3 ,品川区,南大井３丁目６番２０,南大井３－３３－１０,"1,060,000 ","1,020,000 ",3.9 ,155 ,台形,1,1.2,事務所兼店舗,Ｓ,9F,,中高層事務所ビル、ホテル等が建ち並ぶ商業地域,区道,南,25,,,,ガス,水道,下水道,大森海岸,,130 ,商業,防火,80 ,600 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,4 ,品川区,上大崎２丁目５６１番１,上大崎２－１３－３５,"2,700,000 ","2,570,000 ",5.1 ,275 ,,1,1.5,店舗兼共同住宅,ＳＲＣ,9F,1B,中高層の店舗、事務所、共同住宅の多い商業地域,都道,南,30,,側道,西,ガス,水道,下水道,目黒,,200 ,商業,防火,80 ,600 ,,,,,*,13109,5 ,10 ,"2,660,000 ",1.5 
〇,13109 ,28 ,品川,5 ,5 ,品川区,二葉４丁目４０１番４,二葉４－１４－１２,"543,000 ","521,000 ",4.2 ,147 ,,1,2,工場、事務所兼住宅,ＲＣ,4F,,中小規模の店舗、事業所等が建ち並ぶ地域,区道,南,8,,,,ガス,水道,下水道,西大井,,500 ,近商,準防,80 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,6 ,品川区,南大井６丁目１番７,,"1,810,000 ","1,730,000 ",4.6 ,462 ,不整形,1,1.5,建築中,,,,中高層の店舗、事務所が建ち並ぶ駅前の商業地域,区道,西,0,駅前広場,背面道,,ガス,水道,下水道,大森,駅前広場接面,0 ,商業,防火,80 ,600 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,7 ,品川区,小山３丁目１３７番６外,小山３－２３－３,"1,280,000 ","1,220,000 ",4.9 ,201 ,,1,2.5,店舗兼住宅,ＳＲＣ,3F,1B,各種小売店舗が建ち並ぶ繁華な商業地域,区道,北東,7.3,,,,ガス,水道,下水道,武蔵小山,,220 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,8 ,品川区,東五反田１丁目１８番３外,東五反田１－１８－５,"1,330,000 ","1,260,000 ",5.6 ,204 ,,1,1.2,店舗、事務所兼共同住宅,ＳＲＣ,8F,1B,中高層の店舗付事務所等が多い商業地域,区道,北東,12,,背面道,,ガス,水道,下水道,五反田,,300 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,9 ,品川区,平塚２丁目６６０番２,平塚２－１６－３,"780,000 ","745,000 ",4.7 ,148 ,,1,2,店舗兼銀行,Ｓ,3F,,小売店舗、飲食店等が建ち並ぶ駅前の商業地域,区道,南,6.5,,,,ガス,水道,下水道,戸越銀座,近接,0 ,近商,準防,80 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,10 ,品川区,大崎１丁目３４２番１,大崎１－２－１,"2,330,000 ","2,140,000 ",8.9 ,"3,684 ",,1.5,1,事務所,Ｓ,15F,,大型の再開発ビルが建ち並ぶ大崎駅前の商業地域,区道,南東,12,,,,ガス,水道,下水道,大崎,,180 ,準工,防火,60 ,300 ,★,,,,,,,,,
〇,13109 ,28 ,品川,5 ,11 ,品川区,上大崎２丁目５７０番１,上大崎２－１３－４１,"1,100,000 ","1,050,000 ",4.8 ,126 ,,1.2,1,店舗,ＲＣ,4F,1B,小規模中層店舗、事務所等が建ち並ぶ商業地域,区道,西,5.7,,,,ガス,水道,下水道,目黒,,200 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,12 ,品川区,西五反田２丁目２９番９外,西五反田２－２９－９,"2,130,000 ","2,020,000 ",5.4 ,138 ,,1,1.5,店舗兼事務所,ＳＲＣ,11F,,中高層の事務所、共同住宅等が建ち並ぶ商業地域,都道,南西,40,,,,ガス,水道,下水道,五反田,,370 ,商業,防火,80 ,800 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,13 ,品川区,上大崎１丁目４４４番６８,上大崎１－１－１４,"1,190,000 ","1,120,000 ",6.3 ,210 ,,2,1,店舗兼共同住宅,ＳＲＣ,8F,,中高層の事務所、共同住宅が建ち並ぶ商業地域,都道,西,40,,,,ガス,水道,下水道,目黒,,500 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,14 ,品川区,東五反田２丁目４０１番８,東五反田２－４－５,"1,600,000 ","1,530,000 ",4.6 ,172 ,,1,2,店舗兼共同住宅,Ｓ,7F,,中高層の店舗、事務所ビルが建ち並ぶ商業地域,都道,北,22,,,,ガス,水道,下水道,五反田,,400 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,15 ,品川区,西中延１丁目１４番５,,"741,000 ","710,000 ",4.4 ,165 ,不整形,1.5,1,空地,,,,中層の店舗付マンション等が建ち並ぶ商業地域,都道,北西,25,,,,ガス,水道,下水道,戸越銀座,,650 ,商業,防火,80 ,400 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,16 ,品川区,北品川１丁目９３番４外,北品川１－２４－４,"694,000 ","664,000 ",4.5 ,99 ,,1,1.5,店舗兼共同住宅,Ｓ,4F,,中低層の店舗併用住宅等が建ち並ぶ近隣商業地域,区道,北東,7.2,,,,ガス,水道,下水道,北品川,,130 ,近商,防火,80 ,400 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,17 ,品川区,南大井３丁目１０５番２,南大井３－８－１７,"765,000 ","737,000 ",3.8 ,127 ,,1,2.5,倉庫、事務所兼住宅,ＲＣ,5F,,中層の店舗併用住宅が建ち並ぶ近隣商業地域,区道,北西,25,,,,ガス,水道,下水道,大森,,600 ,近商,防火,80 ,400 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,18 ,品川区,西五反田２丁目９番１,西五反田２－９－５,"1,630,000 ","1,550,000 ",5.2 ,248 ,,1,2,店舗兼共同住宅,ＳＲＣ,8F,1B,中高層の店舗、事務所ビルが建ち並ぶ商業地域,区道,南西,12,,側道,南東,ガス,水道,下水道,五反田,,300 ,商業,防火,80 ,700 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,19 ,品川区,小山３丁目１７５番８外,小山３－６－３,"659,000 ","631,000 ",4.4 ,296 ,,1,2,店舗、倉庫兼共同住宅,ＳＲＣ,4F,1B,中低層の店舗併用住宅が建ち並ぶ商業地域,区道,北東,7.3,,,,ガス,水道,下水道,武蔵小山,,180 ,近商,防火,80 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,20 ,品川区,大井１丁目１０番４,大井１－１０－３,"1,620,000 ","1,540,000 ",5.2 ,203 ,,1.5,1,店舗兼事務所,Ｓ,7F,,中層ビル、小売店舗が建ち並ぶ商業地域,都道,北,15,,,,ガス,水道,下水道,大井町,,180 ,商業,防火,80 ,600 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,21 ,品川区,中延６丁目７４８番７,中延６－３－８,"757,000 ","723,000 ",4.7 ,222 ,,1,1.5,店舗兼共同住宅,ＲＣ,5F,,店舗、共同住宅、事務所が建ち並ぶ商業地域,国道,東,25,,側道,南,ガス,水道,下水道,中延,,150 ,商業,防火,80 ,400 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,22 ,品川区,大崎３丁目２９６番１８,大崎３－６－９,"1,860,000 ","1,770,000 ",5.1 ,128 ,,1,2.5,事務所,ＳＲＣ,8F,,中高層の店舗、事務所、共同住宅の多い商業地域,区道,東,15,,,,ガス,水道,下水道,大崎,近接,0 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,23 ,品川区,東大井１丁目１２７２番１５,東大井１－２１－４,"748,000 ","715,000 ",4.6 ,412 ,台形,1,1.2,事務所、車庫,ＳＲＣ,8F,,高層の事務所、共同住宅等が建ち並ぶ商業地域,国道,北西,23,,,,ガス,水道,下水道,鮫洲,,200 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,24 ,品川区,南品川４丁目５３４番２０,南品川４－１７－６,"579,000 ","562,000 ",3.0 ,238 ,,1,3,事務所,ＲＣ,4F,1B,小売店舗、事業所等が混在する既成商業地域,区道,東,12,,,,ガス,水道,下水道,新馬場,,400 ,近商,準防,80 ,300 ,,,,,,,,,,
〇,13109 ,28 ,品川,5 ,25 ,品川区,東品川２丁目３番１４外,東品川２－２－２８,"1,150,000 ","1,100,000 ",4.5 ,"1,031 ",台形,2.5,1,事務所,ＳＲＣ,8F,,倉庫街から中高層ビルへ建替が進む商業地域,都道,南,30,,三方路,,ガス,水道,下水道,天王洲アイル,,400 ,商業,防火,80 ,500 ,,,,,,,,,,
,13109 ,28 ,品川,5 ,26 ,品川区,東大井５丁目５００番２３外,東大井５－１０－２,"1,060,000 ",,,188 ,台形,1.2,1,店舗兼共同住宅,Ｓ,8F,,店舗併用住宅、小売店舗等が建ち並ぶ商業地域,都道,南,15,,背面道,,ガス,水道,下水道,大井町,,300 ,商業,防火,80 ,600 ,,,,,,,,,,
,13109 ,28 ,品川,5 ,27 ,品川区,東中延２丁目４４５番３外,東中延２－１０－１９,"694,000 ",,,147 ,台形,1,1.5,店舗兼住宅,Ｓ,3F,,飲食店、小売店舗が建ち並ぶ近隣商業地域,区道,西,6,,,,ガス,水道,下水道,中延,,170 ,近商,防火,80 ,400 ,,,,,,,,,,
,13109 ,28 ,品川,5 ,28 ,品川区,荏原４丁目１５７番２外,荏原４－１－４,"926,000 ",,,145 ,,1,3,店舗兼共同住宅,Ｓ,8F,,幹線沿いの店舗兼共同住宅を主とする商業地域,都道,北東,15,,,,ガス,水道,下水道,武蔵小山,,400 ,商業,防火,80 ,500 ,,,,,,,,,,
〇,13109 ,28 ,品川,9 ,1 ,品川区,八潮２丁目７番,八潮２－７－８,"328,000 ","312,000 ",5.1 ,"51,048 ",,1.5,1,倉庫,Ｓ,2F,,大規模倉庫、港湾施設等が建ち並ぶ流通業務地域,都道,南西,50,,三方路,,ガス,水道,下水道,大井競馬場前,,"1,800 ",準工,準防,60 ,300 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,1 ,目黒区,柿の木坂２丁目１８９番９,柿の木坂２－２５－２５,"720,000 ","686,000 ",5.0 ,193 ,,1,1.5,住宅,Ｗ,2F,,低層一般住宅が多い閑静な住宅地域,区道,北,5.4,,,,ガス,水道,下水道,都立大学,,840 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,2 ,目黒区,中町１丁目９６６番５２,中町１－１１－１４,"549,000 ","523,000 ",5.0 ,114 ,台形,1,1.2,住宅,Ｓ,3F,,低層一般住宅と共同住宅が混在する住宅地域,区道,北西,5.1,,,,ガス,水道,下水道,祐天寺,,"1,200 ",１中専,準防,60 ,200 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,3 ,目黒区,中目黒３丁目５３５番２８,中目黒３－１４－７,"779,000 ","711,000 ",9.6 ,330 ,,1,2,住宅,ＲＣ,2F,,中規模一般住宅が多い閑静な住宅地域,区道,南東,5.5,,,,ガス,水道,下水道,中目黒,,760 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,4 ,目黒区,目黒本町５丁目１０５番１,目黒本町５－３１－８,"561,000 ","526,000 ",6.7 ,111 ,,1,1.5,住宅,Ｗ,2F,,一般住宅、アパート等が混在する住宅地域,区道,南,4,,,,ガス,水道,下水道,武蔵小山,,600 ,１住居,準防,60 ,200 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,5 ,目黒区,平町１丁目１７７番８,平町１－１４－１８,"754,000 ","711,000 ",6.0 ,198 ,,1,2,住宅,Ｗ,2F,,中規模一般住宅が建ち並ぶ閑静な住宅地域,区道,北西,6,,,,ガス,水道,下水道,都立大学,,450 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,6 ,目黒区,自由が丘２丁目１２３番８,自由が丘２－１８－２６,"990,000 ","917,000 ",8.0 ,308 ,,1,1,住宅,ＲＣ,2F,,中規模以上の一般住宅が多い閑静な住宅地域,区道,北,5.4,,,,ガス,水道,下水道,自由が丘,,500 ,１低専,準防,50 ,100 ,,,,,*,13110,0 ,1 ,"931,000 ",6.3 
〇,13110 ,28 ,目黒,0 ,7 ,目黒区,青葉台２丁目５２２番６９外,青葉台２－２－１７,"1,310,000 ","1,200,000 ",9.2 ,346 ,,1,1,住宅,ＲＣ,3F,1B,中規模以上の優良住宅が多い環境の良い住宅地域,区道,南西,5.4,,,,ガス,水道,下水道,神泉,,720 ,１低専,準防,50 ,100 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,8 ,目黒区,青葉台４丁目５８０番７,青葉台４－６－１９,"1,220,000 ","1,160,000 ",5.2 ,681 ,台形,1,2,共同住宅,ＲＣ,6F,1B,中規模マンションが多い幹線沿いの住宅地域,都道,北,20,,,,ガス,水道,下水道,神泉,,550 ,１住居,準防,60 ,300 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,9 ,目黒区,上目黒３丁目１７７２番１４,上目黒３－２４－１０,"761,000 ","691,000 ",10.1 ,161 ,,1,1.5,住宅,Ｗ,2F,,中規模一般住宅を中心とする高台の住宅地域,区道,北西,5.5,,,,ガス,水道,下水道,中目黒,,550 ,１低専,準防,60 ,150 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,10 ,目黒区,東山３丁目１０２１番２,東山３－１２－１０,"779,000 ","737,000 ",5.7 ,137 ,,1.2,1,住宅,Ｗ,2F,,一般住宅、共同住宅に、店舗も見られる住宅地域,区道,南西,7.2,,側道,南東,ガス,水道,下水道,池尻大橋,,280 ,１住居,準防,60 ,200 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,11 ,目黒区,三田２丁目１番６７,三田２－１８－８,"868,000 ","813,000 ",6.8 ,263 ,,1,2,住宅,Ｗ,2F,,中規模一般住宅、共同住宅が建ち並ぶ住宅地域,区道,北東,4.5,,,,ガス,水道,下水道,目黒,,800 ,１低専,準防,60 ,150 ,,,,,,,,,,
〇,13110 ,28 ,目黒,0 ,12 ,目黒区,祐天寺１丁目２１５３番２２,祐天寺１－２５－４,"697,000 ","643,000 ",8.4 ,203 ,,1,1.5,住宅,ＬＳ,2F,,一般住宅、共同住宅等が建ち並ぶ住宅地域,区道,北東,4.5,,,,ガス,水道,下水道,祐天寺,,400 ,１低専,準防,60 ,150 
