1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第４表　年間収入区分別及び住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　無職世帯　―　,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
20,1,4,0,0,0,世帯主の配偶者の収入,11654,21.6,61.7,13295,25.6,9954,47.9,10382,49.1,12229,18.8,14230,23.1,2483,3.8
21,1,6,0,0,0,うち女,11654,21.6,61.7,13295,25.6,9954,47.9,10382,49.1,12229,18.8,14230,23.1,2483,3.8
22,1,4,0,0,0,他の世帯員収入,16779,31.1,76.6,18703,36.1,2902,14.0,3561,16.9,21472,32.9,23561,38.2,6026,9.2
23,1,3,0,0,0,事業・内職収入,6448,11.9,33.2,6491,12.5,3266,15.7,4007,19.0,7524,11.5,7288,11.8,6206,9.4
24,1,4,0,0,0,家賃収入,2099,3.9,62.3,2474,4.8,2032,9.8,2493,11.8,2121,3.3,2468,4.0,-,-
25,1,4,0,0,0,他の事業収入,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-
26,1,4,0,0,0,内職収入,4349,8.1,28.1,4017,7.7,1234,5.9,1514,7.2,5403,8.3,4820,7.8,6206,9.4
27,1,3,0,0,0,他の経常収入,14601,27.1,18.3,10082,19.4,2756,13.3,1011,4.8,18606,28.5,12992,21.1,39853,60.6
28,1,4,0,0,0,財産収入,3518,6.5,91.0,4142,8.0,-,-,-,-,4708,7.2,5470,8.9,34,0.1
29,1,4,0,0,0,社会保障給付,10874,20.1,5.9,5695,11.0,1932,9.3,-,-,13898,21.3,7521,12.2,39819,60.5
30,1,5,0,0,0,公的年金給付,2692,5.0,-38.1,2943,5.7,773,3.7,-,-,3341,5.1,3888,6.3,1287,2.0
31,1,5,0,0,0,他の社会保障給付,8182,15.2,38.2,2751,5.3,1159,5.6,-,-,10557,16.2,3634,5.9,38532,58.6
32,1,4,0,0,0,仕送り金,208,0.4,-10.3,246,0.5,824,4.0,1011,4.8,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,4484,8.3,-33.8,3277,6.3,1884,9.1,2172,10.3,5363,8.2,3632,5.9,11229,17.1
34,1,3,0,0,0,受贈金,760,1.4,-73.0,781,1.5,999,4.8,1130,5.3,680,1.0,669,1.1,643,1.0
35,1,3,0,0,0,他の特別収入,3724,6.9,-5.8,2496,4.8,886,4.3,1041,4.9,4684,7.2,2963,4.8,10585,16.1
36,1,1,0,0,0,実収入以外の受取(繰入金を除く),297132,-,-20.7,307122,-,240238,-,261363,-,316373,-,321800,-,241301,-
37,1,2,0,0,0,預貯金引出,236542,-,-14.3,243722,-,200416,-,216386,-,248760,-,252491,-,196416,-
38,1,2,0,0,0,保険金,11306,-,-69.2,12459,-,11260,-,12473,-,11322,-,12455,-,4864,-
39,1,3,0,0,0,個人・企業年金保険金,8399,-,-49.3,9032,-,11260,-,12473,-,7431,-,7928,-,4864,-
40,1,3,0,0,0,他の保険金,2907,-,-85.6,3427,-,-,-,-,-,3891,-,4527,-,-,-
41,1,2,0,0,0,有価証券売却,2714,-,...,3200,-,-,-,-,-,3632,-,4226,-,-,-
42,1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,1,2,0,0,0,クレジット購入借入金,46515,-,-24.4,47677,-,28562,-,32504,-,52587,-,52545,-,40021,-
45,1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,1,2,0,0,0,実収入以外の受取のその他,53,-,-74.4,63,-,-,-,-,-,71,-,83,-,-,-
47,1,1,0,0,0,繰入金,103467,-,-26.2,103536,-,68009,-,66072,-,115458,-,115553,-,103080,-
48,2,0,0,0,0,支払,454564,-,-18.2,462507,-,329010,-,348567,-,497027,-,499056,-,410178,-
49,2,1,0,0,0,実支出,270482,-,-15.8,275122,-,221058,-,231794,-,287198,-,289020,-,244556,-
50,2,2,0,0,0,生計支出,239014,-,-18.1,240143,-,204604,-,213453,-,250652,-,248705,-,232706,-
51,2,3,0,0,0,消費支出,231253,100.0,-20.8,230993,100.0,173894,100.0,175778,100.0,250652,100.0,248705,100.0,232706,100.0
52,2,4,1,0,0,食料,84667,36.6,4.7,86331,37.4,64694,37.2,68827,39.2,91421,36.5,91946,37.0,75365,32.4
53,2,5,1,1,0,穀類,6487,2.8,-0.7,6539,2.8,6194,3.6,6714,3.8,6586,2.6,6483,2.6,6197,2.7
54,2,6,1,1,1,米類,1597,0.7,-8.5,1531,0.7,1351,0.8,1537,0.9,1681,0.7,1529,0.6,1968,0.8
55,2,6,1,1,2,パン,2889,1.2,-2.5,3028,1.3,2910,1.7,3171,1.8,2883,1.2,2982,1.2,2117,0.9
56,2,6,1,1,3,麺類,1623,0.7,8.1,1624,0.7,1627,0.9,1773,1.0,1621,0.6,1576,0.6,1614,0.7
57,2,6,1,1,4,他の穀類,378,0.2,18.9,356,0.2,306,0.2,234,0.1,402,0.2,395,0.2,498,0.2
58,2,5,1,2,0,魚介類,7721,3.3,5.8,7500,3.2,5753,3.3,6043,3.4,8387,3.3,7968,3.2,8954,3.8
59,2,6,1,2,1,生鮮魚介,4442,1.9,8.4,4150,1.8,3157,1.8,3400,1.9,4876,1.9,4391,1.8,6069,2.6
60,2,6,1,2,2,塩干魚介,1521,0.7,13.8,1569,0.7,1281,0.7,1418,0.8,1603,0.6,1617,0.7,1256,0.5
61,2,6,1,2,3,魚肉練製品,805,0.3,0.4,795,0.3,706,0.4,607,0.3,839,0.3,855,0.3,864,0.4
62,2,6,1,2,4,他の魚介加工品,953,0.4,-10.6,986,0.4,609,0.4,618,0.4,1069,0.4,1104,0.4,765,0.3
63,2,5,1,3,0,肉類,7406,3.2,19.8,7633,3.3,6219,3.6,6650,3.8,7808,3.1,7949,3.2,6135,2.6
64,2,6,1,3,1,生鮮肉,5882,2.5,23.0,6069,2.6,5227,3.0,5551,3.2,6103,2.4,6235,2.5,4836,2.1
65,2,6,1,3,2,加工肉,1524,0.7,8.9,1564,0.7,992,0.6,1098,0.6,1704,0.7,1714,0.7,1298,0.6
66,2,5,1,4,0,乳卵類,4592,2.0,10.2,4705,2.0,4000,2.3,3877,2.2,4793,1.9,4971,2.0,3961,1.7
67,2,6,1,4,1,牛乳,1425,0.6,11.9,1471,0.6,1009,0.6,936,0.5,1566,0.6,1643,0.7,1167,0.5
68,2,6,1,4,2,乳製品,2073,0.9,1.0,2119,0.9,2043,1.2,2018,1.1,2083,0.8,2151,0.9,1816,0.8
69,2,6,1,4,3,卵,1094,0.5,30.4,1115,0.5,949,0.5,923,0.5,1144,0.5,1177,0.5,978,0.4
70,2,5,1,5,0,野菜・海藻,12141,5.3,9.5,12335,5.3,10334,5.9,10811,6.2,12751,5.1,12825,5.2,11051,4.7
71,2,6,1,5,1,生鮮野菜,8474,3.7,8.7,8607,3.7,7373,4.2,7752,4.4,8846,3.5,8882,3.6,7728,3.3
72,2,6,1,5,2,乾物・海藻,846,0.4,12.1,837,0.4,535,0.3,573,0.3,952,0.4,922,0.4,898,0.4
73,2,6,1,5,3,大豆加工品,1382,0.6,13.8,1412,0.6,1175,0.7,1160,0.7,1453,0.6,1492,0.6,1219,0.5
74,2,6,1,5,4,他の野菜・海藻加工品,1438,0.6,8.9,1479,0.6,1251,0.7,1325,0.8,1501,0.6,1529,0.6,1206,0.5
75,2,5,1,6,0,果物,4298,1.9,5.6,4334,1.9,3247,1.9,3037,1.7,4654,1.9,4750,1.9,4100,1.8
76,2,6,1,6,1,生鮮果物,3878,1.7,4.4,3880,1.7,3027,1.7,2813,1.6,4166,1.7,4222,1.7,3866,1.7
77,2,6,1,6,2,果物加工品,420,0.2,18.6,454,0.2,221,0.1,224,0.1,488,0.2,528,0.2,234,0.1
78,2,5,1,7,0,油脂・調味料,3811,1.6,2.8,3804,1.6,3164,1.8,3493,2.0,4030,1.6,3903,1.6,3852,1.7
79,2,6,1,7,1,油脂,493,0.2,1.2,495,0.2,441,0.3,496,0.3,511,0.2,495,0.2,482,0.2
80,2,6,1,7,2,調味料,3318,1.4,3.0,3309,1.4,2723,1.6,2997,1.7,3519,1.4,3409,1.4,3370,1.4
81,2,5,1,8,0,菓子類,6508,2.8,1.6,6680,2.9,5193,3.0,5345,3.0,6953,2.8,7108,2.9,5548,2.4
82,2,5,1,9,0,調理食品,12064,5.2,-10.6,12379,5.4,9387,5.4,10248,5.8,12970,5.2,13063,5.3,10303,4.4
83,2,6,1,9,1,主食的調理食品,5201,2.2,-13.8,5422,2.3,4581,2.6,5035,2.9,5410,2.2,5546,2.2,3962,1.7
84,2,6,1,9,2,他の調理食品,6864,3.0,-7.9,6957,3.0,4806,2.8,5212,3.0,7559,3.0,7517,3.0,6341,2.7
85,2,5,1,10,0,飲料,5161,2.2,-6.6,5284,2.3,4545,2.6,5141,2.9,5369,2.1,5329,2.1,4476,1.9
86,2,6,1,10,1,茶類,1597,0.7,0.3,1663,0.7,1574,0.9,1787,1.0,1605,0.6,1623,0.7,1231,0.5
87,2,6,1,10,2,コーヒー・ココア,902,0.4,-13.2,948,0.4,755,0.4,860,0.5,952,0.4,977,0.4,643,0.3
88,2,6,1,10,3,他の飲料,2662,1.2,-8.0,2673,1.2,2216,1.3,2495,1.4,2813,1.1,2730,1.1,2602,1.1
89,2,5,1,11,0,酒類,4794,2.1,20.1,4652,2.0,3391,2.0,3831,2.2,5268,2.1,4915,2.0,5584,2.4
90,2,5,1,12,0,外食,9683,4.2,14.7,10485,4.5,3267,1.9,3638,2.1,11853,4.7,12681,5.1,5203,2.2
91,2,6,1,12,1,一般外食,9683,4.2,16.5,10485,4.5,3267,1.9,3638,2.1,11853,4.7,12681,5.1,5203,2.2
92,2,6,1,12,2,学校給食,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-
93,2,4,2,0,0,住居,14851,6.4,-65.4,10085,4.4,5660,3.3,2596,1.5,17959,7.2,12487,5.0,41486,17.8
94,2,5,2,1,0,家賃地代,6892,3.0,-18.6,837,0.4,3539,2.0,-,-,8026,3.2,1105,0.4,40733,17.5
95,2,5,2,2,0,設備修繕・維持,7959,3.4,-76.9,9248,4.0,2121,1.2,2596,1.5,9933,4.0,11382,4.6,753,0.3
96,2,6,2,2,1,設備材料,4108,1.8,-52.4,4834,2.1,820,0.5,999,0.6,5220,2.1,6064,2.4,50,0.0
97,2,6,2,2,2,工事その他のサービス,3851,1.7,-85.1,4414,1.9,1302,0.7,1597,0.9,4713,1.9,5318,2.1,703,0.3
98,2,4,3,0,0,光熱・水道,21612,9.3,-1.0,22589,9.8,19479,11.2,20430,11.6,22333,8.9,23281,9.4,16153,6.9
99,2,5,3,1,0,電気代,10713,4.6,-4.2,11418,4.9,9938,5.7,10909,6.2,10974,4.4,11582,4.7,6768,2.9
100,2,5,3,2,0,ガス代,5933,2.6,-16.1,6070,2.6,5081,2.9,5168,2.9,6221,2.5,6359,2.6,5168,2.2
101,2,5,3,3,0,他の光熱,43,0.0,-15.7,51,0.0,12,0.0,14,0.0,54,0.0,62,0.0,-,-
102,2,5,3,4,0,上下水道料,4923,2.1,39.4,5050,2.2,4449,2.6,4339,2.5,5084,2.0,5278,2.1,4217,1.8
103,2,4,4,0,0,家具・家事用品,8245,3.6,-8.1,7803,3.4,4976,2.9,5585,3.2,9350,3.7,8515,3.4,10714,4.6
104,2,5,4,1,0,家庭用耐久財,2115,0.9,-44.0,1868,0.8,844,0.5,1036,0.6,2545,1.0,2135,0.9,3499,1.5
105,2,6,4,1,1,家事用耐久財,1311,0.6,-20.2,949,0.4,844,0.5,1036,0.6,1469,0.6,921,0.4,3338,1.4
106,2,6,4,1,2,冷暖房用器具,804,0.3,-59.0,919,0.4,-,-,-,-,1076,0.4,1214,0.5,161,0.1
107,2,6,4,1,3,一般家具,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-
108,2,5,4,2,0,室内装備・装飾品,214,0.1,-7.0,233,0.1,253,0.1,310,0.2,201,0.1,208,0.1,107,0.0
109,2,5,4,3,0,寝具類,265,0.1,33.2,255,0.1,117,0.1,143,0.1,315,0.1,291,0.1,321,0.1
110,2,5,4,4,0,家事雑貨,1551,0.7,11.3,1478,0.6,1002,0.6,1138,0.6,1736,0.7,1588,0.6,1954,0.8
111,2,5,4,5,0,家事用消耗品,3379,1.5,17.3,3283,1.4,2643,1.5,2833,1.6,3629,1.4,3427,1.4,3919,1.7
112,2,5,4,6,0,家事サービス,720,0.3,47.5,686,0.3,118,0.1,125,0.1,924,0.4,866,0.3,913,0.4
113,2,4,5,0,0,被服及び履物,5527,2.4,-8.8,5744,2.5,2899,1.7,3236,1.8,6416,2.6,6548,2.6,4318,1.9
114,2,5,5,1,0,和服,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,2,5,5,2,0,洋服,1733,0.7,22.8,1807,0.8,559,0.3,662,0.4,2130,0.8,2175,0.9,1317,0.6
116,2,6,5,2,1,男子用洋服,597,0.3,11.0,704,0.3,120,0.1,148,0.1,758,0.3,882,0.4,-,-
117,2,6,5,2,2,婦人用洋服,1014,0.4,16.3,1074,0.5,439,0.3,514,0.3,1208,0.5,1253,0.5,678,0.3
118,2,6,5,2,3,子供用洋服,122,0.1,...,30,0.0,-,-,-,-,164,0.1,39,0.0,639,0.3
119,2,5,5,3,0,シャツ・セーター類,984,0.4,-32.2,1040,0.5,749,0.4,918,0.5,1063,0.4,1079,0.4,668,0.3
120,2,6,5,3,1,男子用シャツ・セーター類,234,0.1,-40.6,269,0.1,194,0.1,239,0.1,248,0.1,278,0.1,42,0.0
121,2,6,5,3,2,婦人用シャツ・セーター類,749,0.3,-29.1,771,0.3,554,0.3,680,0.4,815,0.3,801,0.3,625,0.3
122,2,6,5,3,3,子供用シャツ・セーター類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,2,5,5,4,0,下着類,689,0.3,27.4,742,0.3,806,0.5,988,0.6,650,0.3,662,0.3,396,0.2
124,2,6,5,4,1,男子用下着類,184,0.1,-41.4,217,0.1,179,0.1,219,0.1,186,0.1,216,0.1,-,-
125,2,6,5,4,2,婦人用下着類,497,0.2,118.9,525,0.2,627,0.4,769,0.4,454,0.2,446,0.2,345,0.1
126,2,6,5,4,3,子供用下着類,8,0.0,...,-,-,-,-,-,-,11,0.0,-,-,52,0.0
127,2,5,5,5,0,生地・糸類,240,0.1,196.3,268,0.1,74,0.0,88,0.1,297,0.1,326,0.1,85,0.0
128,2,5,5,6,0,他の被服,517,0.2,-22.1,533,0.2,306,0.2,320,0.2,588,0.2,601,0.2,427,0.2
129,2,5,5,7,0,履物類,901,0.4,-16.7,833,0.4,375,0.2,221,0.1,1079,0.4,1029,0.4,1280,0.6
130,2,5,5,8,0,被服関連サービス,464,0.2,-44.2,521,0.2,32,0.0,39,0.0,610,0.2,676,0.3,146,0.1
131,2,4,6,0,0,保健医療,13134,5.7,-31.7,13518,5.9,10988,6.3,11433,6.5,13859,5.5,14187,5.7,10986,4.7
132,2,5,6,1,0,医薬品,3072,1.3,14.8,3096,1.3,3688,2.1,3802,2.2,2864,1.1,2869,1.2,2942,1.3
133,2,5,6,2,0,健康保持用摂取品,1467,0.6,15.0,1488,0.6,1413,0.8,1239,0.7,1485,0.6,1568,0.6,1352,0.6
134,2,5,6,3,0,保健医療用品・器具,1324,0.6,-39.7,1379,0.6,926,0.5,1040,0.6,1459,0.6,1488,0.6,1018,0.4
135,2,5,6,4,0,保健医療サービス,7270,3.1,-44.4,7555,3.3,4960,2.9,5352,3.0,8051,3.2,8262,3.3,5674,2.4
136,2,4,7,0,0,交通・通信,22001,9.5,-45.4,21065,9.1,18227,10.5,15027,8.5,23277,9.3,23002,9.2,27228,11.7
137,2,5,7,1,0,交通,4268,1.8,-2.4,4145,1.8,3511,2.0,3638,2.1,4524,1.8,4308,1.7,4954,2.1
138,2,5,7,2,0,自動車等関係費,8710,3.8,-67.2,7816,3.4,8341,4.8,5488,3.1,8835,3.5,8563,3.4,13707,5.9
139,2,6,7,2,1,自動車等購入,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-
140,2,6,7,2,2,自転車購入,495,0.2,6.9,584,0.3,-,-,-,-,663,0.3,771,0.3,-,-
141,2,6,7,2,3,自動車等維持,8215,3.6,-21.9,7232,3.1,8341,4.8,5488,3.1,8172,3.3,7792,3.1,13707,5.9
142,2,5,7,3,0,通信,9023,3.9,-3.1,9104,3.9,6375,3.7,5901,3.4,9918,4.0,10132,4.1,8567,3.7
143,2,4,8,0,0,教育,75,0.0,-95.1,-,-,-,-,-,-,100,0.0,-,-,492,0.2
144,2,5,8,1,0,授業料等,75,0.0,-94.9,-,-,-,-,-,-,100,0.0,-,-,492,0.2
145,2,5,8,2,0,教科書・学習参考教材,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-
146,2,5,8,3,0,補習教育,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-
147,2,4,9,0,0,教養娯楽,22669,9.8,-15.6,23347,10.1,12729,7.3,12776,7.3,26031,10.4,26738,10.8,18877,8.1
148,2,5,9,1,0,教養娯楽用耐久財,839,0.4,-38.7,828,0.4,5,0.0,6,0.0,1121,0.4,1092,0.4,898,0.4
149,2,5,9,2,0,教養娯楽用品,5573,2.4,30.9,5570,2.4,5010,2.9,5108,2.9,5764,2.3,5719,2.3,5592,2.4
150,2,5,9,3,0,書籍・他の印刷物,3503,1.5,-17.1,3661,1.6,2451,1.4,2263,1.3,3859,1.5,4109,1.7,2623,1.1
151,2,5,9,4,0,教養娯楽サービス,12753,5.5,-25.0,13288,5.8,5263,3.0,5398,3.1,15287,6.1,15819,6.4,9765,4.2
152,2,6,9,4,1,宿泊料,1098,0.5,-67.9,1230,0.5,-,-,-,-,1469,0.6,1624,0.7,360,0.2
153,2,6,9,4,2,パック旅行費,361,0.2,-89.4,384,0.2,-,-,-,-,483,0.2,508,0.2,232,0.1
154,2,6,9,4,3,月謝類,1251,0.5,-15.3,1288,0.6,338,0.2,414,0.2,1560,0.6,1569,0.6,1042,0.4
155,2,6,9,4,4,他の教養娯楽サービス,10043,4.3,15.3,10385,4.5,4925,2.8,4984,2.8,11774,4.7,12118,4.9,8131,3.5
156,2,4,10,0,0,その他の消費支出,38474,16.6,-11.1,40511,17.5,34242,19.7,35868,20.4,39905,15.9,42001,16.9,27086,11.6
157,2,5,10,1,0,諸雑費,14905,6.4,-19.5,15064,6.5,11045,6.4,11587,6.6,16211,6.5,16180,6.5,14017,6.0
158,2,6,10,1,1,理美容サービス,3579,1.5,13.3,3720,1.6,2363,1.4,2573,1.5,3991,1.6,4087,1.6,2796,1.2
159,2,6,10,1,2,理美容用品,3137,1.4,-8.1,3054,1.3,2474,1.4,2702,1.5,3362,1.3,3167,1.3,3601,1.5
160,2,6,10,1,3,身の回り用品,1182,0.5,17.4,1312,0.6,510,0.3,599,0.3,1409,0.6,1540,0.6,456,0.2
161,2,6,10,1,4,たばこ,836,0.4,7.7,832,0.4,351,0.2,374,0.2,1000,0.4,979,0.4,861,0.4
162,2,6,10,1,5,他の諸雑費,6170,2.7,-39.3,6147,2.7,5347,3.1,5339,3.0,6449,2.6,6406,2.6,6302,2.7
163,2,5,10,2,0,こづかい,5514,2.4,52.1,5623,2.4,5501,3.2,3204,1.8,5519,2.2,6400,2.6,4904,2.1
164,2,5,10,3,0,交際費,15526,6.7,-21.2,16949,7.3,14604,8.4,17285,9.8,15837,6.3,16841,6.8,7574,3.3
165,2,6,10,3,0,食料,4665,2.0,10.9,4522,2.0,3651,2.1,4322,2.5,5008,2.0,4586,1.8,5467,2.3
166,2,6,10,3,0,家具・家事用品,209,0.1,294.3,246,0.1,3,0.0,4,0.0,279,0.1,324,0.1,-,-
167,2,6,10,3,0,被服及び履物,233,0.1,-49.3,266,0.1,130,0.1,159,0.1,268,0.1,300,0.1,51,0.0
168,2,6,10,3,0,教養娯楽,330,0.1,-77.7,367,0.2,553,0.3,678,0.4,254,0.1,267,0.1,121,0.1
169,2,6,10,3,0,他の物品サービス,203,0.1,-69.7,219,0.1,-,-,-,-,272,0.1,289,0.1,117,0.1
170,2,6,10,3,6,贈与金,6703,2.9,-22.4,7708,3.3,7934,4.6,9544,5.4,6287,2.5,7119,2.9,1090,0.5
171,2,6,10,3,7,他の交際費,3183,1.4,-24.0,3622,1.6,2333,1.3,2577,1.5,3470,1.4,3957,1.6,728,0.3
172,2,5,10,4,0,仕送り金,2529,1.1,73.3,2875,1.2,3091,1.8,3792,2.2,2338,0.9,2581,1.0,592,0.3
173,2,3,0,0,0,土地家屋購入,7761,-,...,9150,-,30710,-,37675,-,-,-,-,-,-,-
174,2,3,0,0,0,（再掲）教育関係費,1487,0.6,-26.4,1437,0.6,530,0.3,121,0.1,1810,0.7,1859,0.7,1767,0.8
175,2,3,0,0,0,（再掲）教養娯楽関係費,25433,11.0,-18.8,26044,11.3,14890,8.6,15321,8.7,28999,11.6,29483,11.9,22019,9.5
176,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,9232,4.0,-8.5,10583,4.6,11025,6.3,13336,7.6,8626,3.4,9700,3.9,1682,0.7
177,2,3,0,0,0,（再掲）経常消費支出,191800,82.9,-2.5,189813,82.2,149098,85.7,148187,84.3,206242,82.3,203165,81.7,202906,87.2
178,2,3,0,0,0,（再掲）情報通信関係費,13144,5.7,-2.4,13580,5.9,9131,5.3,8380,4.8,14502,5.8,15247,6.1,10712,4.6
179,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,207170,89.6,-7.2,210325,91.1,157208,90.4,159845,90.9,224067,89.4,226518,91.1,189538,81.4
180,2,2,0,0,0,その他の実支出,31468,-,6.7,34978,-,16454,-,18340,-,36546,-,40316,-,11851,-
181,2,3,0,0,0,直接税,24956,-,-4.9,28462,-,12373,-,13640,-,29212,-,33217,-,5363,-
182,2,4,0,0,0,勤労所得税,422,-,122.1,476,-,149,-,183,-,514,-,570,-,120,-
183,2,4,0,0,0,個人住民税,1066,-,-41.5,1189,-,592,-,726,-,1227,-,1338,-,378,-
184,2,4,0,0,0,他の税,23468,-,-3.1,26797,-,11632,-,12731,-,27471,-,31309,-,4865,-
185,2,3,0,0,0,社会保険料,6512,-,101.0,6516,-,4081,-,4700,-,7334,-,7099,-,6488,-
186,2,4,0,0,0,公的年金保険料,3711,-,167.7,3313,-,1494,-,1642,-,4461,-,3848,-,5940,-
187,2,4,0,0,0,健康保険料,2556,-,62.8,2935,-,2528,-,2997,-,2565,-,2915,-,435,-
188,2,4,0,0,0,介護保険料,126,-,-50.4,137,-,-,-,-,-,168,-,181,-,62,-
189,2,4,0,0,0,他の社会保険料,119,-,296.7,131,-,58,-,60,-,140,-,154,-,51,-
190,2,3,0,0,0,その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
191,2,1,0,0,0,実支出以外の支払(繰越金を除く),110650,-,-23.8,116119,-,74260,-,83322,-,122957,-,126639,-,80086,-
192,2,2,0,0,0,預貯金,58491,-,-25.5,62048,-,33074,-,34368,-,67086,-,70926,-,38612,-
193,2,2,0,0,0,保険料,5612,-,-32.6,3832,-,1389,-,1305,-,7040,-,4643,-,15559,-
194,2,3,0,0,0,個人・企業年金保険料,278,-,270.7,328,-,-,-,-,-,372,-,433,-,-,-
195,2,3,0,0,0,他の保険料,5334,-,-35.4,3504,-,1389,-,1305,-,6668,-,4209,-,15559,-
196,2,2,0,0,0,有価証券購入,134,-,-99.2,5,-,-,-,-,-,179,-,6,-,857,-
197,2,2,0,0,0,土地家屋借金返済,3772,-,-26.5,4447,-,2857,-,3505,-,4082,-,4750,-,-,-
198,2,2,0,0,0,他の借金返済,20,-,-98.0,-,-,-,-,-,-,26,-,-,-,129,-
199,2,2,0,0,0,クレジット購入借入金返済,41815,-,21.0,44844,-,36919,-,44117,-,43471,-,45077,-,24889,-
200,2,2,0,0,0,実支出以外の支払のその他,806,-,27.9,943,-,22,-,26,-,1072,-,1237,-,41,-
201,2,1,0,0,0,繰越金,73432,-,-17.4,71267,-,33692,-,33452,-,86872,-,83396,-,85535,-
202,3,0,0,0,0,可処分所得,22498,-,101.1,16871,-,4309,-,2792,-,28649,-,21387,-,53946,-
203,3,0,0,0,0,黒字,-208755,-,25.6,-214122,-,-169585,-,-172986,-,-222002,-,-227318,-,-178760,-
