1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,
2,,,,第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
32,1,1,郵便料,121,0.0,-9.0,133,0.1,201,0.1,45,0.0,101,0.0,180,0.0,40,0.0,141,0.0
33,1,1,固定電話通信料,1043,0.3,9.0,1688,0.8,882,0.3,1058,0.4,621,0.2,1058,0.3,1306,0.4,720,0.2
34,1,1,携帯電話通信料,9378,3.0,-7.3,4081,1.8,8878,3.5,11489,4.2,9731,3.1,9586,2.3,10768,3.0,11042,2.9
35,1,1,ＮＨＫ放送受信料,1545,0.5,-2.2,1034,0.5,355,0.1,2818,1.0,901,0.3,2784,0.7,2740,0.8,248,0.1
36,1,1,ケーブルテレビ放送受信料,1065,0.3,46.7,1168,0.5,1079,0.4,1170,0.4,869,0.3,1096,0.3,1457,0.4,630,0.2
37,1,1,他の放送受信料,186,0.1,124.1,294,0.1,60,0.0,103,0.0,339,0.1,67,0.0,275,0.1,160,0.0
38,1,1,国公立小学校,192,0.1,-32.4,12,0.0,279,0.1,154,0.1,306,0.1,97,0.0,408,0.1,81,0.0
39,1,1,国公立中学校,176,0.1,-20.0,135,0.1,342,0.1,-,-,545,0.2,134,0.0,59,0.0,-,-
40,1,1,国公立高校,38,0.0,...,135,0.1,-,-,-,-,-,-,132,0.0,-,-,-,-
41,1,1,国公立大学,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,1,たばこ,909,0.3,-6.8,268,0.1,780,0.3,1346,0.5,1317,0.4,1251,0.3,1002,0.3,396,0.1
43,2,0,準公共料金等,37734,11.9,15.1,16326,7.4,30950,12.3,25285,9.3,28949,9.2,95801,23.3,31562,8.7,35152,9.2
44,2,1,牛乳,1227,0.4,-8.9,1139,0.5,1127,0.4,1146,0.4,1206,0.4,1010,0.2,1605,0.4,1354,0.4
45,2,1,灯油,399,0.1,-37.0,510,0.2,374,0.1,358,0.1,832,0.3,195,0.0,391,0.1,126,0.0
46,2,1,プロパンガス,343,0.1,-33.9,530,0.2,440,0.2,446,0.2,586,0.2,400,0.1,-,-,-,-
47,2,1,理髪料,375,0.1,3.0,141,0.1,631,0.3,229,0.1,513,0.2,548,0.1,345,0.1,208,0.1
48,2,1,パーマネント代,102,0.0,-44.0,-,-,-,-,-,-,187,0.1,-,-,-,-,518,0.1
49,2,1,洗濯代,235,0.1,-27.5,-,-,32,0.0,275,0.1,140,0.0,203,0.0,643,0.2,353,0.1
50,2,1,新聞,1468,0.5,5.5,1424,0.6,612,0.2,1872,0.7,1855,0.6,970,0.2,1924,0.5,1627,0.4
51,2,1,私立小学校,181,0.1,...,-,-,-,-,1289,0.5,-,-,-,-,-,-,-,-
52,2,1,私立中学校,3727,1.2,2.4,-,-,4601,1.8,3650,1.3,-,-,4447,1.1,-,-,13307,3.5
53,2,1,私立高校,7433,2.3,200.6,-,-,1508,0.6,7180,2.6,2011,0.6,25035,6.1,4759,1.3,11609,3.0
54,2,1,私立大学,5895,1.9,119.0,-,-,-,-,-,-,-,-,40740,9.9,509,0.1,172,0.0
55,2,1,幼児教育費用,1803,0.6,-3.3,111,0.1,3808,1.5,1622,0.6,868,0.3,2190,0.5,3268,0.9,740,0.2
56,2,1,民営家賃,14439,4.6,-14.1,12471,5.6,17082,6.8,7219,2.7,20751,6.6,20062,4.9,18118,5.0,5139,1.3
57,2,1,地代,106,0.0,-80.3,-,-,735,0.3,-,-,-,-,-,-,-,-,-,-
