1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,
2,,,,,,,第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
33,2,6,1,5,2,乾物・海藻,711,0.2,695,0.2,735,0.2,927,0.4,773,0.2
34,2,6,1,5,3,大豆加工品,1165,0.3,1205,0.3,847,0.2,1133,0.5,1424,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1221,0.3,1273,0.3,967,0.3,1110,0.5,1027,0.2
36,2,5,1,6,0,果物,3594,1.0,3835,1.0,2112,0.6,3555,1.4,3270,0.7
37,2,6,1,6,1,生鮮果物,3145,0.9,3375,0.9,1820,0.5,3202,1.3,2435,0.5
38,2,6,1,6,2,果物加工品,448,0.1,461,0.1,291,0.1,353,0.1,834,0.2
39,2,5,1,7,0,油脂・調味料,4072,1.1,4159,1.1,3729,1.0,4244,1.7,3048,0.6
40,2,6,1,7,1,油脂,454,0.1,464,0.1,394,0.1,682,0.3,157,0.0
41,2,6,1,7,2,調味料,3618,1.0,3694,1.0,3335,0.9,3562,1.4,2891,0.6
42,2,5,1,8,0,菓子類,7891,2.1,7865,2.1,7874,2.2,6379,2.6,10245,2.1
43,2,5,1,9,0,調理食品,13334,3.6,13610,3.7,13171,3.6,9458,3.8,11543,2.3
44,2,6,1,9,1,主食的調理食品,6162,1.7,6198,1.7,6846,1.9,3768,1.5,5402,1.1
45,2,6,1,9,2,他の調理食品,7172,1.9,7412,2.0,6325,1.7,5690,2.3,6141,1.2
46,2,5,1,10,0,飲料,5845,1.6,5865,1.6,5741,1.6,5271,2.1,6362,1.3
47,2,6,1,10,1,茶類,1260,0.3,1241,0.3,1283,0.4,1514,0.6,1355,0.3
48,2,6,1,10,2,コーヒー・ココア,1214,0.3,1234,0.3,1124,0.3,758,0.3,1552,0.3
49,2,6,1,10,3,他の飲料,3371,0.9,3390,0.9,3334,0.9,2999,1.2,3455,0.7
50,2,5,1,11,0,酒類,3972,1.1,4125,1.1,2589,0.7,4029,1.6,5310,1.1
51,2,5,1,12,0,外食,17562,4.8,18009,4.9,17103,4.7,6608,2.7,20518,4.2
52,2,6,1,12,1,一般外食,17197,4.7,17632,4.8,16715,4.6,6608,2.7,20122,4.1
53,2,6,1,12,2,学校給食,365,0.1,377,0.1,387,0.1,-,-,395,0.1
54,2,4,2,0,0,住居,24730,6.7,13002,3.5,91715,25.3,34613,14.1,49523,10.0
55,2,5,2,1,0,家賃地代,14526,3.9,427,0.1,91541,25.3,34409,14.0,48514,9.8
56,2,5,2,2,0,設備修繕・維持,10204,2.8,12575,3.4,174,0.0,205,0.1,1009,0.2
57,2,6,2,2,1,設備材料,2004,0.5,2432,0.7,167,0.0,38,0.0,610,0.1
58,2,6,2,2,2,工事その他のサービス,8200,2.2,10142,2.7,6,0.0,167,0.1,399,0.1
59,2,4,3,0,0,光熱・水道,26718,7.2,27315,7.4,22872,6.3,27493,11.2,25657,5.2
60,2,5,3,1,0,電気代,13145,3.6,13570,3.7,10457,2.9,13953,5.7,11945,2.4
61,2,5,3,2,0,ガス代,8523,2.3,8617,2.3,7901,2.2,9013,3.7,7999,1.6
62,2,5,3,3,0,他の光熱,136,0.0,158,0.0,72,0.0,12,0.0,-,-
63,2,5,3,4,0,上下水道料,4913,1.3,4971,1.3,4442,1.2,4515,1.8,5713,1.2
64,2,4,4,0,0,家具・家事用品,11931,3.2,12140,3.3,8903,2.5,13019,5.3,16911,3.4
65,2,5,4,1,0,家庭用耐久財,4313,1.2,4326,1.2,1571,0.4,7469,3.0,10671,2.2
66,2,6,4,1,1,家事用耐久財,2663,0.7,3024,0.8,923,0.3,157,0.1,3135,0.6
67,2,6,4,1,2,冷暖房用器具,1411,0.4,1105,0.3,-,-,7312,3.0,7536,1.5
68,2,6,4,1,3,一般家具,238,0.1,196,0.1,648,0.2,-,-,-,-
69,2,5,4,2,0,室内装備・装飾品,700,0.2,735,0.2,795,0.2,86,0.0,197,0.0
70,2,5,4,3,0,寝具類,453,0.1,529,0.1,155,0.0,60,0.0,156,0.0
71,2,5,4,4,0,家事雑貨,2241,0.6,2302,0.6,2004,0.6,2012,0.8,1899,0.4
72,2,5,4,5,0,家事用消耗品,3490,0.9,3502,0.9,3466,1.0,2887,1.2,3948,0.8
73,2,5,4,6,0,家事サービス,735,0.2,746,0.2,913,0.3,505,0.2,40,0.0
74,2,4,5,0,0,被服及び履物,13042,3.5,13394,3.6,12824,3.5,4480,1.8,14774,3.0
75,2,5,5,1,0,和服,-,-,-,-,-,-,-,-,-,-
76,2,5,5,2,0,洋服,5115,1.4,5244,1.4,4506,1.2,1714,0.7,8021,1.6
77,2,6,5,2,1,男子用洋服,2427,0.7,2607,0.7,1836,0.5,280,0.1,2641,0.5
78,2,6,5,2,2,婦人用洋服,2213,0.6,2205,0.6,1829,0.5,1177,0.5,4956,1.0
79,2,6,5,2,3,子供用洋服,475,0.1,432,0.1,841,0.2,257,0.1,424,0.1
80,2,5,5,3,0,シャツ・セーター類,2984,0.8,3042,0.8,3646,1.0,631,0.3,1740,0.4
81,2,6,5,3,1,男子用シャツ・セーター類,1074,0.3,1101,0.3,1192,0.3,140,0.1,1014,0.2
82,2,6,5,3,2,婦人用シャツ・セーター類,1734,0.5,1776,0.5,2107,0.6,461,0.2,726,0.1
83,2,6,5,3,3,子供用シャツ・セーター類,177,0.0,165,0.0,347,0.1,30,0.0,-,-
84,2,5,5,4,0,下着類,943,0.3,994,0.3,720,0.2,764,0.3,745,0.2
85,2,6,5,4,1,男子用下着類,234,0.1,277,0.1,45,0.0,75,0.0,65,0.0
86,2,6,5,4,2,婦人用下着類,572,0.2,576,0.2,523,0.1,656,0.3,575,0.1
87,2,6,5,4,3,子供用下着類,137,0.0,141,0.0,153,0.0,33,0.0,105,0.0
88,2,5,5,5,0,生地・糸類,141,0.0,155,0.0,131,0.0,10,0.0,7,0.0
89,2,5,5,6,0,他の被服,782,0.2,783,0.2,880,0.2,462,0.2,758,0.2
90,2,5,5,7,0,履物類,1957,0.5,2030,0.5,1480,0.4,900,0.4,3120,0.6
91,2,5,5,8,0,被服関連サービス,1118,0.3,1147,0.3,1461,0.4,-,-,382,0.1
92,2,4,6,0,0,保健医療,17934,4.9,19059,5.1,13551,3.7,9215,3.7,16548,3.4
93,2,5,6,1,0,医薬品,3000,0.8,3103,0.8,1995,0.6,1987,0.8,5346,1.1
94,2,5,6,2,0,健康保持用摂取品,1540,0.4,1755,0.5,518,0.1,967,0.4,734,0.1
95,2,5,6,3,0,保健医療用品・器具,2931,0.8,2975,0.8,3024,0.8,1342,0.5,3288,0.7
96,2,5,6,4,0,保健医療サービス,10463,2.8,11226,3.0,8014,2.2,4919,2.0,7179,1.5
97,2,4,7,0,0,交通・通信,32649,8.8,32924,8.9,28129,7.8,30047,12.2,45584,9.2
98,2,5,7,1,0,交通,10655,2.9,10636,2.9,10179,2.8,2859,1.2,21475,4.4
99,2,5,7,2,0,自動車等関係費,11450,3.1,11879,3.2,7107,2.0,17202,7.0,10811,2.2
100,2,6,7,2,1,自動車等購入,-,-,-,-,-,-,-,-,-,-
101,2,6,7,2,2,自転車購入,864,0.2,958,0.3,-,-,2475,1.0,-,-
102,2,6,7,2,3,自動車等維持,10586,2.9,10921,2.9,7107,2.0,14726,6.0,10811,2.2
103,2,5,7,3,0,通信,10544,2.9,10409,2.8,10842,3.0,9986,4.1,13297,2.7
104,2,4,8,0,0,教育,55156,14.9,58243,15.7,31222,8.6,266,0.1,129560,26.3
105,2,5,8,1,0,授業料等,50942,13.8,54032,14.6,30860,8.5,73,0.0,106588,21.6
106,2,5,8,2,0,教科書・学習参考教材,547,0.1,532,0.1,30,0.0,-,-,3425,0.7
107,2,5,8,3,0,補習教育,3667,1.0,3680,1.0,332,0.1,193,0.1,19548,4.0
108,2,4,9,0,0,教養娯楽,36525,9.9,38918,10.5,28040,7.7,27081,11.0,20456,4.1
109,2,5,9,1,0,教養娯楽用耐久財,2301,0.6,2413,0.7,1995,0.6,101,0.0,3153,0.6
110,2,5,9,2,0,教養娯楽用品,9212,2.5,10046,2.7,7141,2.0,2335,0.9,4282,0.9
111,2,5,9,3,0,書籍・他の印刷物,3479,0.9,3718,1.0,2604,0.7,1472,0.6,3122,0.6
112,2,5,9,4,0,教養娯楽サービス,21533,5.8,22740,6.1,16300,4.5,23173,9.4,9900,2.0
113,2,6,9,4,1,宿泊料,2327,0.6,2707,0.7,986,0.3,67,0.0,585,0.1
114,2,6,9,4,2,パック旅行費,2106,0.6,1978,0.5,11,0.0,13872,5.6,-,-
115,2,6,9,4,3,月謝類,3497,0.9,3791,1.0,2577,0.7,1156,0.5,2367,0.5
116,2,6,9,4,4,他の教養娯楽サービス,13604,3.7,14265,3.8,12725,3.5,8079,3.3,6948,1.4
117,2,4,10,0,0,その他の消費支出,56706,15.4,59641,16.1,41890,11.6,24458,9.9,76073,15.4
118,2,5,10,1,0,諸雑費,29635,8.0,30938,8.3,25549,7.1,12643,5.1,31971,6.5
119,2,6,10,1,1,理美容サービス,4154,1.1,4206,1.1,3389,0.9,1336,0.5,8832,1.8
120,2,6,10,1,2,理美容用品,5028,1.4,5075,1.4,4689,1.3,2933,1.2,7445,1.5
121,2,6,10,1,3,身の回り用品,2781,0.8,2652,0.7,3936,1.1,1398,0.6,3154,0.6
122,2,6,10,1,4,たばこ,887,0.2,817,0.2,1164,0.3,1278,0.5,1132,0.2
123,2,6,10,1,5,他の諸雑費,16785,4.5,18188,4.9,12371,3.4,5698,2.3,11407,2.3
124,2,5,10,2,0,こづかい,5906,1.6,6382,1.7,1064,0.3,3934,1.6,14512,2.9
125,2,5,10,3,0,交際費,14259,3.9,15008,4.0,12158,3.4,7882,3.2,10949,2.2
126,2,6,10,3,0,食料,4457,1.2,4331,1.2,5507,1.5,2771,1.1,5484,1.1
127,2,6,10,3,0,家具・家事用品,157,0.0,119,0.0,498,0.1,-,-,-,-
128,2,6,10,3,0,被服及び履物,338,0.1,368,0.1,337,0.1,-,-,-,-
129,2,6,10,3,0,教養娯楽,956,0.3,996,0.3,1060,0.3,-,-,646,0.1
130,2,6,10,3,0,他の物品サービス,275,0.1,268,0.1,446,0.1,102,0.0,-,-
131,2,6,10,3,6,贈与金,3797,1.0,4274,1.2,1668,0.5,3928,1.6,-,-
132,2,6,10,3,7,他の交際費,4279,1.2,4653,1.3,2642,0.7,1081,0.4,4819,1.0
133,2,5,10,4,0,仕送り金,6905,1.9,7314,2.0,3119,0.9,-,-,18642,3.8
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,59297,16.1,62023,16.7,35835,9.9,680,0.3,144816,29.3
136,2,3,0,0,0,（再掲）教養娯楽関係費,42318,11.5,45074,12.2,33384,9.2,27144,11.0,25459,5.2
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,10702,2.9,11588,3.1,4787,1.3,3928,1.6,18642,3.8
138,2,3,0,0,0,（再掲）経常消費支出,241265,65.4,232637,62.8,291707,80.6,204301,83.1,303943,61.6
139,2,3,0,0,0,（再掲）情報通信関係費,15546,4.2,15628,4.2,16113,4.4,12600,5.1,14701,3.0
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,333636,90.4,346007,93.4,265617,73.4,207451,84.3,425256,86.2
