1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,,,,,
2,,,,第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,項目（0：世帯数等　1：公共料金等　2：準公共料金等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
4,項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
28,1,1,バス通学定期代,69,0.0,...,-,-,-,-,47,0.0,434,0.2,-,-,-,-,-,-
29,1,1,バス通勤定期代,201,0.1,390.2,-,-,152,0.1,-,-,421,0.2,-,-,-,-,829,0.1
30,1,1,タクシー代,511,0.2,69.8,417,0.4,253,0.2,128,0.1,265,0.1,451,0.1,602,0.2,1460,0.2
31,1,1,航空運賃,341,0.1,147.1,-,-,-,-,-,-,-,-,217,0.1,-,-,2170,0.3
32,1,1,郵便料,148,0.0,9.6,50,0.0,267,0.2,63,0.0,181,0.1,165,0.1,110,0.0,200,0.0
33,1,1,固定電話通信料,1385,0.5,-8.2,687,0.7,1345,0.8,1522,0.7,2105,0.8,976,0.3,1549,0.4,1506,0.2
34,1,1,携帯電話通信料,8130,2.7,-8.4,2982,2.9,5628,3.5,5927,2.9,8816,3.4,10099,3.3,12286,3.3,11080,1.7
35,1,1,ＮＨＫ放送受信料,1367,0.5,-15.2,153,0.1,939,0.6,1889,0.9,1926,0.8,1158,0.4,1810,0.5,1679,0.3
36,1,1,ケーブルテレビ放送受信料,1117,0.4,5.5,459,0.4,1040,0.6,1252,0.6,790,0.3,1050,0.3,1628,0.4,1595,0.2
37,1,1,他の放送受信料,218,0.1,81.7,-,-,155,0.1,268,0.1,138,0.1,271,0.1,201,0.1,487,0.1
38,1,1,国公立小学校,104,0.0,-42.5,31,0.0,6,0.0,107,0.1,6,0.0,40,0.0,244,0.1,291,0.0
39,1,1,国公立中学校,95,0.0,-18.8,-,-,1,0.0,160,0.1,184,0.1,31,0.0,259,0.1,32,0.0
40,1,1,国公立高校,20,0.0,...,-,-,-,-,72,0.0,-,-,-,-,71,0.0,-,-
41,1,1,国公立大学,-,-,-100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,1,1,たばこ,819,0.3,-5.1,200,0.2,735,0.5,586,0.3,681,0.3,1443,0.5,797,0.2,1273,0.2
43,2,0,準公共料金等,28226,9.5,12.9,4321,4.2,6797,4.2,21581,10.5,16972,6.6,28423,9.3,29355,7.8,89891,13.5
44,2,1,牛乳,1270,0.4,-4.8,829,0.8,1044,0.6,1249,0.6,1347,0.5,1369,0.4,1391,0.4,1655,0.2
45,2,1,灯油,560,0.2,-42.3,573,0.6,191,0.1,832,0.4,774,0.3,411,0.1,640,0.2,502,0.1
46,2,1,プロパンガス,537,0.2,-20.4,295,0.3,490,0.3,706,0.3,811,0.3,423,0.1,520,0.1,512,0.1
47,2,1,理髪料,424,0.1,14.9,274,0.3,146,0.1,318,0.2,424,0.2,801,0.3,695,0.2,307,0.0
48,2,1,パーマネント代,175,0.1,-20.8,266,0.3,116,0.1,121,0.1,51,0.0,478,0.2,-,-,190,0.0
49,2,1,洗濯代,275,0.1,0.7,174,0.2,115,0.1,259,0.1,214,0.1,390,0.1,207,0.1,565,0.1
50,2,1,新聞,2211,0.7,1.0,1637,1.6,1874,1.2,2584,1.3,1991,0.8,2381,0.8,2376,0.6,2628,0.4
51,2,1,私立小学校,212,0.1,...,-,-,-,-,-,-,795,0.3,-,-,685,0.2,-,-
52,2,1,私立中学校,2379,0.8,23.1,-,-,-,-,-,-,-,-,-,-,1939,0.5,14699,2.2
53,2,1,私立高校,4252,1.4,224.1,-,-,-,-,-,-,887,0.3,-,-,4323,1.1,24525,3.7
54,2,1,私立大学,3308,1.1,2.7,-,-,-,-,277,0.1,-,-,-,-,790,0.2,22069,3.3
55,2,1,幼児教育費用,1105,0.4,4.3,107,0.1,1368,0.8,1838,0.9,729,0.3,537,0.2,1425,0.4,1720,0.3
56,2,1,民営家賃,10986,3.7,0.9,-,-,835,0.5,13395,6.5,8571,3.4,21235,6.9,12635,3.3,20075,3.0
57,2,1,地代,534,0.2,-6.5,166,0.2,619,0.4,-,-,375,0.1,399,0.1,1729,0.5,443,0.1
