1,"東京都生計分析調査　令和 5年11月","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　","","","","","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","夫婦のみの世帯／実数（円）","夫婦のみの世帯／構成比（％）","夫婦と未婚の子供から成る世帯／実数（円）","夫婦と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／実数（円）","一人親と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）","その他／実数（円）","その他／構成比（％）","（再掲）夫婦共働き世帯／実数（円）","（再掲）夫婦共働き世帯／構成比（％）"
69,"2","5","4","2","0","室内装備・装飾品",1341,0.4,2182,0.7,1060,0.3,173,0.1,299,0.1,285,0.1,854,0.2
70,"2","5","4","3","0","寝具類",2141,0.7,4438,1.4,960,0.3,145,0.1,427,0.1,827,0.4,1370,0.4
71,"2","5","4","4","0","家事雑貨",2662,0.8,2074,0.6,3216,0.9,2689,1.1,7749,2.5,1836,0.8,2988,0.9
72,"2","5","4","5","0","家事用消耗品",3557,1.1,2976,0.9,4041,1.2,3462,1.4,7888,2.5,3230,1.4,3619,1.1
73,"2","5","4","6","0","家事サービス",871,0.3,1106,0.3,623,0.2,2132,0.9,43,0.0,296,0.1,630,0.2
74,"2","4","5","0","0","被服及び履物",16638,5.2,17392,5.4,18106,5.3,12552,5.1,14751,4.7,7524,3.3,20690,6.0
75,"2","5","5","1","0","和服",14,0.0,10,0.0,22,0.0,-,-,-,-,-,-,18,0.0
76,"2","5","5","2","0","洋服",7448,2.3,6381,2.0,9368,2.7,5129,2.1,6417,2.1,2237,1.0,10151,3.0
77,"2","6","5","2","1","男子用洋服",2936,0.9,2550,0.8,3974,1.2,141,0.1,-,-,554,0.2,4224,1.2
78,"2","6","5","2","2","婦人用洋服",3929,1.2,3776,1.2,4358,1.3,4946,2.0,6044,1.9,1096,0.5,4898,1.4
79,"2","6","5","2","3","子供用洋服",583,0.2,55,0.0,1037,0.3,42,0.0,373,0.1,587,0.3,1028,0.3
80,"2","5","5","3","0","シャツ・セーター類",3421,1.1,4554,1.4,3269,1.0,1458,0.6,706,0.2,912,0.4,4221,1.2
81,"2","6","5","3","1","男子用シャツ・セーター類",1021,0.3,1355,0.4,1018,0.3,-,-,-,-,396,0.2,1275,0.4
82,"2","6","5","3","2","婦人用シャツ・セーター類",2248,0.7,3199,1.0,1955,0.6,1458,0.6,706,0.2,458,0.2,2669,0.8
83,"2","6","5","3","3","子供用シャツ・セーター類",151,0.0,-,-,296,0.1,-,-,-,-,58,0.0,278,0.1
84,"2","5","5","4","0","下着類",1338,0.4,1211,0.4,1250,0.4,3207,1.3,4175,1.3,888,0.4,1309,0.4
85,"2","6","5","4","1","男子用下着類",425,0.1,498,0.2,393,0.1,549,0.2,-,-,191,0.1,281,0.1
86,"2","6","5","4","2","婦人用下着類",817,0.3,698,0.2,701,0.2,2658,1.1,4175,1.3,532,0.2,884,0.3
87,"2","6","5","4","3","子供用下着類",96,0.0,15,0.0,156,0.0,-,-,-,-,165,0.1,144,0.0
88,"2","5","5","5","0","生地・糸類",132,0.0,144,0.0,124,0.0,49,0.0,-,-,201,0.1,119,0.0
89,"2","5","5","6","0","他の被服",1122,0.4,926,0.3,1325,0.4,1169,0.5,2636,0.8,699,0.3,1268,0.4
90,"2","5","5","7","0","履物類",2175,0.7,2380,0.7,2189,0.6,1108,0.4,817,0.3,2057,0.9,3106,0.9
91,"2","5","5","8","0","被服関連サービス",988,0.3,1788,0.6,559,0.2,432,0.2,-,-,530,0.2,498,0.1
92,"2","4","6","0","0","保健医療",16277,5.1,18396,5.8,16567,4.8,8865,3.6,13245,4.2,11141,4.9,12780,3.7
93,"2","5","6","1","0","医薬品",2500,0.8,2661,0.8,2412,0.7,1721,0.7,615,0.2,2970,1.3,1775,0.5
94,"2","5","6","2","0","健康保持用摂取品",1137,0.4,1824,0.6,810,0.2,703,0.3,3086,1.0,446,0.2,930,0.3
95,"2","5","6","3","0","保健医療用品・器具",2484,0.8,1750,0.5,2956,0.9,2320,0.9,4467,1.4,2981,1.3,3091,0.9
96,"2","5","6","4","0","保健医療サービス",10156,3.2,12161,3.8,10387,3.0,4121,1.7,5077,1.6,4745,2.1,6984,2.0
97,"2","4","7","0","0","交通・通信",31575,9.9,30309,9.5,36234,10.6,15517,6.3,14484,4.6,21701,9.5,38288,11.2
98,"2","5","7","1","0","交通",7560,2.4,9132,2.9,7254,2.1,3681,1.5,10383,3.3,5638,2.5,8745,2.6
99,"2","5","7","2","0","自動車等関係費",12281,3.9,9610,3.0,16268,4.8,3771,1.5,1373,0.4,6589,2.9,17049,5.0
100,"2","6","7","2","1","自動車等購入",1609,0.5,-,-,3246,0.9,-,-,-,-,-,-,4276,1.2
101,"2","6","7","2","2","自転車購入",82,0.0,-,-,166,0.0,-,-,-,-,-,-,219,0.1
102,"2","6","7","2","3","自動車等維持",10589,3.3,9610,3.0,12856,3.8,3771,1.5,1373,0.4,6589,2.9,12554,3.7
103,"2","5","7","3","0","通信",11734,3.7,11567,3.6,12712,3.7,8066,3.3,2728,0.9,9473,4.2,12494,3.7
104,"2","4","8","0","0","教育",12615,4.0,-,-,23674,6.9,11884,4.8,17951,5.7,1101,0.5,18606,5.4
105,"2","5","8","1","0","授業料等",7403,2.3,-,-,13614,4.0,8731,3.5,5315,1.7,916,0.4,8944,2.6
106,"2","5","8","2","0","教科書・学習参考教材",58,0.0,-,-,116,0.0,-,-,-,-,-,-,110,0.0
107,"2","5","8","3","0","補習教育",5154,1.6,-,-,9944,2.9,3153,1.3,12636,4.0,185,0.1,9552,2.8
108,"2","4","9","0","0","教養娯楽",38055,11.9,40094,12.5,41370,12.1,21265,8.6,20089,6.4,22284,9.8,39419,11.5
109,"2","5","9","1","0","教養娯楽用耐久財",1711,0.5,1800,0.6,2073,0.6,205,0.1,1812,0.6,309,0.1,2277,0.7
110,"2","5","9","2","0","教養娯楽用品",8460,2.7,7801,2.4,9327,2.7,8340,3.4,8449,2.7,6134,2.7,8581,2.5
111,"2","5","9","3","0","書籍・他の印刷物",3703,1.2,4129,1.3,3646,1.1,2576,1.0,156,0.0,3083,1.4,3684,1.1
112,"2","5","9","4","0","教養娯楽サービス",24181,7.6,26365,8.3,26324,7.7,10144,4.1,9672,3.1,12758,5.6,24877,7.3
113,"2","6","9","4","1","宿泊料",3660,1.1,4666,1.5,3590,1.1,1285,0.5,-,-,1560,0.7,3673,1.1
114,"2","6","9","4","2","パック旅行費",2052,0.6,2503,0.8,2201,0.6,805,0.3,-,-,136,0.1,2337,0.7
115,"2","6","9","4","3","月謝類",4713,1.5,1995,0.6,7446,2.2,1835,0.7,5401,1.7,2334,1.0,6191,1.8
116,"2","6","9","4","4","他の教養娯楽サービス",13755,4.3,17200,5.4,13087,3.8,6219,2.5,4271,1.4,8729,3.8,12675,3.7
117,"2","4","10","0","0","その他の消費支出",52277,16.4,66096,20.7,45377,13.3,50864,20.6,97755,31.3,34257,15.1,53053,15.5
118,"2","5","10","1","0","諸雑費",26856,8.4,29571,9.3,26591,7.8,26638,10.8,27399,8.8,16471,7.2,29753,8.7
119,"2","6","10","1","1","理美容サービス",4512,1.4,4625,1.4,4229,1.2,6642,2.7,7093,2.3,3980,1.7,4753,1.4
120,"2","6","10","1","2","理美容用品",6392,2.0,6876,2.2,6518,1.9,6628,2.7,9071,2.9,3240,1.4,6479,1.9
121,"2","6","10","1","3","身の回り用品",2467,0.8,2021,0.6,3107,0.9,2005,0.8,809,0.3,870,0.4,1701,0.5
122,"2","6","10","1","4","たばこ",1111,0.3,682,0.2,1294,0.4,1710,0.7,3846,1.2,1400,0.6,1072,0.3
123,"2","6","10","1","5","他の諸雑費",12374,3.9,15368,4.8,11443,3.3,9652,3.9,6580,2.1,6981,3.1,15748,4.6
124,"2","5","10","2","0","こづかい",5543,1.7,5851,1.8,6082,1.8,2968,1.2,2788,0.9,2957,1.3,5603,1.6
125,"2","5","10","3","0","交際費",17496,5.5,25561,8.0,11859,3.5,21154,8.6,67568,21.6,13251,5.8,12441,3.6
126,"2","6","10","3","0","食料",4886,1.5,7626,2.4,3429,1.0,4299,1.7,317,0.1,2118,0.9,3466,1.0
127,"2","6","10","3","0","家具・家事用品",84,0.0,95,0.0,83,0.0,132,0.1,-,-,-,-,58,0.0
128,"2","6","10","3","0","被服及び履物",707,0.2,1245,0.4,475,0.1,268,0.1,-,-,101,0.0,418,0.1
129,"2","6","10","3","0","教養娯楽",752,0.2,1111,0.3,443,0.1,773,0.3,-,-,1050,0.5,733,0.2
130,"2","6","10","3","0","他の物品サービス",231,0.1,335,0.1,215,0.1,18,0.0,-,-,36,0.0,166,0.0
131,"2","6","10","3","6","贈与金",6168,1.9,10469,3.3,2754,0.8,12549,5.1,46945,15.0,2741,1.2,3345,1.0
132,"2","6","10","3","7","他の交際費",4667,1.5,4678,1.5,4461,1.3,3114,1.3,20305,6.5,7205,3.2,4254,1.2
133,"2","5","10","4","0","仕送り金",2382,0.7,5112,1.6,845,0.2,105,0.0,-,-,1579,0.7,5256,1.5
134,"2","3","0","0","0","土地家屋購入",22136,-,61818,-,-,-,-,-,-,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",15778,5.0,5163,1.6,26083,7.6,12519,5.1,18916,6.1,2078,0.9,25451,7.4
136,"2","3","0","0","0","（再掲）教養娯楽関係費",42410,13.3,47084,14.7,44159,12.9,23391,9.5,23587,7.5,26409,11.6,44904,13.1
137,"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",8551,2.7,15581,4.9,3599,1.1,12654,5.1,46945,15.0,4320,1.9,8601,2.5
138,"2","3","0","0","0","（再掲）経常消費支出",233199,73.2,229344,71.8,248752,72.8,188850,76.4,223827,71.6,190818,83.9,242064,70.7
139,"2","3","0","0","0","（再掲）情報通信関係費",15576,4.9,14523,4.5,17405,5.1,10947,4.4,6197,2.0,12800,5.6,16454,4.8
140,"2","3","0","0","0","（再掲）消費支出（除く住居等）　1）",288738,90.7,278217,87.1,318889,93.3,217005,87.8,245499,78.5,208346,91.6,306908,89.7
