1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,
2,,,,,,,第９表　世帯類型別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
69,2,5,4,2,0,室内装備・装飾品,287,0.1,165,0.1,354,0.1,409,0.2,-,-,254,0.1,385,0.1
70,2,5,4,3,0,寝具類,439,0.1,106,0.0,758,0.2,36,0.0,-,-,73,0.0,708,0.2
71,2,5,4,4,0,家事雑貨,2143,0.6,1694,0.6,2525,0.6,1851,1.0,2179,1.4,1749,0.6,2565,0.6
72,2,5,4,5,0,家事用消耗品,3263,0.9,2660,0.9,3932,1.0,1850,1.0,1651,1.0,2560,0.9,3545,0.8
73,2,5,4,6,0,家事サービス,454,0.1,538,0.2,447,0.1,158,0.1,-,-,391,0.1,562,0.1
74,2,4,5,0,0,被服及び履物,12987,3.8,8057,2.8,17142,4.2,6328,3.3,2471,1.6,11644,3.9,19561,4.6
75,2,5,5,1,0,和服,4,0.0,-,-,7,0.0,-,-,-,-,-,-,-,-
76,2,5,5,2,0,洋服,5801,1.7,3150,1.1,7864,1.9,3024,1.6,1470,0.9,5526,1.9,9465,2.2
77,2,6,5,2,1,男子用洋服,1785,0.5,752,0.3,2825,0.7,-,-,-,-,748,0.3,2962,0.7
78,2,6,5,2,2,婦人用洋服,3467,1.0,2398,0.8,4052,1.0,2952,1.5,848,0.5,4427,1.5,5444,1.3
79,2,6,5,2,3,子供用洋服,550,0.2,-,-,987,0.2,73,0.0,622,0.4,351,0.1,1059,0.3
80,2,5,5,3,0,シャツ・セーター類,2447,0.7,1933,0.7,3120,0.8,1302,0.7,-,-,1161,0.4,3731,0.9
81,2,6,5,3,1,男子用シャツ・セーター類,745,0.2,614,0.2,1009,0.2,-,-,-,-,193,0.1,1290,0.3
82,2,6,5,3,2,婦人用シャツ・セーター類,1581,0.5,1319,0.5,1882,0.5,1302,0.7,-,-,947,0.3,2311,0.5
83,2,6,5,3,3,子供用シャツ・セーター類,121,0.0,-,-,228,0.1,-,-,-,-,22,0.0,131,0.0
84,2,5,5,4,0,下着類,804,0.2,709,0.2,813,0.2,594,0.3,342,0.2,1284,0.4,952,0.2
85,2,6,5,4,1,男子用下着類,228,0.1,239,0.1,244,0.1,114,0.1,-,-,177,0.1,281,0.1
86,2,6,5,4,2,婦人用下着類,478,0.1,470,0.2,399,0.1,441,0.2,-,-,1031,0.3,518,0.1
87,2,6,5,4,3,子供用下着類,98,0.0,-,-,170,0.0,40,0.0,342,0.2,76,0.0,153,0.0
88,2,5,5,5,0,生地・糸類,94,0.0,139,0.0,77,0.0,15,0.0,-,-,80,0.0,113,0.0
89,2,5,5,6,0,他の被服,859,0.2,448,0.2,1036,0.3,335,0.2,-,-,1788,0.6,1057,0.3
90,2,5,5,7,0,履物類,2000,0.6,868,0.3,2977,0.7,924,0.5,-,-,1194,0.4,2882,0.7
91,2,5,5,8,0,被服関連サービス,978,0.3,810,0.3,1247,0.3,133,0.1,659,0.4,612,0.2,1360,0.3
92,2,4,6,0,0,保健医療,17743,5.1,19386,6.7,17232,4.2,10276,5.3,9547,6.1,20347,6.9,18667,4.4
93,2,5,6,1,0,医薬品,3387,1.0,3628,1.3,3381,0.8,2203,1.1,3289,2.1,3398,1.1,3411,0.8
94,2,5,6,2,0,健康保持用摂取品,1353,0.4,1909,0.7,954,0.2,1227,0.6,569,0.4,1755,0.6,1250,0.3
95,2,5,6,3,0,保健医療用品・器具,2795,0.8,2119,0.7,3169,0.8,2194,1.1,4859,3.1,3599,1.2,3175,0.8
96,2,5,6,4,0,保健医療サービス,10209,3.0,11731,4.1,9728,2.4,4652,2.4,831,0.5,11594,3.9,10831,2.6
97,2,4,7,0,0,交通・通信,39612,11.5,32027,11.1,45665,11.2,12369,6.4,17029,10.8,53098,17.9,50217,11.9
98,2,5,7,1,0,交通,9167,2.7,7183,2.5,11667,2.9,3379,1.7,5600,3.6,5881,2.0,11026,2.6
99,2,5,7,2,0,自動車等関係費,17999,5.2,14280,5.0,20471,5.0,2339,1.2,2896,1.8,29543,9.9,23935,5.7
100,2,6,7,2,1,自動車等購入,3994,1.2,-,-,5797,1.4,-,-,-,-,11634,3.9,8966,2.1
101,2,6,7,2,2,自転車購入,467,0.1,-,-,894,0.2,-,-,-,-,-,-,1198,0.3
102,2,6,7,2,3,自動車等維持,13537,3.9,14280,5.0,13780,3.4,2339,1.2,2896,1.8,17909,6.0,13771,3.3
103,2,5,7,3,0,通信,12446,3.6,10564,3.7,13527,3.3,6650,3.4,8532,5.4,17674,6.0,15256,3.6
104,2,4,8,0,0,教育,18251,5.3,183,0.1,33906,8.3,1726,0.9,14815,9.4,4425,1.5,41557,9.8
105,2,5,8,1,0,授業料等,12852,3.7,183,0.1,23945,5.9,1726,0.9,14815,9.4,2066,0.7,30509,7.2
106,2,5,8,2,0,教科書・学習参考教材,1021,0.3,-,-,1602,0.4,-,-,-,-,2214,0.7,1905,0.5
107,2,5,8,3,0,補習教育,4378,1.3,-,-,8359,2.0,-,-,-,-,145,0.0,9143,2.2
108,2,4,9,0,0,教養娯楽,44849,13.0,35354,12.3,55272,13.5,13745,7.1,8479,5.4,41475,14.0,55389,13.1
109,2,5,9,1,0,教養娯楽用耐久財,5928,1.7,1902,0.7,9718,2.4,119,0.1,-,-,2627,0.9,10228,2.4
110,2,5,9,2,0,教養娯楽用品,8770,2.5,7725,2.7,9593,2.4,3212,1.7,191,0.1,12119,4.1,11323,2.7
111,2,5,9,3,0,書籍・他の印刷物,3251,0.9,3794,1.3,2954,0.7,2188,1.1,2031,1.3,3805,1.3,3049,0.7
112,2,5,9,4,0,教養娯楽サービス,26901,7.8,21933,7.6,33007,8.1,8226,4.2,6257,4.0,22925,7.7,30789,7.3
113,2,6,9,4,1,宿泊料,4318,1.3,2412,0.8,6320,1.5,131,0.1,-,-,2583,0.9,5163,1.2
114,2,6,9,4,2,パック旅行費,4174,1.2,3092,1.1,5067,1.2,1413,0.7,1855,1.2,5021,1.7,1755,0.4
115,2,6,9,4,3,月謝類,4927,1.4,2234,0.8,7682,1.9,216,0.1,-,-,1990,0.7,8041,1.9
116,2,6,9,4,4,他の教養娯楽サービス,13482,3.9,14195,4.9,13937,3.4,6465,3.3,4401,2.8,13331,4.5,15830,3.7
117,2,4,10,0,0,その他の消費支出,53215,15.4,55243,19.2,57660,14.1,30225,15.5,21866,13.9,35383,11.9,58001,13.7
118,2,5,10,1,0,諸雑費,26635,7.7,21796,7.6,31581,7.7,19154,9.9,20189,12.8,20604,6.9,34116,8.1
119,2,6,10,1,1,理美容サービス,4345,1.3,4557,1.6,4477,1.1,4538,2.3,3691,2.3,2528,0.9,4939,1.2
120,2,6,10,1,2,理美容用品,5363,1.6,4865,1.7,6386,1.6,3897,2.0,10372,6.6,2063,0.7,6733,1.6
121,2,6,10,1,3,身の回り用品,1884,0.5,875,0.3,2760,0.7,1491,0.8,2250,1.4,680,0.2,3120,0.7
122,2,6,10,1,4,たばこ,929,0.3,785,0.3,1126,0.3,239,0.1,-,-,797,0.3,1445,0.3
123,2,6,10,1,5,他の諸雑費,14114,4.1,10714,3.7,16832,4.1,8990,4.6,3876,2.5,14536,4.9,17881,4.2
124,2,5,10,2,0,こづかい,6589,1.9,5234,1.8,8131,2.0,1575,0.8,-,-,6212,2.1,6875,1.6
125,2,5,10,3,0,交際費,17027,4.9,24611,8.6,14557,3.6,9496,4.9,1677,1.1,8462,2.8,15397,3.6
126,2,6,10,3,0,食料,4240,1.2,5528,1.9,3823,0.9,2699,1.4,553,0.4,2970,1.0,4481,1.1
127,2,6,10,3,0,家具・家事用品,86,0.0,158,0.1,39,0.0,29,0.0,251,0.2,141,0.0,36,0.0
128,2,6,10,3,0,被服及び履物,434,0.1,927,0.3,227,0.1,15,0.0,-,-,110,0.0,261,0.1
129,2,6,10,3,0,教養娯楽,776,0.2,445,0.2,1016,0.2,223,0.1,-,-,1013,0.3,934,0.2
130,2,6,10,3,0,他の物品サービス,410,0.1,417,0.1,484,0.1,83,0.0,-,-,171,0.1,394,0.1
131,2,6,10,3,6,贈与金,7174,2.1,12966,4.5,4794,1.2,3434,1.8,872,0.6,2151,0.7,4397,1.0
132,2,6,10,3,7,他の交際費,3908,1.1,4170,1.4,4174,1.0,3014,1.6,-,-,1906,0.6,4894,1.2
133,2,5,10,4,0,仕送り金,2965,0.9,3602,1.3,3390,0.8,-,-,-,-,105,0.0,1613,0.4
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,22099,6.4,3578,1.2,38616,9.5,2221,1.1,17668,11.2,7292,2.5,46824,11.1
136,2,3,0,0,0,（再掲）教養娯楽関係費,48859,14.2,39732,13.8,59219,14.5,15315,7.9,8351,5.3,46346,15.6,58002,13.7
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,10139,2.9,16568,5.8,8184,2.0,3434,1.8,872,0.6,2256,0.8,6010,1.4
138,2,3,0,0,0,（再掲）経常消費支出,247657,71.7,222835,77.5,276547,67.8,174747,89.9,145063,92.1,221870,74.7,279963,66.3
139,2,3,0,0,0,（再掲）情報通信関係費,15646,4.5,14235,4.9,17076,4.2,11000,5.7,12180,7.7,15914,5.4,17406,4.1
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,310404,89.9,257288,89.5,367825,90.1,168438,86.6,146583,93.1,271803,91.5,380872,90.2
