1,東京都生計分析調査　令和 5年 3月,,,,,,,,,,,,,,,,,,,
2,,,,第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,注1)財・サービス別結果は、品目別分類を再分類して集計した。,,,,,,,,,,,,,,,,
4,,,,注2)消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,
5,,,,項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
6,区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
19,2,3,非耐久財,78333,24.1,4.9,46519,42.9,63931,37.3,73038,34.0,75563,28.3,89479,27.5,92848,22.0,106470,14.1
20,2,4,サービス,20127,6.2,39.0,7984,7.4,11633,6.8,12211,5.7,17152,6.4,20847,6.4,31435,7.4,39423,5.2
21,2,0,住居,20675,6.4,-14.2,1887,1.7,10453,6.1,8491,4.0,18947,7.1,25814,7.9,37063,8.8,41824,5.5
22,2,1,耐久財,4097,1.3,77.0,-,-,134,0.1,-,-,661,0.2,12,0.0,2987,0.7,24671,3.3
23,2,2,半耐久財,304,0.1,14.7,434,0.4,223,0.1,57,0.0,368,0.1,316,0.1,376,0.1,356,0.0
24,2,4,サービス,16274,5.0,-24.4,1453,1.3,10096,5.9,8434,3.9,17918,6.7,25487,7.8,33699,8.0,16798,2.2
25,2,0,光熱・水道（非耐久財）,33262,10.2,16.0,18010,16.6,27637,16.1,33405,15.5,32990,12.4,36009,11.1,39765,9.4,44834,5.9
26,2,0,家具・家事用品,10483,3.2,1.3,2984,2.7,4638,2.7,5520,2.6,7898,3.0,9494,2.9,12667,3.0,29958,4.0
27,2,1,耐久財,3988,1.2,12.2,8,0.0,129,0.1,442,0.2,1455,0.5,2627,0.8,3656,0.9,19425,2.6
28,2,2,半耐久財,2777,0.9,-3.1,1147,1.1,1820,1.1,2354,1.1,2559,1.0,2285,0.7,4358,1.0,4900,0.6
29,2,3,非耐久財,3264,1.0,1.9,1732,1.6,2567,1.5,2489,1.2,3612,1.4,4166,1.3,3749,0.9,4510,0.6
30,2,4,サービス,454,0.1,-37.2,97,0.1,123,0.1,235,0.1,272,0.1,417,0.1,904,0.2,1124,0.1
31,2,0,被服及び履物,13421,4.1,6.3,2857,2.6,4683,2.7,7283,3.4,12519,4.7,13369,4.1,19708,4.7,33326,4.4
32,2,2,半耐久財,12443,3.8,8.5,1987,1.8,3867,2.3,6996,3.3,11887,4.5,12672,3.9,18030,4.3,31469,4.2
33,2,4,サービス,978,0.3,-15.4,871,0.8,816,0.5,287,0.1,632,0.2,697,0.2,1678,0.4,1858,0.2
34,2,0,保健医療,17804,5.5,-4.9,5379,5.0,8285,4.8,14582,6.8,16323,6.1,18971,5.8,23801,5.6,37059,4.9
35,2,1,耐久財,1153,0.4,20.9,762,0.7,440,0.3,1795,0.8,361,0.1,815,0.3,880,0.2,2988,0.4
36,2,2,半耐久財,206,0.1,-37.2,212,0.2,117,0.1,229,0.1,351,0.1,60,0.0,219,0.1,261,0.0
37,2,3,非耐久財,6236,1.9,7.3,2347,2.2,3912,2.3,4815,2.2,6229,2.3,8454,2.6,8397,2.0,9439,1.2
38,2,4,サービス,10209,3.1,-12.2,2057,1.9,3815,2.2,7743,3.6,9382,3.5,9642,3.0,14305,3.4,24370,3.2
39,2,0,交通・通信,39642,12.2,26.5,8437,7.8,14250,8.3,21705,10.1,24438,9.2,36034,11.1,54952,13.0,116770,15.4
40,2,1,耐久財,6329,1.9,108.5,173,0.2,48,0.0,241,0.1,1148,0.4,2978,0.9,7424,1.8,32005,4.2
41,2,2,半耐久財,3152,1.0,75.1,272,0.3,482,0.3,348,0.2,1294,0.5,1009,0.3,2223,0.5,16298,2.2
42,2,3,非耐久財,2012,0.6,-13.9,928,0.9,807,0.5,1945,0.9,2140,0.8,2308,0.7,2409,0.6,3530,0.5
43,2,4,サービス,28149,8.7,16.5,7064,6.5,12913,7.5,19172,8.9,19856,7.4,29739,9.1,42896,10.1,64938,8.6
44,2,0,教育,18251,5.6,20.9,418,0.4,326,0.2,2044,1.0,7042,2.6,5345,1.6,10630,2.5,101067,13.4
45,2,3,非耐久財,1021,0.3,79.8,-,-,210,0.1,22,0.0,924,0.3,1106,0.3,1894,0.4,2971,0.4
46,2,4,サービス,17231,5.3,18.6,418,0.4,116,0.1,2022,0.9,6118,2.3,4239,1.3,8737,2.1,98096,13.0
47,2,0,教養娯楽,45625,14.1,33.1,8053,7.4,13848,8.1,21836,10.2,26423,9.9,38733,11.9,62793,14.8,146530,19.4
48,2,1,耐久財,5698,1.8,86.0,73,0.1,352,0.2,410,0.2,577,0.2,2255,0.7,4929,1.2,31002,4.1
49,2,2,半耐久財,5029,1.5,11.8,1225,1.1,1387,0.8,1904,0.9,4954,1.9,4808,1.5,8157,1.9,12704,1.7
50,2,3,非耐久財,6067,1.9,2.8,2924,2.7,3749,2.2,5598,2.6,5551,2.1,6555,2.0,7290,1.7,10741,1.4
51,2,4,サービス,28830,8.9,38.6,3831,3.5,8360,4.9,13923,6.5,15340,5.8,25115,7.7,42417,10.0,92083,12.2
52,2,0,諸雑費,26953,8.3,-24.5,6020,5.5,11914,6.9,14847,6.9,27250,10.2,31750,9.7,37264,8.8,59263,7.8
53,2,1,耐久財,807,0.2,72.1,156,0.1,40,0.0,703,0.3,2392,0.9,88,0.0,478,0.1,1808,0.2
54,2,2,半耐久財,2149,0.7,-7.1,345,0.3,188,0.1,1449,0.7,1386,0.5,2600,0.8,2709,0.6,6309,0.8
55,2,3,非耐久財,5853,1.8,8.2,2097,1.9,3203,1.9,3589,1.7,7268,2.7,7188,2.2,8319,2.0,9281,1.2
56,2,4,サービス,18144,5.6,-34.0,3422,3.2,8483,4.9,9107,4.2,16204,6.1,21874,6.7,25758,6.1,41865,5.5
