1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","","","","",""
34,"2","6","1","5","2","乾物・海藻",773,0.2,4.5,791,0.4,829,0.3,703,0.2,733,0.2,783,0.2
35,"2","6","1","5","3","大豆加工品",1199,0.4,7.4,1177,0.5,1288,0.4,1154,0.4,1202,0.3,1169,0.2
36,"2","6","1","5","4","他の野菜・海藻加工品",1229,0.4,3.3,1308,0.6,1246,0.4,1185,0.4,1164,0.3,1206,0.3
37,"2","5","1","6","0","果物",3814,1.1,7.9,4303,1.9,3825,1.3,3455,1.1,3266,0.9,3909,0.8
38,"2","6","1","6","1","生鮮果物",3419,1.0,8.8,3972,1.8,3394,1.2,3099,1.0,2884,0.8,3449,0.7
39,"2","6","1","6","2","果物加工品",394,0.1,0.8,330,0.1,431,0.1,356,0.1,382,0.1,460,0.1
40,"2","5","1","7","0","油脂・調味料",4258,1.3,5.0,3657,1.6,4409,1.5,4119,1.3,4477,1.2,4685,1.0
41,"2","6","1","7","1","油脂",458,0.1,-1.9,424,0.2,536,0.2,415,0.1,434,0.1,474,0.1
42,"2","6","1","7","2","調味料",3799,1.1,5.9,3233,1.5,3873,1.3,3704,1.2,4043,1.1,4211,0.9
43,"2","5","1","8","0","菓子類",7929,2.4,9.1,5803,2.6,7404,2.5,8148,2.6,8450,2.2,9958,2.1
44,"2","5","1","9","0","調理食品",14434,4.3,6.5,11907,5.4,13851,4.7,14582,4.6,16087,4.2,16313,3.5
45,"2","6","1","9","1","主食的調理食品",6318,1.9,8.6,5116,2.3,6070,2.1,6350,2.0,7072,1.9,7251,1.5
46,"2","6","1","9","2","他の調理食品",8116,2.4,5.0,6790,3.1,7781,2.7,8232,2.6,9016,2.4,9061,1.9
47,"2","5","1","10","0","飲料",5826,1.7,8.1,4273,1.9,5741,2.0,5799,1.8,6267,1.6,7196,1.5
48,"2","6","1","10","1","茶類",1262,0.4,-0.6,1092,0.5,1275,0.4,1182,0.4,1526,0.4,1329,0.3
49,"2","6","1","10","2","コーヒー・ココア",1170,0.3,3.8,846,0.4,1086,0.4,1243,0.4,1175,0.3,1498,0.3
50,"2","6","1","10","3","他の飲料",3394,1.0,13.5,2335,1.1,3380,1.2,3374,1.1,3566,0.9,4370,0.9
51,"2","5","1","11","0","酒類",4059,1.2,5.6,3158,1.4,3567,1.2,3899,1.2,4343,1.1,5330,1.1
52,"2","5","1","12","0","外食",18078,5.4,19.1,7993,3.6,12810,4.4,17187,5.4,22311,5.9,30638,6.5
53,"2","6","1","12","1","一般外食",17545,5.2,21.8,7944,3.6,12385,4.2,16551,5.2,21377,5.6,29871,6.4
54,"2","6","1","12","2","学校給食",533,0.2,-31.2,49,0.0,425,0.1,636,0.2,933,0.2,767,0.2
55,"2","4","2","0","0","住居",25590,7.6,-4.7,18555,8.4,25468,8.7,23910,7.5,28834,7.6,32340,6.9
56,"2","5","2","1","0","家賃地代",14071,4.2,-16.3,9605,4.3,13350,4.6,16125,5.1,16208,4.3,16731,3.6
57,"2","5","2","2","0","設備修繕・維持",11520,3.4,14.6,8951,4.0,12117,4.1,7785,2.4,12626,3.3,15609,3.3
58,"2","6","2","2","1","設備材料",5112,1.5,76.5,3185,1.4,3337,1.1,4847,1.5,6461,1.7,7571,1.6
59,"2","6","2","2","2","工事その他のサービス",6408,1.9,-10.4,5766,2.6,8780,3.0,2938,0.9,6165,1.6,8038,1.7
60,"2","4","3","0","0","光熱・水道",23173,6.9,-0.7,21147,9.5,23331,8.0,23191,7.3,23866,6.3,24602,5.2
61,"2","5","3","1","0","電気代",11537,3.4,0.8,10632,4.8,11363,3.9,11284,3.5,11826,3.1,12541,2.7
62,"2","5","3","2","0","ガス代",6323,1.9,-1.6,5616,2.5,6407,2.2,6501,2.0,6546,1.7,6708,1.4
63,"2","5","3","3","0","他の光熱",279,0.1,-27.7,451,0.2,279,0.1,298,0.1,187,0.0,155,0.0
64,"2","5","3","4","0","上下水道料",5034,1.5,-0.7,4449,2.0,5283,1.8,5109,1.6,5307,1.4,5197,1.1
65,"2","4","4","0","0","家具・家事用品",13099,3.9,2.6,8132,3.7,11484,3.9,13277,4.2,17046,4.5,16883,3.6
66,"2","5","4","1","0","家庭用耐久財",4443,1.3,3.9,2362,1.1,3739,1.3,4579,1.4,6646,1.7,5775,1.2
67,"2","6","4","1","1","家事用耐久財",2124,0.6,21.2,1158,0.5,2184,0.7,2413,0.8,2897,0.8,2442,0.5
68,"2","6","4","1","2","冷暖房用器具",1645,0.5,2.4,1043,0.5,1251,0.4,1602,0.5,2027,0.5,2378,0.5
69,"2","6","4","1","3","一般家具",674,0.2,-26.5,161,0.1,304,0.1,564,0.2,1722,0.5,955,0.2
70,"2","5","4","2","0","室内装備・装飾品",603,0.2,-24.9,429,0.2,666,0.2,349,0.1,826,0.2,769,0.2
71,"2","5","4","3","0","寝具類",1155,0.3,16.3,357,0.2,717,0.2,1308,0.4,1649,0.4,1855,0.4
72,"2","5","4","4","0","家事雑貨",2481,0.7,-4.7,1517,0.7,2147,0.7,2615,0.8,2690,0.7,3466,0.7
73,"2","5","4","5","0","家事用消耗品",3567,1.1,4.0,2969,1.3,3500,1.2,3786,1.2,3857,1.0,3863,0.8
74,"2","5","4","6","0","家事サービス",851,0.3,28.2,498,0.2,715,0.2,640,0.2,1380,0.4,1155,0.2
75,"2","4","5","0","0","被服及び履物",11860,3.5,0.9,4945,2.2,8346,2.9,10814,3.4,15595,4.1,20170,4.3
76,"2","5","5","1","0","和服",37,0.0,-84.3,1,0.0,26,0.0,38,0.0,102,0.0,38,0.0
77,"2","5","5","2","0","洋服",5037,1.5,4.2,1636,0.7,2808,1.0,4413,1.4,7168,1.9,9459,2.0
78,"2","6","5","2","1","男子用洋服",1952,0.6,33.5,586,0.3,726,0.2,1392,0.4,2376,0.6,4460,1.0
79,"2","6","5","2","2","婦人用洋服",2632,0.8,-9.9,988,0.4,1806,0.6,2551,0.8,4063,1.1,4193,0.9
80,"2","6","5","2","3","子供用洋服",454,0.1,0.7,62,0.0,275,0.1,470,0.1,729,0.2,805,0.2
81,"2","5","5","3","0","シャツ・セーター類",2350,0.7,4.9,1245,0.6,1699,0.6,2219,0.7,2809,0.7,3793,0.8
82,"2","6","5","3","1","男子用シャツ・セーター類",839,0.3,10.4,337,0.2,520,0.2,921,0.3,785,0.2,1550,0.3
83,"2","6","5","3","2","婦人用シャツ・セーター類",1375,0.4,2.0,868,0.4,1079,0.4,1103,0.3,1815,0.5,2077,0.4
84,"2","6","5","3","3","子供用シャツ・セーター類",135,0.0,1.5,40,0.0,100,0.0,195,0.1,209,0.1,167,0.0
85,"2","5","5","4","0","下着類",1017,0.3,6.0,655,0.3,793,0.3,1038,0.3,1225,0.3,1426,0.3
86,"2","6","5","4","1","男子用下着類",296,0.1,1.7,252,0.1,234,0.1,297,0.1,299,0.1,392,0.1
87,"2","6","5","4","2","婦人用下着類",622,0.2,9.1,390,0.2,463,0.2,619,0.2,775,0.2,897,0.2
88,"2","6","5","4","3","子供用下着類",99,0.0,1.0,13,0.0,96,0.0,122,0.0,151,0.0,138,0.0
89,"2","5","5","5","0","生地・糸類",105,0.0,-15.3,60,0.0,102,0.0,87,0.0,83,0.0,182,0.0
90,"2","5","5","6","0","他の被服",802,0.2,-4.9,440,0.2,650,0.2,838,0.3,1018,0.3,1121,0.2
91,"2","5","5","7","0","履物類",1731,0.5,4.0,639,0.3,1424,0.5,1600,0.5,2418,0.6,2742,0.6
92,"2","5","5","8","0","被服関連サービス",782,0.2,-8.8,268,0.1,845,0.3,583,0.2,773,0.2,1409,0.3
93,"2","4","6","0","0","保健医療",17238,5.1,-0.8,14991,6.8,15493,5.3,16959,5.3,17206,4.5,21329,4.6
94,"2","5","6","1","0","医薬品",2887,0.9,-1.7,2938,1.3,2874,1.0,2833,0.9,2445,0.6,3155,0.7
95,"2","5","6","2","0","健康保持用摂取品",1302,0.4,-5.0,1178,0.5,1556,0.5,1088,0.3,1360,0.4,1334,0.3
96,"2","5","6","3","0","保健医療用品・器具",3032,0.9,-2.1,2477,1.1,2353,0.8,2926,0.9,3278,0.9,4042,0.9
97,"2","5","6","4","0","保健医療サービス",10018,3.0,0.5,8399,3.8,8710,3.0,10112,3.2,10122,2.7,12797,2.7
98,"2","4","7","0","0","交通・通信",34458,10.3,-1.2,19823,8.9,28711,9.8,32718,10.3,40175,10.5,51876,11.1
99,"2","5","7","1","0","交通",9450,2.8,23.3,3817,1.7,6555,2.2,8307,2.6,11891,3.1,17063,3.6
100,"2","5","7","2","0","自動車等関係費",13208,3.9,-13.2,7598,3.4,10308,3.5,12760,4.0,15130,4.0,20248,4.3
101,"2","6","7","2","1","自動車等購入",2063,0.6,-44.9,726,0.3,1957,0.7,1077,0.3,1843,0.5,4280,0.9
102,"2","6","7","2","2","自転車購入",636,0.2,-13.1,328,0.1,559,0.2,843,0.3,410,0.1,996,0.2
103,"2","6","7","2","3","自動車等維持",10509,3.1,-2.2,6544,2.9,7793,2.7,10840,3.4,12877,3.4,14972,3.2
104,"2","5","7","3","0","通信",11800,3.5,-1.6,8408,3.8,11848,4.0,11650,3.7,13155,3.5,14565,3.1
105,"2","4","8","0","0","教育",21284,6.4,8.9,798,0.4,9060,3.1,19654,6.2,31390,8.2,46973,10.0
106,"2","5","8","1","0","授業料等",16460,4.9,17.8,377,0.2,7561,2.6,15694,4.9,26578,7.0,34432,7.3
107,"2","5","8","2","0","教科書・学習参考教材",236,0.1,19.8,33,0.0,48,0.0,300,0.1,275,0.1,503,0.1
108,"2","5","8","3","0","補習教育",4589,1.4,-14.6,387,0.2,1451,0.5,3660,1.2,4536,1.2,12037,2.6
109,"2","4","9","0","0","教養娯楽",39084,11.7,11.6,21382,9.6,32492,11.1,34718,10.9,45848,12.0,61401,13.1
110,"2","5","9","1","0","教養娯楽用耐久財",3232,1.0,22.0,1527,0.7,1455,0.5,3299,1.0,5459,1.4,5034,1.1
111,"2","5","9","2","0","教養娯楽用品",8263,2.5,7.3,4016,1.8,7381,2.5,8527,2.7,9324,2.4,12386,2.6
112,"2","5","9","3","0","書籍・他の印刷物",3421,1.0,-2.4,3257,1.5,3255,1.1,3136,1.0,3055,0.8,4138,0.9
113,"2","5","9","4","0","教養娯楽サービス",24168,7.2,14.1,12582,5.7,20401,7.0,19757,6.2,28011,7.4,39843,8.5
114,"2","6","9","4","1","宿泊料",3654,1.1,25.0,1333,0.6,2788,1.0,2363,0.7,4425,1.2,7212,1.5
115,"2","6","9","4","2","パック旅行費",3709,1.1,34.6,2646,1.2,2582,0.9,2832,0.9,5030,1.3,5570,1.2
116,"2","6","9","4","3","月謝類",4007,1.2,-7.3,1088,0.5,2774,0.9,3329,1.0,4981,1.3,7820,1.7
117,"2","6","9","4","4","他の教養娯楽サービス",12797,3.8,14.5,7513,3.4,12257,4.2,11233,3.5,13575,3.6,19241,4.1
118,"2","4","10","0","0","その他の消費支出",53090,15.8,-2.1,36716,16.5,47561,16.3,48417,15.2,57840,15.2,74397,15.9
119,"2","5","10","1","0","諸雑費",27098,8.1,-7.0,16900,7.6,23456,8.0,25956,8.2,32063,8.4,38068,8.1
120,"2","6","10","1","1","理美容サービス",4073,1.2,7.1,2869,1.3,3519,1.2,3813,1.2,4272,1.1,5806,1.2
121,"2","6","10","1","2","理美容用品",5518,1.6,4.4,3624,1.6,4834,1.7,5489,1.7,5924,1.6,7752,1.7
122,"2","6","10","1","3","身の回り用品",2340,0.7,-0.8,761,0.3,1836,0.6,1982,0.6,2733,0.7,4323,0.9
123,"2","6","10","1","4","たばこ",1064,0.3,9.1,669,0.3,1062,0.4,1532,0.5,1069,0.3,1078,0.2
124,"2","6","10","1","5","他の諸雑費",14103,4.2,-15.6,8976,4.0,12206,4.2,13141,4.1,18064,4.7,19110,4.1
125,"2","5","10","2","0","こづかい",5975,1.8,-8.7,5433,2.4,4227,1.4,4646,1.5,5369,1.4,9291,2.0
126,"2","5","10","3","0","交際費",16903,5.0,2.1,13333,6.0,17917,6.1,16634,5.2,16250,4.3,20282,4.3
127,"2","6","10","3","0","食料",4914,1.5,22.0,3851,1.7,5631,1.9,4621,1.5,4512,1.2,5783,1.2
128,"2","6","10","3","0","家具・家事用品",184,0.1,-16.7,58,0.0,209,0.1,184,0.1,100,0.0,330,0.1
129,"2","6","10","3","0","被服及び履物",370,0.1,19.0,209,0.1,411,0.1,323,0.1,340,0.1,557,0.1
130,"2","6","10","3","0","教養娯楽",1210,0.4,36.3,472,0.2,788,0.3,2316,0.7,1702,0.4,1230,0.3
131,"2","6","10","3","0","他の物品サービス",533,0.2,4.9,175,0.1,471,0.2,891,0.3,391,0.1,702,0.1
132,"2","6","10","3","6","贈与金",5562,1.7,-13.2,5938,2.7,6699,2.3,3923,1.2,6067,1.6,5262,1.1
133,"2","6","10","3","7","他の交際費",4132,1.2,-1.6,2629,1.2,3707,1.3,4375,1.4,3138,0.8,6419,1.4
134,"2","5","10","4","0","仕送り金",3114,0.9,55.3,1050,0.5,1960,0.7,1181,0.4,4158,1.1,6756,1.4
135,"2","3","0","0","0","土地家屋購入",4867,-,-1.5,723,-,-,-,-,-,23816,-,7097,-
136,"2","3","0","0","0","（再掲）教育関係費",24198,7.2,7.1,1225,0.6,11088,3.8,22056,6.9,37174,9.8,51709,11.0
137,"2","3","0","0","0","（再掲）教養娯楽関係費",45384,13.5,14.5,24158,10.9,36720,12.5,41365,13.0,53625,14.1,72039,15.4
138,"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",8676,2.6,3.2,6988,3.1,8659,3.0,5104,1.6,10226,2.7,12017,2.6
139,"2","3","0","0","0","（再掲）経常消費支出",237347,70.8,2.8,178881,80.6,221109,75.6,234095,73.6,255581,67.1,300527,64.1
140,"2","3","0","0","0","（再掲）情報通信関係費",15709,4.7,0.3,12268,5.5,16558,5.7,15828,5.0,16512,4.3,17853,3.8
141,"2","3","0","0","0","（再掲）消費支出（除く住居等）　１）",298845,89.2,4.6,195615,88.2,256543,87.7,287924,90.5,340109,89.3,420109,89.6
