1,"東京都生計分析調査　令和 5年","","","","","","","","","","","","","","",""
29,"2","6","1","4","2","乳製品",2354,0.7,2438,0.7,1872,0.5,1702,0.7,2799,0.7
30,"2","6","1","4","3","卵",1058,0.3,1089,0.3,877,0.2,938,0.4,991,0.2
31,"2","5","1","5","0","野菜・海藻",10596,3.2,11032,3.3,7888,2.2,9618,3.9,9603,2.3
32,"2","6","1","5","1","生鮮野菜",7395,2.2,7689,2.3,5549,1.5,6655,2.7,7110,1.7
33,"2","6","1","5","2","乾物・海藻",773,0.2,797,0.2,576,0.2,846,0.3,727,0.2
34,"2","6","1","5","3","大豆加工品",1199,0.4,1254,0.4,892,0.2,999,0.4,990,0.2
35,"2","6","1","5","4","他の野菜・海藻加工品",1229,0.4,1292,0.4,872,0.2,1118,0.5,777,0.2
36,"2","5","1","6","0","果物",3814,1.1,4029,1.2,2536,0.7,3723,1.5,2384,0.6
37,"2","6","1","6","1","生鮮果物",3419,1.0,3608,1.1,2276,0.6,3443,1.4,2128,0.5
38,"2","6","1","6","2","果物加工品",394,0.1,421,0.1,260,0.1,281,0.1,257,0.1
39,"2","5","1","7","0","油脂・調味料",4258,1.3,4370,1.3,3717,1.0,3600,1.5,4041,1.0
40,"2","6","1","7","1","油脂",458,0.1,472,0.1,386,0.1,456,0.2,359,0.1
41,"2","6","1","7","2","調味料",3799,1.1,3898,1.2,3332,0.9,3144,1.3,3682,0.9
42,"2","5","1","8","0","菓子類",7929,2.4,8079,2.4,7107,2.0,7269,3.0,7928,1.9
43,"2","5","1","9","0","調理食品",14434,4.3,14739,4.4,13348,3.7,12056,4.9,11587,2.8
44,"2","6","1","9","1","主食的調理食品",6318,1.9,6379,1.9,6175,1.7,5981,2.4,5767,1.4
45,"2","6","1","9","2","他の調理食品",8116,2.4,8361,2.5,7173,2.0,6076,2.5,5821,1.4
46,"2","5","1","10","0","飲料",5826,1.7,5891,1.8,5468,1.5,5962,2.4,6378,1.6
47,"2","6","1","10","1","茶類",1262,0.4,1269,0.4,1194,0.3,1341,0.5,1351,0.3
48,"2","6","1","10","2","コーヒー・ココア",1170,0.3,1177,0.4,1177,0.3,1003,0.4,1509,0.4
49,"2","6","1","10","3","他の飲料",3394,1.0,3444,1.0,3097,0.9,3618,1.5,3518,0.9
50,"2","5","1","11","0","酒類",4059,1.2,4181,1.3,3491,1.0,3207,1.3,5215,1.3
51,"2","5","1","12","0","外食",18078,5.4,18215,5.5,19096,5.3,9453,3.9,22824,5.6
52,"2","6","1","12","1","一般外食",17545,5.2,17675,5.3,18516,5.2,9294,3.8,22314,5.4
53,"2","6","1","12","2","学校給食",533,0.2,540,0.2,580,0.2,159,0.1,510,0.1
54,"2","4","2","0","0","住居",25590,7.6,14231,4.3,93635,26.1,41983,17.2,55713,13.6
55,"2","5","2","1","0","家賃地代",14071,4.2,756,0.2,92986,25.9,40977,16.8,41891,10.2
56,"2","5","2","2","0","設備修繕・維持",11520,3.4,13476,4.0,649,0.2,1006,0.4,13822,3.4
57,"2","6","2","2","1","設備材料",5112,1.5,5942,1.8,151,0.0,435,0.2,8075,2.0
58,"2","6","2","2","2","工事その他のサービス",6408,1.9,7534,2.3,498,0.1,571,0.2,5747,1.4
59,"2","4","3","0","0","光熱・水道",23173,6.9,24082,7.2,19765,5.5,20026,8.2,17083,4.2
60,"2","5","3","1","0","電気代",11537,3.4,12139,3.6,9184,2.6,9060,3.7,7909,1.9
61,"2","5","3","2","0","ガス代",6323,1.9,6472,1.9,5961,1.7,5801,2.4,5223,1.3
62,"2","5","3","3","0","他の光熱",279,0.1,306,0.1,204,0.1,91,0.0,97,0.0
63,"2","5","3","4","0","上下水道料",5034,1.5,5166,1.5,4415,1.2,5074,2.1,3855,0.9
64,"2","4","4","0","0","家具・家事用品",13099,3.9,13002,3.9,11804,3.3,9387,3.8,37109,9.0
65,"2","5","4","1","0","家庭用耐久財",4443,1.3,4204,1.3,3884,1.1,2143,0.9,27187,6.6
66,"2","6","4","1","1","家事用耐久財",2124,0.6,2088,0.6,2673,0.7,979,0.4,4182,1.0
67,"2","6","4","1","2","冷暖房用器具",1645,0.5,1600,0.5,575,0.2,1073,0.4,14691,3.6
68,"2","6","4","1","3","一般家具",674,0.2,515,0.2,636,0.2,90,0.0,8313,2.0
69,"2","5","4","2","0","室内装備・装飾品",603,0.2,572,0.2,860,0.2,275,0.1,1103,0.3
70,"2","5","4","3","0","寝具類",1155,0.3,1231,0.4,640,0.2,864,0.4,599,0.1
71,"2","5","4","4","0","家事雑貨",2481,0.7,2497,0.7,2447,0.7,2110,0.9,3319,0.8
72,"2","5","4","5","0","家事用消耗品",3567,1.1,3601,1.1,3275,0.9,3606,1.5,4161,1.0
73,"2","5","4","6","0","家事サービス",851,0.3,898,0.3,698,0.2,389,0.2,741,0.2
74,"2","4","5","0","0","被服及び履物",11860,3.5,12084,3.6,10982,3.1,5857,2.4,19925,4.9
75,"2","5","5","1","0","和服",37,0.0,43,0.0,19,0.0,-,-,-,-
76,"2","5","5","2","0","洋服",5037,1.5,5097,1.5,4798,1.3,2096,0.9,10574,2.6
77,"2","6","5","2","1","男子用洋服",1952,0.6,1936,0.6,2084,0.6,525,0.2,6084,1.5
78,"2","6","5","2","2","婦人用洋服",2632,0.8,2730,0.8,2194,0.6,1317,0.5,3059,0.7
79,"2","6","5","2","3","子供用洋服",454,0.1,431,0.1,520,0.1,254,0.1,1432,0.3
80,"2","5","5","3","0","シャツ・セーター類",2350,0.7,2405,0.7,2086,0.6,1034,0.4,3754,0.9
81,"2","6","5","3","1","男子用シャツ・セーター類",839,0.3,814,0.2,953,0.3,423,0.2,2018,0.5
82,"2","6","5","3","2","婦人用シャツ・セーター類",1375,0.4,1465,0.4,962,0.3,502,0.2,1376,0.3
83,"2","6","5","3","3","子供用シャツ・セーター類",135,0.0,126,0.0,171,0.0,109,0.0,360,0.1
84,"2","5","5","4","0","下着類",1017,0.3,1047,0.3,857,0.2,762,0.3,1159,0.3
85,"2","6","5","4","1","男子用下着類",296,0.1,312,0.1,199,0.1,149,0.1,414,0.1
86,"2","6","5","4","2","婦人用下着類",622,0.2,640,0.2,543,0.2,526,0.2,466,0.1
87,"2","6","5","4","3","子供用下着類",99,0.0,95,0.0,115,0.0,88,0.0,280,0.1
88,"2","5","5","5","0","生地・糸類",105,0.0,118,0.0,58,0.0,27,0.0,10,0.0
89,"2","5","5","6","0","他の被服",802,0.2,804,0.2,812,0.2,714,0.3,897,0.2
90,"2","5","5","7","0","履物類",1731,0.5,1724,0.5,1849,0.5,1011,0.4,2881,0.7
91,"2","5","5","8","0","被服関連サービス",782,0.2,847,0.3,503,0.1,213,0.1,649,0.2
92,"2","4","6","0","0","保健医療",17238,5.1,17737,5.3,15033,4.2,14086,5.8,14912,3.6
93,"2","5","6","1","0","医薬品",2887,0.9,3032,0.9,2018,0.6,2646,1.1,2601,0.6
94,"2","5","6","2","0","健康保持用摂取品",1302,0.4,1417,0.4,769,0.2,720,0.3,568,0.1
95,"2","5","6","3","0","保健医療用品・器具",3032,0.9,3032,0.9,2847,0.8,3398,1.4,4539,1.1
96,"2","5","6","4","0","保健医療サービス",10018,3.0,10255,3.1,9398,2.6,7323,3.0,7203,1.8
97,"2","4","7","0","0","交通・通信",34458,10.3,34975,10.5,31545,8.8,27066,11.1,44706,10.9
98,"2","5","7","1","0","交通",9450,2.8,9323,2.8,10714,3.0,6152,2.5,12471,3.0
99,"2","5","7","2","0","自動車等関係費",13208,3.9,14024,4.2,8448,2.4,8676,3.6,16557,4.0
100,"2","6","7","2","1","自動車等購入",2063,0.6,2312,0.7,1578,0.4,-,-,-,-
101,"2","6","7","2","2","自転車購入",636,0.2,668,0.2,138,0.0,1208,0.5,1439,0.4
102,"2","6","7","2","3","自動車等維持",10509,3.1,11044,3.3,6732,1.9,7468,3.1,15118,3.7
103,"2","5","7","3","0","通信",11800,3.5,11628,3.5,12383,3.5,12238,5.0,15677,3.8
104,"2","4","8","0","0","教育",21284,6.4,22279,6.7,16096,4.5,2182,0.9,28897,7.0
105,"2","5","8","1","0","授業料等",16460,4.9,17298,5.2,12476,3.5,431,0.2,22712,5.5
106,"2","5","8","2","0","教科書・学習参考教材",236,0.1,247,0.1,164,0.0,87,0.0,523,0.1
107,"2","5","8","3","0","補習教育",4589,1.4,4734,1.4,3456,1.0,1665,0.7,5662,1.4
108,"2","4","9","0","0","教養娯楽",39084,11.7,40512,12.1,34891,9.7,15871,6.5,45889,11.2
109,"2","5","9","1","0","教養娯楽用耐久財",3232,1.0,3094,0.9,3218,0.9,258,0.1,13510,3.3
110,"2","5","9","2","0","教養娯楽用品",8263,2.5,8771,2.6,6261,1.7,3645,1.5,9433,2.3
111,"2","5","9","3","0","書籍・他の印刷物",3421,1.0,3617,1.1,2373,0.7,1863,0.8,3503,0.9
112,"2","5","9","4","0","教養娯楽サービス",24168,7.2,25031,7.5,23040,6.4,10105,4.1,19443,4.7
113,"2","6","9","4","1","宿泊料",3654,1.1,3870,1.2,3134,0.9,1075,0.4,2376,0.6
114,"2","6","9","4","2","パック旅行費",3709,1.1,3500,1.0,5825,1.6,1259,0.5,1034,0.3
115,"2","6","9","4","3","月謝類",4007,1.2,4064,1.2,4123,1.1,1386,0.6,6491,1.6
116,"2","6","9","4","4","他の教養娯楽サービス",12797,3.8,13596,4.1,9958,2.8,6385,2.6,9542,2.3
117,"2","4","10","0","0","その他の消費支出",53090,15.8,55973,16.8,40119,11.2,29115,11.9,49832,12.1
118,"2","5","10","1","0","諸雑費",27098,8.1,27851,8.3,24102,6.7,15906,6.5,31674,7.7
119,"2","6","10","1","1","理美容サービス",4073,1.2,4226,1.3,3580,1.0,1572,0.6,4224,1.0
120,"2","6","10","1","2","理美容用品",5518,1.6,5633,1.7,4886,1.4,3940,1.6,6343,1.5
121,"2","6","10","1","3","身の回り用品",2340,0.7,2397,0.7,2384,0.7,1098,0.4,2090,0.5
122,"2","6","10","1","4","たばこ",1064,0.3,930,0.3,1780,0.5,2366,1.0,950,0.2
123,"2","6","10","1","5","他の諸雑費",14103,4.2,14665,4.4,11472,3.2,6930,2.8,18068,4.4
124,"2","5","10","2","0","こづかい",5975,1.8,6390,1.9,3842,1.1,3400,1.4,5571,1.4
125,"2","5","10","3","0","交際費",16903,5.0,18401,5.5,10790,3.0,7312,3.0,11034,2.7
126,"2","6","10","3","0","食料",4914,1.5,5142,1.5,3976,1.1,2581,1.1,4359,1.1
127,"2","6","10","3","0","家具・家事用品",184,0.1,163,0.0,389,0.1,25,0.0,115,0.0
128,"2","6","10","3","0","被服及び履物",370,0.1,403,0.1,223,0.1,76,0.0,407,0.1
129,"2","6","10","3","0","教養娯楽",1210,0.4,1364,0.4,473,0.1,362,0.1,581,0.1
130,"2","6","10","3","0","他の物品サービス",533,0.2,578,0.2,329,0.1,507,0.2,253,0.1
131,"2","6","10","3","6","贈与金",5562,1.7,6210,1.9,2903,0.8,2669,1.1,2326,0.6
132,"2","6","10","3","7","他の交際費",4132,1.2,4543,1.4,2498,0.7,1093,0.4,2992,0.7
133,"2","5","10","4","0","仕送り金",3114,0.9,3331,1.0,1384,0.4,2497,1.0,1554,0.4
134,"2","3","0","0","0","土地家屋購入",4867,-,3750,-,13992,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",24198,7.2,25331,7.6,18086,5.0,3897,1.6,31899,7.8
136,"2","3","0","0","0","（再掲）教養娯楽関係費",45384,13.5,46829,14.0,41846,11.7,18922,7.8,52463,12.8
137,"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",8676,2.6,9541,2.9,4287,1.2,5165,2.1,3880,0.9
138,"2","3","0","0","0","（再掲）経常消費支出",237347,70.8,230432,69.1,287248,80.1,211371,86.6,272826,66.4
139,"2","3","0","0","0","（再掲）情報通信関係費",15709,4.7,15848,4.8,15336,4.3,14475,5.9,15780,3.8
140,"2","3","0","0","0","（再掲）消費支出（除く住居等）　１）",298845,89.2,307520,92.2,259206,72.3,196982,80.7,351098,85.5
