1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,
2,,,,,,,第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
45,2,6,1,9,2,他の調理食品,6632,2.2,5944,2.3,7286,2.3,6589,2.1,8782,2.1
46,2,5,1,10,0,飲料,4809,1.6,4140,1.6,5470,1.7,4851,1.5,6472,1.5
47,2,6,1,10,1,茶類,1139,0.4,1030,0.4,1265,0.4,1094,0.3,1529,0.4
48,2,6,1,10,2,コーヒー・ココア,1182,0.4,1088,0.4,1239,0.4,1280,0.4,1251,0.3
49,2,6,1,10,3,他の飲料,2487,0.8,2022,0.8,2966,0.9,2478,0.8,3692,0.9
50,2,5,1,11,0,酒類,3263,1.1,3640,1.4,3672,1.2,2201,0.7,2569,0.6
51,2,5,1,12,0,外食,15072,5.1,12601,4.9,15494,4.9,17596,5.5,21749,5.2
52,2,6,1,12,1,一般外食,14294,4.8,12601,4.9,15075,4.8,15795,5.0,17482,4.1
53,2,6,1,12,2,学校給食,778,0.3,-,-,419,0.1,1801,0.6,4267,1.0
54,2,4,2,0,0,住居,24197,8.2,19004,7.4,37056,11.8,22543,7.1,9643,2.3
55,2,5,2,1,0,家賃地代,15631,5.3,15794,6.1,16645,5.3,16118,5.1,8148,1.9
56,2,5,2,2,0,設備修繕・維持,8567,2.9,3211,1.2,20411,6.5,6425,2.0,1495,0.4
57,2,6,2,2,1,設備材料,2572,0.9,782,0.3,7876,2.5,49,0.0,702,0.2
58,2,6,2,2,2,工事その他のサービス,5995,2.0,2429,0.9,12534,4.0,6376,2.0,793,0.2
59,2,4,3,0,0,光熱・水道,33282,11.2,31434,12.2,33488,10.7,36515,11.5,33903,8.0
60,2,5,3,1,0,電気代,16284,5.5,15613,6.1,16710,5.3,17533,5.5,14658,3.5
61,2,5,3,2,0,ガス代,10862,3.7,10352,4.0,10578,3.4,12100,3.8,11319,2.7
62,2,5,3,3,0,他の光熱,592,0.2,744,0.3,673,0.2,215,0.1,507,0.1
63,2,5,3,4,0,上下水道料,5544,1.9,4725,1.8,5527,1.8,6667,2.1,7418,1.8
64,2,4,4,0,0,家具・家事用品,8132,2.7,8130,3.2,6767,2.2,8786,2.8,11909,2.8
65,2,5,4,1,0,家庭用耐久財,1834,0.6,2233,0.9,1104,0.4,1977,0.6,1737,0.4
66,2,6,4,1,1,家事用耐久財,786,0.3,571,0.2,533,0.2,1262,0.4,1737,0.4
67,2,6,4,1,2,冷暖房用器具,514,0.2,991,0.4,242,0.1,50,0.0,-,-
68,2,6,4,1,3,一般家具,534,0.2,671,0.3,329,0.1,664,0.2,-,-
69,2,5,4,2,0,室内装備・装飾品,308,0.1,454,0.2,295,0.1,116,0.0,12,0.0
70,2,5,4,3,0,寝具類,306,0.1,250,0.1,350,0.1,393,0.1,199,0.0
71,2,5,4,4,0,家事雑貨,2066,0.7,1845,0.7,1546,0.5,2898,0.9,2971,0.7
72,2,5,4,5,0,家事用消耗品,2888,1.0,2455,1.0,3191,1.0,3297,1.0,3150,0.7
73,2,5,4,6,0,家事サービス,730,0.2,892,0.3,282,0.1,105,0.0,3841,0.9
74,2,4,5,0,0,被服及び履物,8019,2.7,5698,2.2,8478,2.7,10853,3.4,12333,2.9
75,2,5,5,1,0,和服,134,0.0,-,-,-,-,602,0.2,-,-
76,2,5,5,2,0,洋服,3595,1.2,2634,1.0,4173,1.3,4446,1.4,4812,1.1
77,2,6,5,2,1,男子用洋服,1063,0.4,922,0.4,1245,0.4,1146,0.4,959,0.2
78,2,6,5,2,2,婦人用洋服,2183,0.7,1712,0.7,2730,0.9,2092,0.7,3423,0.8
79,2,6,5,2,3,子供用洋服,350,0.1,-,-,198,0.1,1208,0.4,430,0.1
80,2,5,5,3,0,シャツ・セーター類,1200,0.4,888,0.3,1320,0.4,1387,0.4,2220,0.5
81,2,6,5,3,1,男子用シャツ・セーター類,334,0.1,272,0.1,118,0.0,534,0.2,1025,0.2
82,2,6,5,3,2,婦人用シャツ・セーター類,802,0.3,612,0.2,1174,0.4,704,0.2,842,0.2
83,2,6,5,3,3,子供用シャツ・セーター類,64,0.0,4,0.0,28,0.0,149,0.0,353,0.1
84,2,5,5,4,0,下着類,827,0.3,617,0.2,859,0.3,1144,0.4,1038,0.2
85,2,6,5,4,1,男子用下着類,244,0.1,286,0.1,243,0.1,162,0.1,236,0.1
86,2,6,5,4,2,婦人用下着類,539,0.2,330,0.1,553,0.2,897,0.3,683,0.2
87,2,6,5,4,3,子供用下着類,44,0.0,-,-,63,0.0,85,0.0,119,0.0
88,2,5,5,5,0,生地・糸類,119,0.0,162,0.1,67,0.0,93,0.0,136,0.0
89,2,5,5,6,0,他の被服,620,0.2,393,0.2,560,0.2,854,0.3,1665,0.4
90,2,5,5,7,0,履物類,1140,0.4,521,0.2,1217,0.4,1994,0.6,2137,0.5
91,2,5,5,8,0,被服関連サービス,385,0.1,484,0.2,282,0.1,332,0.1,325,0.1
92,2,4,6,0,0,保健医療,16503,5.6,17830,6.9,16776,5.3,14723,4.6,12200,2.9
93,2,5,6,1,0,医薬品,3124,1.1,3376,1.3,3383,1.1,2489,0.8,2464,0.6
94,2,5,6,2,0,健康保持用摂取品,1200,0.4,1562,0.6,1308,0.4,493,0.2,678,0.2
95,2,5,6,3,0,保健医療用品・器具,3463,1.2,1962,0.8,4022,1.3,5047,1.6,5977,1.4
96,2,5,6,4,0,保健医療サービス,8715,2.9,10931,4.2,8063,2.6,6694,2.1,3082,0.7
97,2,4,7,0,0,交通・通信,25971,8.8,21988,8.5,30406,9.7,27180,8.6,30215,7.2
98,2,5,7,1,0,交通,5639,1.9,4863,1.9,5701,1.8,6717,2.1,7028,1.7
99,2,5,7,2,0,自動車等関係費,10072,3.4,8334,3.2,12917,4.1,9258,2.9,12687,3.0
100,2,6,7,2,1,自動車等購入,931,0.3,-,-,3375,1.1,-,-,-,-
101,2,6,7,2,2,自転車購入,617,0.2,61,0.0,320,0.1,1456,0.5,2894,0.7
102,2,6,7,2,3,自動車等維持,8524,2.9,8273,3.2,9222,2.9,7802,2.5,9793,2.3
103,2,5,7,3,0,通信,10260,3.5,8791,3.4,11788,3.8,11205,3.5,10500,2.5
104,2,4,8,0,0,教育,16274,5.5,291,0.1,11926,3.8,30389,9.6,99223,23.5
105,2,5,8,1,0,授業料等,11474,3.9,291,0.1,7935,2.5,22068,6.9,69136,16.4
106,2,5,8,2,0,教科書・学習参考教材,362,0.1,-,-,1133,0.4,165,0.1,206,0.0
107,2,5,8,3,0,補習教育,4439,1.5,-,-,2858,0.9,8155,2.6,29881,7.1
108,2,4,9,0,0,教養娯楽,32481,10.9,29812,11.6,32943,10.5,33677,10.6,45193,10.7
109,2,5,9,1,0,教養娯楽用耐久財,1586,0.5,1255,0.5,2539,0.8,509,0.2,3574,0.8
110,2,5,9,2,0,教養娯楽用品,6813,2.3,5543,2.2,7198,2.3,8739,2.8,7215,1.7
111,2,5,9,3,0,書籍・他の印刷物,3302,1.1,3704,1.4,3411,1.1,2680,0.8,2185,0.5
112,2,5,9,4,0,教養娯楽サービス,20779,7.0,19310,7.5,19795,6.3,21749,6.8,32219,7.6
113,2,6,9,4,1,宿泊料,2555,0.9,1517,0.6,4092,1.3,2959,0.9,1636,0.4
114,2,6,9,4,2,パック旅行費,3232,1.1,5364,2.1,1292,0.4,837,0.3,5331,1.3
115,2,6,9,4,3,月謝類,3467,1.2,1760,0.7,2724,0.9,5777,1.8,10671,2.5
116,2,6,9,4,4,他の教養娯楽サービス,11525,3.9,10668,4.1,11687,3.7,12177,3.8,14581,3.5
117,2,4,10,0,0,その他の消費支出,47170,15.9,49744,19.3,44495,14.2,44356,14.0,50910,12.1
118,2,5,10,1,0,諸雑費,29938,10.1,34039,13.2,26841,8.6,27031,8.5,24983,5.9
119,2,6,10,1,1,理美容サービス,3807,1.3,3667,1.4,3455,1.1,4192,1.3,5000,1.2
120,2,6,10,1,2,理美容用品,4751,1.6,4464,1.7,4742,1.5,5482,1.7,4206,1.0
121,2,6,10,1,3,身の回り用品,2415,0.8,817,0.3,2446,0.8,4943,1.6,4575,1.1
122,2,6,10,1,4,たばこ,817,0.3,786,0.3,936,0.3,653,0.2,1107,0.3
123,2,6,10,1,5,他の諸雑費,18147,6.1,24306,9.4,15261,4.9,11760,3.7,10095,2.4
124,2,5,10,2,0,こづかい,5672,1.9,3481,1.4,6145,2.0,6343,2.0,16808,4.0
125,2,5,10,3,0,交際費,10635,3.6,11527,4.5,11089,3.5,8727,2.7,9120,2.2
126,2,6,10,3,0,食料,2511,0.8,3307,1.3,1444,0.5,2386,0.8,2047,0.5
127,2,6,10,3,0,家具・家事用品,174,0.1,181,0.1,99,0.0,302,0.1,-,-
128,2,6,10,3,0,被服及び履物,262,0.1,491,0.2,128,0.0,-,-,169,0.0
129,2,6,10,3,0,教養娯楽,429,0.1,367,0.1,428,0.1,109,0.0,2032,0.5
130,2,6,10,3,0,他の物品サービス,264,0.1,514,0.2,6,0.0,135,0.0,96,0.0
131,2,6,10,3,6,贈与金,2908,1.0,2986,1.2,2566,0.8,3247,1.0,2671,0.6
132,2,6,10,3,7,他の交際費,4088,1.4,3681,1.4,6418,2.0,2547,0.8,2105,0.5
133,2,5,10,4,0,仕送り金,924,0.3,697,0.3,421,0.1,2256,0.7,-,-
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,17878,6.0,717,0.3,13624,4.3,33177,10.4,104552,24.8
136,2,3,0,0,0,（再掲）教養娯楽関係費,36225,12.2,32608,12.7,37651,12.0,37883,11.9,49742,11.8
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,3833,1.3,3682,1.4,2987,1.0,5502,1.7,2671,0.6
138,2,3,0,0,0,（再掲）経常消費支出,225740,76.1,203844,79.1,238897,76.1,239227,75.3,274724,65.1
139,2,3,0,0,0,（再掲）情報通信関係費,15053,5.1,13150,5.1,16356,5.2,17132,5.4,15315,3.6
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,267682,90.2,235042,91.2,270333,86.2,289720,91.2,409851,97.1
