1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,
2,,,,,,,第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
93,2,5,6,1,0,医薬品,2743,0.9,2888,0.9,1759,0.5,3200,1.4,2144,0.6
94,2,5,6,2,0,健康保持用摂取品,1179,0.4,1223,0.4,1058,0.3,1112,0.5,211,0.1
95,2,5,6,3,0,保健医療用品・器具,2386,0.8,2438,0.8,2526,0.7,959,0.4,2112,0.6
96,2,5,6,4,0,保健医療サービス,8062,2.6,8730,2.8,4671,1.4,5689,2.4,6726,1.9
97,2,4,7,0,0,交通・通信,33055,10.5,32533,10.4,33852,9.8,29306,12.4,58319,16.8
98,2,5,7,1,0,交通,9108,2.9,8473,2.7,11990,3.5,5867,2.5,24115,7.0
99,2,5,7,2,0,自動車等関係費,11362,3.6,11663,3.7,9610,2.8,12795,5.4,7140,2.1
100,2,6,7,2,1,自動車等購入,-,-,-,-,-,-,-,-,-,-
101,2,6,7,2,2,自転車購入,1218,0.4,1411,0.5,516,0.1,-,-,-,-
102,2,6,7,2,3,自動車等維持,10145,3.2,10252,3.3,9093,2.6,12795,5.4,7140,2.1
103,2,5,7,3,0,通信,12584,4.0,12398,4.0,12252,3.6,10644,4.5,27064,7.8
104,2,4,8,0,0,教育,18983,6.0,20283,6.5,13822,4.0,1708,0.7,32626,9.4
105,2,5,8,1,0,授業料等,15956,5.1,17291,5.5,9703,2.8,951,0.4,30818,8.9
106,2,5,8,2,0,教科書・学習参考教材,125,0.0,134,0.0,49,0.0,244,0.1,-,-
107,2,5,8,3,0,補習教育,2902,0.9,2858,0.9,4070,1.2,514,0.2,1808,0.5
108,2,4,9,0,0,教養娯楽,38343,12.2,41137,13.2,30829,9.0,13536,5.7,17815,5.1
109,2,5,9,1,0,教養娯楽用耐久財,3093,1.0,3372,1.1,2116,0.6,283,0.1,3284,0.9
110,2,5,9,2,0,教養娯楽用品,9582,3.0,10165,3.3,7937,2.3,3993,1.7,6679,1.9
111,2,5,9,3,0,書籍・他の印刷物,3187,1.0,3371,1.1,2586,0.8,2363,1.0,903,0.3
112,2,5,9,4,0,教養娯楽サービス,22481,7.2,24229,7.8,18191,5.3,6897,2.9,6949,2.0
113,2,6,9,4,1,宿泊料,3170,1.0,3526,1.1,2297,0.7,-,-,-,-
114,2,6,9,4,2,パック旅行費,2845,0.9,3416,1.1,266,0.1,86,0.0,1045,0.3
115,2,6,9,4,3,月謝類,3523,1.1,3619,1.2,4226,1.2,313,0.1,1086,0.3
116,2,6,9,4,4,他の教養娯楽サービス,12943,4.1,13668,4.4,11402,3.3,6498,2.8,4818,1.4
117,2,4,10,0,0,その他の消費支出,43426,13.8,45873,14.7,33996,9.9,22856,9.7,42493,12.2
118,2,5,10,1,0,諸雑費,21809,6.9,22354,7.2,20979,6.1,12733,5.4,22245,6.4
119,2,6,10,1,1,理美容サービス,3929,1.3,4103,1.3,4013,1.2,1048,0.4,1640,0.5
120,2,6,10,1,2,理美容用品,4678,1.5,4724,1.5,4320,1.3,3758,1.6,6971,2.0
121,2,6,10,1,3,身の回り用品,1963,0.6,2021,0.6,2071,0.6,692,0.3,1300,0.4
122,2,6,10,1,4,たばこ,1145,0.4,1077,0.3,1363,0.4,1606,0.7,1703,0.5
123,2,6,10,1,5,他の諸雑費,10095,3.2,10428,3.3,9212,2.7,5629,2.4,10631,3.1
124,2,5,10,2,0,こづかい,5004,1.6,5675,1.8,1093,0.3,4708,2.0,2777,0.8
125,2,5,10,3,0,交際費,14532,4.6,15379,4.9,11591,3.4,4756,2.0,17471,5.0
126,2,6,10,3,0,食料,4997,1.6,5111,1.6,4488,1.3,3316,1.4,6929,2.0
127,2,6,10,3,0,家具・家事用品,166,0.1,196,0.1,16,0.0,-,-,205,0.1
128,2,6,10,3,0,被服及び履物,705,0.2,786,0.3,449,0.1,57,0.0,212,0.1
129,2,6,10,3,0,教養娯楽,686,0.2,746,0.2,529,0.2,261,0.1,-,-
130,2,6,10,3,0,他の物品サービス,557,0.2,586,0.2,587,0.2,-,-,219,0.1
131,2,6,10,3,6,贈与金,3853,1.2,4002,1.3,3360,1.0,383,0.2,7797,2.2
132,2,6,10,3,7,他の交際費,3568,1.1,3952,1.3,2162,0.6,738,0.3,2110,0.6
133,2,5,10,4,0,仕送り金,2080,0.7,2465,0.8,332,0.1,659,0.3,-,-
134,2,3,0,0,0,土地家屋購入,2179,-,2668,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,21623,6.9,22996,7.4,16492,4.8,3408,1.4,33806,9.7
136,2,3,0,0,0,（再掲）教養娯楽関係費,44280,14.1,46358,14.8,39829,11.6,17612,7.5,38154,11.0
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,5933,1.9,6467,2.1,3692,1.1,1042,0.4,7797,2.2
138,2,3,0,0,0,（再掲）経常消費支出,234815,74.7,227662,72.8,283869,82.5,211352,89.6,263273,75.9
139,2,3,0,0,0,（再掲）情報通信関係費,16318,5.2,16498,5.3,16484,4.8,12607,5.3,14900,4.3
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,284909,90.7,294533,94.2,247153,71.8,194924,82.6,304550,87.8
