"町丁目","調査区域面積[平方メートル]","総合支所","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被地[平方メートル]","オープンスペース[平方メートル]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]","緑被率[％]","オープンスペース率[％]"
"三田一丁目","231,166 ","芝地区","33,143 ","2,777 ","3,647 ","3,072 ","4,446 ","39,567 ","47,085 ","14.34 ","1.20 ","1.58 ","1.33 ","1.92 ","17.12 ","20.37 "
"三田二丁目","318,312 ","芝地区","90,913 ","5,582 ","1,865 ","9,338 ","1,806 ","98,360 ","109,504 ","28.56 ","1.75 ","0.59 ","2.93 ","0.57 ","30.90 ","34.40 "
"三田三丁目","165,544 ","芝地区","20,869 ","1,525 ","1,748 ","1,707 ","0 ","24,143 ","25,849 ","12.61 ","0.92 ","1.06 ","1.03 ","0.00 ","14.58 ","15.61 "
"浜松町一丁目","88,070 ","芝地区","2,552 ","2 ","1,220 ","5,790 ","0 ","3,774 ","9,564 ","2.90 ","0.00 ","1.39 ","6.57 ","0.00 ","4.29 ","10.86 "
"浜松町二丁目","81,920 ","芝地区","3,593 ","0 ","790 ","10,111 ","0 ","4,382 ","14,494 ","4.39 ","0.00 ","0.96 ","12.34 ","0.00 ","5.35 ","17.69 "
"芝大門一丁目","83,987 ","芝地区","6,773 ","0 ","919 ","0 ","0 ","7,692 ","7,692 ","8.06 ","0.00 ","1.09 ","0.00 ","0.00 ","9.16 ","9.16 "
"芝大門二丁目","68,694 ","芝地区","1,802 ","0 ","168 ","0 ","0 ","1,971 ","1,971 ","2.62 ","0.00 ","0.25 ","0.00 ","0.00 ","2.87 ","2.87 "
"芝公園一丁目","69,868 ","芝地区","10,908 ","942 ","1,463 ","0 ","0 ","13,313 ","13,313 ","15.61 ","1.35 ","2.09 ","0.00 ","0.00 ","19.05 ","19.06 "
"芝公園二丁目","98,629 ","芝地区","14,833 ","742 ","572 ","168 ","0 ","16,147 ","16,314 ","15.04 ","0.75 ","0.58 ","0.17 ","0.00 ","16.37 ","16.54 "
"芝公園三丁目","220,166 ","芝地区","69,850 ","2,942 ","1,227 ","4,297 ","0 ","74,019 ","78,316 ","31.73 ","1.34 ","0.56 ","1.95 ","0.00 ","33.62 ","35.57 "
"芝公園四丁目","264,685 ","芝地区","118,447 ","15,616 ","0 ","8,418 ","0 ","134,063 ","142,481 ","44.75 ","5.90 ","0.00 ","3.18 ","0.00 ","50.65 ","53.83 "
"虎ノ門一丁目","130,034 ","芝地区","6,935 ","0 ","3,387 ","4,839 ","0 ","10,322 ","15,161 ","5.33 ","0.00 ","2.60 ","3.72 ","0.00 ","7.94 ","11.66 "
"虎ノ門二丁目","127,810 ","芝地区","7,950 ","1 ","601 ","33,739 ","0 ","8,553 ","42,291 ","6.22 ","0.00 ","0.47 ","26.40 ","0.00 ","6.69 ","33.09 "
"虎ノ門三丁目","126,632 ","芝地区","19,543 ","1,101 ","378 ","3,653 ","164 ","21,022 ","24,839 ","15.43 ","0.87 ","0.30 ","2.88 ","0.13 ","16.60 ","19.62 "
"虎ノ門四丁目","85,123 ","芝地区","19,157 ","264 ","190 ","13,549 ","0 ","19,611 ","33,161 ","22.51 ","0.31 ","0.22 ","15.92 ","0.00 ","23.04 ","38.96 "
"虎ノ門五丁目","78,623 ","芝地区","15,419 ","619 ","2,094 ","850 ","0 ","18,132 ","18,982 ","19.61 ","0.79 ","2.66 ","1.08 ","0.00 ","23.06 ","24.14 "
"愛宕一丁目","36,549 ","芝地区","14,556 ","396 ","126 ","3,071 ","0 ","15,077 ","18,148 ","39.82 ","1.08 ","0.34 ","8.40 ","0.00 ","41.25 ","49.65 "
"愛宕二丁目","40,767 ","芝地区","18,654 ","467 ","325 ","7 ","0 ","19,446 ","19,452 ","45.76 ","1.15 ","0.80 ","0.02 ","0.00 ","47.70 ","47.72 "
"麻布狸穴町","19,978 ","麻布地区","4,450 ","62 ","428 ","483 ","0 ","4,940 ","5,423 ","22.28 ","0.31 ","2.14 ","2.42 ","0.00 ","24.73 ","27.15 "
"麻布永坂町","50,477 ","麻布地区","21,016 ","2,324 ","341 ","0 ","0 ","23,681 ","23,681 ","41.63 ","4.60 ","0.68 ","0.00 ","0.00 ","46.91 ","46.91 "
"南麻布一丁目","158,876 ","麻布地区","18,816 ","1,675 ","1,295 ","887 ","612 ","21,785 ","23,285 ","11.84 ","1.05 ","0.82 ","0.56 ","0.39 ","13.71 ","14.66 "
"南麻布二丁目","143,078 ","麻布地区","12,241 ","195 ","1,135 ","0 ","1,066 ","13,571 ","14,637 ","8.56 ","0.14 ","0.79 ","0.00 ","0.74 ","9.48 ","10.23 "
"南麻布三丁目","192,488 ","麻布地区","35,087 ","2,363 ","3,834 ","969 ","539 ","41,284 ","42,792 ","18.23 ","1.23 ","1.99 ","0.50 ","0.28 ","21.45 ","22.23 "
"南麻布四丁目","261,656 ","麻布地区","65,739 ","11,135 ","2,953 ","888 ","1,257 ","79,828 ","81,974 ","25.12 ","4.26 ","1.13 ","0.34 ","0.48 ","30.51 ","31.33 "
"南麻布五丁目","233,184 ","麻布地区","77,972 ","4,612 ","2,284 ","10,938 ","1,239 ","84,869 ","97,045 ","33.44 ","1.98 ","0.98 ","4.69 ","0.53 ","36.40 ","41.62 "
"元麻布一丁目","94,750 ","麻布地区","27,642 ","739 ","955 ","0 ","0 ","29,335 ","29,335 ","29.17 ","0.78 ","1.01 ","0.00 ","0.00 ","30.96 ","30.96 "
"元麻布二丁目","141,104 ","麻布地区","25,058 ","245 ","1,808 ","5,788 ","130 ","27,111 ","33,029 ","17.76 ","0.17 ","1.28 ","4.10 ","0.09 ","19.21 ","23.41 "
"元麻布三丁目","140,354 ","麻布地区","24,202 ","3,190 ","2,525 ","630 ","0 ","29,917 ","30,546 ","17.24 ","2.27 ","1.80 ","0.45 ","0.00 ","21.32 ","21.76 "
"西麻布一丁目","93,777 ","麻布地区","5,469 ","386 ","301 ","0 ","0 ","6,157 ","6,157 ","5.83 ","0.41 ","0.32 ","0.00 ","0.00 ","6.57 ","6.57 "
"西麻布二丁目","143,354 ","麻布地区","15,077 ","254 ","613 ","2,699 ","0 ","15,944 ","18,643 ","10.52 ","0.18 ","0.43 ","1.88 ","0.00 ","11.12 ","13.00 "
"西麻布三丁目","188,760 ","麻布地区","23,571 ","653 ","1,980 ","772 ","0 ","26,203 ","26,976 ","12.49 ","0.35 ","1.05 ","0.41 ","0.00 ","13.88 ","14.29 "
"西麻布四丁目","169,713 ","麻布地区","26,733 ","351 ","1,592 ","5,285 ","0 ","28,677 ","33,962 ","15.75 ","0.21 ","0.94 ","3.11 ","0.00 ","16.90 ","20.01 "
"六本木一丁目","151,165 ","麻布地区","48,061 ","845 ","4,288 ","44 ","0 ","53,194 ","53,239 ","31.79 ","0.56 ","2.84 ","0.03 ","0.00 ","35.19 ","35.22 "
"六本木二丁目","73,981 ","麻布地区","18,212 ","5,626 ","243 ","0 ","1,121 ","24,082 ","25,203 ","24.62 ","7.60 ","0.33 ","0.00 ","1.52 ","32.55 ","34.07 "
"六本木三丁目","188,970 ","麻布地区","13,703 ","568 ","2,693 ","0 ","0 ","16,964 ","16,964 ","7.25 ","0.30 ","1.43 ","0.00 ","0.00 ","8.98 ","8.98 "
"六本木四丁目","94,804 ","麻布地区","8,367 ","582 ","803 ","0 ","0 ","9,752 ","9,752 ","8.83 ","0.61 ","0.85 ","0.00 ","0.00 ","10.29 ","10.29 "
"六本木五丁目","203,207 ","麻布地区","41,641 ","2,564 ","2,343 ","2,324 ","132 ","46,549 ","49,005 ","20.49 ","1.26 ","1.15 ","1.14 ","0.07 ","22.91 ","24.12 "
"六本木六丁目","209,016 ","麻布地区","31,093 ","6,083 ","9,150 ","4,338 ","251 ","46,326 ","50,833 ","14.88 ","2.91 ","4.38 ","2.08 ","0.12 ","22.16 ","24.36 "
"六本木七丁目","277,735 ","麻布地区","38,467 ","15,395 ","2,592 ","5,413 ","0 ","56,453 ","61,867 ","13.85 ","5.54 ","0.93 ","1.95 ","0.00 ","20.33 ","22.28 "
"麻布台一丁目","122,742 ","麻布地区","20,590 ","1,489 ","472 ","0 ","90 ","22,551 ","22,641 ","16.77 ","1.21 ","0.38 ","0.00 ","0.07 ","18.37 ","18.45 "
"麻布台二丁目","57,759 ","麻布地区","13,219 ","1,186 ","775 ","0 ","0 ","15,180 ","15,180 ","22.89 ","2.05 ","1.34 ","0.00 ","0.00 ","26.28 ","26.28 "
"麻布台三丁目","37,895 ","麻布地区","3,853 ","13 ","137 ","0 ","0 ","4,003 ","4,003 ","10.17 ","0.04 ","0.36 ","0.00 ","0.00 ","10.56 ","10.56 "
"麻布十番一丁目","56,656 ","麻布地区","2,703 ","0 ","319 ","0 ","0 ","3,022 ","3,022 ","4.77 ","0.00 ","0.56 ","0.00 ","0.00 ","5.33 ","5.33 "
"麻布十番二丁目","66,832 ","麻布地区","3,389 ","8 ","260 ","446 ","0 ","3,657 ","4,103 ","5.07 ","0.01 ","0.39 ","0.67 ","0.00 ","5.47 ","6.14 "
"麻布十番三丁目","33,414 ","麻布地区","797 ","0 ","57 ","0 ","0 ","854 ","854 ","2.39 ","0.00 ","0.17 ","0.00 ","0.00 ","2.56 ","2.56 "
"麻布十番四丁目","17,085 ","麻布地区","1,139 ","0 ","31 ","0 ","976 ","1,171 ","2,147 ","6.67 ","0.00 ","0.18 ","0.00 ","5.71 ","6.85 ","12.57 "
"東麻布一丁目","90,873 ","麻布地区","5,779 ","311 ","579 ","825 ","0 ","6,670 ","7,495 ","6.36 ","0.34 ","0.64 ","0.91 ","0.00 ","7.34 ","8.25 "
"東麻布二丁目","100,702 ","麻布地区","5,944 ","849 ","597 ","241 ","617 ","7,391 ","8,249 ","5.90 ","0.84 ","0.59 ","0.24 ","0.61 ","7.34 ","8.19 "
"東麻布三丁目","43,350 ","麻布地区","2,506 ","167 ","161 ","0 ","100 ","2,834 ","2,934 ","5.78 ","0.39 ","0.37 ","0.00 ","0.23 ","6.54 ","6.77 "
"元赤坂一丁目","92,986 ","赤坂地区","9,833 ","1,372 ","1,126 ","0 ","8,565 ","12,331 ","20,897 ","10.57 ","1.48 ","1.21 ","0.00 ","9.21 ","13.26 ","22.47 "
"元赤坂二丁目","717,996 ","赤坂地区","466,209 ","80,521 ","129 ","9,544 ","16,641 ","546,859 ","573,044 ","64.93 ","11.21 ","0.02 ","1.33 ","2.32 ","76.16 ","79.81 "
"赤坂一丁目","153,316 ","赤坂地区","27,496 ","2,319 ","3,301 ","0 ","45 ","33,117 ","33,161 ","17.93 ","1.51 ","2.15 ","0.00 ","0.03 ","21.60 ","21.63 "
"赤坂二丁目","208,053 ","赤坂地区","21,915 ","474 ","2,686 ","0 ","0 ","25,074 ","25,074 ","10.53 ","0.23 ","1.29 ","0.00 ","0.00 ","12.05 ","12.05 "
"赤坂三丁目","95,366 ","赤坂地区","1,940 ","703 ","492 ","667 ","0 ","3,135 ","3,802 ","2.03 ","0.74 ","0.52 ","0.70 ","0.00 ","3.29 ","3.99 "
"赤坂四丁目","151,793 ","赤坂地区","17,290 ","1,392 ","1,371 ","7,219 ","0 ","20,053 ","27,272 ","11.39 ","0.92 ","0.90 ","4.76 ","0.00 ","13.21 ","17.97 "
"赤坂五丁目","106,981 ","赤坂地区","21,250 ","767 ","1,761 ","1,702 ","0 ","23,778 ","25,479 ","19.86 ","0.72 ","1.65 ","1.59 ","0.00 ","22.23 ","23.82 "
"赤坂六丁目","182,848 ","赤坂地区","37,458 ","1,822 ","2,602 ","769 ","55 ","41,882 ","42,706 ","20.49 ","1.00 ","1.42 ","0.42 ","0.03 ","22.91 ","23.36 "
"赤坂七丁目","163,340 ","赤坂地区","28,442 ","3,203 ","785 ","2,483 ","71 ","32,430 ","34,984 ","17.41 ","1.96 ","0.48 ","1.52 ","0.04 ","19.85 ","21.42 "
"赤坂八丁目","176,341 ","赤坂地区","33,118 ","970 ","3,086 ","724 ","0 ","37,174 ","37,898 ","18.78 ","0.55 ","1.75 ","0.41 ","0.00 ","21.08 ","21.49 "
"赤坂九丁目","176,962 ","赤坂地区","38,911 ","8,848 ","3,598 ","2,925 ","1,281 ","51,358 ","55,564 ","21.99 ","5.00 ","2.03 ","1.65 ","0.72 ","29.02 ","31.40 "
"南青山一丁目","164,558 ","赤坂地区","26,326 ","10,455 ","629 ","1,789 ","0 ","37,410 ","39,199 ","16.00 ","6.35 ","0.38 ","1.09 ","0.00 ","22.73 ","23.82 "
"南青山二丁目","509,427 ","赤坂地区","160,724 ","36,983 ","1,857 ","992 ","0 ","199,564 ","200,556 ","31.55 ","7.26 ","0.36 ","0.19 ","0.00 ","39.17 ","39.37 "
"南青山三丁目","128,809 ","赤坂地区","9,992 ","808 ","679 ","679 ","0 ","11,480 ","12,159 ","7.76 ","0.63 ","0.53 ","0.53 ","0.00 ","8.91 ","9.44 "
"南青山四丁目","207,220 ","赤坂地区","38,059 ","3,026 ","1,339 ","1,686 ","0 ","42,424 ","44,110 ","18.37 ","1.46 ","0.65 ","0.81 ","0.00 ","20.47 ","21.29 "
"南青山五丁目","162,617 ","赤坂地区","12,810 ","461 ","2,402 ","0 ","0 ","15,673 ","15,673 ","7.88 ","0.28 ","1.48 ","0.00 ","0.00 ","9.64 ","9.64 "
"南青山六丁目","133,983 ","赤坂地区","27,157 ","507 ","771 ","18 ","23 ","28,435 ","28,477 ","20.27 ","0.38 ","0.58 ","0.01 ","0.02 ","21.22 ","21.25 "
"南青山七丁目","99,456 ","赤坂地区","12,976 ","443 ","668 ","726 ","0 ","14,087 ","14,813 ","13.05 ","0.45 ","0.67 ","0.73 ","0.00 ","14.16 ","14.89 "
"北青山一丁目","150,371 ","赤坂地区","60,706 ","3,136 ","458 ","6,890 ","0 ","64,300 ","71,190 ","40.37 ","2.09 ","0.30 ","4.58 ","0.00 ","42.76 ","47.34 "
"北青山二丁目","200,529 ","赤坂地区","25,155 ","12,267 ","1,247 ","9,065 ","0 ","38,669 ","47,734 ","12.54 ","6.12 ","0.62 ","4.52 ","0.00 ","19.28 ","23.80 "
"北青山三丁目","151,248 ","赤坂地区","30,130 ","1,029 ","1,696 ","0 ","0 ","32,855 ","32,855 ","19.92 ","0.68 ","1.12 ","0.00 ","0.00 ","21.72 ","21.72 "
"三田四丁目","242,855 ","高輪地区","53,313 ","6,385 ","2,694 ","4,552 ","48 ","62,393 ","66,994 ","21.95 ","2.63 ","1.11 ","1.87 ","0.02 ","25.69 ","27.59 "
"三田五丁目","115,158 ","高輪地区","10,401 ","54 ","136 ","1,580 ","0 ","10,591 ","12,170 ","9.03 ","0.05 ","0.12 ","1.37 ","0.00 ","9.20 ","10.57 "
"高輪一丁目","248,596 ","高輪地区","55,992 ","3,384 ","941 ","6,216 ","0 ","60,316 ","66,532 ","22.52 ","1.36 ","0.38 ","2.50 ","0.00 ","24.26 ","26.76 "
"高輪二丁目","330,184 ","高輪地区","59,590 ","6,043 ","1,471 ","2,311 ","55 ","67,105 ","69,470 ","18.05 ","1.83 ","0.45 ","0.70 ","0.02 ","20.32 ","21.04 "
"高輪三丁目","436,155 ","高輪地区","108,783 ","4,381 ","3,512 ","2,170 ","1,085 ","116,676 ","119,930 ","24.94 ","1.00 ","0.81 ","0.50 ","0.25 ","26.75 ","27.50 "
"高輪四丁目","314,673 ","高輪地区","64,568 ","8,240 ","3,098 ","2,234 ","0 ","75,906 ","78,140 ","20.52 ","2.62 ","0.98 ","0.71 ","0.00 ","24.12 ","24.83 "
"白金一丁目","135,543 ","高輪地区","11,748 ","1,479 ","622 ","199 ","1,019 ","13,849 ","15,067 ","8.67 ","1.09 ","0.46 ","0.15 ","0.75 ","10.22 ","11.12 "
"白金二丁目","154,777 ","高輪地区","41,260 ","8,219 ","856 ","8,096 ","0 ","50,334 ","58,430 ","26.66 ","5.31 ","0.55 ","5.23 ","0.00 ","32.52 ","37.75 "
"白金三丁目","106,878 ","高輪地区","6,728 ","331 ","463 ","450 ","550 ","7,521 ","8,522 ","6.29 ","0.31 ","0.43 ","0.42 ","0.51 ","7.04 ","7.97 "
"白金四丁目","156,877 ","高輪地区","49,790 ","4,315 ","1,018 ","2,301 ","0 ","55,123 ","57,424 ","31.74 ","2.75 ","0.65 ","1.47 ","0.00 ","35.14 ","36.60 "
"白金五丁目","97,030 ","高輪地区","7,598 ","546 ","305 ","1,548 ","1,341 ","8,449 ","11,338 ","7.83 ","0.56 ","0.31 ","1.60 ","1.38 ","8.71 ","11.69 "
"白金六丁目","119,976 ","高輪地区","18,716 ","380 ","274 ","0 ","0 ","19,370 ","19,370 ","15.60 ","0.32 ","0.23 ","0.00 ","0.00 ","16.14 ","16.14 "
"白金台一丁目","147,574 ","高輪地区","39,011 ","3,792 ","220 ","15 ","401 ","43,023 ","43,439 ","26.43 ","2.57 ","0.15 ","0.01 ","0.27 ","29.15 ","29.44 "
"白金台二丁目","151,720 ","高輪地区","28,941 ","1,433 ","641 ","2,639 ","0 ","31,014 ","33,653 ","19.08 ","0.94 ","0.42 ","1.74 ","0.00 ","20.44 ","22.18 "
"白金台三丁目","159,213 ","高輪地区","34,322 ","644 ","423 ","0 ","0 ","35,389 ","35,389 ","21.56 ","0.40 ","0.27 ","0.00 ","0.00 ","22.23 ","22.23 "
"白金台四丁目","161,583 ","高輪地区","38,076 ","3,940 ","771 ","1,195 ","156 ","42,787 ","44,138 ","23.56 ","2.44 ","0.48 ","0.74 ","0.10 ","26.48 ","27.32 "
"白金台五丁目","362,830 ","高輪地区","232,983 ","4,658 ","1,497 ","1,052 ","779 ","239,137 ","240,968 ","64.21 ","1.28 ","0.41 ","0.29 ","0.21 ","65.91 ","66.41 "
"芝浦一丁目","293,129 ","芝浦港南地区","37,437 ","10,280 ","3,086 ","3,443 ","30,504 ","50,803 ","84,750 ","12.77 ","3.51 ","1.05 ","1.17 ","10.41 ","17.33 ","28.91 "
"芝浦二丁目","120,899 ","芝浦港南地区","10,978 ","1,419 ","511 ","2,176 ","3,200 ","12,908 ","18,283 ","9.08 ","1.17 ","0.42 ","1.80 ","2.65 ","10.68 ","15.12 "
"芝浦三丁目","256,604 ","芝浦港南地区","26,296 ","4,360 ","483 ","23,273 ","12,832 ","31,139 ","67,245 ","10.25 ","1.70 ","0.19 ","9.07 ","5.00 ","12.14 ","26.21 "
"芝浦四丁目","545,642 ","芝浦港南地区","63,138 ","12,077 ","3,630 ","15,737 ","67,780 ","78,845 ","162,363 ","11.57 ","2.21 ","0.67 ","2.88 ","12.42 ","14.45 ","29.76 "
"海岸二丁目","149,630 ","芝浦港南地区","10,252 ","1,564 ","0 ","0 ","6,207 ","11,815 ","18,022 ","6.85 ","1.05 ","0.00 ","0.00 ","4.15 ","7.90 ","12.04 "
"海岸三丁目","585,716 ","芝浦港南地区","36,440 ","5,392 ","964 ","4,631 ","35,567 ","42,796 ","82,994 ","6.22 ","0.92 ","0.16 ","0.79 ","6.07 ","7.31 ","14.17 "
"港南一丁目","419,947 ","芝浦港南地区","59,574 ","23,557 ","6,187 ","6,163 ","40,913 ","89,318 ","136,394 ","14.19 ","5.61 ","1.47 ","1.47 ","9.74 ","21.27 ","32.48 "
"港南二丁目","694,539 ","芝浦港南地区","35,134 ","5,681 ","10,126 ","79,783 ","27,463 ","50,941 ","158,187 ","5.06 ","0.82 ","1.46 ","11.49 ","3.95 ","7.33 ","22.78 "
"港南三丁目","276,115 ","芝浦港南地区","24,791 ","7,619 ","1,573 ","21,141 ","63,402 ","33,983 ","118,525 ","8.98 ","2.76 ","0.57 ","7.66 ","22.96 ","12.31 ","42.93 "
"港南四丁目","418,815 ","芝浦港南地区","71,840 ","53,519 ","2,626 ","15,717 ","30,489 ","127,984 ","174,191 ","17.15 ","12.78 ","0.63 ","3.75 ","7.28 ","30.56 ","41.59 "
"港南五丁目","441,237 ","芝浦港南地区","24,399 ","5,171 ","2,024 ","2,279 ","182 ","31,594 ","34,055 ","5.53 ","1.17 ","0.46 ","0.52 ","0.04 ","7.16 ","7.72 "
"台場一丁目","427,153 ","芝浦港南地区","132,516 ","32,804 ","3,040 ","22,793 ","6 ","168,360 ","191,159 ","31.02 ","7.68 ","0.71 ","5.34 ","0.00 ","39.41 ","44.75 "
"台場二丁目","223,641 ","芝浦港南地区","27,925 ","7,273 ","2,496 ","1,086 ","0 ","37,693 ","38,779 ","12.49 ","3.25 ","1.12 ","0.49 ","0.00 ","16.85 ","17.34 "

"※平成28年6月18日現在のデータである",,,,,,,,,,,,,,,,
"※調査区域面積は東京都都市計画基本図データによる行政界図形面積とする",,,,,,,,,,,,,,,,
"※緑被地は樹木被覆地、草地、屋上緑地とする",,,,,,,,,,,,,,,,
"※オープンスペースは樹木被覆地、草地、屋上緑地、裸地、水面とする",,,,,,,,,,,,,,,,
"※面積は小数第1位を四捨五入により集計値が合わない場合がある",,,,,,,,,,,,,,,,

"港区みどりの実態調査（第９次）町丁目別緑被地等一覧","Ver201606",,,,,,,,,,,,,,,
