年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
19,4,2,9,14,16,15,7,3,6,9,7,5,22,19,23,13,15,11,2,2,3,1,8,2,7,5,13,7,72,56,8,5,8,6,7,8,12,9,10,10,7,11,4,5,6,14,10,8,2,6,3,3,7,8,2,0,9,7,7,2,12,9,3,3,0,0,7,9,15,10,4,12,2,1,5,10,11,13,24,15,7,7,9,5,9,15,4,3,8,8,12,12,14,8,7,1,6,10,9,12,0,0,10,7,4,18,8,7,4,4,2,1,13,22,11,16,4,6,1,3,3,4,2,4,11,8,11,9,4,6,4,8,9,11,17,14,7,7,10,9,13,21,2,4,7,7,8,19,7,6,5,2,3,6,8,1,1,3,1,0,4,3,12,11,690,676,"1,366"
20,5,6,14,12,5,5,11,10,5,7,3,3,20,14,20,18,8,10,3,3,2,0,4,3,6,2,17,20,70,45,2,5,10,3,5,7,4,1,20,12,7,4,3,4,13,19,14,6,4,6,10,6,8,16,2,1,8,17,1,6,10,8,0,1,2,0,10,10,16,14,6,14,5,12,4,5,9,16,30,25,8,10,14,9,8,5,1,7,17,12,5,17,10,13,6,4,13,6,8,9,0,0,7,6,17,17,3,5,2,2,2,1,16,13,10,9,11,6,2,1,6,6,1,3,11,13,10,10,10,12,10,10,11,6,21,7,18,11,11,10,9,20,3,7,8,3,7,13,19,6,4,7,0,2,3,2,2,6,1,0,5,4,13,8,739,694,"1,433"
21,3,4,11,29,5,7,4,12,9,7,6,8,17,16,20,14,15,7,4,3,5,1,5,2,12,7,24,22,71,58,4,5,8,5,3,4,8,6,27,19,5,8,1,7,28,18,9,10,4,3,2,10,7,11,1,3,15,8,3,1,12,9,0,1,0,0,5,7,17,18,8,11,5,9,5,8,7,11,27,33,12,11,15,3,4,10,3,0,18,16,23,15,12,12,9,3,8,5,14,11,0,0,10,18,13,22,6,4,1,3,2,1,22,26,9,15,9,9,0,4,6,4,1,3,16,12,13,9,11,9,7,10,9,9,19,11,12,16,14,23,19,14,2,3,5,8,6,11,12,7,2,0,2,2,6,3,4,0,4,0,4,1,20,12,806,777,"1,583"
22,2,6,21,30,10,12,11,6,7,4,6,5,15,14,22,18,14,7,3,2,0,0,2,2,5,4,22,24,87,66,3,4,6,8,10,4,12,8,25,20,6,17,6,8,25,18,15,10,3,2,3,7,15,16,2,2,10,13,3,2,5,7,5,1,1,0,9,12,24,19,5,6,22,8,2,13,13,11,20,41,7,8,7,2,7,8,4,2,10,16,15,16,8,8,4,7,6,9,13,11,0,0,7,12,10,7,5,2,3,2,2,1,22,31,20,10,8,6,4,3,6,7,2,4,16,12,15,10,18,9,3,11,7,4,20,6,11,11,13,17,10,13,6,4,8,2,12,9,8,7,7,2,2,2,2,3,1,2,0,2,1,1,12,24,819,780,"1,599"
23,0,4,26,30,14,9,17,17,8,5,7,2,10,11,11,16,10,11,0,0,1,1,8,3,9,7,27,20,62,55,8,3,9,6,11,10,5,9,29,16,15,16,7,20,20,12,13,2,5,3,3,6,7,12,4,5,7,9,5,6,10,7,1,2,1,1,17,10,21,17,7,6,16,8,12,15,7,11,29,32,1,9,9,2,8,10,0,2,8,19,10,24,13,10,9,10,8,8,8,9,0,0,17,17,15,9,1,9,5,1,4,4,25,25,12,21,2,10,0,0,2,1,5,4,21,15,5,6,14,11,5,8,8,7,7,5,18,20,12,8,10,12,1,3,5,4,10,11,4,6,2,5,3,3,6,2,0,1,3,0,2,1,13,16,790,783,"1,573"
24,8,4,26,23,11,6,11,16,8,5,4,6,10,15,14,12,12,9,1,0,0,2,6,4,12,4,24,23,70,55,7,6,9,6,10,7,8,14,27,18,17,9,6,11,15,19,14,6,3,7,6,2,12,11,7,4,11,15,2,5,6,6,0,0,0,0,14,10,23,19,13,13,12,15,15,12,14,15,23,24,6,14,8,8,8,7,2,1,8,23,18,16,12,12,7,6,9,4,7,6,0,0,10,11,8,13,2,3,2,3,1,2,17,16,12,9,3,4,0,1,4,5,4,1,18,17,9,7,13,14,8,4,9,10,8,5,28,8,21,17,11,13,3,1,8,6,10,15,6,6,4,4,2,0,6,4,2,0,1,4,3,1,17,12,826,751,"1,577"
25,3,2,24,24,8,9,17,8,12,10,4,9,13,22,16,8,9,9,1,0,6,1,5,0,7,6,27,30,47,49,6,7,6,4,12,4,10,5,24,20,12,19,4,9,9,16,19,13,4,2,4,4,6,10,6,5,3,3,2,4,8,8,2,0,0,1,18,11,25,22,7,9,12,12,6,13,15,12,21,25,1,11,4,7,6,7,2,1,17,27,13,21,8,15,5,2,4,6,11,7,0,0,12,8,10,9,5,1,3,3,1,4,13,20,11,15,4,9,0,1,2,3,2,4,16,20,7,6,15,11,5,8,9,8,5,8,18,14,16,12,10,7,2,2,7,7,5,10,4,6,2,5,0,1,3,1,2,1,1,0,1,0,13,16,715,749,"1,464"
26,4,4,16,20,8,7,16,10,13,9,7,6,13,15,19,10,11,16,1,2,1,5,4,1,6,11,26,14,54,38,6,5,3,4,7,6,8,9,29,12,17,9,8,9,17,14,13,7,6,8,4,5,7,9,0,3,9,10,3,8,6,2,0,0,0,0,15,20,20,27,14,11,9,10,4,10,17,13,26,26,5,10,7,1,5,6,1,0,14,18,10,14,14,17,8,5,7,2,8,9,0,0,8,11,10,11,4,4,5,0,1,1,26,25,15,10,7,9,1,1,1,2,2,3,13,19,4,4,4,5,5,5,12,7,7,6,12,11,19,9,9,14,1,1,5,2,6,10,8,5,5,8,0,4,0,2,0,3,2,1,0,2,14,24,732,706,"1,438"
27,2,4,19,24,10,6,11,9,5,4,5,5,8,9,13,12,6,6,0,1,0,1,5,4,13,11,31,29,56,44,6,3,7,4,13,11,11,10,26,13,14,20,8,11,11,9,6,7,6,6,2,2,10,10,4,5,7,6,6,2,6,4,1,0,1,0,14,14,26,16,6,7,8,12,4,8,14,15,29,20,8,8,8,5,3,7,2,2,14,20,15,16,9,13,11,13,6,4,8,7,0,0,11,9,11,14,5,6,1,3,1,1,20,21,10,9,1,6,2,4,3,4,4,6,9,15,5,9,12,4,5,6,7,5,9,5,18,8,11,10,6,7,1,1,6,5,6,16,7,3,1,1,1,0,0,1,1,2,3,0,0,0,16,14,707,674,"1,381"
28,3,7,16,17,2,4,8,16,10,7,5,3,13,15,12,9,9,4,0,2,1,4,6,6,12,11,28,13,33,38,1,6,11,9,8,5,4,12,11,11,14,16,3,9,14,8,8,8,6,5,3,1,8,10,6,0,4,11,6,7,7,6,0,3,0,0,20,6,14,16,2,7,6,5,6,7,13,15,15,25,9,4,10,4,5,0,1,0,7,7,18,11,14,9,15,5,4,9,4,7,0,0,15,6,16,9,3,5,6,0,1,1,21,19,12,11,8,8,1,2,4,2,3,4,19,18,6,10,14,9,8,2,6,8,6,3,14,10,11,8,16,14,3,2,4,3,9,12,5,5,4,5,0,0,1,1,2,0,1,0,1,1,20,12,675,610,"1,285"
29,3,4,20,16,7,9,14,7,7,9,3,5,12,7,3,6,7,9,5,3,2,2,4,2,11,8,15,15,41,41,4,3,7,8,17,9,3,6,25,19,14,18,12,8,8,9,9,14,6,11,2,5,7,6,0,1,7,4,5,7,9,11,0,0,0,1,16,12,19,15,5,3,9,8,6,10,18,10,20,21,13,6,3,6,3,7,2,1,10,14,12,16,25,21,11,7,6,6,6,5,0,0,12,9,11,9,2,2,4,2,1,0,28,20,11,8,5,6,3,1,4,0,6,3,16,16,7,2,15,10,6,2,8,4,9,5,11,16,11,12,21,18,3,3,3,4,10,7,5,5,2,2,0,1,1,0,1,0,3,1,1,1,16,10,709,630,"1,339"
30,3,2,13,11,7,8,7,14,10,9,6,4,9,11,4,9,9,9,2,2,2,3,5,0,11,7,9,16,41,38,4,2,4,5,11,12,10,11,17,17,18,12,7,5,4,6,8,5,4,7,1,3,10,5,3,5,7,10,6,7,5,8,0,1,1,0,15,17,19,19,10,5,10,9,3,9,15,16,21,11,7,15,3,5,4,9,1,1,6,10,29,16,15,18,14,7,1,5,7,8,0,0,8,11,16,18,3,4,3,3,1,3,21,20,8,9,5,2,4,0,3,1,1,1,11,26,9,6,12,15,9,6,5,5,8,4,11,21,11,11,13,19,0,2,5,4,13,10,4,5,1,0,1,2,1,5,0,0,5,3,1,1,12,16,643,677,"1,320"
31,11,4,17,16,4,7,15,14,13,8,2,9,14,13,8,6,12,4,2,0,0,1,3,2,9,11,17,20,37,36,2,9,6,3,7,9,11,11,27,22,8,9,5,5,9,7,6,9,4,7,7,2,5,9,5,1,9,6,6,4,12,2,2,1,1,0,17,13,25,11,7,4,5,4,14,6,12,15,24,18,13,23,5,7,9,9,2,1,6,10,11,16,14,26,18,6,10,10,4,5,0,0,9,4,8,10,3,5,1,2,0,1,35,23,10,12,14,3,0,2,5,4,6,4,16,15,11,6,13,19,3,7,8,6,5,2,18,18,15,9,20,29,3,0,6,7,8,14,5,7,7,3,1,3,2,2,3,0,3,3,2,1,17,11,749,683,"1,432"
32,7,8,21,16,6,9,17,15,7,10,11,4,12,10,16,10,11,12,3,5,3,0,4,4,13,11,17,16,56,51,2,4,4,10,11,8,12,6,21,15,7,12,10,5,10,14,12,7,5,3,6,0,9,12,3,4,5,8,4,9,10,3,2,2,0,0,15,11,25,15,10,3,4,6,6,12,20,19,33,17,17,18,8,2,11,8,0,1,12,8,28,15,30,22,12,12,4,5,6,5,0,0,17,13,13,14,2,3,4,2,8,5,25,23,22,15,10,6,1,2,6,1,9,5,18,21,13,14,11,20,4,5,5,9,12,9,16,16,13,9,19,27,1,1,9,9,9,14,9,9,3,3,1,0,0,2,1,0,6,1,2,0,15,11,862,751,"1,613"
33,7,7,15,19,8,12,13,12,5,8,7,11,9,13,6,10,15,11,2,1,4,1,5,4,7,5,16,17,48,47,2,5,5,7,13,7,7,13,16,9,13,15,7,5,12,18,4,9,4,5,4,6,9,14,0,3,8,12,8,7,8,10,2,4,1,0,14,16,23,27,6,2,13,11,9,9,19,12,22,27,23,24,6,6,7,3,2,0,8,11,17,19,24,26,11,17,3,5,5,4,0,0,9,15,13,11,2,2,0,3,4,3,27,16,12,11,7,7,3,1,2,3,5,4,28,26,14,15,12,9,9,8,12,11,6,7,17,22,7,9,24,27,3,3,6,8,13,10,5,4,4,5,1,0,4,3,1,2,2,5,1,0,9,14,764,810,"1,574"
34,2,3,21,17,9,7,14,13,13,12,10,4,18,14,16,11,10,8,1,3,3,1,6,6,14,9,17,18,50,44,4,6,9,8,11,10,8,11,22,16,11,12,6,6,14,15,6,4,3,4,1,8,12,9,3,5,9,11,4,6,12,13,5,3,2,1,24,20,25,22,6,1,9,4,4,4,25,18,25,29,19,35,7,8,6,6,1,3,15,10,21,23,22,25,4,15,6,8,7,4,0,0,10,16,13,13,5,2,6,6,4,1,24,15,15,12,8,2,3,2,5,3,1,1,20,27,13,12,20,21,8,12,11,8,18,7,23,17,15,10,23,22,1,2,8,5,11,6,5,6,5,2,0,0,1,3,0,2,4,5,1,2,15,16,868,811,"1,679"
