地域階層,地域コード,地域名,産業分類階層,大分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／売上（収入）金額（百万円）,従業者規模別／1～4人／事業所数（事業所）,従業者規模別／1～4人／従業者数（人）,従業者規模別／1～4人／売上（収入）金額（百万円）,従業者規模別／5～9人／事業所数（事業所）,従業者規模別／5～9人／従業者数（人）,従業者規模別／5～9人／売上（収入）金額（百万円）,従業者規模別／10～19人／事業所数（事業所）,従業者規模別／10～19人／従業者数（人）,従業者規模別／10～19人／売上（収入）金額（百万円）,従業者規模別／20～29人／事業所数（事業所）,従業者規模別／20～29人／従業者数（人）,従業者規模別／20～29人／売上（収入）金額（百万円）,従業者規模別／30～49人／事業所数（事業所）,従業者規模別／30～49人／従業者数（人）,従業者規模別／30～49人／売上（収入）金額（百万円）,従業者規模別／50人以上／事業所数（事業所）,従業者規模別／50人以上／従業者数（人）,従業者規模別／50人以上／売上（収入）金額（百万円）,従業者規模別／出向・派遣従業員のみ／事業所数（事業所）,従業者規模別／出向・派遣従業員のみ／従業者数（人）,従業者規模別／出向・派遣従業員のみ／売上（収入）金額（百万円）
4,13101,千代田区,1,N,生活関連サービス業，娯楽業,660,9583,361720,302,700,19556,141,918,31638,99,1289,46424,37,882,41044,35,1316,112665,33,4478,106547,13,-,3848
4,13101,千代田区,1,O,教育，学習支援業,308,7303,…,109,246,…,58,387,…,57,748,…,17,405,…,27,1018,…,39,4499,…,1,-,…
4,13101,千代田区,2,O1,教育，学習支援業（学校教育）,17,966,…,-,-,…,1,5,…,2,25,…,-,-,…,4,180,…,10,756,…,-,-,…
4,13101,千代田区,2,O2,教育，学習支援業（その他の教育，学習支援業）,291,6337,87703,109,246,2182,57,382,5166,55,723,11645,17,405,x,23,838,7407,29,3743,57391,1,-,x
4,13101,千代田区,1,P,医療，福祉,858,23382,26067967,340,876,43455,255,1638,131678,117,1530,90344,35,817,239773,39,1430,167163,66,17091,25388034,6,-,7521
4,13101,千代田区,1,Q,複合サービス事業,12,67,…,7,13,…,3,21,…,2,33,…,-,-,…,-,-,…,-,-,…,-,-,…
4,13101,千代田区,2,Q1,複合サービス事業（郵便局）,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
4,13101,千代田区,2,Q2,複合サービス事業（協同組合）,12,67,806,7,13,170,3,21,x,2,33,x,-,-,-,-,-,-,-,-,-,-,-,-
4,13101,千代田区,1,R,サービス業（他に分類されないもの）,2270,114966,…,799,1867,…,459,3080,…,301,4084,…,152,3637,…,149,5773,…,347,96525,…,63,-,…
4,13101,千代田区,2,R1,サービス業（政治・経済・文化団体，宗教）,640,5694,…,334,785,…,150,985,…,61,766,…,30,717,…,14,524,…,13,1917,…,38,-,…
4,13101,千代田区,2,R2,サービス業（政治・経済・文化団体，宗教を除く）,1630,109272,1740754,465,1082,30190,309,2095,60887,240,3318,78136,122,2920,46637,135,5249,134104,334,94608,1387102,25,-,3699
4,13102,中央区,1,A～B,農林漁業（Ａ～Ｂ）,17,209,6403,5,16,1051,6,40,2212,4,52,x,-,-,-,1,32,x,1,69,x,-,-,-
4,13102,中央区,1,C,鉱業，採石業，砂利採取業,4,383,12078,-,-,-,2,16,x,1,13,x,-,-,-,-,-,-,1,354,x,-,-,-
4,13102,中央区,1,D,建設業,335,3243,…,139,357,…,101,652,…,58,822,…,13,291,…,17,618,…,5,503,…,2,-,…
4,13102,中央区,1,E,製造業,1208,23176,370011,557,1354,44412,278,1854,60664,148,2005,84461,60,1427,34576,71,2703,55764,82,13833,89535,12,-,599
4,13102,中央区,1,F,電気・ガス・熱供給・水道業,3,68,…,2,7,…,-,-,…,-,-,…,-,-,…,-,-,…,1,61,…,-,-,…
4,13102,中央区,1,G,情報通信業,1500,45814,…,474,1135,…,311,2080,…,245,3401,…,149,3582,…,113,4253,…,187,31363,…,21,-,…
4,13102,中央区,2,G1,情報通信業（通信業，放送業，映像・音声・文字情報制作業）,461,5407,…,214,524,…,116,750,…,66,920,…,23,529,…,20,737,…,17,1947,…,5,-,…
4,13102,中央区,2,G2,情報通信業（情報サービス業，インターネット附随サービス業）,1039,40407,867918,260,611,13939,195,1330,26707,179,2481,48794,126,3053,61521,93,3516,67190,170,29416,648324,16,-,1443
4,13102,中央区,1,H,運輸業，郵便業,214,2651,…,78,192,…,61,388,…,29,363,…,23,555,…,15,577,…,7,576,…,1,-,…
