地域階層,地域コード,地域名,産業分類階層,大分類,産業分類名,企業等／総数／企業数（企業）,企業等／総数／事業所数（事業所）,企業等／総数／企業従業者数（人）,企業等／総数／売上（収入）金額（百万円）,個人経営／企業数（企業）,個人経営／事業所数（事業所）,個人経営／企業従業者数（人）,個人経営／売上（収入）金額（百万円）,法人／会社企業／総数／企業数（企業）,法人／会社企業／総数／事業所数（事業所）,法人／会社企業／総数／企業従業者数（人）,法人／会社企業／総数／売上（収入）金額（百万円）,法人／会社企業／資本金階級／300万円未満／企業数（企業）,法人／会社企業／資本金階級／300万円未満／事業所数（事業所）,法人／会社企業／資本金階級／300万円未満／企業従業者数（人）,法人／会社企業／資本金階級／300万円未満／売上（収入）金額（百万円）,法人／会社企業／資本金階級／300万～500万円未満／企業数（企業）,法人／会社企業／資本金階級／300万～500万円未満／事業所数（事業所）,法人／会社企業／資本金階級／300万～500万円未満／企業従業者数（人）,法人／会社企業／資本金階級／300万～500万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／500万～1000万円未満／企業数（企業）,法人／会社企業／資本金階級／500万～1000万円未満／事業所数（事業所）,法人／会社企業／資本金階級／500万～1000万円未満／企業従業者数（人）,法人／会社企業／資本金階級／500万～1000万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／1000万～3000万円未満／企業数（企業）,法人／会社企業／資本金階級／1000万～3000万円未満／事業所数（事業所）,法人／会社企業／資本金階級／1000万～3000万円未満／企業従業者数（人）,法人／会社企業／資本金階級／1000万～3000万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／3000万～5000万円未満／企業数（企業）,法人／会社企業／資本金階級／3000万～5000万円未満／事業所数（事業所）,法人／会社企業／資本金階級／3000万～5000万円未満／企業従業者数（人）,法人／会社企業／資本金階級／3000万～5000万円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／5000万～1億円未満／企業数（企業）,法人／会社企業／資本金階級／5000万～1億円未満／事業所数（事業所）,法人／会社企業／資本金階級／5000万～1億円未満／企業従業者数（人）,法人／会社企業／資本金階級／5000万～1億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／1億円～3億円未満／企業数（企業）,法人／会社企業／資本金階級／1億円～3億円未満／事業所数（事業所）,法人／会社企業／資本金階級／1億円～3億円未満／企業従業者数（人）,法人／会社企業／資本金階級／1億円～3億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／3億円～10億円未満／企業数（企業）,法人／会社企業／資本金階級／3億円～10億円未満／事業所数（事業所）,法人／会社企業／資本金階級／3億円～10億円未満／企業従業者数（人）,法人／会社企業／資本金階級／3億円～10億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／10億円～50億円未満／企業数（企業）,法人／会社企業／資本金階級／10億円～50億円未満／事業所数（事業所）,法人／会社企業／資本金階級／10億円～50億円未満／企業従業者数（人）,法人／会社企業／資本金階級／10億円～50億円未満／売上（収入）（百万円）,法人／会社企業／資本金階級／50億円以上／企業数（企業）,法人／会社企業／資本金階級／50億円以上／事業所数（事業所）,法人／会社企業／資本金階級／50億円以上／企業従業者数（人）,法人／会社企業／資本金階級／50億円以上／売上（収入）（百万円）,法人／会社以外の法人／企業数（企業）,法人／会社以外の法人／事業所数（事業所）,法人／会社以外の法人／企業従業者数（人）,法人／会社以外の法人／売上（収入）金額（百万円）
0,13000,東京都,1,K,不動産業，物品賃貸業,38603,58212,345174,19341648,13060,13089,21378,135941,25266,44768,320682,18940185,1281,1293,3522,47615,8297,8410,24178,301787,2336,2419,7819,104042,10028,11412,55720,1278794,1126,1531,11173,390249,1056,2473,25912,818876,489,7620,38039,1627489,183,4405,38256,1783231,123,3658,72428,4652019,52,1243,42711,7924461,277,355,3114,265522
0,13000,東京都,1,L,学術研究，専門・技術サービス業,29608,38992,489290,16493440,11959,12009,42195,414075,16132,23704,372743,14685015,1557,1590,6032,99248,4667,4800,17179,164386,1338,1402,7003,88732,6296,7352,62494,1063857,636,1225,22190,524696,598,1874,48573,1113786,329,1556,45939,1339619,188,881,36390,1158359,108,503,26075,1037580,136,2239,99845,8084740,1517,3279,74352,1394350
0,13000,東京都,1,M,宿泊業，飲食サービス業,42924,95779,1183594,6794073,29908,30046,90570,326826,12898,65449,1088510,6425656,1213,1424,10681,61036,5632,6551,47199,282130,1808,2333,21205,130832,2705,10565,176537,1002077,302,3369,47244,376278,254,4934,81998,529341,143,18979,391307,1662022,39,2663,62047,428483,34,7595,134050,1051120,15,6265,111153,877520,118,284,4514,41592
0,13000,東京都,1,N,生活関連サービス業，娯楽業,27679,44308,404208,15094871,18975,19174,40275,137035,8488,24176,343561,12179952,758,978,5062,45226,3350,4168,22688,212729,928,1346,9426,102867,2310,5160,52342,1413995,294,1176,19619,711739,318,3273,47084,1017696,148,2354,63246,1987286,41,1307,19387,482054,33,2052,46975,2008012,15,2061,56545,4190272,216,958,20372,2777885
0,13000,東京都,1,O,教育，学習支援業,9021,17704,452309,4543422,5310,5452,17172,38169,2401,8772,114081,764321,291,338,2106,8318,786,953,6972,29192,280,405,3568,21770,758,2562,37194,218562,87,1149,8119,60304,72,587,9228,137260,42,871,15386,96730,12,1140,17421,x,7,700,13703,76534,-,-,-,-,1310,3480,321056,3740932
0,13000,東京都,1,P,医療，福祉,28315,42155,912951,47309664,17908,18026,85123,622664,3455,9298,166577,1022163,600,707,6082,18151,1399,1825,19075,63306,473,648,7910,25254,628,1792,30357,127690,79,490,9031,47710,78,1861,36094,206305,46,936,30628,182231,16,199,5420,25306,4,157,4166,80231,4,543,16805,242023,6952,14831,661251,45664837
0,13000,東京都,1,Q,複合サービス事業,152,20647,412103,2855464,5,5,14,x,5,20268,407056,x,-,-,-,-,2,6,17,x,-,-,-,-,2,2,20,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20260,407019,x,142,374,5033,x
0,13000,東京都,1,R,サービス業（他に分類されないもの）,20086,50315,1376791,17845535,1615,1621,3523,14823,10444,34789,1266979,12025678,592,637,6969,104674,2852,3000,23810,160902,821,913,9911,80840,4303,7556,218178,1622914,612,4881,108328,771934,603,4637,213670,1711737,322,5089,221827,2101577,131,2349,234229,1939988,35,781,31668,667231,24,4787,196992,2853866,8027,13905,106289,5805034
1,13100,区部,0,A-R,全産業（Ｓ公務を除く）,292710,624012,11714133,649353860,107076,107797,307704,1910747,170149,480641,10295026,548570418,9345,10353,60360,791637,48906,53115,267502,3115986,15649,18052,116405,1936551,66999,104886,1249718,25926160,8684,28547,499419,15565256,8145,45116,951561,26582953,4273,59854,1309078,40039667,2423,33740,938404,40832151,1363,38277,959229,61392380,1081,85314,3924505,332093194,15485,35574,1111403,98872696
1,13100,区部,0,A-B,農林漁業（Ａ～Ｂ）,167,319,4161,121020,-,-,-,-,156,277,3768,113272,9,11,54,365,46,47,269,x,22,22,138,1301,49,62,550,x,6,6,76,1180,11,50,840,x,8,37,573,21226,3,25,322,x,2,17,946,x,-,-,-,-,11,42,393,7749
1,13100,区部,1,A,農業，林業,160,312,4109,117664,-,-,-,-,149,270,3716,109916,9,11,54,365,44,45,256,1603,21,21,122,x,47,60,542,x,6,6,76,1180,10,49,836,14310,7,36,562,x,3,25,322,x,2,17,946,x,-,-,-,-,11,42,393,7749
1,13100,区部,1,B,漁業,7,7,52,3356,-,-,-,-,7,7,52,3356,-,-,-,-,2,2,13,x,1,1,16,x,2,2,8,x,-,-,-,-,1,1,4,x,1,1,11,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,13100,区部,1,C,鉱業，採石業，砂利採取業,60,135,4219,x,1,4,36,x,59,131,4183,x,-,-,-,-,-,-,-,-,1,2,41,x,11,16,83,x,1,7,71,x,4,10,102,11125,7,24,329,13822,3,6,143,x,13,13,47,x,19,53,3367,x,-,-,-,-
1,13100,区部,1,D,建設業,20171,33866,451393,24447473,2944,2948,6808,39108,17205,30892,444445,24392417,532,568,2607,36100,5294,5362,24157,316607,1701,1747,9664,142651,7407,8373,77382,1831660,938,1653,23423,761689,651,2392,40108,1715719,239,2133,41253,1837948,105,1682,36243,x,63,2623,52125,x,48,4104,135721,x,22,26,140,15948
1,13100,区部,1,E,製造業,31922,59293,1984875,140071339,7530,7560,15793,58064,24358,51684,1964327,139937943,596,640,2932,39930,7595,7949,33603,390484,2148,2322,11765,148311,9834,13205,151736,2903440,1236,3071,86955,3453851,1093,3830,104976,3584871,561,3532,114999,5616798,366,3239,126246,6481835,307,4063,180992,10730901,333,9539,1148988,106572797,34,49,4755,75332
1,13100,区部,1,F,電気・ガス・熱供給・水道業,97,921,56643,x,-,-,-,-,97,921,56643,x,4,4,4,x,2,5,35,x,1,2,2,x,15,36,457,x,4,33,215,x,7,23,177,x,24,227,3342,x,24,68,1189,x,6,48,716,111134,9,474,50492,9181377,-,-,-,-
1,13100,区部,1,G,情報通信業,12637,20202,806199,36581994,174,175,349,x,12306,19514,784489,35752501,912,942,4883,62803,2018,2085,10516,121482,897,950,7287,93591,5405,6204,106951,1629635,877,1295,44470,658201,863,1860,72369,1525258,571,1582,99188,2770636,368,1743,111480,3026345,156,1411,98675,5846398,73,1276,227780,20003246,157,513,21361,x
1,13100,区部,1,H,運輸業，郵便業,7101,22753,720421,23216226,3423,3425,4333,x,3622,19040,712288,21269957,81,94,883,x,543,596,5758,48397,357,436,6839,80990,1653,2983,78431,939872,285,797,30212,354334,310,2231,67616,1298145,174,1556,46680,1227590,100,1407,40933,2018182,59,1272,40698,1862789,39,7645,394058,x,56,288,3800,x
1,13100,区部,1,I,卸売業，小売業,64215,148809,1910118,190785203,19573,19766,56420,456977,44288,127499,1831266,183069733,2084,2417,16237,295744,12181,13734,66626,1232122,3905,4750,26652,994101,18551,32450,264398,12337798,2373,8455,101727,7740608,2231,15399,211218,12886524,1022,15488,290263,19294829,644,11956,193256,20375643,278,13871,251386,28339464,148,8092,404071,79466174,354,1544,22432,7258492
1,13100,区部,1,J,金融業，保険業,3425,27016,795486,97181023,187,188,379,3470,2977,24452,737825,66701139,193,207,770,15067,628,674,2630,34692,179,203,911,x,831,1283,9685,213018,131,265,2559,x,200,436,6852,x,223,951,18512,x,233,835,24057,x,144,1758,39231,x,175,17800,632417,x,261,2376,57282,30476414
1,13100,区部,1,K,不動産業，物品賃貸業,30595,49708,317321,18556294,10112,10138,16566,x,20249,39260,297912,18201714,975,985,2722,40120,5991,6077,17510,225853,1808,1867,6077,81489,8457,9686,47424,1093117,1003,1366,10028,354907,960,2291,24910,765023,459,7545,36737,1568251,170,4386,37961,1769691,118,3549,71011,4368028,52,1243,42711,7924461,234,310,2843,x
1,13100,区部,1,L,学術研究，専門・技術サービス業,25223,34224,460287,16037188,9921,9967,36241,368894,13909,21150,353707,14384557,1308,1339,5327,94385,3651,3749,13785,138170,1126,1176,5916,78518,5665,6614,57222,1004803,596,1126,20726,497253,578,1809,46584,1095581,322,1549,45782,1337653,183,818,32219,1116226,107,499,25968,x,130,2226,99273,7976692,1393,3107,70339,1283738
1,13100,区部,1,M,宿泊業，飲食サービス業,33488,79172,988100,5982249,22451,22549,67227,254880,10970,56401,917324,5690788,996,1166,8583,51979,4728,5470,38499,241966,1526,1944,16845,110819,2344,9542,160036,917147,278,3300,46425,370186,234,4708,78672,505272,134,16150,290742,1344730,38,2658,61850,x,33,5572,101624,x,14,5230,109852,x,67,222,3549,36581
1,13100,区部,1,N,生活関連サービス業，娯楽業,20369,35580,363191,14435270,13307,13431,28544,102149,6899,21251,315121,11560709,583,762,3800,30031,2602,3209,17230,171504,736,1079,7687,86370,1946,4038,40997,1225043,265,1010,15533,480717,296,3153,44576,971995,141,2341,62621,1936513,37,1302,18496,471036,32,2051,46870,x,13,2051,56321,x,163,898,19526,2772413
1,13100,区部,1,O,教育，学習支援業,6000,13792,383911,4023203,3124,3216,10672,25521,1886,7744,105077,694598,212,241,1384,5459,570,689,5155,22746,222,317,2582,18300,631,2247,33882,198151,77,1049,7497,56629,67,569,8871,135353,40,850,14912,x,11,1139,17416,x,6,592,13106,x,-,-,-,-,990,2832,268162,3303085
1,13100,区部,1,P,医療，福祉,20657,32120,750790,46280111,13286,13381,62032,467136,2575,7983,148824,959373,415,494,4244,12289,1012,1312,13449,45658,354,490,5875,18873,493,1506,25184,109545,64,430,8114,43627,68,1823,34854,200472,43,933,30358,179671,14,179,4908,x,4,157,4166,80231,4,543,16805,242023,4796,10756,539934,44853602
1,13100,区部,1,Q,複合サービス事業,127,20468,408815,x,2,2,7,x,4,20267,407049,x,-,-,-,-,2,6,17,x,-,-,-,-,1,1,13,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20260,407019,x,121,199,1759,32337
1,13100,区部,1,R,サービス業（他に分類されないもの）,16456,45634,1308203,17336810,1041,1047,2297,9750,8589,32175,1210778,11579062,445,483,5930,100515,2043,2151,18263,122793,666,745,8124,69427,3706,6640,195287,1486137,550,4684,101388,726866,572,4532,208836,1680285,305,4956,212787,2031445,124,2297,231685,1890949,35,781,31668,667231,23,4778,195630,x,6826,12412,95128,5747997
4,13101,千代田区,0,A-R,全産業（Ｓ公務を除く）,16221,88207,2490216,236111580,3053,3080,12567,132541,11463,79109,2295466,179276061,501,530,3634,93285,1639,1781,9301,122159,729,822,5440,100219,4931,8100,106752,2541008,901,2845,49148,1255340,1002,5037,98277,2877840,631,9692,142128,4721941,457,4389,170231,6321548,263,7048,189122,15469798,257,38710,1520026,145744813,1705,6018,182183,56702978
4,13101,千代田区,0,A-B,農林漁業（Ａ～Ｂ）,8,26,1060,44755,-,-,-,-,6,24,1043,x,1,1,4,x,-,-,-,-,1,1,4,x,1,2,5,x,-,-,-,-,-,-,-,-,2,4,92,x,-,-,-,-,1,16,938,x,-,-,-,-,2,2,17,x
4,13101,千代田区,1,A,農業，林業,8,26,1060,44755,-,-,-,-,6,24,1043,x,1,1,4,x,-,-,-,-,1,1,4,x,1,2,5,x,-,-,-,-,-,-,-,-,2,4,92,x,-,-,-,-,1,16,938,x,-,-,-,-,2,2,17,x
4,13101,千代田区,1,B,漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13101,千代田区,1,C,鉱業，採石業，砂利採取業,21,62,1779,x,-,-,-,-,21,62,1779,x,-,-,-,-,-,-,-,-,-,-,-,-,3,3,13,x,-,-,-,-,2,5,14,x,4,20,259,11982,1,4,105,x,5,5,24,x,6,25,1364,245129,-,-,-,-
4,13101,千代田区,1,D,建設業,414,1798,39036,1933253,7,7,14,98,402,1785,38991,x,7,7,33,x,47,50,234,4536,15,15,85,2487,202,275,3059,95073,42,77,982,33651,38,153,2905,113224,25,283,5005,240206,6,102,1678,98291,9,545,7841,407152,7,274,17161,926427,5,6,31,x
4,13101,千代田区,1,E,製造業,977,6014,483857,47029774,41,41,75,271,936,5973,483782,47029504,12,15,62,1772,106,113,606,9114,28,32,147,3214,340,550,6575,218168,68,189,3805,107382,96,342,8000,387514,69,488,14567,675583,68,400,15010,1498757,64,893,40899,3307590,77,2943,394074,40819646,-,-,-,-
4,13101,千代田区,1,F,電気・ガス・熱供給・水道業,18,462,39054,6721915,-,-,-,-,18,462,39054,6721915,2,2,2,x,-,-,-,-,-,-,-,-,1,1,9,x,-,-,-,-,4,20,145,x,5,66,952,22453,2,7,41,x,1,9,133,x,3,357,37772,x,-,-,-,-
4,13101,千代田区,1,G,情報通信業,1776,3415,142647,13042592,17,17,24,239,1720,3293,141270,13010991,89,90,656,5762,193,200,1128,14389,107,112,917,10344,848,959,15221,252101,136,219,6774,94007,141,290,11278,211936,80,221,9953,381705,74,254,14642,454124,24,612,23284,1079567,15,323,57263,10505290,39,105,1353,31362
4,13101,千代田区,1,H,運輸業，郵便業,173,940,26785,4398707,-,-,-,-,172,939,26772,x,3,3,16,455,15,20,200,x,3,3,16,x,62,108,1351,39917,17,43,1448,13594,24,171,5912,122606,19,114,3137,x,10,66,1115,235096,12,226,6141,470532,7,185,7436,3394675,1,1,13,x
4,13101,千代田区,1,I,卸売業，小売業,3255,12429,241517,53675038,285,289,1017,11600,2924,11349,230592,48009438,107,117,612,14674,350,381,1682,35736,185,212,1360,47225,1362,2420,20895,1274870,275,1100,9543,587629,269,1219,15640,1170668,147,1332,17630,1954006,99,1486,21518,2684951,56,2267,42239,7906311,24,762,98873,32313836,46,791,9908,5654000
4,13101,千代田区,1,J,金融業，保険業,594,12444,444378,55826868,4,4,8,65,512,11691,424963,43965586,27,27,65,4229,46,48,196,6073,14,14,45,711,131,269,1682,38119,20,37,497,12220,44,92,911,49927,67,168,3623,200015,65,292,10732,290964,27,876,19961,959198,63,9860,387183,42402056,78,749,19407,11861217
4,13101,千代田区,1,K,不動産業，物品賃貸業,1497,3296,40853,4044556,182,183,322,2573,1287,3079,40038,x,55,55,140,14125,230,233,634,9867,78,82,250,4177,567,620,3408,131087,93,132,990,19884,114,433,5692,171228,62,417,5453,255471,41,386,6488,296352,21,447,7016,576557,14,262,9930,2468462,28,34,493,x
4,13101,千代田区,1,L,学術研究，専門・技術サービス業,3287,5442,122523,4180401,1458,1469,7016,90039,1531,3138,89699,3514961,98,100,905,35012,236,243,1076,11625,113,117,575,13946,696,849,7994,171458,92,161,3407,65999,113,395,12972,247308,62,185,11108,177123,57,216,8463,276573,18,64,6853,177624,33,795,36267,2337587,298,835,25808,575401
4,13101,千代田区,1,M,宿泊業，飲食サービス業,1247,9416,98087,744750,536,543,2030,10257,703,8863,95832,730074,51,56,323,2144,259,296,2153,14868,84,123,1103,8151,205,775,11644,73297,31,262,7945,79667,17,844,7904,41815,13,5480,45634,227388,6,267,5861,47692,8,141,7978,145019,2,592,5015,x,8,10,225,4420
4,13101,千代田区,1,N,生活関連サービス業，娯楽業,402,1133,17243,638765,107,109,238,x,284,974,15735,598457,18,23,95,535,51,55,256,6388,33,40,183,4133,94,226,1854,43853,25,116,1166,77798,34,143,1731,83579,15,145,4465,214356,2,5,128,x,5,214,5744,158771,1,1,95,x,11,50,1270,x
4,13101,千代田区,1,O,教育，学習支援業,231,1726,61711,735693,30,30,97,x,125,1321,19042,x,7,7,49,343,15,19,119,x,12,12,153,501,52,322,3297,31327,7,8,96,1229,18,86,1636,25742,6,46,1042,7242,2,299,2861,x,4,520,9771,x,-,-,-,-,76,375,42572,x
4,13101,千代田区,1,P,医療，福祉,695,1981,76643,36791426,365,366,1659,x,67,643,12572,145453,6,6,38,x,22,51,346,1387,3,3,48,99,15,58,1229,6651,5,86,1731,9594,8,210,3594,23662,6,74,1592,25310,-,-,-,-,1,154,3990,x,-,-,-,-,263,972,62412,x
4,13101,千代田区,1,Q,複合サービス事業,12,20271,407084,x,-,-,-,-,1,20260,407019,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20260,407019,x,11,11,65,x
4,13101,千代田区,1,R,サービス業（他に分類されないもの）,1614,7352,245959,x,21,22,67,x,754,5253,227283,2049514,18,21,634,13518,69,72,671,6167,53,56,554,5083,352,663,28516,164534,90,415,10764,152684,80,634,19943,218244,49,649,17616,208753,24,605,81589,385870,7,59,6310,104372,4,2071,60574,789777,839,2077,18609,1207013
4,13102,中央区,0,A-R,全産業（Ｓ公務を除く）,19419,64427,1431341,81075413,3941,3957,14132,x,14239,57916,1371071,x,691,779,4722,62828,2269,2554,14993,271461,1134,1290,8295,180309,5930,9907,122676,3824251,1135,3198,58888,3629146,1199,6805,121930,4463716,754,9110,180599,8566455,461,7984,186034,10211320,255,4541,117979,10189679,192,11525,553800,36159243,1239,2554,46138,x
4,13102,中央区,0,A-B,農林漁業（Ａ～Ｂ）,13,31,276,x,-,-,-,-,13,31,276,x,2,4,29,x,2,2,13,x,1,1,16,x,3,6,51,2048,-,-,-,-,1,2,10,x,2,11,108,x,1,4,41,x,1,1,8,x,-,-,-,-,-,-,-,-
4,13102,中央区,1,A,農業，林業,9,27,243,x,-,-,-,-,9,27,243,x,2,4,29,x,-,-,-,-,-,-,-,-,2,5,47,x,-,-,-,-,1,2,10,x,2,11,108,x,1,4,41,x,1,1,8,x,-,-,-,-,-,-,-,-
