産業分類階層,大分類,中分類,分類名,東京都／総数（民営）／事業所数（事業所）,東京都／総数（民営）／従業者数（人）,東京都／総数（民営）／売上（収入）金額（百万円）,区部／民営／事業所数（事業所）,区部／民営／従業者数（人）,区部／民営／売上（収入）金額（百万円）,千代田区／民営／事業所数（事業所）,千代田区／民営／従業者数（人）,千代田区／民営／売上（収入）金額（百万円）,中央区／民営／事業所数（事業所）,中央区／民営／従業者数（人）,中央区／民営／売上（収入）金額（百万円）,港区／民営／事業所数（事業所）,港区／民営／従業者数（人）,港区／民営／売上（収入）金額（百万円）,新宿区／民営／事業所数（事業所）,新宿区／民営／従業者数（人）,新宿区／民営／売上（収入）金額（百万円）,文京区／民営／事業所数（事業所）,文京区／民営／従業者数（人）,文京区／民営／売上（収入）金額（百万円）,台東区／民営／事業所数（事業所）,台東区／民営／従業者数（人）,台東区／民営／売上（収入）金額（百万円）,墨田区／民営／事業所数（事業所）,墨田区／民営／従業者数（人）,墨田区／民営／売上（収入）金額（百万円）,江東区／民営／事業所数（事業所）,江東区／民営／従業者数（人）,江東区／民営／売上（収入）金額（百万円）,品川区／民営／事業所数（事業所）,品川区／民営／従業者数（人）,品川区／民営／売上（収入）金額（百万円）,目黒区／民営／事業所数（事業所）,目黒区／民営／従業者数（人）,目黒区／民営／売上（収入）金額（百万円）,大田区／民営／事業所数（事業所）,大田区／民営／従業者数（人）,大田区／民営／売上（収入）金額（百万円）,世田谷区／民営／事業所数（事業所）,世田谷区／民営／従業者数（人）,世田谷区／民営／売上（収入）金額（百万円）,渋谷区／民営／事業所数（事業所）,渋谷区／民営／従業者数（人）,渋谷区／民営／売上（収入）金額（百万円）,中野区／民営／事業所数（事業所）,中野区／民営／従業者数（人）,中野区／民営／売上（収入）金額（百万円）,杉並区／民営／事業所数（事業所）,杉並区／民営／従業者数（人）,杉並区／民営／売上（収入）金額（百万円）,豊島区／民営／事業所数（事業所）,豊島区／民営／従業者数（人）,豊島区／民営／売上（収入）金額（百万円）,北区／民営／事業所数（事業所）,北区／民営／従業者数（人）,北区／民営／売上（収入）金額（百万円）,荒川区／民営／事業所数（事業所）,荒川区／民営／従業者数（人）,荒川区／民営／売上（収入）金額（百万円）,板橋区／民営／事業所数（事業所）,板橋区／民営／従業者数（人）,板橋区／民営／売上（収入）金額（百万円）,練馬区／民営／事業所数（事業所）,練馬区／民営／従業者数（人）,練馬区／民営／売上（収入）金額（百万円）,足立区／民営／事業所数（事業所）,足立区／民営／従業者数（人）,足立区／民営／売上（収入）金額（百万円）,葛飾区／民営／事業所数（事業所）,葛飾区／民営／従業者数（人）,葛飾区／民営／売上（収入）金額（百万円）,江戸川区／民営／事業所数（事業所）,江戸川区／民営／従業者数（人）,江戸川区／民営／売上（収入）金額（百万円）,境界未定地域／民営／事業所数（事業所）,境界未定地域／民営／従業者数（人）,境界未定地域／民営／従業者数（人）,市部／民営／事業所数（事業所）,市部／民営／従業者数（人）,市部／民営／売上（収入）金額（百万円）,八王子市／民営／事業所数（事業所）,八王子市／民営／従業者数（人）,八王子市／民営／売上（収入）金額（百万円）,立川市／民営／事業所数（事業所）,立川市／民営／従業者数（人）,立川市／民営／売上（収入）金額（百万円）,武蔵野市／民営／事業所数（事業所）,武蔵野市／民営／従業者数（人）,武蔵野市／民営／売上（収入）金額（百万円）,三鷹市／民営／事業所数（事業所）,三鷹市／民営／従業者数（人）,三鷹市／民営／売上（収入）金額（百万円）,青梅市／民営／事業所数（事業所）,青梅市／民営／従業者数（人）,青梅市／民営／売上（収入）金額（百万円）,府中市／民営／事業所数（事業所）,府中市／民営／従業者数（人）,府中市／民営／売上（収入）金額（百万円）,昭島市／民営／事業所数（事業所）,昭島市／民営／従業者数（人）,昭島市／民営／売上（収入）金額（百万円）,調布市／民営／事業所数（事業所）,調布市／民営／従業者数（人）,調布市／民営／売上（収入）金額（百万円）,町田市／民営／事業所数（事業所）,町田市／民営／従業者数（人）,町田市／民営／売上（収入）金額（百万円）,小金井市／民営／事業所数（事業所）,小金井市／民営／従業者数（人）,小金井市／民営／売上（収入）金額（百万円）,小平市／民営／事業所数（事業所）,小平市／民営／従業者数（人）,小平市／民営／売上（収入）金額（百万円）,日野市／民営／事業所数（事業所）,日野市／民営／従業者数（人）,日野市／民営／売上（収入）金額（百万円）,東村山市／民営／事業所数（事業所）,東村山市／民営／従業者数（人）,東村山市／民営／売上（収入）金額（百万円）,国分寺市／民営／事業所数（事業所）,国分寺市／民営／従業者数（人）,国分寺市／民営／売上（収入）金額（百万円）,国立市／民営／事業所数（事業所）,国立市／民営／従業者数（人）,国立市／民営／売上（収入）金額（百万円）,福生市／民営／事業所数（事業所）,福生市／民営／従業者数（人）,福生市／民営／売上（収入）金額（百万円）,狛江市／民営／事業所数（事業所）,狛江市／民営／従業者数（人）,狛江市／民営／売上（収入）金額（百万円）,東大和市／民営／事業所数（事業所）,東大和市／民営／従業者数（人）,東大和市／民営／売上（収入）金額（百万円）,清瀬市／民営／事業所数（事業所）,清瀬市／民営／従業者数（人）,清瀬市／民営／売上（収入）金額（百万円）,東久留米市／民営／事業所数（事業所）,東久留米市／民営／従業者数（人）,東久留米市／民営／売上（収入）金額（百万円）,武蔵村山市／民営／事業所数（事業所）,武蔵村山市／民営／従業者数（人）,武蔵村山市／民営／売上（収入）金額（百万円）,多摩市／民営／事業所数（事業所）,多摩市／民営／従業者数（人）,多摩市／民営／売上（収入）金額（百万円）,稲城市／民営／事業所数（事業所）,稲城市／民営／従業者数（人）,稲城市／民営／売上（収入）金額（百万円）,羽村市／民営／事業所数（事業所）,羽村市／民営／従業者数（人）,羽村市／民営／売上（収入）金額（百万円）,あきる野市／民営／事業所数（事業所）,あきる野市／民営／従業者数（人）,あきる野市／民営／売上（収入）金額（百万円）,西東京市／民営／事業所数（事業所）,西東京市／民営／従業者数（人）,西東京市／民営／売上（収入）金額（百万円）,町村部／民営／事業所数（事業所）,町村部／民営／従業者数（人）,町村部／民営／売上（収入）金額（百万円）,西多摩郡／民営／事業所数（事業所）,西多摩郡／民営／従業者数（人）,西多摩郡／民営／売上（収入）金額（百万円）,瑞穂町／民営／事業所数（事業所）,瑞穂町／民営／従業者数（人）,瑞穂町／民営／売上（収入）金額（百万円）,日の出町／民営／事業所数（事業所）,日の出町／民営／従業者数（人）,日の出町／民営／売上（収入）金額（百万円）,檜原村／民営／事業所数（事業所）,檜原村／民営／従業者数（人）,檜原村／民営／売上（収入）金額（百万円）,奥多摩町／民営／事業所数（事業所）,奥多摩町／民営／従業者数（人）,奥多摩町／民営／売上（収入）金額（百万円）,島部／民営／事業所数（事業所）,島部／民営／従業者数（人）,島部／民営／売上（収入）金額（百万円）,大島支庁／民営／事業所数（事業所）,大島支庁／民営／従業者数（人）,大島支庁／民営／売上（収入）金額（百万円）,大島町／民営／事業所数（事業所）,大島町／民営／従業者数（人）,大島町／民営／売上（収入）金額（百万円）,利島村／民営／事業所数（事業所）,利島村／民営／従業者数（人）,利島村／民営／売上（収入）金額（百万円）,新島村／民営／事業所数（事業所）,新島村／民営／従業者数（人）,新島村／民営／売上（収入）金額（百万円）,神津島村／民営／事業所数（事業所）,神津島村／民営／従業者数（人）,神津島村／民営／売上（収入）金額（百万円）,三宅支庁／民営／事業所数（事業所）,三宅支庁／民営／従業者数（人）,三宅支庁／民営／売上（収入）金額（百万円）,三宅村／民営／事業所数（事業所）,三宅村／民営／従業者数（人）,三宅村／民営／売上（収入）金額（百万円）,御蔵島村／民営／事業所数（事業所）,御蔵島村／民営／従業者数（人）,御蔵島村／民営／売上（収入）金額（百万円）,八丈支庁／民営／事業所数（事業所）,八丈支庁／民営／従業者数（人）,八丈支庁／民営／売上（収入）金額（百万円）,八丈町／民営／事業所数（事業所）,八丈町／民営／従業者数（人）,八丈町／民営／売上（収入）金額（百万円）,青ヶ島村／民営／事業所数（事業所）,青ヶ島村／民営／従業者数（人）,青ヶ島村／民営／売上（収入）金額（百万円）,小笠原支庁／民営／事業所数（事業所）,小笠原支庁／民営／従業者数（人）,小笠原支庁／民営／売上（収入）金額（百万円）,小笠原村／民営／事業所数（事業所）,小笠原村／民営／従業者数（人）,小笠原村／民営／売上（収入）金額（百万円）
2,E,25,はん用機械器具製造業,1367,15936,217750,1150,11563,169587,16,734,9127,26,385,17693,34,955,20902,8,65,x,10,236,1371,18,242,4793,60,265,5031,46,319,5445,86,920,11386,16,149,2129,389,4612,49493,28,120,1771,2,31,x,5,18,471,7,19,304,11,179,5584,35,176,1613,23,154,1549,46,293,6197,18,99,1460,94,543,x,60,306,4375,112,743,9434,-,-,-,201,4229,46468,50,675,9863,5,68,2202,-,-,-,3,23,254,25,112,793,13,548,10602,7,48,1044,11,161,1258,13,122,1469,3,196,762,6,145,3435,5,1011,44,9,514,6124,-,-,-,1,22,x,3,36,427,2,23,x,1,4,x,1,1,x,10,78,1112,7,101,790,3,5,14,5,42,317,5,168,3719,8,88,860,5,38,986,16,144,1695,16,144,1695,12,106,x,3,33,13,-,-,-,1,5,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,26,生産用機械器具製造業,3000,26745,466073,2393,19604,310769,31,413,14342,32,305,13620,47,2133,18353,17,123,2426,9,934,776,46,337,9990,151,929,12267,92,669,6817,180,1857,38844,30,195,1351,754,4858,74484,22,133,3714,10,175,2517,13,134,3581,17,134,3420,20,62,426,51,342,8155,72,557,6284,126,1060,19211,32,254,4980,188,1123,15993,232,1130,15965,221,1747,33256,-,-,-,547,6506,144771,137,1534,42270,18,220,2630,6,52,583,20,138,1300,69,801,13995,15,231,6363,27,508,x,12,163,2995,26,485,17035,6,24,420,16,129,1567,17,106,926,10,96,1090,5,11,62,3,15,333,8,70,1020,5,71,1791,10,100,1702,2,9,x,12,157,3824,45,803,13198,7,171,761,14,136,1140,16,211,2920,28,203,2617,13,62,515,60,635,10533,60,635,10533,52,464,10263,7,166,x,-,-,-,1,5,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,27,業務用機械器具製造業,1622,28590,439297,1235,21896,322217,30,1118,4142,20,1241,x,32,1021,11175,29,516,16112,62,940,12291,47,720,5362,44,449,7628,34,1007,9103,78,2171,22694,27,566,12514,188,4616,36649,48,449,5662,21,529,3348,25,224,5765,30,485,7454,40,258,13437,54,1290,27457,67,327,4746,128,2185,71687,36,254,2513,76,630,13358,61,531,9028,56,296,x,2,73,x,365,6185,83393,85,2435,24403,13,74,691,9,62,1056,20,215,5903,30,631,3853,17,79,1000,11,120,x,17,174,3296,21,689,12603,6,59,480,8,45,605,20,322,3964,6,37,369,7,39,1098,6,99,2249,4,40,725,7,79,1069,7,91,321,2,15,x,5,21,178,19,213,2599,6,211,9500,13,103,1038,10,86,1178,10,183,2161,6,63,1434,22,509,33687,22,509,33687,18,227,3650,2,265,x,-,-,-,2,17,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,28,電子部品・デバイス・電子回路製造業,936,21613,466314,504,10574,171545,26,3649,57552,10,370,5947,20,467,14411,17,176,6630,11,71,2190,16,95,2878,13,100,3211,7,111,4098,58,907,11762,24,429,7445,128,1457,18170,20,595,4606,8,56,1352,17,174,2111,11,106,2956,15,592,13659,9,41,516,12,94,1902,23,670,4206,11,82,1183,10,75,1561,25,184,2082,13,73,1117,-,-,-,408,10727,291237,109,1439,23816,10,277,2582,2,27,x,15,97,2165,41,1355,32552,29,1651,68725,11,1705,120998,15,137,1117,43,497,9885,1,4,x,17,1974,1603,5,51,554,16,432,7076,8,149,2302,2,6,x,4,14,83,5,40,435,13,134,587,-,-,-,7,84,1097,12,177,2243,5,60,1010,16,224,3578,6,66,805,7,55,696,9,72,938,24,312,3533,24,312,3533,18,226,2592,3,63,793,-,-,-,3,23,148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,29,電気機械器具製造業,1777,36880,689336,1238,18561,250464,43,1833,14108,35,531,12928,53,2616,8464,22,365,22425,19,169,7937,33,327,10166,43,202,2624,19,190,3671,154,4634,42455,52,398,6864,285,2532,42364,43,289,6861,23,322,6110,19,148,1829,26,702,8528,24,225,6694,32,294,5116,42,397,6567,57,616,8324,34,266,3138,62,655,10303,55,484,7471,63,366,5516,-,-,-,512,17902,433536,109,1942,23145,26,887,7315,9,154,3629,18,190,2092,34,833,15669,37,4679,174805,26,2060,93152,26,974,x,44,619,6180,6,9,87,13,87,939,19,3478,40907,16,133,2038,13,166,2057,4,29,378,8,90,1447,6,25,613,13,229,2184,2,48,x,7,94,1210,19,148,2311,7,80,887,14,94,928,9,236,5240,16,329,7961,11,289,14672,27,417,5337,27,417,5337,22,297,3208,3,104,x,2,16,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,30,情報通信機械器具製造業,454,20343,872766,293,7955,154613,25,2756,6878,17,309,8221,20,719,12887,8,74,226,5,18,70,10,151,6426,11,25,113,4,491,5176,26,386,17051,9,53,914,55,843,16515,16,237,16837,11,233,7756,7,301,24464,11,128,3411,9,78,1421,6,46,917,5,24,255,9,561,14036,7,196,2839,9,149,4893,5,138,3003,8,39,305,-,-,-,155,12166,714630,24,503,8626,7,446,4714,2,76,x,13,1946,74330,8,1613,2532,14,4262,464602,5,274,123866,7,126,3855,17,813,5683,1,17,x,2,9,x,7,100,1379,4,40,548,4,557,12188,4,35,274,-,-,-,2,24,x,2,11,x,1,2,x,2,10,x,1,1,x,8,115,3406,13,1082,3115,1,6,x,2,34,x,4,64,1293,6,222,3523,6,222,3523,6,222,3523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,31,輸送用機械器具製造業,868,35240,1313553,616,12922,105562,17,793,7658,16,226,1187,29,4507,18879,9,116,1230,3,762,43,8,42,135,31,155,1703,29,259,8038,39,2111,9864,12,159,4073,173,1195,17175,11,66,4973,5,416,33,7,68,824,8,52,1348,7,107,187,14,373,x,13,62,x,33,228,3405,8,68,651,58,563,7316,36,181,1655,49,411,10391,1,2,x,204,19512,1174980,42,681,19603,6,146,1181,3,2714,7283,7,263,6397,23,660,28087,6,69,2227,17,698,17272,6,54,2323,11,184,1857,2,41,x,-,-,-,6,7400,459651,1,12,x,2,12,x,3,18,149,9,154,6014,1,2,x,6,47,420,-,-,-,2,13,x,13,318,8292,3,14,277,5,14,58,16,5526,603379,11,465,9685,3,7,36,48,2806,33011,45,2800,32963,41,2730,31699,4,70,1264,-,-,-,-,-,-,3,6,48,3,6,48,-,-,-,-,-,-,1,2,x,2,4,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,32,その他の製造業,3228,23196,447227,2754,18777,358782,71,1015,14283,73,738,15238,54,1019,15886,74,639,6825,82,381,5138,468,2506,53513,208,1195,28616,72,587,8598,56,439,7168,34,384,7561,141,800,11027,58,251,2993,73,640,7823,37,172,4011,58,280,4517,61,564,6913,92,1188,24142,173,785,13549,125,829,13310,80,351,4785,257,1480,19539,267,1800,72219,140,734,11127,-,-,-,427,4022,83881,79,460,8800,15,82,717,19,115,709,7,36,430,22,215,2568,28,162,3077,13,294,7810,21,92,1005,39,594,4080,10,27,299,13,38,397,20,52,283,14,76,725,5,10,84,6,23,394,9,35,223,9,72,1394,10,37,272,5,19,55,9,755,35113,10,31,192,13,47,451,10,45,387,10,472,11344,16,196,2910,15,37,161,47,397,4564,45,395,x,17,148,x,27,245,3429,1,2,x,-,-,-,2,2,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,x,2,2,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,F,00,電気・ガス・熱供給・水道業,54,604,…,46,397,…,9,71,…,3,68,…,13,76,…,2,41,…,-,-,…,1,2,…,1,10,…,1,2,…,4,42,…,1,1,…,2,4,…,2,14,…,4,35,…,-,-,…,-,-,…,2,18,…,-,-,…,-,-,…,1,13,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,8,207,…,2,20,…,1,12,…,-,-,…,-,-,…,2,75,…,-,-,…,1,77,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,5,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,18,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,F,33,電気業,24,237,…,23,236,…,6,62,…,3,68,…,8,53,…,-,-,…,-,-,…,1,2,…,-,-,…,-,-,…,2,31,…,1,1,…,1,2,…,-,-,…,-,-,…,-,-,…,-,-,…,1,17,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,1,…,-,-,…,-,-,…,-,-,…,-,-,…,1,1,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,F,34,ガス業,2,151,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,2,151,…,-,-,…,-,-,…,-,-,…,-,-,…,1,74,…,-,-,…,1,77,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,F,35,熱供給業,20,129,…,18,107,…,3,9,…,-,-,…,5,23,…,1,38,…,-,-,…,-,-,…,1,10,…,1,2,…,2,11,…,-,-,…,1,2,…,1,-,…,3,12,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,2,22,…,1,10,…,1,12,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,F,36,水道業,8,87,…,5,54,…,-,-,…,-,-,…,-,-,…,1,3,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,14,…,1,23,…,-,-,…,-,-,…,1,1,…,-,-,…,-,-,…,1,13,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,3,33,…,1,10,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,5,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,18,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
1,G,00,情報通信業,14720,522796,…,13295,495021,…,1905,64206,…,1500,45814,…,1925,103609,…,1408,49942,…,598,12330,…,449,9619,…,147,3958,…,257,41661,…,598,60041,…,243,5421,…,255,11677,…,407,6525,…,1569,42573,…,246,6588,…,319,4470,…,675,17037,…,101,1639,…,60,1313,…,119,1572,…,260,1963,…,88,596,…,68,234,…,88,1774,…,10,459,…,1420,27749,…,197,3459,…,120,3491,…,124,1486,…,72,1116,…,21,738,…,106,6186,…,23,288,…,107,1510,…,145,1470,…,32,127,…,39,372,…,64,688,…,17,231,…,57,800,…,37,316,…,11,118,…,24,131,…,13,29,…,12,16,…,32,295,…,3,13,…,70,3612,…,24,214,…,13,228,…,10,31,…,47,784,…,5,26,…,3,19,…,2,17,…,1,2,…,-,-,…,-,-,…,2,7,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,6,…,1,6,…,-,-,…,1,1,…,1,1,…
2,G,37,通信業,159,3213,…,147,3154,…,13,162,…,19,248,…,27,690,…,11,737,…,4,17,…,7,36,…,-,-,…,1,1,…,5,641,…,2,11,…,1,2,…,3,10,…,15,311,…,3,74,…,1,2,…,22,164,…,1,8,…,1,5,…,3,8,…,5,22,…,1,1,…,2,4,…,-,-,…,-,-,…,12,59,…,3,16,…,1,25,…,1,2,…,-,-,…,1,2,…,-,-,…,-,-,…,-,-,…,2,4,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,2,…,1,5,…,-,-,…,1,2,…,-,-,…,1,1,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,G,38,放送業,63,1651,…,53,1446,…,6,143,…,5,96,…,21,607,…,3,13,…,1,1,…,-,-,…,-,-,…,4,371,…,-,-,…,-,-,…,1,1,…,1,4,…,6,178,…,-,-,…,2,15,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,-,…,1,9,…,1,8,…,-,-,…,9,197,…,1,70,…,2,4,…,1,14,…,1,1,…,1,40,…,-,-,…,-,-,…,1,7,…,-,-,…,-,-,…,-,-,…,1,20,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,41,…,-,-,…,-,-,…,-,-,…,-,-,…,1,8,…,1,8,…,1,8,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…
2,G,39,情報サービス業,8428,421382,11086553,7490,396689,10778997,1090,48483,1171137,932,38522,816573,1052,76305,3088580,760,40818,755522,250,8337,140695,329,8730,108952,110,3773,82116,209,40951,1640979,440,52996,1482930,106,4395,94768,192,11330,194190,182,5180,87877,681,26450,510047,132,5477,110053,126,2607,31112,444,15045,176059,59,1475,12156,43,1100,12295,65,1088,10283,113,830,7068,54,488,29477,42,159,1222,71,1718,49492,8,432,165416,937,24684,x,144,3204,17472,93,3262,73088,68,1096,11714,44,864,12628,15,684,3439,81,6085,67112,15,270,5244,46,1114,41823,107,1349,11317,13,45,1332,30,348,8912,41,560,6333,11,216,2006,40,719,2346,20,228,1354,7,84,865,14,69,721,9,20,133,6,9,x,22,224,2557,1,2,x,54,3266,32849,18,204,2102,10,219,1430,7,15,134,21,528,443,1,9,x,1,9,x,1,9,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,G,40,インターネット附随サービス業,1296,45465,1235587,1210,45072,1231625,143,7674,379983,107,1885,51344,203,15862,285028,128,3141,69697,30,368,3860,28,191,2488,10,64,1617,10,92,3156,59,5120,192185,21,152,2440,13,85,2380,37,201,3316,279,9298,220098,13,199,3547,16,111,988,55,432,6961,6,16,153,1,6,x,8,16,94,24,90,442,10,25,129,3,12,33,4,5,18,2,27,x,86,393,3962,15,42,377,3,24,593,3,15,71,6,32,291,3,8,25,5,17,98,3,8,12,11,143,1592,11,26,323,2,2,x,1,5,x,5,15,48,-,-,-,-,-,-,5,30,322,1,-,x,-,-,-,1,4,x,1,2,x,2,4,x,-,-,-,-,-,-,4,6,1,1,5,x,1,3,x,2,2,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,G,41,映像・音声・文字情報制作業,4774,51085,…,4395,48660,…,653,7744,…,437,5063,…,622,10145,…,506,5233,…,313,3607,…,85,662,…,27,121,…,33,246,…,94,1284,…,114,863,…,48,259,…,184,1130,…,588,6336,…,98,838,…,174,1735,…,154,1396,…,35,140,…,15,202,…,43,460,…,118,1021,…,22,82,…,20,50,…,12,43,…,-,-,…,376,2416,…,34,127,…,21,176,…,51,359,…,21,219,…,1,4,…,20,84,…,5,10,…,49,246,…,25,91,…,17,80,…,8,19,…,17,93,…,6,15,…,17,81,…,11,56,…,2,29,…,10,62,…,2,3,…,5,5,…,7,66,…,2,11,…,15,305,…,2,4,…,2,4,…,2,13,…,24,254,…,3,9,…,1,2,…,-,-,…,1,2,…,-,-,…,-,-,…,2,7,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,-,-,…,1,6,…,1,6,…,-,-,…,1,1,…,1,1,…
1,H,00,運輸業，郵便業,6611,76900,…,5754,64562,…,71,916,…,214,2651,…,186,2984,…,82,590,…,53,352,…,72,534,…,137,1456,…,293,4597,…,191,1711,…,41,1342,…,509,6607,…,257,2530,…,28,708,…,97,1270,…,169,2019,…,84,1249,…,224,3109,…,98,1378,…,383,5726,…,504,4119,…,936,8063,…,335,4928,…,790,5723,…,-,-,…,773,11560,…,171,1766,…,21,388,…,19,272,…,89,1912,…,32,374,…,34,1001,…,18,320,…,48,474,…,58,735,…,11,179,…,14,154,…,32,393,…,31,517,…,11,137,…,11,433,…,9,60,…,11,108,…,24,284,…,13,121,…,14,198,…,34,459,…,10,421,…,12,51,…,13,147,…,20,432,…,13,224,…,84,778,…,25,406,…,14,285,…,5,70,…,2,34,…,4,17,…,59,372,…,21,131,…,9,55,…,1,8,…,8,38,…,3,30,…,14,94,…,11,76,…,3,18,…,17,87,…,17,87,…,-,-,…,7,60,…,7,60,…
