産業分類階層,大分類,中分類,分類名,事業所数／総数（事業所）,事業所数／総数／他からの出向・派遣従業者／有／民営（事業所）,事業所数／総数／他からの出向・派遣従業者／有／国・地方公共団体（事業所）,事業所数／総数／他からの出向・派遣従業者／無／民営（事業所）,事業所数／総数／他からの出向・派遣従業者／無／国・地方公共団体（事業所）,事業所数／総数／他への出向・派遣従業者／民営（事業所）,事業所数／総数／他への出向・派遣従業者／有／民営（事業所）,事業所数／総数／他への出向・派遣従業者／無／民営（事業所）,従業者数／総数／総数（人）,従業者数／総数／男（人）,従業者数／総数／女（人）,従業者数／民営／個人業主／総数（人）,従業者数／民営／個人業主／男（人）,従業者数／民営／個人業主／女（人）,従業者数／民営／無給の家族従業／総数（人）,従業者数／民営／無給の家族従業／男（人）,従業者数／民営／無給の家族従業／女（人）,従業者数／民営／有給役員／総数（人）,従業者数／民営／有給役員／男（人）,従業者数／民営／有給役員／女（人）,従業者数／民営／雇用者／常用雇用者／総数／総数（人）,従業者数／民営／雇用者／常用雇用者／総数／男（人）,従業者数／民営／雇用者／常用雇用者／総数／女（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／総数（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／総数（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／民営／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／民営／雇用者／臨時雇用者／総数（人）,従業者数／民営／雇用者／臨時雇用者／男（人）,従業者数／民営／雇用者／臨時雇用者／女（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／総数（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／男（人）,（再掲）従業者数／民営／雇用者／うち他への出向・派遣従業者／女（人）,従業者数／民営／他からの出向・派遣従業者／総数（人）,従業者数／民営／他からの出向・派遣従業者／男（人）,従業者数／民営／他からの出向・派遣従業者／女（人）,従業者数／国、地方公共団体／総数／総数（人）,従業者数／国、地方公共団体／総数／男（人）,従業者数／国、地方公共団体／総数／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／総数／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員／女（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／総数（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／男（人）,従業者数／国、地方公共団体／雇用者／常用雇用者／正職員以外／女（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／総数（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／男（人）,従業者数／国、地方公共団体／雇用者／臨時雇用者／女（人）,従業者数／国、地方公共団体／民間からの従業者／総数（人）,従業者数／国、地方公共団体／民間からの従業者／男（人）,従業者数／国、地方公共団体／民間からの従業者／女（人）
0,C-R,00,非農林漁業（Ｃ～Ｒ）Ｓ公務を除く,659763,35283,291,618032,6157,653315,14175,639140,9394739,5525325,3845698,177203,131342,45859,41745,9272,32473,545696,407472,138117,8027375,4705681,3298143,5317886,3646690,1648983,2709489,1058991,1649160,389145,182929,206160,379235,232663,146572,411043,239034,171607,213575,88629,124946,207046,87635,119411,148702,73528,75174,58344,14107,44237,6529,994,5535,1596,846,750
1,C,00,鉱業，採石業，砂利採取業,101,21,-,80,-,101,8,93,2090,1678,381,1,1,-,-,-,-,281,272,9,1796,1394,371,1651,1291,329,145,103,42,12,11,1,237,226,11,134,103,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,C,05,鉱業，採石業，砂利採取業,101,21,-,80,-,101,8,93,2090,1678,381,1,1,-,-,-,-,281,272,9,1796,1394,371,1651,1291,329,145,103,42,12,11,1,237,226,11,134,103,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,D,00,建設業,42340,1755,-,40585,-,42340,927,41413,465553,387765,77788,6166,6075,91,1598,369,1229,58050,45208,12842,382854,321038,61816,330265,283768,46497,52589,37270,15319,16885,15075,1810,7851,7066,785,24055,17534,6521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,D,06,総合工事業,14514,668,-,13846,-,14514,296,14218,195302,162143,33159,1830,1810,20,501,122,379,20116,15791,4325,166793,139199,27594,146341,125484,20857,20452,13715,6737,6062,5221,841,3656,3358,298,13566,9980,3586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,D,07,職別工事業（設備工事業を除く）,15152,381,-,14771,-,15152,167,14985,108148,88822,19326,3129,3072,57,761,186,575,19295,14704,4591,77835,64253,13582,62772,52562,10210,15063,11691,3372,7128,6607,521,592,518,74,1944,1538,406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,D,08,設備工事業,12674,706,-,11968,-,12674,464,12210,162103,136800,25303,1207,1193,14,336,61,275,18639,14713,3926,138226,117586,20640,121152,105722,15430,17074,11864,5210,3695,3247,448,3603,3190,413,8545,6016,2529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,E,00,製造業,49238,2208,-,47030,-,49238,1068,48170,713594,513772,198203,10152,9567,585,2832,534,2298,66025,50879,15142,621566,445892,174059,511648,401144,108899,109918,44748,65160,13019,6900,6119,28849,25150,3699,30830,19521,11309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,09,食料品製造業,2511,190,-,2321,-,2511,63,2448,68402,37843,30480,382,350,32,158,32,126,3543,2725,814,61554,33758,27721,34307,24871,9371,27247,8887,18350,2765,978,1787,1970,1767,203,2645,1292,1353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,10,飲料・たばこ・飼料製造業,261,45,-,216,-,261,17,244,10540,8076,2464,27,27,-,10,1,9,417,353,64,9861,7542,2319,8799,7032,1767,1062,510,552,225,153,72,2046,1484,562,2472,1628,844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,11,繊維工業,3581,48,-,3533,-,3581,33,3548,23663,10862,12801,1303,1138,165,478,82,396,3313,2336,977,18004,7142,10862,12540,6215,6325,5464,927,4537,565,164,401,151,92,59,2686,846,1840,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,12,木材・木製品製造業（家具を除く）,460,9,-,451,-,460,4,456,2865,2157,708,150,143,7,48,10,38,462,363,99,2136,1591,545,1805,1415,390,331,176,155,69,50,19,10,8,2,27,24,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,13,家具・装備品製造業,1483,19,-,1464,-,1483,9,1474,8936,6590,2346,522,509,13,110,24,86,1488,1132,356,6487,4676,1811,5246,4063,1183,1241,613,628,329,249,80,74,68,6,372,231,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,14,パルプ・紙・紙加工品製造業,1606,42,-,1564,-,1606,32,1574,17068,11546,5260,325,307,18,86,12,74,2197,1657,540,14194,9461,4471,11357,8517,2578,2837,944,1893,266,109,157,799,737,62,298,194,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,15,印刷・同関連業,7964,294,-,7670,-,7964,132,7832,97783,71471,26312,1065,993,72,311,61,250,10625,8020,2605,83282,60940,22342,70736,55692,15044,12546,5248,7298,2500,1457,1043,1107,742,365,2287,1464,823,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,16,化学工業,1255,268,-,987,-,1255,124,1131,62820,41729,20613,24,19,5,7,1,6,2804,2387,417,59452,39098,19876,52195,36524,15193,7257,2574,4683,533,224,309,3564,3009,555,3911,1848,2063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,17,石油製品・石炭製品製造業,65,16,-,49,-,65,4,61,6598,5872,726,1,1,-,1,-,1,130,120,10,6462,5748,714,5741,5142,599,721,606,115,4,3,1,47,45,2,59,49,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,18,プラスチック製品製造業（別掲を除く）,2336,88,-,2248,-,2336,43,2293,22736,15092,7644,446,418,28,117,18,99,3276,2419,857,18502,12072,6430,14379,10862,3517,4123,1210,2913,395,165,230,458,420,38,666,419,247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,19,ゴム製品製造業,780,24,-,756,-,780,7,773,11146,8366,2780,191,182,9,49,11,38,1058,787,271,9747,7330,2417,8222,6707,1515,1525,623,902,101,56,45,1162,1079,83,677,613,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,20,なめし革・同製品・毛皮製造業,1890,13,-,1877,-,1890,14,1876,9571,5863,3708,930,869,61,317,45,272,1519,1134,385,6548,3685,2863,4422,2925,1497,2126,760,1366,257,130,127,75,44,31,39,24,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,21,窯業・土石製品製造業,872,87,-,785,-,872,29,843,11602,9065,2537,176,165,11,35,5,30,1257,1031,226,9856,7667,2189,8817,7071,1746,1039,596,443,278,197,81,429,391,38,549,423,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,22,鉄鋼業,538,41,-,497,-,538,16,522,9385,7616,1617,96,93,3,25,4,21,904,734,170,8315,6745,1418,7758,6344,1262,557,401,156,45,40,5,893,857,36,383,276,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,23,非鉄金属製造業,617,39,-,578,-,617,21,596,9182,7163,2019,146,142,4,28,5,23,921,757,164,8023,6222,1801,7080,5828,1252,943,394,549,64,37,27,2038,1837,201,563,404,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,24,金属製品製造業,6127,133,-,5994,-,6127,60,6067,45955,34348,11607,1503,1475,28,356,84,272,7563,5670,1893,35525,26399,9126,29422,23548,5874,6103,2851,3252,1008,720,288,503,413,90,611,438,173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,25,はん用機械器具製造業,1731,67,-,1664,-,1731,39,1692,24185,19353,4832,324,314,10,60,18,42,2488,1942,546,20963,16807,4156,18694,15536,3158,2269,1271,998,350,272,78,1403,1218,185,948,739,209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,26,生産用機械器具製造業,3709,136,-,3573,-,3709,70,3639,37384,29443,7941,621,602,19,151,30,121,5339,4129,1210,30666,24242,6424,27048,22223,4825,3618,2019,1599,607,440,167,838,784,54,1263,1019,244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,27,業務用機械器具製造業,2056,134,-,1922,-,2056,57,1999,36009,27280,8647,285,273,12,62,15,47,3127,2419,708,32094,24346,7666,27064,21858,5124,5030,2488,2542,441,227,214,1071,941,130,1572,1029,543,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,28,電子部品・デバイス・電子回路製造業,1203,94,-,1109,-,1203,63,1140,27421,21022,6399,116,112,4,32,5,27,1937,1547,390,24918,19137,5781,21095,17725,3370,3823,1412,2411,418,221,197,1513,1366,147,1010,725,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,29,電気機械器具製造業,2241,150,-,2091,-,2241,59,2182,47819,36921,10332,234,228,6,53,9,44,3586,2949,637,43537,33512,9459,37899,30976,6357,5638,2536,3102,409,223,186,2336,2049,287,1978,1382,596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,30,情報通信機械器具製造業,647,89,-,558,-,647,57,590,41125,33712,7413,37,37,-,11,-,11,1289,1111,178,39525,32385,7140,36799,30787,6012,2726,1598,1128,263,179,84,1974,1705,269,1950,1501,449,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,31,輸送用機械器具製造業,1109,93,-,1016,-,1109,47,1062,47522,40367,7155,160,153,7,41,6,35,1885,1516,369,45138,38492,6646,39582,34542,5040,5556,3950,1606,298,200,98,4017,3788,229,3465,2724,741,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,32,その他の製造業,4196,89,-,4107,-,4196,68,4128,33877,22015,11862,1088,1017,71,286,56,230,4897,3641,1256,26777,16895,9882,20641,14741,5900,6136,2154,3982,829,406,423,371,306,65,399,229,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,F,00,電気・ガス・熱供給・水道業,542,93,2,332,115,425,34,391,33666,29511,4155,-,-,-,-,-,-,409,385,24,26753,23441,3312,25600,22473,3127,1153,968,185,25,19,6,2136,2039,97,928,735,193,6479,5666,813,6478,5665,813,5971,5192,779,507,473,34,1,1,-,3,1,2
2,F,33,電気業,141,26,-,113,2,139,15,124,16041,14255,1786,-,-,-,-,-,-,199,186,13,15817,14049,1768,15520,13884,1636,297,165,132,9,4,5,1024,1005,19,358,239,119,16,16,-,16,16,-,15,15,-,1,1,-,-,-,-,-,-,-
2,F,34,ガス業,36,11,-,25,-,36,12,24,7075,5896,1179,-,-,-,-,-,-,77,74,3,6996,5820,1176,6971,5806,1165,25,14,11,2,2,-,1084,1011,73,136,122,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,F,35,熱供給業,82,37,-,45,-,82,2,80,780,703,77,-,-,-,-,-,-,73,73,-,707,630,77,652,587,65,55,43,12,-,-,-,3,3,-,315,272,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,F,36,水道業,283,19,2,149,113,168,5,163,9770,8657,1113,-,-,-,-,-,-,60,52,8,3233,2942,291,2457,2196,261,776,746,30,14,13,1,25,20,5,119,102,17,6463,5650,813,6462,5649,813,5956,5177,779,506,472,34,1,1,-,3,1,2
1,G,00,情報通信業,22591,3135,-,19455,1,22590,2214,20376,833221,619029,204579,327,284,43,45,12,33,37191,31481,5649,784892,581315,194025,702780,540296,153142,82112,41019,40883,10755,5928,4827,50777,40068,10709,73862,52193,21512,11,9,2,11,9,2,-,-,-,11,9,2,-,-,-,-,-,-
2,G,37,通信業,619,152,-,467,-,619,43,576,66121,47401,13456,1,1,-,-,-,-,723,640,66,65242,46646,13349,57988,42082,10659,7254,4564,2690,155,114,41,12459,10118,2341,7418,5157,2261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,G,38,放送業,312,116,-,196,-,312,23,289,22218,15724,6007,1,1,-,-,-,-,451,422,29,21472,15187,5798,17934,13501,3946,3538,1686,1852,294,114,180,749,672,77,3444,2036,1408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,G,39,情報サービス業,11409,1874,-,9534,1,11408,1620,9788,540283,418959,119187,66,63,3,6,2,4,19635,17256,2357,514943,398580,114248,470404,376908,91591,44539,21672,22657,5622,3049,2573,29399,23662,5737,51800,39072,12571,11,9,2,11,9,2,-,-,-,11,9,2,-,-,-,-,-,-
2,G,40,インターネット附随サービス業,1911,265,-,1646,-,1911,122,1789,58501,39984,17241,22,17,5,1,1,-,3020,2607,391,54862,37055,16553,47853,33528,13071,7009,3527,3482,596,304,292,2935,2042,893,4074,2226,1848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,G,41,映像・音声・文字情報制作業,8340,728,-,7612,-,8340,406,7934,146098,96961,48688,237,202,35,38,9,29,13362,10556,2806,128373,83847,44077,108601,74277,33875,19772,9570,10202,4088,2347,1741,5235,3574,1661,7126,3702,3424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,H,00,運輸業，郵便業,16447,1625,1,14765,56,16390,515,15875,484149,393893,90245,4814,4785,29,955,154,801,13208,10797,2411,447948,364519,83418,331319,288341,42976,116629,76178,40442,10337,6983,3354,15912,14565,1347,19643,13787,5855,6887,6655,232,6884,6655,229,6676,6470,206,208,185,23,3,-,3,4,3,1
2,H,42,鉄道業,655,112,1,522,20,634,34,600,55509,50868,4641,-,-,-,-,-,-,249,246,3,51130,46667,4463,47692,43725,3967,3438,2942,496,105,98,7,6044,5830,214,1278,1061,217,4025,3857,168,4025,3857,168,3963,3806,157,62,51,11,-,-,-,4,3,1
2,H,43,道路旅客運送業,5569,98,-,5454,17,5552,30,5522,109284,102951,6333,4521,4508,13,870,139,731,1485,1189,296,98666,93648,5018,77300,74600,2700,21366,19048,2318,1114,865,249,645,595,50,1440,1196,244,2628,2602,26,2628,2602,26,2508,2486,22,120,116,4,-,-,-,-,-,-
2,H,44,道路貨物運送業,6496,490,-,6006,-,6496,161,6335,167521,136439,31071,252,241,11,66,10,56,7048,5480,1568,153767,126073,27683,101007,91973,9032,52760,34100,18651,6388,4635,1753,3152,2803,349,4001,2645,1355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,45,水運業,395,108,-,286,1,394,51,343,12677,9739,2938,12,9,3,9,4,5,909,819,90,11563,8811,2752,10584,8160,2424,979,651,328,179,91,88,1342,1189,153,819,407,412,5,5,-,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-
2,H,46,航空運輸業,187,86,-,101,-,187,24,163,37491,23808,13683,-,-,-,-,-,-,171,168,3,37159,23587,13572,35970,23064,12906,1189,523,666,161,53,108,1289,1179,110,3739,2514,1225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,47,倉庫業,1017,240,-,777,-,1017,52,965,28189,16330,11859,6,5,1,1,-,1,951,819,132,26145,15032,11113,11990,9605,2385,14155,5427,8728,1086,474,612,363,303,60,1914,1240,674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,48,運輸に附帯するサービス業,2078,491,-,1569,18,2060,163,1897,56710,41014,15696,23,22,1,9,1,8,2376,2062,314,52774,37976,14798,39522,30450,9072,13252,7526,5726,1299,762,537,3077,2666,411,6452,4724,1728,229,191,38,226,191,35,200,173,27,26,18,8,3,-,3,-,-,-
2,H,49,郵便業（信書便事業を含む）,50,-,-,50,-,50,-,50,16768,12744,4024,-,-,-,-,-,-,19,14,5,16744,12725,4019,7254,6764,490,9490,5961,3529,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,I,00,卸売業，小売業,157973,8619,2,149349,3,157968,2773,155195,1996425,1154701,837245,30902,23409,7492,10208,2201,8007,131070,98450,32610,1773658,1009482,759708,1172128,802686,365147,601530,206796,394561,50576,21154,29422,60032,49018,11014,84026,40216,43809,11,5,6,9,5,4,1,1,-,8,4,4,2,-,2,18,5,13
2,I,50,各種商品卸売業,228,33,-,195,-,228,21,207,20820,14484,5874,6,4,2,1,-,1,579,517,62,20193,13945,5786,19036,13195,5379,1157,750,407,41,18,23,3216,2732,484,1698,508,1190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,51,繊維・衣服等卸売業,6425,305,-,6120,-,6425,160,6265,98225,46481,51668,311,261,50,80,14,66,8191,6273,1918,87179,39178,47925,69538,35801,33682,17641,3377,14243,2464,755,1709,1900,1164,736,2011,705,1305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,52,飲食料品卸売業,9486,699,-,8787,-,9486,279,9207,148789,101595,47016,886,811,75,297,66,231,12921,10056,2865,131585,88995,42412,105220,78612,26430,26365,10383,15982,3100,1667,1433,4971,4252,719,5971,3293,2678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,53,建築材料，鉱物・金属材料等卸売業,11265,1264,-,10001,-,11265,549,10716,184887,137861,46785,778,736,42,230,50,180,17482,14401,3078,164695,121513,42944,150578,113588,36752,14117,7925,6192,1702,1161,541,14850,13371,1479,9808,5582,4226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,54,機械器具卸売業,14736,1812,-,12924,-,14736,651,14085,346775,267880,78071,330,317,13,98,18,80,19731,16545,3185,323105,248958,73324,300106,236339,62944,22999,12619,10380,3511,2042,1469,20888,18224,2664,21351,14227,7124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,55,その他の卸売業,14656,1185,-,13471,-,14656,420,14236,237277,146700,88223,900,745,155,244,58,186,19108,14726,4376,213587,129952,81287,179058,119159,57552,34529,10793,23735,3438,1219,2219,5849,4370,1479,9568,4706,4862,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,56,各種商品小売業,374,30,-,344,-,374,6,368,52992,21302,31690,10,7,3,7,1,6,163,153,10,51244,20516,30728,19853,11397,8456,31391,9119,22272,1568,625,943,3213,2152,1061,17824,3434,14390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,57,織物・衣服・身の回り品小売業,18578,662,-,17916,-,18578,93,18485,125684,39000,86650,4252,2275,1977,1200,251,949,6661,4056,2605,109980,31768,78178,57686,21509,36151,52294,10259,42027,3591,650,2941,1344,329,1015,2222,574,1648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,58,飲食料品小売業,31064,625,2,30435,2,31060,199,30861,373560,167192,206342,10287,8397,1890,4096,786,3310,14506,9897,4609,329156,141819,187311,74423,48519,25882,254733,93300,161429,15508,6292,9216,1392,862,530,2492,1066,1426,7,1,6,5,1,4,1,1,-,4,-,4,2,-,2,18,5,13
