地域階層,地域コード,東京都26町丁目コード,地域名,町・大字名,丁目・字,地域名称,総数（経営組織）／事業所数（事業所）,総数（経営組織）／従業者数（人）,民営／事業所数（事業所）,民営／従業者数（人）,民営／個人／事業所数（事業所）,民営／個人／従業者数（人）,民営／法人／事業所数（事業所）,民営／法人／従業者数（人）,民営／法人／会社／事業所数（事業所）,民営／法人／会社／従業者数（人）,民営／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営／法人／会社／株式・有限・相互会社／従業者数（人）,民営／法人／会社／合資・合名会社／事業所数（事業所）,民営／法人／会社／合資・合名会社／従業者数（人）,民営／法人／会社／合同会社／事業所数（事業所）,民営／法人／会社／合同会社／従業者数（人）,民営／法人／会社／外国の会社／事業所数（事業所）,民営／法人／会社／外国の会社／従業者数（人）,民営／法人／会社以外の法人／事業所数（事業所）,民営／法人／会社以外の法人／従業者数（人）,民営／法人でない団体／事業所数（事業所）,民営／法人でない団体／従業者数（人）,国・地方公共団体／事業所数（事業所）,国・地方公共団体／従業者数（人）,国・地方公共団体／国／事業所数（事業所）,国・地方公共団体／国／従業者数（人）,国・地方公共団体／地方公共団体／事業所数（事業所）,国・地方公共団体／地方公共団体／従業者数（人）,国・地方公共団体／地方公共団体／都道府県／事業所数（事業所）,国・地方公共団体／地方公共団体／都道府県／従業者数（人）,国・地方公共団体／地方公共団体／市町村／事業所数（事業所）,国・地方公共団体／地方公共団体／市町村／従業者数（人）,国・地方公共団体／地方公共団体／一部事務組合等／事業所数（事業所）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数（人）
6,13101,1310104101,千代田区,千代田区岩本町,１丁目,千代田区岩本町１丁目,375,4688,375,4688,30,188,340,4491,326,4292,325,4272,-,-,-,-,1,20,14,199,5,9,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310104102,千代田区,千代田区岩本町,２丁目,千代田区岩本町２丁目,598,7456,598,7456,55,166,537,7280,512,6956,503,6900,6,45,1,5,2,6,25,324,6,10,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310104103,千代田区,千代田区岩本町,３丁目,千代田区岩本町３丁目,382,9875,382,9875,15,49,365,9779,346,9417,344,9394,1,6,1,17,-,-,19,362,2,47,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310102900,千代田区,千代田区内神田,,千代田区内神田,1829,26539,1825,26227,235,776,1569,25355,1430,23683,1423,23656,3,6,1,2,3,19,139,1672,21,96,4,312,-,-,4,312,3,304,1,8,-,-
6,13101,1310102901,千代田区,千代田区内神田,１丁目,千代田区内神田１丁目,695,11970,693,11945,85,274,596,11604,535,10678,530,10656,2,3,1,2,2,17,61,926,12,67,2,25,-,-,2,25,1,17,1,8,-,-
6,13101,1310102902,千代田区,千代田区内神田,２丁目,千代田区内神田２丁目,637,8762,635,8475,82,294,547,8159,498,7694,496,7689,1,3,-,-,1,2,49,465,6,22,2,287,-,-,2,287,2,287,-,-,-,-
6,13101,1310102903,千代田区,千代田区内神田,３丁目,千代田区内神田３丁目,497,5807,497,5807,68,208,426,5592,397,5311,397,5311,-,-,-,-,-,-,29,281,3,7,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310100300,千代田区,千代田区内幸町,,千代田区内幸町,827,38522,825,38433,83,580,732,37794,664,31928,628,31526,-,-,4,64,32,338,68,5866,10,59,2,89,1,54,1,35,1,35,-,-,-,-
6,13101,1310100301,千代田区,千代田区内幸町,１丁目,千代田区内幸町１丁目,502,21879,501,21844,25,191,471,21637,438,20412,412,20111,-,-,3,42,23,259,33,1225,5,16,1,35,-,-,1,35,1,35,-,-,-,-
6,13101,1310100302,千代田区,千代田区内幸町,２丁目,千代田区内幸町２丁目,325,16643,324,16589,58,389,261,16157,226,11516,216,11415,-,-,1,22,9,79,35,4641,5,43,1,54,1,54,-,-,-,-,-,-,-,-
5,13101,1310100200,千代田区,千代田区大手町,,千代田区大手町,986,123113,974,115137,19,338,934,114621,840,107839,826,107555,1,4,2,114,11,166,94,6782,21,178,12,7976,7,5810,5,2166,4,2163,1,3,-,-
6,13101,1310100201,千代田区,千代田区大手町,１丁目,千代田区大手町１丁目,617,96831,608,89006,10,51,582,88797,515,82386,506,82140,-,-,2,114,7,132,67,6411,16,158,9,7825,7,5810,2,2015,2,2015,-,-,-,-
6,13101,1310100202,千代田区,千代田区大手町,２丁目,千代田区大手町２丁目,369,26282,366,26131,9,287,352,25824,325,25453,320,25415,1,4,-,-,4,34,27,371,5,20,3,151,-,-,3,151,2,148,1,3,-,-
5,13101,1310103500,千代田区,千代田区鍛冶町,,千代田区鍛冶町,910,12907,909,12885,148,535,757,12342,723,12048,715,12004,4,13,1,10,3,21,34,294,4,8,1,22,-,-,1,22,1,22,-,-,-,-
6,13101,1310103501,千代田区,千代田区鍛冶町,１丁目,千代田区鍛冶町１丁目,416,6268,416,6268,71,235,343,6029,325,5930,322,5909,-,-,-,-,3,21,18,99,2,4,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310103502,千代田区,千代田区鍛冶町,２丁目,千代田区鍛冶町２丁目,494,6639,493,6617,77,300,414,6313,398,6118,393,6095,4,13,1,10,-,-,16,195,2,4,1,22,-,-,1,22,1,22,-,-,-,-
5,13101,1310100500,千代田区,千代田区霞が関,,千代田区霞が関,713,98093,627,39882,39,470,568,39250,427,33804,398,33629,-,-,17,81,12,94,141,5446,20,162,86,58211,82,51706,4,6505,4,6505,-,-,-,-
6,13101,1310100501,千代田区,千代田区霞が関,１丁目,千代田区霞が関１丁目,198,30663,164,9094,11,80,144,8947,95,7761,92,7719,-,-,-,-,3,42,49,1186,9,67,34,21569,33,21341,1,228,1,228,-,-,-,-
6,13101,1310100502,千代田区,千代田区霞が関,２丁目,千代田区霞が関２丁目,90,24073,65,1645,-,-,63,1619,40,753,40,753,-,-,-,-,-,-,23,866,2,26,25,22428,23,16167,2,6261,2,6261,-,-,-,-
6,13101,1310100503,千代田区,千代田区霞が関,３丁目,千代田区霞が関３丁目,425,43357,398,29143,28,390,361,28684,292,25290,266,25157,-,-,17,81,9,52,69,3394,9,69,27,14214,26,14198,1,16,1,16,-,-,-,-
5,13101,1310105400,千代田区,千代田区神田相生町,,千代田区神田相生町,19,1985,19,1985,-,-,19,1985,18,1937,18,1937,-,-,-,-,-,-,1,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310103200,千代田区,千代田区神田淡路町,,千代田区神田淡路町,395,15191,394,15154,52,199,340,14948,309,14038,303,14009,3,21,2,4,1,4,31,910,2,7,1,37,-,-,1,37,-,-,1,37,-,-
6,13101,1310103201,千代田区,千代田区神田淡路町,１丁目,千代田区神田淡路町１丁目,197,2912,197,2912,37,113,159,2793,150,2710,147,2699,1,5,1,2,1,4,9,83,1,6,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310103202,千代田区,千代田区神田淡路町,２丁目,千代田区神田淡路町２丁目,198,12279,197,12242,15,86,181,12155,159,11328,156,11310,2,16,1,2,-,-,22,827,1,1,1,37,-,-,1,37,-,-,1,37,-,-
5,13101,1310104700,千代田区,千代田区神田和泉町,,千代田区神田和泉町,491,9245,489,9190,83,308,404,8877,388,7389,383,7375,2,4,2,4,1,6,16,1488,2,5,2,55,-,-,2,55,-,-,2,55,-,-
5,13101,1310104500,千代田区,千代田区神田岩本町,,千代田区神田岩本町,112,1431,112,1431,9,48,102,1381,93,1309,92,1305,-,-,1,4,-,-,9,72,1,2,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310102700,千代田区,千代田区神田小川町,,千代田区神田小川町,998,14011,998,14011,177,696,815,13302,733,12574,720,12499,5,20,4,31,4,24,82,728,6,13,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102701,千代田区,千代田区神田小川町,１丁目,千代田区神田小川町１丁目,252,4427,252,4427,45,210,206,4215,183,4020,181,4015,-,-,1,3,1,2,23,195,1,2,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102702,千代田区,千代田区神田小川町,２丁目,千代田区神田小川町２丁目,297,3596,297,3596,47,192,248,3400,225,3189,218,3138,2,4,2,25,3,22,23,211,2,4,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102703,千代田区,千代田区神田小川町,３丁目,千代田区神田小川町３丁目,449,5988,449,5988,85,294,361,5687,325,5365,321,5346,3,16,1,3,-,-,36,322,3,7,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310103603,千代田区,千代田区神田鍛冶町３丁目,,千代田区神田鍛冶町３丁目,205,7454,205,7454,26,67,177,7374,165,7283,163,7275,2,8,-,-,-,-,12,91,2,13,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310103800,千代田区,千代田区神田北乗物町,,千代田区神田北乗物町,101,949,101,949,9,43,92,906,86,874,86,874,-,-,-,-,-,-,6,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310103700,千代田区,千代田区神田紺屋町,,千代田区神田紺屋町,260,3144,260,3144,28,67,227,3068,219,3001,218,2992,1,9,-,-,-,-,8,67,5,9,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310105200,千代田区,千代田区神田佐久間河岸,,千代田区神田佐久間河岸,87,959,87,959,6,12,81,947,75,864,75,864,-,-,-,-,-,-,6,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310104800,千代田区,千代田区神田佐久間町,,千代田区神田佐久間町,772,11896,770,11874,82,280,678,11558,642,11044,638,11028,3,13,1,3,-,-,36,514,10,36,2,22,-,-,2,22,1,14,1,8,-,-
6,13101,1310104801,千代田区,千代田区神田佐久間町,１丁目,千代田区神田佐久間町１丁目,227,3919,225,3897,26,82,198,3814,188,3570,187,3567,-,-,1,3,-,-,10,244,1,1,2,22,-,-,2,22,1,14,1,8,-,-
6,13101,1310104802,千代田区,千代田区神田佐久間町,２丁目,千代田区神田佐久間町２丁目,187,2821,187,2821,27,100,156,2703,147,2638,145,2630,2,8,-,-,-,-,9,65,4,18,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310104803,千代田区,千代田区神田佐久間町,３丁目,千代田区神田佐久間町３丁目,293,4462,293,4462,27,91,261,4354,247,4189,247,4189,-,-,-,-,-,-,14,165,5,17,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310104804,千代田区,千代田区神田佐久間町,４丁目,千代田区神田佐久間町４丁目,65,694,65,694,2,7,63,687,60,647,59,642,1,5,-,-,-,-,3,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310102100,千代田区,千代田区神田神保町,,千代田区神田神保町,1937,28902,1936,28894,362,1180,1565,27682,1435,23160,1407,22948,14,74,6,41,8,97,130,4522,9,32,1,8,-,-,1,8,-,-,1,8,-,-
6,13101,1310102101,千代田区,千代田区神田神保町,１丁目,千代田区神田神保町１丁目,910,12400,910,12400,179,580,728,11798,682,11334,668,11244,9,56,2,21,3,13,46,464,3,22,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102102,千代田区,千代田区神田神保町,２丁目,千代田区神田神保町２丁目,660,11009,659,11001,127,402,530,10597,479,7217,470,7131,3,13,2,10,4,63,51,3380,2,2,1,8,-,-,1,8,-,-,1,8,-,-
6,13101,1310102103,千代田区,千代田区神田神保町,３丁目,千代田区神田神保町３丁目,367,5493,367,5493,56,198,307,5287,274,4609,269,4573,2,5,2,10,1,21,33,678,4,8,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310103300,千代田区,千代田区神田須田町,,千代田区神田須田町,1168,16747,1168,16747,172,514,992,16222,917,15367,904,15290,5,35,2,5,6,37,75,855,4,11,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310103301,千代田区,千代田区神田須田町,１丁目,千代田区神田須田町１丁目,726,9123,726,9123,123,392,599,8720,553,8021,545,7978,3,29,2,5,3,9,46,699,4,11,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310103302,千代田区,千代田区神田須田町,２丁目,千代田区神田須田町２丁目,442,7624,442,7624,49,122,393,7502,364,7346,359,7312,2,6,-,-,3,28,29,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310102500,千代田区,千代田区神田駿河台,,千代田区神田駿河台,847,33088,847,33088,78,407,752,32452,629,23227,624,23131,2,4,3,92,-,-,123,9225,17,229,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102501,千代田区,千代田区神田駿河台,１丁目,千代田区神田駿河台１丁目,107,5854,107,5854,7,28,98,5739,68,1503,68,1503,-,-,-,-,-,-,30,4236,2,87,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102502,千代田区,千代田区神田駿河台,２丁目,千代田区神田駿河台２丁目,391,11308,391,11308,38,200,346,11091,293,7427,288,7331,2,4,3,92,-,-,53,3664,7,17,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102503,千代田区,千代田区神田駿河台,３丁目,千代田区神田駿河台３丁目,236,9267,236,9267,29,151,200,8993,175,8582,175,8582,-,-,-,-,-,-,25,411,7,123,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102504,千代田区,千代田区神田駿河台,４丁目,千代田区神田駿河台４丁目,113,6659,113,6659,4,28,108,6629,93,5715,93,5715,-,-,-,-,-,-,15,914,1,2,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310103102,千代田区,千代田区神田多町２丁目,,千代田区神田多町２丁目,254,2589,254,2589,38,122,213,2460,194,2302,188,2280,3,6,1,7,2,9,19,158,3,7,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310103002,千代田区,千代田区神田司町２丁目,,千代田区神田司町２丁目,308,5754,303,5689,45,165,258,5524,246,5410,242,5397,4,13,-,-,-,-,12,114,-,-,5,65,-,-,5,65,-,-,5,65,-,-
5,13101,1310103900,千代田区,千代田区神田富山町,,千代田区神田富山町,129,1466,129,1466,13,54,114,1407,107,1313,107,1313,-,-,-,-,-,-,7,94,2,5,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310102600,千代田区,千代田区神田錦町,,千代田区神田錦町,929,22991,927,22519,104,453,813,22036,740,21001,736,20990,1,5,2,2,1,4,73,1035,10,30,2,472,1,247,1,225,1,225,-,-,-,-
6,13101,1310102601,千代田区,千代田区神田錦町,１丁目,千代田区神田錦町１丁目,283,7130,283,7130,21,67,260,7058,243,6756,243,6756,-,-,-,-,-,-,17,302,2,5,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310102602,千代田区,千代田区神田錦町,２丁目,千代田区神田錦町２丁目,199,5289,198,5064,23,146,173,4914,162,4784,162,4784,-,-,-,-,-,-,11,130,2,4,1,225,-,-,1,225,1,225,-,-,-,-
6,13101,1310102603,千代田区,千代田区神田錦町,３丁目,千代田区神田錦町３丁目,447,10572,446,10325,60,240,380,10064,335,9461,331,9450,1,5,2,2,1,4,45,603,6,21,1,247,1,247,-,-,-,-,-,-,-,-
5,13101,1310104200,千代田区,千代田区神田西福田町,,千代田区神田西福田町,48,1783,48,1783,5,10,43,1773,41,1768,41,1768,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310105300,千代田区,千代田区神田練塀町,,千代田区神田練塀町,132,5570,132,5570,17,47,114,5518,107,5473,106,5472,-,-,-,-,1,1,7,45,1,5,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310105100,千代田区,千代田区神田花岡町,,千代田区神田花岡町,62,1608,62,1608,2,8,60,1600,60,1600,60,1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310104400,千代田区,千代田区神田東紺屋町,,千代田区神田東紺屋町,26,356,26,356,4,7,21,348,20,346,20,346,-,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310104300,千代田区,千代田区神田東松下町,,千代田区神田東松下町,205,2548,205,2548,20,50,183,2494,167,2390,167,2390,-,-,-,-,-,-,16,104,2,4,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310104900,千代田区,千代田区神田平河町,,千代田区神田平河町,64,790,64,790,15,59,49,731,44,705,44,705,-,-,-,-,-,-,5,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310105000,千代田区,千代田区神田松永町,,千代田区神田松永町,156,2249,156,2249,20,67,136,2182,128,2106,126,2102,1,2,-,-,1,2,8,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310104000,千代田区,千代田区神田美倉町,,千代田区神田美倉町,72,1524,72,1524,3,11,68,1511,61,1498,61,1498,-,-,-,-,-,-,7,13,1,2,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310102800,千代田区,千代田区神田美土代町,,千代田区神田美土代町,158,5026,158,5026,22,86,134,4924,133,4576,133,4576,-,-,-,-,-,-,1,348,2,16,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310101000,千代田区,千代田区紀尾井町,,千代田区紀尾井町,451,14038,450,14023,135,612,313,13406,271,9113,260,8829,-,-,4,225,7,59,42,4293,2,5,1,15,1,15,-,-,-,-,-,-,-,-
5,13101,1310101500,千代田区,千代田区北の丸公園,,千代田区北の丸公園,23,847,21,534,-,-,20,533,11,168,11,168,-,-,-,-,-,-,9,365,1,1,2,313,1,4,1,309,1,309,-,-,-,-
5,13101,1310101700,千代田区,千代田区九段北,,千代田区九段北,948,29833,945,29627,156,629,766,28903,660,26958,655,26914,1,10,3,31,1,3,106,1945,23,95,3,206,-,-,3,206,-,-,2,180,1,26
6,13101,1310101701,千代田区,千代田区九段北,１丁目,千代田区九段北１丁目,535,11238,533,11118,93,331,430,10773,380,10124,376,10108,1,10,2,3,1,3,50,649,10,14,2,120,-,-,2,120,-,-,1,94,1,26
6,13101,1310101702,千代田区,千代田区九段北,２丁目,千代田区九段北２丁目,22,448,21,362,-,-,21,362,12,118,12,118,-,-,-,-,-,-,9,244,-,-,1,86,-,-,1,86,-,-,1,86,-,-
6,13101,1310101703,千代田区,千代田区九段北,３丁目,千代田区九段北３丁目,57,1304,57,1304,3,30,54,1274,45,908,45,908,-,-,-,-,-,-,9,366,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310101704,千代田区,千代田区九段北,４丁目,千代田区九段北４丁目,334,16843,334,16843,60,268,261,16494,223,15808,222,15780,-,-,1,28,-,-,38,686,13,81,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310101600,千代田区,千代田区九段南,,千代田区九段南,885,22073,862,18183,143,516,712,17642,622,14897,614,14829,5,38,1,14,2,16,90,2745,7,25,23,3890,13,3110,10,780,5,129,5,651,-,-
6,13101,1310101601,千代田区,千代田区九段南,１丁目,千代田区九段南１丁目,99,6196,80,2429,5,18,74,2410,62,1877,61,1854,1,23,-,-,-,-,12,533,1,1,19,3767,12,3108,7,659,2,8,5,651,-,-
6,13101,1310101602,千代田区,千代田区九段南,２丁目,千代田区九段南２丁目,166,7371,165,7369,9,44,153,7305,137,6738,135,6715,1,9,1,14,-,-,16,567,3,20,1,2,1,2,-,-,-,-,-,-,-,-
6,13101,1310101603,千代田区,千代田区九段南,３丁目,千代田区九段南３丁目,292,2979,292,2979,76,245,215,2732,204,2605,202,2601,2,4,-,-,-,-,11,127,1,2,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310101604,千代田区,千代田区九段南,４丁目,千代田区九段南４丁目,328,5527,325,5406,53,209,270,5195,219,3677,216,3659,1,2,-,-,2,16,51,1518,2,2,3,121,-,-,3,121,3,121,-,-,-,-
5,13101,1310101200,千代田区,千代田区皇居外苑,,千代田区皇居外苑,3,94,2,84,-,-,2,84,-,-,-,-,-,-,-,-,-,-,2,84,-,-,1,10,1,10,-,-,-,-,-,-,-,-
5,13101,1310100900,千代田区,千代田区麹町,,千代田区麹町,1486,30184,1477,29528,318,1484,1144,28001,990,25436,972,25279,2,14,3,17,13,126,154,2565,15,43,9,656,1,32,8,624,3,574,5,50,-,-
6,13101,1310100901,千代田区,千代田区麹町,１丁目,千代田区麹町１丁目,308,9587,303,9009,62,344,235,8647,210,7856,210,7856,-,-,-,-,-,-,25,791,6,18,5,578,-,-,5,578,3,574,2,4,-,-
6,13101,1310100902,千代田区,千代田区麹町,２丁目,千代田区麹町２丁目,252,3703,249,3657,48,224,200,3432,177,3105,173,3083,1,10,1,1,2,11,23,327,1,1,3,46,-,-,3,46,-,-,3,46,-,-
6,13101,1310100903,千代田区,千代田区麹町,３丁目,千代田区麹町３丁目,383,5261,383,5261,97,372,284,4883,261,4496,256,4426,1,4,-,-,4,66,23,387,2,6,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310100904,千代田区,千代田区麹町,４丁目,千代田区麹町４丁目,296,5248,295,5216,63,306,230,4906,177,4397,172,4368,-,-,1,13,4,16,53,509,2,4,1,32,1,32,-,-,-,-,-,-,-,-
6,13101,1310100905,千代田区,千代田区麹町,５丁目,千代田区麹町５丁目,157,5548,157,5548,16,110,138,5427,119,4967,115,4931,-,-,1,3,3,33,19,460,3,11,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310100906,千代田区,千代田区麹町,６丁目,千代田区麹町６丁目,90,837,90,837,32,128,57,706,46,615,46,615,-,-,-,-,-,-,11,91,1,3,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310105800,千代田区,千代田区五番町,,千代田区五番町,258,6042,258,6042,57,231,199,5799,170,4905,170,4905,-,-,-,-,-,-,29,894,2,12,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310102400,千代田区,千代田区猿楽町,,千代田区猿楽町,297,8949,295,8913,55,121,237,8746,216,8527,215,8525,-,-,1,2,-,-,21,219,3,46,2,36,-,-,2,36,-,-,2,36,-,-
6,13101,1310102401,千代田区,千代田区猿楽町,１丁目,千代田区猿楽町１丁目,100,1948,98,1912,16,42,82,1870,77,1816,76,1814,-,-,1,2,-,-,5,54,-,-,2,36,-,-,2,36,-,-,2,36,-,-
6,13101,1310102402,千代田区,千代田区猿楽町,２丁目,千代田区猿楽町２丁目,197,7001,197,7001,39,79,155,6876,139,6711,139,6711,-,-,-,-,-,-,16,165,3,46,-,-,-,-,-,-,-,-,-,-,-,-
5,13101,1310105600,千代田区,千代田区三番町,,千代田区三番町,294,8408,290,8343,25,61,258,8230,214,6517,212,6493,-,-,-,-,2,24,44,1713,7,52,4,65,1,5,3,60,-,-,3,60,-,-
5,13101,1310103400,千代田区,千代田区外神田,,千代田区外神田,2449,40016,2439,39354,260,893,2170,38382,2078,37309,2057,37087,7,33,8,117,6,72,92,1073,9,79,10,662,1,6,9,656,3,499,6,157,-,-
6,13101,1310103401,千代田区,千代田区外神田,１丁目,千代田区外神田１丁目,470,9965,464,9512,22,50,441,9461,425,9201,424,9194,-,-,1,7,-,-,16,260,1,1,6,453,1,6,5,447,2,348,3,99,-,-
6,13101,1310103402,千代田区,千代田区外神田,２丁目,千代田区外神田２丁目,432,6173,432,6173,64,210,366,5961,340,5636,335,5593,2,5,2,16,1,22,26,325,2,2,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310103403,千代田区,千代田区外神田,３丁目,千代田区外神田３丁目,547,6558,544,6500,67,297,476,6201,462,6120,458,6066,1,2,2,38,1,14,14,81,1,2,3,58,-,-,3,58,-,-,3,58,-,-
6,13101,1310103404,千代田区,千代田区外神田,４丁目,千代田区外神田４丁目,283,10259,282,10108,10,46,271,10062,260,9938,259,9936,1,2,-,-,-,-,11,124,1,-,1,151,-,-,1,151,1,151,-,-,-,-
6,13101,1310103405,千代田区,千代田区外神田,５丁目,千代田区外神田５丁目,290,2531,290,2531,33,91,256,2438,250,2407,247,2361,2,20,-,-,1,26,6,31,1,2,-,-,-,-,-,-,-,-,-,-,-,-
6,13101,1310103406,千代田区,千代田区外神田,６丁目,千代田区外神田６丁目,427,4530,427,4530,64,199,360,4259,341,4007,334,3937,1,4,3,56,3,10,19,252,3,72,-,-,-,-,-,-,-,-,-,-,-,-
