産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,単独事業所／事業所数（事業所）,独事業所／従業者数／総数（人）,単独事業所／従業者数／男（人）,単独事業所／従業者数／女（人）,本所・本社・本店／事業所数（事業所）,本所・本社・本店／従業者数／総数（人）,本所・本社・本店／従業者数／男（人）,本所・本社・本店／従業者数／女（人）,支所・支社・支店／事業所数（事業所）,支所・支社・支店／従業者数／総数（人）,支所・支社・支店／従業者数／男（人）,支所・支社・支店／従業者数／女（人）
2,J,63,000,協同組織金融業,1130,28970,18672,10298,17,666,471,195,47,8140,5930,2210,1066,20164,12271,7893
3,J,63,630,管理，補助的経済活動を行う事業所,3,436,315,121,-,-,-,-,1,355,277,78,2,81,38,43
3,J,63,631,中小企業等金融業,1107,26079,16648,9431,14,628,437,191,44,6230,4594,1636,1049,19221,11617,7604
3,J,63,632,農林水産金融業,20,2455,1709,746,3,38,34,4,2,1555,1059,496,15,862,616,246
2,J,64,000,貸金業，クレジットカード業等非預金信用機関,1111,45971,24014,21893,659,4539,2637,1839,121,25639,14275,11363,328,15779,7095,8684
3,J,64,640,管理，補助的経済活動を行う事業所,8,566,402,164,-,-,-,-,3,433,291,142,5,133,111,22
3,J,64,641,貸金業,313,7026,4362,2663,206,1151,768,383,28,2820,1805,1014,78,3054,1789,1265
3,J,64,642,質屋,345,1014,606,408,308,875,518,357,18,83,47,36,19,56,41,15
3,J,64,643,クレジットカード業，割賦金融業,274,28610,12886,15724,61,1550,745,805,44,16096,7992,8104,168,10952,4142,6810
3,J,64,649,その他の非預金信用機関,171,8755,5758,2934,84,963,606,294,28,6207,4140,2067,58,1584,1012,572
2,J,65,000,金融商品取引業，商品先物取引業,1440,56161,38363,17338,947,15666,10235,5212,131,18999,13765,5167,355,21493,14360,6959
3,J,65,650,管理，補助的経済活動を行う事業所,5,537,351,186,-,-,-,-,1,380,260,120,4,157,91,66
3,J,65,651,金融商品取引業,1365,53470,36259,16752,906,14639,9411,5009,114,17785,12817,4902,338,21043,14028,6841
3,J,65,652,商品先物取引業，商品投資顧問業,70,2154,1753,400,41,1027,824,203,16,834,688,145,13,293,241,52
2,J,66,000,補助的金融業等,424,11460,7960,3410,143,2720,1981,653,83,5810,4166,1640,197,2915,1799,1116
3,J,66,660,管理，補助的経済活動を行う事業所,1,11,9,2,-,-,-,-,1,11,9,2,-,-,-,-
3,J,66,661,補助的金融業，金融附帯業,302,9409,6264,3058,112,2318,1658,574,67,4835,3249,1585,122,2241,1343,898
3,J,66,662,信託業,14,154,108,43,7,96,71,25,5,46,27,16,2,12,10,2
3,J,66,663,金融代理業,107,1886,1579,307,24,306,252,54,10,918,881,37,73,662,446,216
2,J,67,000,保険業（保険媒介代理業，保険サービス業を含む）,5548,156681,73293,83364,2242,13652,8619,5033,483,51960,29766,22170,2820,91060,34903,56157
3,J,67,670,管理，補助的経済活動を行う事業所,17,2951,2225,726,-,-,-,-,6,1635,1239,396,11,1316,986,330
3,J,67,671,生命保険業,1507,81673,32404,49259,8,618,351,267,36,22439,12815,9614,1463,58616,19238,39378
3,J,67,672,損害保険業,771,39203,20102,19087,8,1860,1530,330,32,13737,7793,5930,731,23606,10779,12827
3,J,67,673,共済事業・少額短期保険業,185,5536,3279,2257,97,1542,1023,519,27,2427,1378,1049,61,1567,878,689
3,J,67,674,保険媒介代理業,2923,24074,13288,10786,2064,9073,5377,3696,349,10150,5646,4504,508,4845,2263,2582
3,J,67,675,保険サービス業,145,3244,1995,1249,65,559,338,221,33,1572,895,677,46,1110,759,351
1,K,00,000,不動産業，物品賃貸業,61918,345753,214135,130356,47773,150104,84253,65394,3134,112142,72167,39228,10864,83134,57483,25597
2,K,68,000,不動産取引業,12097,91555,60180,30996,9030,38597,24333,13937,932,31844,21232,10599,2132,21087,14600,6448
3,K,68,680,管理，補助的経済活動を行う事業所,19,1206,616,590,-,-,-,-,6,1010,505,505,13,196,111,85
3,K,68,681,建物売買業，土地売買業,2427,34042,23398,10291,1902,12243,8269,3662,261,17095,11952,5141,263,4703,3176,1488
3,K,68,682,不動産代理業・仲介業,9651,56307,36166,20115,7128,26354,16064,10275,665,13739,8775,4953,1856,16188,11313,4875
2,K,69,000,不動産賃貸業・管理業,46781,198268,117314,80076,37665,104193,54986,49077,1738,53646,33578,19334,7234,40083,28533,11540
3,K,69,690,管理，補助的経済活動を行う事業所,33,386,280,106,-,-,-,-,9,275,205,70,24,111,75,36
3,K,69,691,不動産賃貸業（貸家業，貸間業を除く）,8006,47183,28896,18156,6804,25525,14139,11256,582,15850,10829,5020,613,5754,3895,1859
3,K,69,692,貸家業，貸間業,22968,61732,31928,29315,21883,49845,24993,24852,538,8061,4891,2691,541,3806,2037,1759
3,K,69,693,駐車場業,2722,9848,6589,3259,2399,5701,3196,2505,88,1713,1264,449,232,2424,2119,305
3,K,69,694,不動産管理業,13052,79119,49621,29240,6579,23122,12658,10464,521,27747,16389,11104,5824,27988,20407,7581
2,K,70,000,物品賃貸業,3040,55930,36641,19284,1078,7314,4934,2380,464,26652,17357,9295,1498,21964,14350,7609
3,K,70,700,管理，補助的経済活動を行う事業所,46,953,589,364,-,-,-,-,15,225,140,85,31,728,449,279
3,K,70,701,各種物品賃貸業,117,11013,7126,3887,23,236,147,89,30,7642,4892,2750,64,3135,2087,1048
3,K,70,702,産業用機械器具賃貸業,854,11762,8956,2806,398,2795,2143,652,159,5318,4015,1303,297,3649,2798,851
3,K,70,703,事務用機械器具賃貸業,151,3811,2270,1541,50,247,163,84,23,2478,1391,1087,78,1086,716,370
3,K,70,704,自動車賃貸業,563,9910,7479,2431,112,642,450,192,42,5133,3710,1423,409,4135,3319,816
3,K,70,705,スポーツ・娯楽用品賃貸業,42,431,316,115,20,160,122,38,7,210,158,52,15,61,36,25
3,K,70,709,その他の物品賃貸業,1267,18050,9905,8140,475,3234,1909,1325,188,5646,3051,2595,604,9170,4945,4220
4,K,70,70A,音楽・映像記録物賃貸業（別掲を除く）,262,6166,3445,2721,41,277,188,89,21,1550,815,735,200,4339,2442,1897
4,K,70,70B,他に分類されない物品賃貸業,1005,11884,6460,5419,434,2957,1721,1236,167,4096,2236,1860,404,4831,2503,2323
1,L,00,000,学術研究，専門・技術サービス業,42862,466791,311735,153373,35485,198844,122974,75487,3126,165881,115395,49210,4142,101611,73064,28523
2,L,71,000,学術・開発研究機関,1089,35833,24737,10086,537,5515,3539,1976,148,6964,4028,1926,367,23201,17078,6123
3,L,71,710,管理，補助的経済活動を行う事業所,6,42,25,17,-,-,-,-,4,33,21,12,2,9,4,5
3,L,71,711,自然科学研究所,854,32367,22696,8661,384,4231,2784,1447,125,6291,3583,1698,323,21778,16289,5489
3,L,71,712,人文・社会科学研究所,229,3424,2016,1408,153,1284,755,529,19,640,424,216,42,1414,785,629
2,L,72,000,専門サービス業（他に分類されないもの）,26496,236750,148041,88135,23599,125638,74010,51287,1398,79518,53334,25974,1445,31374,20562,10789
3,L,72,720,管理，補助的経済活動を行う事業所,18,1473,1204,269,-,-,-,-,7,23,19,4,11,1450,1185,265
3,L,72,721,法律事務所，特許事務所,4519,26439,14062,12377,4336,23829,12640,11189,104,2056,1139,917,79,554,283,271
4,L,72,72A,法律事務所,3792,18387,9424,8963,3684,17098,8792,8306,53,837,409,428,55,452,223,229
4,L,72,72B,特許事務所,727,8052,4638,3414,652,6731,3848,2883,51,1219,730,489,24,102,60,42
3,L,72,722,公証人役場，司法書士事務所，土地家屋調査士事務所,1562,5556,3712,1844,1488,5022,3376,1646,29,291,170,121,45,243,166,77
3,L,72,723,行政書士事務所,478,959,602,357,456,847,546,301,13,66,37,29,9,46,19,27
3,L,72,724,公認会計士事務所，税理士事務所,6867,46185,29165,17020,6509,28138,16392,11746,185,10624,7287,3337,173,7423,5486,1937
4,L,72,72C,公認会計士事務所,1001,19232,13703,5529,943,4930,3176,1754,38,7851,5664,2187,20,6451,4863,1588
4,L,72,72D,税理士事務所,5866,26953,15462,11491,5566,23208,13216,9992,147,2773,1623,1150,153,972,623,349
3,L,72,725,社会保険労務士事務所,690,2679,1313,1366,661,2385,1192,1193,14,229,96,133,15,65,25,40
3,L,72,726,デザイン業,3236,18337,10651,7686,2786,13487,7856,5631,161,2477,1443,1034,285,2363,1345,1018
3,L,72,727,著述・芸術家業,133,217,140,77,131,215,138,77,1,1,1,-,1,1,1,-
3,L,72,728,経営コンサルタント業，純粋持株会社,4030,82526,56982,25014,3197,26365,17451,8617,438,46277,32926,13141,378,9804,6545,3236
4,L,72,72E,経営コンサルタント業,3642,68393,47256,20833,2897,15957,10238,5648,390,43296,30938,12148,338,9060,6020,3017
4,L,72,72F,純粋持株会社,388,14133,9726,4181,300,10408,7213,2969,48,2981,1988,993,40,744,525,219
3,L,72,729,その他の専門サービス業,4963,52379,30210,22125,4035,25350,14419,10887,446,17474,10216,7258,449,9425,5507,3918
4,L,72,72G,興信所,83,3422,1596,1782,53,381,246,91,13,878,526,352,17,2163,824,1339
4,L,72,72H,他に分類されない専門サービス業,4880,48957,28614,20343,3982,24969,14173,10796,433,16596,9690,6906,432,7262,4683,2579
2,L,73,000,広告業,2972,62484,41188,21254,2131,20338,12974,7322,399,36171,24326,11845,442,5975,3888,2087
3,L,73,730,管理，補助的経済活動を行う事業所,5,18,8,10,-,-,-,-,2,3,2,1,3,15,6,9
3,L,73,731,広告業,2967,62466,41180,21244,2131,20338,12974,7322,397,36168,24324,11844,439,5960,3882,2078
2,L,74,000,技術サービス業（他に分類されないもの）,12305,131724,97769,33898,9218,47353,32451,14902,1181,43228,33707,9465,1888,41061,31536,9524
3,L,74,740,管理，補助的経済活動を行う事業所,71,1723,1319,404,-,-,-,-,47,1535,1168,367,24,188,151,37
3,L,74,741,獣医業,1175,6272,1970,4302,1038,4928,1510,3418,56,631,198,433,81,713,262,451
3,L,74,742,土木建築サービス業,7177,71841,55786,16055,5600,27814,20460,7354,621,25065,19873,5192,948,18938,15432,3506
4,L,74,74A,建築設計業,6016,57858,44588,13270,4807,22161,16000,6161,461,20505,16139,4366,740,15168,12428,2740
4,L,74,74B,測量業,626,7024,5710,1314,466,2875,2300,575,74,2691,2254,437,86,1458,1156,302
4,L,74,74C,その他の土木建築サービス業,535,6959,5488,1471,327,2778,2160,618,86,1869,1480,389,122,2312,1848,464
3,L,74,743,機械設計業,858,13940,11862,2077,602,3631,2763,868,108,3461,3003,458,148,6848,6096,751
3,L,74,744,商品・非破壊検査業,349,9001,6003,2963,160,1546,1081,465,76,3102,2222,845,112,4352,2699,1653
3,L,74,745,計量証明業,191,3287,2052,1235,84,692,490,202,39,993,639,354,67,1600,921,679
3,L,74,746,写真業,1519,8113,4336,3777,1113,4078,2554,1524,107,1857,1045,812,298,2161,722,1439
3,L,74,749,その他の技術サービス業,965,17547,14441,3085,621,4664,3593,1071,127,6584,5559,1004,210,6261,5253,1008
1,M,00,000,宿泊業，飲食サービス業,92918,889022,430595,457812,55872,246359,118142,128217,5909,144141,76357,67685,31097,498079,235989,261574
2,M,75,000,宿泊業,3247,65737,35135,30602,1307,16964,8640,8324,467,18402,11000,7402,1464,30282,15453,14829
3,M,75,750,管理，補助的経済活動を行う事業所,48,965,631,334,-,-,-,-,31,667,417,250,17,298,214,84
3,M,75,751,旅館，ホテル,2112,57542,30830,26712,1062,15512,7871,7641,328,16368,9824,6544,719,25611,13114,12497
3,M,75,752,簡易宿所,204,1425,878,547,117,840,477,363,35,260,175,85,51,321,226,95
3,M,75,753,下宿業,22,85,28,57,15,62,18,44,2,8,4,4,5,15,6,9
3,M,75,759,その他の宿泊業,861,5720,2768,2952,113,550,274,276,71,1099,580,519,672,4037,1893,2144
4,M,75,75A,会社・団体の宿泊所,125,1130,615,515,10,40,24,16,24,201,108,93,90,863,466,397
4,M,75,75B,他に分類されない宿泊業,736,4590,2153,2437,103,510,250,260,47,898,472,426,582,3174,1427,1747
2,M,76,000,飲食店,83833,738279,362506,375207,53714,222079,105871,116208,5133,100296,54954,45243,24959,415649,201637,213545
3,M,76,760,管理，補助的経済活動を行う事業所,436,7825,5343,2482,-,-,-,-,331,6659,4584,2075,105,1166,759,407
3,M,76,761,食堂，レストラン（専門料理店を除く）,4472,67133,28645,38461,2054,8866,4184,4682,217,15058,8007,7051,2198,43193,16454,26712
3,M,76,762,専門料理店,29559,284229,150831,133224,17073,81266,44575,36691,2270,42457,22931,19427,10212,160486,83316,77095
4,M,76,76A,日本料理店,8325,82849,39925,42831,4808,23538,11390,12148,390,8037,3951,3993,3126,51269,24579,26690
4,M,76,76B,中華料理店,9065,67389,39389,27950,5883,24598,14312,10286,674,7775,5114,2655,2507,35012,19961,15007
4,M,76,76C,焼肉店,2246,25726,15214,10512,1161,7128,4229,2899,184,3269,2046,1223,901,15329,8939,6390
4,M,76,76D,その他の専門料理店,9923,108265,56303,51931,5221,26002,14644,11358,1022,23376,11820,11556,3678,58876,29837,29008
3,M,76,763,そば・うどん店,4806,32851,15199,17634,3458,15850,7269,8581,171,2222,1245,977,1177,14779,6685,8076
3,M,76,764,すし店,3620,30915,16675,14240,2623,9696,5533,4163,151,2827,1716,1111,846,18392,9426,8966
3,M,76,765,酒場，ビヤホール,19995,140242,82323,57802,13507,47588,24274,23314,1065,16310,9940,6370,5423,76344,48109,28118
3,M,76,766,バー，キャバレー，ナイトクラブ,10892,50970,17558,33412,9592,37467,11150,26317,364,3221,1650,1571,934,10274,4754,5520
3,M,76,767,喫茶店,6999,68125,22661,45234,4149,15192,5919,9273,336,4959,2100,2859,2498,47773,14612,32931
3,M,76,769,その他の飲食店,3054,55989,23271,32718,1258,6154,2967,3187,228,6583,2781,3802,1566,43242,17522,25720
4,M,76,76E,ハンバーガー店,896,34393,14865,19528,82,1295,697,598,74,4500,1843,2657,740,28598,12325,16273
4,M,76,76F,お好み焼・焼きそば・たこ焼店,1215,6609,3407,3202,928,3573,1760,1813,67,626,340,286,220,2410,1307,1103
4,M,76,76G,他に分類されない飲食店,943,14987,4999,9988,248,1286,510,776,87,1457,598,859,606,12234,3890,8344
2,M,77,000,持ち帰り・配達飲食サービス業,5838,85006,32954,52003,851,7316,3631,3685,309,25443,10403,15040,4674,52148,18899,33200
3,M,77,770,管理，補助的経済活動を行う事業所,36,812,534,278,-,-,-,-,25,742,492,250,11,70,42,28
3,M,77,771,持ち帰り飲食サービス業,1143,12398,4819,7579,423,2089,906,1183,68,3267,1727,1540,650,7030,2186,4844
3,M,77,772,配達飲食サービス業,4659,71796,27601,44146,428,5227,2725,2502,216,21434,8184,13250,4013,45048,16671,28328
1,N,00,000,生活関連サービス業，娯楽業,48080,351029,160282,190735,31761,120234,58503,61730,4007,94233,41619,52614,12254,136052,59884,76157
2,N,78,000,洗濯・理容・美容・浴場業,33501,140874,53398,87464,24392,66997,29618,37378,2352,26512,9692,16820,6752,47333,14074,33248
3,N,78,780,管理，補助的経済活動を行う事業所,71,808,367,441,-,-,-,-,51,605,298,307,20,203,69,134
3,N,78,781,洗濯業,7077,36267,13787,22480,4057,13199,6605,6594,576,8405,3177,5228,2441,14645,3999,10646
4,N,78,78A,普通洗濯業,6738,28441,9718,18723,3914,11209,5723,5486,510,6083,1955,4128,2311,11131,2034,9097
4,N,78,78B,リネンサプライ業,339,7826,4069,3757,143,1990,882,1108,66,2322,1222,1100,130,3514,1965,1549
3,N,78,782,理容業,7481,17860,10522,7338,6726,14452,8346,6106,247,1352,867,485,508,2056,1309,747
3,N,78,783,美容業,14532,56884,21786,35086,11094,28916,11011,17904,1043,9204,3915,5289,2393,18750,6852,11887
3,N,78,784,一般公衆浴場業,623,2893,1297,1596,573,2401,1118,1283,18,123,50,73,32,369,129,240
3,N,78,785,その他の公衆浴場業,196,4270,1840,2430,117,1289,710,579,22,837,259,578,57,2144,871,1273
3,N,78,789,その他の洗濯・理容・美容・浴場業,3521,21892,3799,18093,1825,6740,1828,4912,395,5986,1126,4860,1301,9166,845,8321
2,N,79,000,その他の生活関連サービス業,6801,81698,34057,47641,3505,20290,9965,10325,743,33625,12399,21226,2541,27709,11667,16042
3,N,79,790,管理，補助的経済活動を行う事業所,26,847,614,233,-,-,-,-,14,756,571,185,12,91,43,48
3,N,79,791,旅行業,1706,30683,14304,16379,818,5808,3367,2441,244,14440,6508,7932,644,10435,4429,6006
3,N,79,793,衣服裁縫修理業,902,4264,1062,3202,512,1355,494,861,43,520,174,346,347,2389,394,1995
3,N,79,794,物品預り業,356,3389,3012,377,76,208,121,87,10,242,186,56,269,2930,2696,234
3,N,79,795,火葬・墓地管理業,135,1103,623,480,47,347,184,163,19,142,97,45,68,611,341,270
3,N,79,796,冠婚葬祭業,1101,14797,7438,7359,595,5701,3088,2613,141,3761,1980,1781,364,5333,2369,2964
4,N,79,79A,葬儀業,858,7108,4526,2582,539,3119,2037,1082,96,1667,1091,576,222,2320,1397,923
4,N,79,79B,結婚式場業,149,6312,2369,3943,29,2213,897,1316,31,1745,707,1038,89,2354,765,1589
4,N,79,79C,冠婚葬祭互助会,94,1377,543,834,27,369,154,215,14,349,182,167,53,659,207,452
3,N,79,799,他に分類されない生活関連サービス業,2575,26615,7004,19611,1457,6871,2711,4160,272,13764,2883,10881,837,5920,1395,4525
4,N,79,79D,写真プリント，現像・焼付業,514,3489,1666,1823,249,820,497,323,35,1426,773,653,230,1243,396,847
4,N,79,79E,他に分類されないその他の生活関連サービス業,2061,23126,5338,17788,1208,6051,2214,3837,237,12338,2110,10228,607,4677,999,3678
2,N,80,000,娯楽業,7778,128457,72827,55630,3864,32947,18920,14027,912,34096,19528,14568,2961,61010,34143,26867
3,N,80,800,管理，補助的経済活動を行う事業所,94,1529,1069,460,-,-,-,-,64,1249,875,374,30,280,194,86
3,N,80,801,映画館,87,2815,1499,1316,14,114,75,39,10,522,392,130,63,2179,1032,1147
3,N,80,802,興行場（別掲を除く），興行団,1511,19228,10056,9172,1246,11113,5870,5243,124,6396,3306,3090,127,1495,739,756
3,N,80,803,競輪・競馬等の競走場，競技団,63,3167,1710,1457,41,393,334,59,10,1235,888,347,11,1538,488,1050
3,N,80,804,スポーツ施設提供業,1487,32494,16163,16331,433,5882,3004,2878,260,9251,4765,4486,782,17286,8366,8920
4,N,80,80A,スポーツ施設提供業（別掲を除く）,260,6364,3389,2975,76,943,583,360,54,3173,1495,1678,129,2243,1306,937
4,N,80,80B,体育館,66,1568,771,797,9,183,116,67,3,50,24,26,52,1306,616,690
4,N,80,80C,ゴルフ場,117,4134,1825,2309,16,1003,398,605,80,2396,1200,1196,21,735,227,508
4,N,80,80D,ゴルフ練習場,180,2655,1412,1243,135,1808,965,843,16,174,89,85,29,673,358,315
4,N,80,80E,ボウリング場,59,2176,1392,784,11,219,149,70,17,614,410,204,31,1343,833,510
4,N,80,80F,テニス場,65,425,208,217,35,192,80,112,2,6,4,2,19,186,116,70
4,N,80,80G,バッティング・テニス練習場,36,189,120,69,22,112,62,50,4,24,18,6,10,53,40,13
4,N,80,80H,フィットネスクラブ,704,14983,7046,7937,129,1422,651,771,84,2814,1525,1289,491,10747,4870,5877
3,N,80,805,公園，遊園地,174,6196,2685,3511,23,1212,601,611,20,1397,484,913,127,3522,1559,1963
3,N,80,806,遊戯場,2370,36823,24124,12699,1161,7822,5235,2587,266,10508,6788,3720,940,18492,12100,6392
4,N,80,80J,マージャンクラブ,789,3500,2359,1141,710,2712,1812,900,22,257,164,93,56,530,382,148
4,N,80,80K,パチンコホール,999,23126,15111,8015,204,3890,2603,1287,180,4964,3160,1804,613,14272,9348,4924
4,N,80,80L,ゲームセンター,357,9188,6008,3180,73,509,370,139,52,5245,3436,1809,232,3434,2202,1232
4,N,80,80M,その他の遊戯場,225,1009,646,363,174,711,450,261,12,42,28,14,39,256,168,88
3,N,80,809,その他の娯楽業,1992,26205,15521,10684,946,6411,3801,2610,158,3538,2030,1508,881,16218,9665,6553
4,N,80,80N,カラオケボックス業,856,12606,7444,5162,294,1149,569,580,45,661,435,226,517,10796,6440,4356
4,N,80,80P,他に分類されない娯楽業,1136,13599,8077,5522,652,5262,3232,2030,113,2877,1595,1282,364,5422,3225,2197
1,O,00,000,教育，学習支援業,18353,362285,189843,172394,10071,73456,31333,42123,1793,111613,61651,49933,6419,176881,96728,80134
2,O,81,000,学校教育,2516,217286,120434,96810,899,28086,11139,16947,376,78566,44766,33771,1241,110634,64529,46092
3,O,81,810,管理，補助的経済活動を行う事業所,95,6387,3631,2727,-,-,-,-,63,5606,3269,2308,32,781,362,419
3,O,81,811,幼稚園,839,15844,2497,13347,597,11462,1892,9570,40,844,182,662,202,3538,423,3115
3,O,81,812,小学校,63,2692,1165,1527,7,245,102,143,3,98,38,60,53,2349,1025,1324
3,O,81,813,中学校,151,6428,3353,3075,24,1105,684,421,5,343,215,128,122,4980,2454,2526
3,O,81,814,高等学校，中等教育学校,299,19922,11714,8208,58,4750,3025,1725,56,3327,1778,1549,185,11845,6911,4934
3,O,81,815,特別支援学校,7,386,168,218,1,56,26,30,1,49,18,31,5,281,124,157
3,O,81,816,高等教育機関,404,138535,83422,55113,16,2976,1414,1562,104,62607,35961,26646,284,72952,46047,26905
3,O,81,817,専修学校，各種学校,647,26099,13962,12124,192,7268,3844,3424,103,5538,3216,2322,352,13293,6902,6378
3,O,81,818,学校教育支援機関,11,993,522,471,4,224,152,72,1,154,89,65,6,615,281,334
2,O,82,000,その他の教育，学習支援業,15837,144999,69409,75584,9172,45370,20194,25176,1417,33047,16885,16162,5178,66247,32199,34042
3,O,82,820,管理，補助的経済活動を行う事業所,50,1542,776,766,-,-,-,-,34,808,562,246,16,734,214,520
3,O,82,821,社会教育,498,9573,3589,5984,135,1708,811,897,52,1695,684,1011,303,6107,2073,4034
4,O,82,82A,公民館,7,70,27,43,2,19,12,7,-,-,-,-,4,40,13,27
4,O,82,82B,図書館,155,3155,1039,2116,16,186,59,127,4,485,141,344,135,2484,839,1645
4,O,82,82C,博物館，美術館,222,3292,1225,2067,79,914,403,511,27,448,204,244,114,1902,609,1293
4,O,82,82D,動物園，植物園，水族館,22,1410,539,871,3,23,12,11,7,211,95,116,12,1176,432,744
4,O,82,82E,その他の社会教育,92,1646,759,887,35,566,325,241,14,551,244,307,38,505,180,325
3,O,82,822,職業・教育支援施設,587,9918,6609,3309,329,2824,1752,1072,86,3177,1930,1247,167,3886,2904,982
3,O,82,823,学習塾,4984,56076,31085,24985,2323,13568,6504,7064,401,10446,5967,4479,2255,32032,18602,13424
3,O,82,824,教養・技能教授業,8859,52897,19310,33587,5920,20612,7646,12966,711,12324,5238,7086,2186,19794,6380,13414
4,O,82,82F,音楽教授業,1791,6134,1650,4484,1366,3253,971,2282,85,1005,315,690,339,1875,364,1511
4,O,82,82G,書道教授業,593,1142,336,806,525,890,276,614,30,124,30,94,34,110,29,81
4,O,82,82H,生花・茶道教授業,306,659,158,501,285,523,116,407,4,76,19,57,16,55,18,37
4,O,82,82J,そろばん教授業,404,892,358,534,314,614,270,344,32,110,46,64,58,168,42,126
4,O,82,82K,外国語会話教授業,1144,9208,3376,5832,491,2632,1013,1619,98,2439,937,1502,554,4136,1425,2711
4,O,82,82L,スポーツ・健康教授業,1279,13735,7098,6637,663,4439,2455,1984,178,3816,2412,1404,424,5431,2211,3220
4,O,82,82M,その他の教養・技能教授業,3342,21127,6334,14793,2276,8261,2545,5716,284,4754,1479,3275,761,8019,2291,5728
3,O,82,829,他に分類されない教育，学習支援業,859,14993,8040,6953,465,6658,3481,3177,133,4597,2504,2093,251,3694,2026,1668
1,P,00,000,医療，福祉,47575,788337,239041,548194,30696,284106,85778,197656,3932,151981,50007,101899,12860,351436,102974,248107
2,P,83,000,医療業,33079,441488,144040,296825,26937,207614,66154,140855,2000,77160,26703,50439,4109,156372,51032,105340
3,P,83,830,管理，補助的経済活動を行う事業所,67,3660,1314,2346,-,-,-,-,41,3382,1164,2218,26,278,150,128
3,P,83,831,病院,640,204938,63074,141259,260,50559,15523,34431,167,44976,14618,30358,213,109403,32933,76470
3,P,83,832,一般診療所,10933,120400,34806,85576,9171,82345,21764,60581,556,14088,4457,9613,1179,23667,8464,15203
3,P,83,833,歯科診療所,10062,59963,18184,41779,8973,48797,14927,33870,443,5284,1498,3786,642,5851,1737,4114
3,P,83,834,助産・看護業,488,6169,1201,4968,148,2272,551,1721,45,817,257,560,295,3080,393,2687
4,P,83,83A,助産所,36,183,17,166,35,174,16,158,-,-,-,-,1,9,1,8
4,P,83,83B,看護業,452,5986,1184,4802,113,2098,535,1563,45,817,257,560,294,3071,392,2679
3,P,83,835,療術業,10096,34497,19191,15306,7810,20538,11563,8975,700,5905,3249,2656,1585,8048,4374,3674
3,P,83,836,医療に附帯するサービス業,793,11861,6270,5591,575,3103,1826,1277,48,2708,1460,1248,169,6045,2981,3064
4,P,83,83C,歯科技工所,542,2591,1738,853,502,2068,1383,685,10,249,150,99,30,274,205,69
4,P,83,83D,その他の医療に附帯するサービス業,251,9270,4532,4738,73,1035,443,592,38,2459,1310,1149,139,5771,2776,2995
2,P,84,000,保健衛生,442,13107,5293,7814,228,3816,1194,2622,69,2884,1058,1826,140,6352,3025,3327
3,P,84,840,管理，補助的経済活動を行う事業所,5,75,43,32,-,-,-,-,2,25,17,8,3,50,26,24
3,P,84,842,健康相談施設,375,11717,4527,7190,201,3549,1079,2470,60,2711,958,1753,109,5402,2474,2928
3,P,84,849,その他の保健衛生,62,1315,723,592,27,267,115,152,7,148,83,65,28,900,525,375
2,P,85,000,社会保険・社会福祉・介護事業,14054,333742,89708,243555,3531,72676,18430,54179,1863,71937,22246,49634,8611,188712,48917,139440
3,P,85,850,管理，補助的経済活動を行う事業所,87,1888,731,1157,-,-,-,-,59,1634,629,1005,28,254,102,152
3,P,85,851,社会保険事業団体,547,14373,7727,6646,400,4355,2201,2154,67,4746,2922,1824,80,5272,2604,2668
3,P,85,853,児童福祉事業,3613,73365,9904,63451,791,17338,2434,14904,435,11664,1804,9860,2370,44197,5640,38547
4,P,85,85A,保育所,2529,56890,5312,51578,631,13908,1337,12571,329,9396,1209,8187,1560,33471,2759,30712
4,P,85,85B,その他の児童福祉事業,1084,16475,4592,11873,160,3430,1097,2333,106,2268,595,1673,810,10726,2881,7835
3,P,85,854,老人福祉・介護事業,7576,206046,56586,148993,1755,41170,10080,31025,948,44958,13385,31516,4863,119828,33096,86387
4,P,85,85C,特別養護老人ホーム,509,41299,14757,26542,114,9204,3299,5905,120,9992,3611,6381,275,22103,7847,14256
4,P,85,85D,介護老人保健施設,177,17154,5568,11521,35,3006,917,2024,27,3890,1161,2729,115,10258,3490,6768
4,P,85,85E,通所・短期入所介護事業,2525,38464,13140,25147,453,5878,1748,4130,331,7517,3417,4100,1740,25054,7975,16902
4,P,85,85F,訪問介護事業,2194,57495,8763,48610,777,18328,2814,15514,281,10284,1839,8388,1134,28851,4095,24691
4,P,85,85G,認知症老人グループホーム,446,8557,2572,5985,48,829,213,616,57,1129,310,819,341,6599,2049,4550
4,P,85,85H,有料老人ホーム,623,28489,8412,20077,44,1752,487,1265,72,6402,2075,4327,507,20335,5850,14485
4,P,85,85J,その他の老人福祉・介護事業,1102,14588,3374,11111,284,2173,602,1571,60,5744,972,4772,751,6628,1790,4735
3,P,85,855,障害者福祉事業,1844,29425,11502,17921,451,7444,2890,4552,279,4659,1954,2705,1100,17192,6611,10581
3,P,85,859,その他の社会保険・社会福祉・介護事業,387,8645,3258,5387,134,2369,825,1544,75,4276,1552,2724,170,1969,864,1105
4,P,85,85K,更生保護事業,33,298,156,142,21,157,95,62,4,38,27,11,6,100,33,67
4,P,85,85L,他に分類されない社会保険・社会福祉・介護事業,354,8347,3102,5245,113,2212,730,1482,71,4238,1525,2713,164,1869,831,1038
