地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
5,13214,1321401600,国分寺市,国分寺市北町,,国分寺市北町,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401601,国分寺市,国分寺市北町,１丁目,国分寺市北町１丁目,1,1000,民営,123,66,57,3,3,-,1,-,1,8,7,1,111,56,55,90,48,42,49,40,9,41,8,33,21,8,13,-,-,-,-,-,-,123,66,57
6,13214,1321401601,国分寺市,国分寺市北町,１丁目,国分寺市北町１丁目,2,1100,個人,8,4,4,3,3,-,1,-,1,-,-,-,4,1,3,4,1,3,3,1,2,1,-,1,-,-,-,-,-,-,-,-,-,8,4,4
6,13214,1321401601,国分寺市,国分寺市北町,１丁目,国分寺市北町１丁目,3,1210,会社,115,62,53,-,-,-,-,-,-,8,7,1,107,55,52,86,47,39,46,39,7,40,8,32,21,8,13,-,-,-,-,-,-,115,62,53
6,13214,1321401601,国分寺市,国分寺市北町,１丁目,国分寺市北町１丁目,3,1220,会社以外の法人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401601,国分寺市,国分寺市北町,１丁目,国分寺市北町１丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13214,1321401602,国分寺市,国分寺市北町,２丁目,国分寺市北町２丁目,1,1000,民営,257,140,117,2,2,-,-,-,-,21,16,5,234,122,112,224,118,106,58,49,9,166,69,97,10,4,6,-,-,-,-,-,-,257,140,117
6,13214,1321401602,国分寺市,国分寺市北町,２丁目,国分寺市北町２丁目,2,1100,個人,16,13,3,2,2,-,-,-,-,-,-,-,14,11,3,14,11,3,1,-,1,13,11,2,-,-,-,-,-,-,-,-,-,16,13,3
6,13214,1321401602,国分寺市,国分寺市北町,２丁目,国分寺市北町２丁目,3,1210,会社,239,126,113,-,-,-,-,-,-,21,16,5,218,110,108,208,106,102,56,48,8,152,58,94,10,4,6,-,-,-,-,-,-,239,126,113
6,13214,1321401602,国分寺市,国分寺市北町,２丁目,国分寺市北町２丁目,3,1220,会社以外の法人,2,1,1,-,-,-,-,-,-,-,-,-,2,1,1,2,1,1,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,2,1,1
