"食品群別","総数／平均値","総数／標準化比","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"種実類(g/日)","3.8","197.7","9.8","0.6","1.2","2.8","1.1","1.2","2.5","0.6","0.5","1.1","0.3","1.3","2.5","0.7","3.1","7.7","2.1","3.1","8.5","1.2","6.5","16.8","3.1","6.0","12.3","1.9","3.8","7.0","1.0","4.3","10.5","0.8"
"野菜類(g/日)","260.2","99.5","155.1","10.3","199.0","237.5","89.8","249.9","84.8","20.6","186.2","83.5","24.1","243.1","195.3","56.4","265.6","136.5","36.5","243.7","158.9","23.4","258.5","159.3","29.1","305.0","157.5","24.6","272.6","158.6","22.7","268.0","159.0","11.5"
"緑黄色野菜(g/日)","91.5","110.4","77.9","5.2","66.1","30.3","11.4","73.7","53.6","13.0","59.0","30.9","8.9","80.8","53.7","15.5","84.1","69.0","18.4","82.4","67.2","9.9","76.3","73.0","13.3","116.5","103.2","16.1","111.0","86.6","12.4","96.0","82.2","5.9"
"その他の野菜(g/日)","145.6","91.8","99.1","6.6","103.5","138.6","52.4","170.2","87.4","21.2","122.1","66.7","19.2","139.6","136.3","39.3","163.9","78.2","20.9","137.9","104.0","15.3","167.8","117.4","21.4","156.0","78.5","12.3","130.0","97.7","14.0","146.4","100.1","7.2"
"果実類(g/日)","123.5","105.2","129.6","8.6","151.9","115.6","43.7","133.6","143.2","34.7","87.7","97.1","28.0","107.3","94.4","27.2","94.3","103.2","27.6","90.4","100.1","14.8","123.8","138.7","25.3","156.9","170.9","26.7","140.0","124.0","17.7","123.8","131.0","9.5"
"生果物(g/日)","106.0","99.9","120.0","8.0","117.7","54.6","20.6","96.8","105.4","25.6","66.3","74.7","21.6","78.7","91.8","26.5","71.8","81.2","21.7","75.1","82.3","12.1","105.7","140.5","25.7","146.6","159.5","24.9","129.1","125.6","17.9","108.9","125.1","9.0"
"ジャム(g/日)","1.7","119.9","5.8","0.4","0.7","1.9","0.7","0.6","1.9","0.4","0.6","2.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","1.2","3.7","0.5","1.0","4.2","0.8","1.8","5.6","0.9","4.3","9.9","1.4","1.9","6.3","0.5"
"果汁･果汁飲料(g/日)","15.8","159.9","57.1","3.8","33.5","88.5","33.5","36.1","105.1","25.5","20.8","72.2","20.8","28.6","67.3","19.4","22.5","80.0","21.4","14.2","54.5","8.0","17.1","51.9","9.5","8.5","34.3","5.4","6.6","31.6","4.5","13.0","48.4","3.5"
"きのこ類(g/日)","13.6","83.3","23.1","1.5","6.0","9.0","3.4","12.6","26.6","6.5","26.5","35.8","10.3","20.7","32.3","9.3","8.6","12.8","3.4","12.1","18.9","2.8","13.4","22.8","4.2","13.8","21.7","3.4","12.9","24.4","3.5","13.1","22.1","1.6"
"藻類(g/日)","8.5","87.1","17.9","1.2","0.3","0.7","0.3","4.7","11.3","2.7","12.6","27.1","7.8","12.6","20.7","6.0","13.7","25.5","6.8","5.2","13.5","2.0","6.9","11.8","2.2","7.9","13.6","2.1","12.2","23.6","3.4","8.9","17.9","1.3"
"魚介類(g/日)","63.0","95.4","60.5","4.0","26.0","16.3","6.2","40.7","42.6","10.3","67.9","54.2","15.6","55.0","53.4","15.4","50.6","54.2","14.5","42.3","50.3","7.4","78.2","58.1","10.6","80.6","72.0","11.3","75.7","66.3","9.5","66.0","62.6","4.5"
"肉類(g/日)","83.6","108.7","63.0","4.2","57.3","19.9","7.5","90.9","48.6","11.8","103.2","68.0","19.6","126.2","128.6","37.1","133.5","45.5","12.2","102.0","60.3","8.9","70.0","48.2","8.8","68.3","51.7","8.1","59.2","53.4","7.6","82.7","64.7","4.7"
"卵類(g/日)","33.6","105.7","32.9","2.2","35.5","32.9","12.4","38.8","34.2","8.3","38.4","28.2","8.1","36.7","36.7","10.6","30.2","22.4","6.0","31.6","32.7","4.8","30.0","37.8","6.9","37.8","32.3","5.0","31.1","34.3","4.9","32.8","33.2","2.4"
"乳類(g/日)","157.6","124.5","157.2","10.4","233.6","190.0","71.8","225.8","161.7","39.2","213.4","248.4","71.7","89.7","119.7","34.6","153.9","107.3","28.7","114.3","130.0","19.2","185.2","183.4","33.5","191.5","160.5","25.1","122.6","128.9","18.4","145.3","146.8","10.6"
"油脂類(g/日)","11.4","122.4","9.8","0.6","7.1","6.6","2.5","11.6","5.7","1.4","13.4","8.3","2.4","8.9","5.9","1.7","17.5","11.3","3.0","12.8","10.1","1.5","12.1","12.5","2.3","10.0","7.3","1.1","9.8","10.9","1.6","11.4","10.2","0.7"
"菓子類(g/日)","33.0","115.0","49.0","3.2","27.6","26.0","9.8","44.9","78.3","19.0","50.5","77.3","22.3","18.9","37.5","10.8","35.2","49.2","13.1","32.0","45.9","6.8","43.5","55.1","10.1","24.9","41.1","6.4","29.5","36.9","5.3","31.0","44.1","3.2"
"嗜好飲料類(g/日)","769.4","139.7","492.5","32.6","367.2","225.6","85.3","463.8","270.4","65.6","750.3","442.2","127.7","543.1","339.0","97.9","798.7","458.4","122.5","924.8","593.4","87.5","825.4","426.6","77.9","831.8","570.6","89.1","752.0","422.0","60.3","812.3","503.1","36.3"
"調味料・香辛料類(g/日)","78.0","99.1","88.3","5.8","67.8","107.0","40.4","47.0","32.2","7.8","43.3","24.4","7.0","72.6","65.3","18.8","79.5","88.3","23.6","97.9","118.2","17.4","114.2","128.7","23.5","69.0","54.0","8.4","66.1","65.0","9.3","83.2","92.7","6.7"
"栄養素調整調味料類およびその他の加工食品等(g/日)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
