"保険者番号","保険者別","税・料別","賦課算定方式","徴収回数(回)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"24","八王子市","税","2方式","9","5674258","60.64","","","3683624","39.36","","","9357882","788961","214","7731","763875","-108477","7688624"
"25","立川市","料","2方式","9","2457573","65.17","","","1313312","34.83","","","3770885","293572","9","1021","507799","-57597","2910887"
"26","武蔵野市","税","2方式","8","2133381","73.49","","","769770","26.51","","","2903151","150773","598","5656","548432","-71143","2126549"
"27","三鷹市","税","2方式","8","2502044","70.16","","","1064304","29.84","","","3566348","212888","317","5753","712171","-26422","2608797"
"28","青梅市","税","2方式","8","1433652","60.16","","","949458","39.84","","","2383110","210276","8","2085","145760","-19503","2005478"
"29","府中市","税","2方式","9","2563943","64.79","","","1393444","35.21","","","3957387","299166","134","4426","388658","-29158","3235845"
"30","昭島市","税","2方式","8","1115660","59.92","","","746400","40.08","","","1862060","170648","0","621","138454","-30429","1521908"
"31","調布市","税","2方式","8","2487147","66.84","","","1234118","33.16","","","3721265","259927","13","5907","508713","15677","2962382"
"32","町田市","税","3方式","8","3984501","59.65","","","2127639","31.86","566969","8.49","6679109","564000","708","11521","637496","-24966","5440418"
"33","福生市","税","2方式","8","604628","58.26","","","433176","41.74","","","1037804","108130","0","393","66620","-15851","846810"
"34","羽村市","税","2方式","8","603070","62.97","","","354706","37.03","","","957776","72517","0","564","60318","-11407","812970"
"35","瑞穂町","税","2方式","8","430564","64.75","","","234436","35.25","","","665000","49564","62","231","68122","-7394","539627"
"36","あきる野市","税","4方式","8","814256","54.80","66487","4.48","468660","31.55","136275","9.17","1485678","124940","0","1314","63370","-28562","1267492"
"37","日の出町","税","2方式","8","177908","59.39","","","121657","40.61","","","299565","23042","0","365","8744","-2323","265091"
"39","檜原村","税","2方式","8","19277","57.50","","","14250","42.50","","","33527","3639","0","0","549","1409","30748"
