"保険者番号","保険者別","受診率／入院","受診率／入院外","受診率／歯科","受診率／計","1件当たり日数／入院(日)","1件当たり日数／入院外(日)","1件当たり日数／歯科(日)","1件当たり日数／計(日)","1日当たり費用額／入院(円)","1日当たり費用額／入院外(円)","1日当たり費用額／歯科(円)","1日当たり費用額／計(円)","1人当たり費用額／入院(円)","1人当たり費用額／入院外(円)","1人当たり費用額／歯科(円)","1人当たり費用額／計(円)"
"6","台東区","37.984","1357.579","316.251","1711.815","14.29","1.75","2.06","2.08","43597","9295","6235","13952","236600","220546","40713","497860"
"7","墨田区","36.913","1469.163","266.307","1772.383","13.16","1.85","2.19","2.14","43619","8189","6199","12424","211828","222526","36225","470579"
"8","江東区","38.667","1485.527","304.443","1828.637","13.17","1.88","2.06","2.15","45900","8022","6393","12671","233678","224001","40093","497771"
"9","品川区","39.717","1435.792","307.942","1783.451","13.64","1.82","2.02","2.12","44717","8377","6371","13263","242305","218857","39544","500707"
"10","目黒区","36.511","1503.494","314.802","1854.808","13.50","1.75","1.90","2.01","44618","8338","6535","12852","219864","219255","39130","478250"
"11","大田区","39.760","1459.123","313.827","1812.710","13.8","1.81","2.01","2.10","43663","8224","6350","13014","239610","216619","40045","496274"
"12","世田谷区","35.449","1462.630","329.783","1827.862","14.21","1.74","1.92","2.02","40460","8437","6534","12488","203853","214989","41396","460238"
"13","渋谷区","41.089","1377.697","309.432","1728.218","15.23","1.70","1.88","2.06","41182","9925","6637","14891","257682","232785","38624","529090"
"14","中野区","36.331","1421.372","331.007","1788.710","13.68","1.80","1.98","2.07","43125","7978","6452","12420","214399","204027","42258","460684"
"15","杉並区","36.229","1464.898","328.749","1829.876","14.35","1.76","1.90","2.04","40069","8546","6372","12578","208289","220580","39864","468733"
"16","豊島区","39.165","1463.304","308.594","1811.063","14.04","1.82","1.97","2.11","41968","9072","6263","13354","230850","241908","38143","510901"
"17","北区","39.309","1388.470","304.467","1732.246","14.16","1.76","1.99","2.08","42568","8883","6216","13636","236976","216843","37729","491549"
"18","荒川区","36.256","1512.759","297.887","1846.902","14.53","1.88","2.04","2.15","42301","7693","6460","12092","222839","218502","39200","480540"
"19","板橋区","40.763","1424.196","305.372","1770.331","13.68","1.78","2.00","2.09","42800","8373","6365","13229","238650","212258","38778","489685"
"20","練馬区","36.167","1432.228","316.324","1784.719","14.30","1.73","1.98","2.03","41853","8712","6472","13061","216476","215650","40557","472683"
"21","足立区","38.426","1468.240","282.938","1789.604","13.89","1.75","2.10","2.07","42653","8696","6227","13193","227695","223963","37045","488703"
"22","葛飾区","36.605","1500.744","279.516","1816.866","14.52","1.92","2.07","2.20","40693","8147","6320","12212","216275","234998","36597","487870"
"23","江戸川区","34.890","1471.485","280.548","1786.923","13.75","1.74","2.10","2.03","44251","9754","6377","13766","212249","249884","37495","499627"
"24","八王子市","36.910","1383.172","284.202","1704.284","14.07","1.67","2.01","1.99","40313","8177","6533","12812","209424","188701","37355","435481"
"25","立川市","33.794","1346.633","295.223","1675.650","14.01","1.78","1.97","2.06","41718","8132","6339","12437","197476","194773","36896","429145"
"26","武蔵野市","32.922","1440.722","306.613","1780.257","15.66","1.67","1.93","1.97","38232","8547","6606","12579","197161","205565","39051","441777"
"27","三鷹市","36.031","1423.540","309.782","1769.353","16.59","1.69","1.95","2.04","35856","8451","6526","12662","214305","203765","39443","457513"
"28","青梅市","36.470","1273.445","251.032","1560.947","15.38","1.68","2.08","2.06","36846","8321","6461","12987","206605","177928","33659","418192"
"29","府中市","32.248","1438.542","297.407","1768.197","14.46","1.58","2.01","1.88","40001","8826","6544","12778","186509","200061","39210","425781"
"30","昭島市","37.798","1332.383","296.662","1666.843","14.33","1.69","1.98","2.03","41033","8964","6901","13741","222218","201964","40510","464693"
"31","調布市","35.655","1401.850","306.413","1743.918","16.14","1.67","1.93","2.01","36760","7977","6560","12452","211499","187302","38708","437509"
"32","町田市","32.977","1430.193","293.290","1756.460","13.50","1.74","1.96","2.00","42521","8351","6551","12397","189330","207485","37673","434488"
"33","福生市","33.999","1258.048","281.060","1573.108","14.26","1.67","2.08","2.02","39556","7855","7130","12566","191822","165288","41647","398758"
"34","羽村市","36.339","1386.789","289.377","1712.505","16.39","1.81","2.04","2.16","33048","7171","6547","11245","196811","179689","38686","415186"
"35","瑞穂町","38.365","1308.050","268.239","1614.654","15.38","1.61","2.08","2.02","34380","9528","6337","13488","202904","200555","35385","438845"
"36","あきる野市","34.090","1294.242","297.109","1625.442","13.87","1.54","2.11","1.9","38929","8676","6076","12777","184116","172640","38164","394920"
"37","日の出町","33.797","1181.412","293.738","1508.946","14.56","1.58","2.08","1.97","37819","8659","5977","12942","186164","161711","36447","384323"
"39","檜原村","28.758","1073.856","154.248","1256.863","15.68","1.59","2.19","1.98","30816","12360","6135","14853","138974","210845","20730","370549"
