"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"52","のびのび作業所エコ","14","11520","2963600","257.3"
"53","サンアップ","20","32961","6919082","209.9"
"54","沙らの木","20","14579","9340521","640.7"
"55","喫茶室パイン作業所1","20","11366","5302416","466.5"
"56","藍工房","40","18694","5822462","311.5"
"57","大原福祉作業所","26","30280","4612156","152.3"
"58","上町福祉作業所","40","36833","8708674","236.4"
"59","用賀福祉作業所","22","19588","3559500","181.7"
"60","のぞみ園","50","66830","21225900","317.6"
"61","ワークランド・フレンドパーク","35","15493","3671336","237.0"
"62","Ｓ．Ｕストリート","35","17190","4337702","252.3"
"63","共同作業所オーク","20","15989","5967840","373.2"
"64","荒川ひまわり","30","13188","3924853","297.6"
"65","あかねの会就労支援室","46","46911","2577622","54.9"
"66","足立区精神障がい者自立支援センター","25","17336","8998955","518.5"
"67","すみれ福祉作業所","20","28800","3621320","125.7"
"68","江戸川かもめ第一事業所","40","40962","5054450","123.4"
"69","江戸川かもめ第二事業所","40","56941","5694100","100.0"
"70","江戸川かもめ第三事業所","30","29268","3283946","112.2"
"71","エルムワークメイト","36","48678","7753846","159.3"
"72","柿の木カンパニー","20","18512","6757575","365.0"
"73","三鷹ひまわり第一共同作業所","30","22996","5034096","218.9"
"74","三鷹ひまわり第二共同作業所","20","11042","2649370","239.9"
"75","三鷹ひまわり第三共同作業所","20","7860","1512043","192.4"
"76","むうぷ舎新川","20","11020","4932730","447.6"
"77","ワークセンターゆめ","20","23152","7291420","314.9"
"78","むうぷ舎中原","28","15503","7290160","470.2"
"79","食茶房むうぷ","20","11748","5037680","428.8"
"80","町田ゆめ工房","10","6790","950200","139.9"
"81","アールフィールド","30","31530","15923820","505.0"
"82","ＮＰＯ法人チャレンジャー支援機構","14","11124","4248180","381.9"
"83","小平第二みどり作業所","40","26635","6399350","240.3"
"84","ワークセンター夢の樹","30","23245","5454190","234.6"
"85","うめの木作業所","20","27380","8567700","312.9"
"86","くるめパソコン作業所","24","21573","4466649","207.0"
"87","えのき園","20","26093","7013600","268.8"
"88","ひまわりハウス","20","24396","3537475","145.0"
"89","ファロ","20","13865","3790626","273.4"
"90","わらべあきる野事業所","10","9108","2241190","246.1"
"91","就労センター『風』","20","6949","5746520","827.0"
"92","サンフラワーワーキング","20","11012","2413130","219.1"
"93","ソフトパワー","20","7774","1537295","197.7"
"94","白梅福祉作業所","40","54796","6441910","117.6"
"95","リブレ","40","9515","6515537","684.8"
"96","パルテ","40","22542","18309545","812.2"
"97","共同作業所ホサナショップ","25","13323","3692760","277.2"
"98","アリス","20","15450","1230738","79.7"
"99","第２あすなろの家","20","8536","5025305","588.7"
"100","あすなろの家","20","20714","7158692","345.6"
"101","コットンハウス","12","9212","2116975","229.8"
"102","フラワー工房さくら","20","26325","4344280","165.0"
"103","ゆめ工房さくら","18","17405","3275747","188.2"
"104","ざしきわらし","20","9468","5110387","539.8"
"105","ちぐさ企画","24","15272","3447730","225.8"
"106","杉並・あしたの会福祉作業所","60","40961","8890009","217.0"
"107","ひあたり野津田","30","13104","1632220","124.6"
"108","あん工房","19","7027","2954197","420.4"
"109","けやき亭","20","7156","1717519","240.0"
"110","アゲイン","40","14631","3837150","262.3"
"111","ブレス","25","13040","1885958","144.6"
"112","なごみの里就労継続支援Ｂ型","40","55680","6204346","111.4"
"113","コラボたまワークセンターつくし","30","21573","1636796","75.9"
"114","こまえ工房もえぎ","14","16599","2435740","146.7"
"115","杉の子城山","10","11798","2249530","190.7"
"116","杉の子大和","10","11944","2301180","192.7"
"117","杉の子弥生","10","8477","2109685","248.9"
"118","就労センター「街」","20","9219","4917230","533.4"
"119","えごのみ","20","12754","1398156","109.6"
"120","若竹作業所","60","55814","6897855","123.6"
"121","みどりの森","31","43819","5206393","118.8"
"122","ギャロップ","20","10364","3566545","344.1"
"123","わかまつ共同作業所","20","9148","3800814","415.5"
"124","清瀬どんぐりの家","39","28017","8915340","318.2"
"125","レスポワール工房","19","8344","2623685","314.5"
"126","童里夢工房","19","10782","4491636","416.6"
"127","梅の木の家共同作業所","25","7146","3148104","440.5"
"128","かもめ第一工房","25","16148","4797135","297.1"
"129","ねりま第二事業所","38","28175","5427879","192.6"
"130","Ｎａｖｉｏけやき","14","10974","4504226","410.4"
"131","立川こぶし福祉作業所","20","12345","2342940","189.8"
"132","藍作業所","20","19854","2347161","118.0"
"133","就労支援事業所メイ","40","26717","3152652","118.0"
"134","ゆい企画","40","22490","5280340","234.8"
"135","ワークささはた","42","52980","15869575","299.5"
"136","ウェルネスアンドワークス","20","18155","7723880","425.4"
"137","かれん","20","11531","4162401","361.0"
"138","すみだ花工房","36","10321","2040478","197.7"
"139","隅田作業所","20","14781","1874870","126.8"
"140","特定非営利活動法人どんぐりパン","18","16047","8216201","512.0"
"141","むつみ工房","20","40404","1634972","40.5"
"142","ワークショップモア","14","15730","2130688","135.5"
"143","やまぼうし平山台","15","11507","4012520","348.7"
"144","ゆうあい製作所","29","27528","4109575","149.3"
"145","ラ・メール","20","11009","4528180","411.3"
"146","にゃんこの館","20","8945","1624259","181.6"
"147","サンワーク田無","20","18236","3515972","192.8"
"148","秋川虹の家","20","7161","2182620","304.8"
"149","いちょう工房そら","20","22845","2849875","124.7"
"150","いちょう工房ゆぎ","10","11568","2549700","220.4"
"151","福祉作業所ふれんど","20","21700","2656592","122.4"
"152","国分寺市障害者センター","10","8949","2657135","296.9"
"153","就労支援事業所コイノニア","28","22798","5747519","252.1"
"154","就労支援事業所ＮＯＡＨ","20","17568","1939834","110.4"
"155","こらーるカフェ","20","23800","695330","29.0"
"156","つばさ工房","20","10898","2125426","195.0"
"157","協立作業所","20","14255","1294280","90.8"
"158","綾瀬スマイル工房","20","16783","1763762","105.1"
"159","ボンサンス・千寿","20","11512","4254184","369.5"
"160","ワークセンターまことくらぶ","20","22868","2180905","95.4"
"161","就労継続支援（Ｂ型）事業所ワークショップＭＥＷ","19","11782","1530880","129.9"
"162","クラフト工房ＬａＭａｎｏ","20","26019","10177151","391.1"
"163","リズム工房","33","20077","2462034","122.6"
"164","社会福祉法人稲城市社会福祉協議会エイトピア工房","40","37580","3221560","85.7"
"165","すのうべる","20","8641","1182991","136.9"
"166","福祉作業所天成舎","40","44916","6068770","135.1"
"167","さくらの園","45","64517","12600675","195.3"
"168","障害者就労支援センターどんまい福祉工房","20","19846","3141340","158.3"
"169","自立支援塾クリード新町","20","8758","2875300","328.3"
"170","福祉作業所ひばり園","70","64152","26200118","408.4"
"171","コロニー中野","50","56862","18764322","330.0"
"172","日の出リハビリ","40","54870","32015207","583.5"
"173","ワークスタディー日の出","28","47524","20659011","434.7"
"174","光の家栄光園","10","8235","2843320","345.3"
"175","小金井生活実習所","10","15972","937150","58.7"
"176","しいの実社","10","21600","3780490","175.0"
"177","工房ヴイ","12","10735","2128455","198.3"
"178","ひかり作業所","12","12103","1816080","150.1"
"179","希望園（のぞみえん）","14","25406","4848290","190.8"
"180","ワークステーション立川","38","86175","38868648","451.0"
"181","阿佐谷福祉工房","15","15550","4646520","298.8"
"182","奥戸福祉館","30","39816","8776721","220.4"
"183","コラボいなぎいなぎワークセンター","29","26671","5128721","192.3"
"184","工房夢ふうせん","20","22680","4458010","196.6"
"185","いけぶくろ茜の里","20","22942","2443191","106.5"
"186","かすみの里","15","22440","2066900","92.1"
"187","しごと場大好き","20","34424","7235514","210.2"
"188","葦の会作業所","20","24532","4864300","198.3"
"189","ひのき工房","28","23508","8151221","346.7"
"190","水元そよかぜ園","20","17937","5034234","280.7"
"191","八王子障害者総合支援センターとことこ","14","12587","6650929","528.4"
"192","さわやかワークセンター","34","38810","19907910","513.0"
"193","アビーム","20","14070","3702087","263.1"
"194","かたくりの家","21","15179","3157236","208.0"
"195","広域地域ケアセンターバオバブ","23","29904","7076480","236.6"
"196","あおいとり日野","10","10091","3348100","331.8"
"197","泉の家","25","17591","3449687","196.1"
"198","就労・生活支援センター飛鳥晴山苑","30","13809","2773700","200.9"
"199","わくわく祖師谷","40","44768","7720440","172.5"
"200","希望の苑","25","31290","4624030","147.8"
"201","ワークショップやまどり","35","66960","5044934","75.0"
"202","なないろ","45","25936","5827552","224.7"
"203","ワークセンターつばさ","35","29380","3352525","114.1"
"204","第１リサイクル洗びんセンター","54","52655","26157769","496.8"
"205","町田おかしの家","20","14536","6097593","419.5"
"206","未来工房にじ","30","33113","2835260","85.6"
"207","綾瀬ひまわり園","35","39932","6804700","170.4"
"208","竹の塚ひまわり園","38","35759","5373500","150.3"
"209","コロニー東村山","55","74532","23947282","321.3"
"210","世田谷更生館","54","58122","17275253","297.2"
"211","さつき","40","57952","12552332","216.6"
"212","あけぼの作業所","42","36454","8526115","233.9"
"213","しょうぶエバンズ","46","47976","8126950","169.4"
"214","青梅福祉作業所","48","66385","6088906","91.7"
"215","トーコロ青葉ワークセンター","87","102227","25399605","248.5"
"216","武蔵野福祉作業所","64","55343","9093180","164.3"
"217","八王子福祉作業所","50","84948","9629090","113.4"
"218","第二しいのき学園","60","45619","14814100","324.7"
"219","福祉事業センター","65","71480","29063400","406.6"
"220","世田谷区立岡本福祉作業ホーム","23","17144","2929905","170.9"
"221","品川区立西大井福祉園","15","11355","3366500","296.5"
"222","中央区立知的障害者生活支援施設レインボーハウス明石","20","13228","3859950","291.8"
"223","千代田区立障害者就労支援施設","29","26370","5631550","213.6"
"224","世田谷区立下馬福祉工房","35","34449","7992766","232.0"
"225","つばさ","33","46218","5267850","114.0"
"226","世田谷区立砧工房","37","37093","16279320","438.9"
"227","足立区大谷田就労支援センター","35","33551","13189863","393.1"
"228","神明福祉作業所","30","29598","8941050","302.1"
"229","中央区立福祉センター作業室","35","17520","3488109","199.1"
"230","谷在家福祉作業所","20","16517","4017610","243.2"
"231","目黒区立かみよん工房","40","37906","10457402","275.9"
"232","目黒区立下目黒福祉工房","40","30034","4706045","156.7"
"233","江戸川区立希望の家","34","75666","3760043","49.7"
"234","江東区第２あすなろ作業所","42","27960","4835297","172.9"
"235","世田谷区立世田谷福祉作業所","45","41047","6971401","169.8"
"236","世田谷区立玉川福祉作業所","58","45696","10934253","239.3"
"237","豊島区立駒込福祉作業所","45","33552","6278351","187.1"
"238","武蔵村山市立のぞみ福祉園","45","32920","4688084","142.4"
"239","練馬区立北町福祉作業所","47","48585","6200106","127.6"
"240","荒川区立荒川福祉作業所","48","47149","3188572","67.6"
"241","練馬区立かたくり福祉作業所","63","55482","7274705","131.1"
"242","江東区あすなろ作業所","60","72664","11281200","155.3"
"243","世田谷区立烏山福祉作業所","66","141839","5815381","41.0"
"244","中野区中野福祉作業所","60","52453","7602934","144.9"
"245","町田市大賀藕絲館","60","68750","8695900","126.5"
"246","町田市美術工芸館","60","72122","6550500","90.8"
"247","豊島区立目白福祉作業所","60","46588","6970615","149.6"
"248","墨田福祉作業所","60","62940","11687629","185.7"
"249","すみだふれあいセンター福祉作業所","60","53743","9066132","168.7"
"250","小岩作業所","36","25853","4875565","188.6"
"251","魔法陣","20","12581","1601880","127.3"
"252","杉並いずみ第二","35","50912","4156255","81.6"
"253","杉並いずみ第一","40","60317","4561727","75.6"
"254","杉の子丸山","15","18065","6653330","368.3"
"255","福祉レストランフレンズ","20","16082","7848505","488.0"
"256","あらいと","20","16120","1185232","73.5"
"257","就労支援施設ウィズユー","18","25047","3510331","140.1"
"258","ワーク＆ショップ<はらっぱ>","20","11683","2767090","236.8"
"259","萌作業所","23","5826","449057","77.1"
"260","SUN","14","5312","2918844","549.5"
"261","第２あとりえトントン","20","9040","2267376","250.8"
"262","あとりえトントン","20","14400","4865312","337.9"
"263","たいとう福祉作業所","20","22212","6629110","298.4"
"264","たいとう第二福祉作業所","20","28622","7094900","247.9"
"265","ワークセンターひかわ","20","23130","2532612","109.5"
"266","アトリエほっと・しかはま","20","15286","1997077","130.6"
"267","カサデオリーバ","20","15525","3348145","215.7"
"268","食工房ぱる","20","40950","7568660","184.8"
"269","Sora","20","21864","6753713","308.9"
"270","わかば第一事業所","35","47519","4182470","88.0"
"271","ワークハウス荒川","30","15438","3716035","240.7"
"272","瑞穂町福祉作業所","30","19272","5550269","288.0"
"273","まあぶる","20","21798","3977942","182.5"
"274","たなし工房","20","6046","798164","132.0"
"275","プロジェクツけやきのもり","20","11484","1656455","144.2"
"276","かもめ第二工房","20","16362","3069600","187.6"
"277","かもめ第三工房","20","13314","5540170","416.1"
"278","耕房“光”","20","13656","2657722","194.6"
"279","渋谷区立新橋作業所","25","20488","8346001","407.4"
"280","西府いこいプラザ","20","12148","3244098","267.0"
"281","夢の樹みどり","40","37307","8765400","235.0"
"282","東村山生活実習所","10","17328","1601720","92.4"
"283","ピアワーク・オアシス","20","11252","5309621","471.9"
"284","グループＧ","12","16722","1950040","116.6"
"285","フードコミュニティ目黒","14","14675","4658690","317.5"
"286","しらゆり福祉作業所","25","28217","2413450","85.5"
"287","えいぶる","35","45168","7815655","173.0"
"288","みしょう","20","12756","1307450","102.5"
"289","ワーク・イン・あすか","20","8425","1838392","218.2"
"290","第二ワーク・イン・あすか","20","5284","2033580","384.9"
"291","地球儀","20","5772","2004821","347.3"
"292","夢来","30","4324","1548092","358.0"
"293","パイ焼き茶房","20","13793","5866677","425.3"
"294","ＪＨＣ赤塚","20","7727","2496850","323.1"
"295","ＪＨＣ大山","20","11216","2212474","197.3"
"296","ＪＨＣ秋桜","20","10300","4014810","389.8"
"297","ＪＨＣ志村","20","7759","1807630","233.0"
"298","たいとう第三福祉作業所","20","25963","10709280","412.5"
"299","たいとう第四福祉作業所","20","26970","9752070","361.6"
"300","クレヨンハウス","20","27216","1242693","45.7"
"301","就労日の出舎","20","28353","7817758","275.7"
"302","共同作業所セサミ萩","20","11048","1182255","107.0"
"303","ＰＣ工房","54","30876","9505295","307.9"
"304","練馬区立大泉福祉作業所","59","65716","4094450","62.3"
"305","大田区立はぎなか園","70","40298","9537100","236.7"
"306","ともしび工房","20","29430","9619158","326.8"
"307","花畑共同作業所","10","12015","1713426","142.6"
"308","あしたば作業所","20","15097","3957115","262.1"
"309","青梅市自立センター就労支援事業所","74","52601","15724429","298.9"
"310","ビーイングスペース萌","20","10130","3055188","301.6"
"311","ぐりーんぴーす工房","20","23160","5990450","258.7"
"312","食工房ゆいのもり","34","12193","3701450","303.6"
"313","希望の里","20","22789","3960611","173.8"
"314","ふらっとなかの","20","3990","2237990","560.9"
"315","東大和市立みのり福祉園","36","42917","3648552","85.0"
"316","はあと・ふる・えりあ","20","30306","3674663","121.3"
"317","新宿区立新宿福祉作業所","75","63612","11140450","175.1"
"318","新宿区立高田馬場福祉作業所","60","51401","9838709","191.4"
"319","調布市知的障害者援護施設すまいる","16","16411","5809432","354.0"
"320","羽村市福祉センター","35","27743","6425046","231.6"
"321","あかつき授産所","40","47548","12239894","257.4"
"322","はなさく第二共同作業所","20","20432","6505880","318.4"
"323","西麻布作業所","33","37516","10161771","270.9"
"324","みなと工房","20","13615","6812862","500.4"
"325","東京ワークショップ","40","42261","43048520","1018.6"
"326","パイオニア","20","8463","3919683","463.2"
"327","わーくすここ・から","30","36723","11498508","313.1"
"328","墨田さんさんプラザ","60","67135","29127350","433.9"
"329","ルーパス","20","8075","1340472","166.0"
"330","向島七福福祉作業所","20","20960","6915049","329.9"
"331","空行け未来工房","40","19235","5983309","311.1"
"332","ドリーム第２","35","39186","6712153","171.3"
"333","自立センターあけぼの","15","11040","1558865","141.2"
"334","ネットワークゆめ工房","10","4449","275280","61.9"
"335","目黒区立目黒本町福祉工房","50","40715","7679169","188.6"
"336","中町作業所","20","22701","2756100","121.4"
"337","まごめ園","37","45610","7502250","164.5"
"338","大田区立大田福祉作業所","90","66748","15025735","225.1"
"339","大田区立くすのき園","70","88281","22190780","251.4"
"340","大田区立うめのき園","59","68554","18833740","274.7"
"341","大田区立しいのき園","60","67964","17464120","257.0"
"342","大田区立新蒲田福祉センター知的障害者作業室","74","65722","10172537","154.8"
"343","大田区立上池台障害者福祉会館身体障害者作業室","30","22828","3280025","143.7"
"344","大田区立上池台障害者福祉会館知的障害者作業室","30","22828","3280025","143.7"
"345","ハーモニー","20","1242","669950","539.6"
"346","まごの手便","20","2846","1384880","486.6"
"347","アディクションリハビリテーションセンターすとぉりぃ","14","14521","3973905","273.7"
"348","風の谷プロジェクト","20","431","596173","1383.2"
"349","CrazyCats","20","3209","860594","268.2"
"350","世田谷区立梅丘ウッドペッカーの森","14","9323","1533170","164.5"
"351","みどり工房","30","6623","2023838","305.6"
"352","中野区仲町就労支援事業所","21","14581","5257845","360.6"
"353","すばるカンパニー","32","30929","10160710","328.5"
"354","済美職業実習所","30","37210","6837210","183.7"
"355","あすなろ作業所","30","24548","9312350","379.4"
"356","ひまわり作業所","12","13938","1467082","105.3"
"357","工房ラルゴ","20","7651","1660340","217.0"
"358","チャレンジ","20","16544","7715450","466.4"
"359","ワークショップ・かたつむり","20","16652","4648283","279.1"
"360","就労継続支援Ｂ型みつばちブンブン","20","9408","3871326","411.5"
"361","ワーク・スペース・ポピー","20","10915","2048015","187.6"
"362","ワークハウスペガサス","20","35313","2760000","78.2"
"363","第二ワークハウスペガサス","25","35125","2898500","82.5"
"364","荒川ひまわり第２","12","6151","2743617","446.0"
"365","町屋あさがお","40","50163","7364600","146.8"
"366","小台橋あさがお","40","56691","7888210","139.1"
"367","東京都板橋区立小茂根福祉園","30","32794","5425446","165.4"
"368","東京都板橋区立高島平福祉園","50","36649","5624231","153.5"
"369","東京都板橋区立赤塚福祉園","40","46916","11323383","241.4"
"370","東京都板橋区立徳丸福祉園","40","48132","4382253","91.0"
"371","東京都板橋区立加賀福祉園","60","38260","7346733","192.0"
"372","東京都板橋区立蓮根福祉園","60","42387","5867712","138.4"
"373","東京都板橋区立前野福祉園","30","24007","6322885","263.4"
"374","こもね作業所","20","20933","2512700","120.0"
"375","おおやま福祉作業所","20","30644","8273270","270.0"
"376","まえの福祉作業所","14","21624","4527457","209.4"
"377","ひあしんす城北","30","12170","1669410","137.2"
"378","はすね福祉作業所","24","33848","2532240","74.8"
"379","とくまる福祉作業所","14","14904","2814570","188.8"
"380","ユニバースショップ","20","10506","2337616","222.5"
"381","大泉学園実習ホーム","30","24840","1406400","56.6"
"382","コスモス会","20","4413","882650","200.0"
"383","ベルの会共同作業所","20","11090","1662350","149.9"
"384","保木間作業所","20","8964","3818808","426.0"
"385","諏訪木作業所","20","14537","3131810","215.4"
"386","葛飾しょうぶ園","54","82512","6608700","80.1"
"387","白鳥福祉館","15","18750","1769680","94.4"
"388","西水元福祉館","40","72961","5828934","79.9"
"389","高砂福祉館","20","28800","6718800","233.3"
"390","きね川福祉作業所","40","55209","13625120","246.8"
"391","青戸しょうぶ","40","46326","14137670","305.2"
"392","由木工房","21","19019","5867134","308.5"
"393","ワークポート","30","22878","9106208","398.0"
"394","レストランあさかわ","20","16297","7420701","455.3"
"395","パン工房「うさぎとかめ」","12","7152","1001210","140.0"
"396","オープンスペース本郷町","24","15580","5790961","371.7"
"397","立川福祉作業所","35","48449","6546162","135.1"
"398","グループいもっこ","20","19291","2406458","124.7"
"399","立川けやき福祉作業所","14","17283","5233009","302.8"
"400","ワークセンターけやき","20","20411","6091568","298.4"
"401","リビングハウスマム","20","13292","913575","68.7"
"402","すきっぷ","12","6306","993630","158.0"
"403","作業所スクラム","20","12375","3565720","288.1"
"404","社会福祉法人府中市社会福祉協議会「は～もにぃ」","20","12921","7134030","552.1"
"405","集いの家","20","13158","3782990","287.5"
"406","むさし結いの家","10","5622","1628005","289.6"
"407","通所作業所こまくさ工房","20","16384","755500","46.1"
"408","ぷーやんあしながくらぶ２号館","34","48530","9903194","204.1"
"409","旭出調布福祉作業所","52","67037","10728608","160.0"
"410","ぴいす","30","27540","2559680","92.9"
"411","町田リス園","20","23194","11048297","476.3"
"412","こころみ","20","23111","2616750","113.2"
"413","ワークショップ七国山","20","21441","4652700","217.0"
"414","喫茶けやき","20","11247","5895900","524.2"
"415","きぼう","40","46852","6413950","136.9"
"416","共同作業所希望の家","20","3885","1914620","493.0"
"417","食事サービスセンターなごみ","20","9380","4060725","432.9"
"418","バウム","20","21328","3974797","186.4"
"419","エッグドーム・スローワールド","10","8726","2019610","231.4"
"420","える・ぽいん","20","12723","2268452","178.3"
"421","コミュニティルーム友訪","20","10601","1336168","126.0"
"422","ライブリィ工房","20","10116","1907817","188.6"
"423","セルプ清瀬","50","64033","10094581","157.6"
"424","清瀬福祉作業所","20","27332","2490672","91.1"
"425","久留米リカバリーハウス","14","20019","2755318","137.6"
"426","第二どんぐりの家","30","25322","7680210","303.3"
"427","スペース・まどか","30","23433","4485759","191.4"
"428","ちいろばの家","20","16750","10950076","653.7"
"429","やまぐちや","14","9856","893564","90.7"
"430","ひのきのその","20","13281","6272949","472.3"
"431","ちょんこめ作業所","10","7311","5227921","715.1"
"432","らふぁえる","20","9786","228411","23.3"
"433","花音","20","15372","1937640","126.0"
"434","リトルハウス","20","7080","975114","137.7"
"435","愛輪の里雅","20","30654","4852343","158.3"
"436","けやき第二作業所","20","13962","2472500","177.1"
"437","けやき第一作業所","20","16121","3129400","194.1"
"438","クローバーズ・ピア日本橋","80","26741","11845676","443.0"
"439","ジョブアンティ","20","15484","1811738","117.0"
"440","工房時","20","19568","2547828","130.2"
"441","わくわく","20","6465","2224741","344.1"
"442","ワークイン翔","20","6894","3087806","447.9"
"443","すみれ工房","20","6919","3181091","459.8"
"444","ストライドクラブ","14","346","302916","875.5"
"445","あゆみ福祉センター","30","22836","2192272","96.0"
"446","来夢","20","25525","3565898","139.7"
"447","ワン・ステップ","10","2401","971250","404.5"
"448","Ｓ．Ｇ．Ｓ．さんらいず","20","13794","1843179","133.6"
"449","一粒の麦","35","23041","8611351","373.7"
"450","綾瀬共同作業所","20","6834","970090","142.0"
"451","さくらハウス","20","32580","2351946","72.2"
"452","ふきのとう","10","1917","371350","193.8"
"453","ハッピーフルーツ","40","22776","2861200","125.6"
"454","リサイクルわかくさ","20","9965","4001824","401.6"
"455","たんぽぽ","20","24485","2214255","90.4"
"456","障害者就労プラザあいあい","14","13883","1070130","77.1"
"457","めじろ作業所","25","17277","3604332","208.6"
"458","オハナ農園","20","25240","8110250","321.3"
"459","すばる","18","17919","2987763","166.7"
"460","パン工房モナモナ","20","20708","4274260","206.4"
"461","若人塾","30","12091","5487896","453.9"
"462","瑞穂町精神障害者共同作業所","14","5431","1437825","264.7"
"463","スペース楽","20","7131","4224625","592"
"464","村山たんぽぽ","20","15256","3111444","203.9"
"465","第二悠遊舎えどがわ","20","2128","1201519","564.6"
"466","八幡作業所","14","25024","6927950","276.9"
"467","たんぽぽひのセンター","40","10293","691825","67.2"
"468","ジョブスペース游","25","25665","2566500","100.0"
"469","あとりえふぁんとむ","20","13335","1412566","105.9"
"470","就労支援センターファンタジア","35","41371","4581250","110.7"
"471","かがやき夢工場","29","32753","2278653","69.6"
"472","元明館","20","5074","1341320","264.4"
"473","爽々苑","20","22796","7521510","329.9"
"474","小金井聖ヨハネワークセンター","20","16680","1834774","110.0"
"475","サングリーン","25","29635","5826862","196.6"
"476","あさやけ鷹の台作業所","30","32735","4882550","149.2"
"477","プレワーク","20","14176","4963085","350.1"
"478","アイワークス","20","15386","10491959","681.9"
"479","かたつむり食堂","20","19796","1365225","69.0"
"480","第二ポピーの家","12","7713","2628450","340.8"
"481","クラブハウスはばたき","20","1190","928636","780.4"
"482","あしたや","20","15027","9593534","638.4"
"483","ときわの杜","20","8240","1042376","126.5"
"484","ＹＳＧ土の夢","20","8500","1017163","119.7"
"485","スローワールドおちかわ屋","20","14230","2479714","174.3"
"486","ぶどうの郷","20","23823","3704409","155.5"
"487","アートひまわり","20","20460","700000","34.2"
"488","工房マテリアル","20","9418","1920320","203.9"
"489","カバーヌ","20","11799","4204625","356.4"
"490","のびのび共同作業所大河","20","14881","3314450","222.7"
"491","平成の里","37","19209","10423251","542.6"
"492","ワークみらい","10","12083","1329393","110.0"
"493","ふれあい工房","20","18580","1610260","86.7"
"494","港区立障害保健福祉センターみなとワークアクティ","40","28097","8634727","307.3"
"495","みのり舎","20","13749","3308895","240.7"
"496","文京区立大塚福祉作業所","54","41645","9945644","238.8"
"497","文京区立小石川福祉作業所","36","41464","5694088","137.3"
"498","はあとぴーす","20","10862","1013606","93.3"
"499","コム・オアシス","20","13208","3458708","261.9"
"500","ドリームクラブハウス","20","2506","314280","125.4"
"501","トット文化館","20","19953","2754843","138.1"
"502","のぞみ園","20","19800","8425840","425.5"
"503","とちの実作業所","20","26081","3061885","117.4"
"504","みどり作業所","20","7151","1754620","245.4"
"505","ステップ夢","20","7306","1255630","171.9"
"506","社会福祉法人東京コロニー東京都大田福祉工場","24","29515","11007207","372.9"
"507","喫茶色えんぴつ","20","10643","3612600","339.4"
"508","ENTAS","25","13869","2538121","183.0"
"509","中野区東部福祉作業センター","20","14513","3655620","251.9"
