"","お問合せ事項","担当課","電話番号"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","砧総合支所／街づくり課","3482-1398"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","砧総合支所／街づくり課","3482-1724"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","砧総合支所／街づくり課","3482-2594"
"各総合支所街づくり課","地域整備方針／地先道路整備方針／中高層建築物に関する紛争調整／土地区画整理事業を施行すべき区域（市街化予想線）（世田谷総合支所を除く）／東京都風致地区条例に基づく規制／許可（玉川／砧総合支所）／建築確認に伴う条例／要綱の手続き／建築台帳証明（世田谷総合支所を除く）／建築計画概要書の閲覧／建築協定／緑地協定／都市計画法第53条／土地区画整理法第76条の許可（建築確認を伴うものを除く）／都市計画法第65条の許可／都市計画／地区計画／沿道地区計画／地区街づくり計画等／自動車臨時運行許可／道路／公園等に関する相談／外環周辺の街づくり（砧／鳥山総合支所）","鳥山総合支所／街づくり課","3326-9618"
"第１庁舎４階","都市計画の案内","都市整備部／都市計画課","5432-2455-9"
"第１庁舎４階","国土に基づく届出／建築審査会事務局","都市整備部／都市計画課","5432-2452-3"
"第１庁舎４階","建築基準法の道路に関する相談及び調査／位置指定道路の手続き／狭あい道路拡幅整備","都市整備部／地域整備課","建築線／狭あい5432-2469／2542／5432-2552-5"
"第１庁舎４階","ユニバーサルデザイン推進条例届出／バリアフリー法／バリアフリー建築条例認定／風景づくり条例届出／地域風景資産／景観法／世田谷百景","都市整備部／地域整備課","ユニバーサルデザイン／バリアフリー／風景5432-2038-39／防災街づくり5432-2558"
"第１庁舎４階","建築確認申請受付／台帳証明／建築計画概要書の閲覧／住宅用家屋証明／屋外広告物の許可／優良住宅証明","都市整備部／建築調整課","5432-2463-65"
"第１庁舎４階","優良住宅／宅地認定","都市整備部／建築調整課","5432-2466"
"第１庁舎４階","定期報告","都市整備部／建築調整課","5432-2467"
"第１庁舎４階","建築に係る許可／認定","都市整備部／建築調整課","5432-2462"
"第１庁舎４階","耐震診断／耐震補強工事等の相談／助成","都市整備部／建築調整課","5432-2468/2454"
"第１庁舎４階","建設リサイクル法（建築工事）の届出","都市整備部／建築審査課","5432-2477"
"第１庁舎４階","建築確認申請の審査／中間検査／完了検査／長期優良住宅建築等計画認定／省エネルギー法の届出","都市整備部／建築審査課","意匠5432-2474／2485／2466／構造5432-2480／設備5432-2481"
"第１庁舎４階","違反建築物の是正指導","都市整備部／建築審査課","5432-2484/2486"
"第１庁舎４階","指定確認検査機関に関すること","都市整備部／建築審査課","5432-2482"
"第１庁舎４階","特別区道認定／区管理道路指定等／認定証明／区域証明／境界証明／道路／水路用途廃止","都市整備部／道路管理課","道路認定5432-2564-7"
"第１庁舎４階","道路／水路等区有地の境界確定","都市整備部／道路管理課","境界確定5432-2577／2593-6"
"第１庁舎４階","地籍調査／公共基準点","都市整備部／道路管理課","道路台帳5432-2575-6"
"第１庁舎４階","不法占有監察／特殊車両通行許可／違反広告物除却協力員制度","都市整備部／道路管理課","道路監察5432-2588-9"
"第１庁舎４階","急傾斜地崩壊危険個所／土砂災害警戒区域","都市整備部／道路管理課","調整5432-2562-3"
"第３庁舎（プレハブ棟）／１階","区営／区立住宅の管理／マンション建替促進法／都営住宅／都民住宅公募／住宅条例","都市整備部／住宅課","5432-2498-9/2502/2504-5"
"第３庁舎（プレハブ棟）／１階","住まいサポートセンター","都市整備部／住宅課","5432-2532"
"第３庁舎（プレハブ棟）／２階","開発許可／宅地造成許可","生活拠点整備担当部／拠点整備第一課","5432-2625-6"
"第３庁舎（プレハブ棟）／２階","下北沢駅周辺地区街づくり（道路事業／交通広場整備事業を除く）／三軒茶屋駅周辺地区街づくり","生活拠点整備担当部／拠点整備第一課","5432-2624"
"第３庁舎（プレハブ棟）／２階","二子玉川東地区再開発事業","生活拠点整備担当部／拠点整備第二課","5432-2556"
"第３庁舎（プレハブ棟）／２階","土地区画整理事業","生活拠点整備担当部／拠点整備第二課","5432-2557"
"第３庁舎（プレハブ棟）／２階","（仮称）二子玉川公園及び外周道路に係る調査／計画／用地取得調整／整備","生活拠点整備担当部／二子玉川施設整備課","5432-2513"
"第３庁舎（プレハブ棟）／２階","バス交通サービス／連続立体交差事業（小田急線）","交通政策担当部／交通政策課","5432-2544"
"第３庁舎（プレハブ棟）／２階","交通安全啓発／交通安全協議会／自転車等駐車対策／放置自転車撤去／駐輪場／保管所管理／レンタサイクル／大規模店舗駐車場／民間駐輪場助成","交通政策担当部／交通安全自転車課","5432-2515-6／交通安全2573／自転車2578"
"第３庁舎（プレハブ棟）／２階","連続立体交差事業（京王線）及び沿線地域の街づくり調査／計画及び調整","鉄道立体／街づくり調整担当課","5432-2535"
"城山分庁舎／１階","みどりとみずの基本計画／みどりのトラスト基金／公園緑地用地取得","みどりとみず政策担当部／みどり政策課","みどりと公園計画5432-2281"
"城山分庁舎／１階","樹木移植助成／生垣／花壇／シンボルツリー／屋上／壁面緑化助成等","みどりとみず政策担当部／みどり政策課","公園緑地等5432-2591-2"
"城山分庁舎／１階","事業用等駐車場緑化助成／国分寺崖線／湧水保全","みどりとみず政策担当部／みどり政策課","崖線／湧水保全5432-2282"
"城山分庁舎／１階","公園／緑地等の工事計画及び監督／多摩川緑地広場管理公社","みどりとみず政策担当部／公園緑地課","施設管理5432-2478-9／建設5432-2295-6"
"城山分庁舎／１階","道路／公園等用地取得／物件移転補償／損失補償／道路／水路用地処分契約／地価公示","財務部／用地課","5432-2507-11"
"城山分庁舎／２階","土木事業実施計画／電線類地中化計画／土木工事積算基準／設計単価／水防対策","土木事業担当部／土木計画課","土木計画5432-2366-7／2369／2580"
"城山分庁舎／２階","河川／水路調査／豪雨対策／雨水浸透施設／雨水タンク助成","土木事業担当部／土木計画課","河川／雨水対策5432-2365"
"城山分庁舎／２階","下水道事業受託","土木事業担当部／土木計画課","5432-2215"
"城山分庁舎／２階","街路灯管理／防犯灯助成申請／開発行為第32条協議／住環境条例協議（雨水流出抑制施設等協議）／道路／水路／河川の工事設計及び監督／私道整備／私道排水設備助成申請／道路等管理協定","土木事業担当部／工事第一課（世田谷／北沢地域）","工務5432-2375／設計5432-2376／工事5432-2377"
"城山分庁舎／２階","街路灯管理／防犯灯助成申請／開発行為第32条協議／住環境条例協議（雨水流出抑制施設等協議）／道路／水路／河川の工事設計及び監督／私道整備／私道排水設備助成申請／道路等管理協定","土木事業担当部／工事第二課（玉川／砧／鳥山地域）","工務5432-2378／設計5432-2398／工事5432-2400"
"城山分庁舎／３階","道路／河川占用許可／道路掘削工事許可／沿道掘削工事協議／自費工事許可申請（道路）／建設リサイクル法（土木工事）届出／路上広告物許可／路外駐車場届出","土木事業担当部／土木計画課（占用担当）","5432-2373-4"
"城山分庁舎／３階","道路整備方針／都市計画道路／主要生活道路の計画／広域幹線道路の連絡調整（東京外かく環状道路に係るものを除く）","道路整備部／道路計画／外環調整課","5432-2537-8"
"城山分庁舎／３階","東京外かく環状道路に係る調整に関すること","道路整備部／道路計画／外環調整課","5432-2548"
"城山分庁舎／３階","都市計画道路／主要生活道路事業の推進／道路代替地管理（一時貸付を含む）","道路整備部／道路事業推進担当課","5432-2517-8"
"城山分庁舎／３階","交通広場整備推進（成城学園前駅／経堂駅／下北沢駅）","道路整備部／交通広場整備担当課","5432-2547"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／世田谷（若林1-34-2）","世田谷土木管理事務所","3424-2790"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／世田谷（若林1-34-2）","世田谷公園管理事務所","3412-7841"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／北沢（代田5-19-1）","北沢土木管理事務所","5486-7010"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／北沢（代田5-19-1）","北沢公園管理事務所","5431-1822"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／玉川（中町4-35-11）","玉川土木管理事務所","3702-4914"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／玉川（中町4-35-11）","玉川公園管理事務所","3704-4972"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／砧（大蔵4-6-2）","砧土木管理事務所","3417-9571"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／砧（大蔵4-6-2）","砧公園管理事務所","3417-9575"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／鳥山（粕谷4-9-27）","鳥山土木管理事務所","3308-8133"
"土木管理事務所／公園管理事務所","（土木事務所）／道路／水路／河川等維持管理／交通安全施設維持管理／へい死犬猫処理／（公園事務所）／公園／緑地／緑道／街路樹等維持管理／公園等管理協定／保存樹木／樹林地／公園一時占用／鳥山（粕谷4-9-27）","鳥山公園管理事務所","3308-0731"
