"栄養素等別","総数／平均値","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"ビタミンE(α-トコフェロール)(mg)","6.4","3.3","0.2","3.8","1.5","0.4","6.2","2.8","0.7","6.9","2.1","0.7","5.9","3.1","0.8","5.8","2.8","0.6","6.0","3.1","0.7","6.0","2.5","0.5","8.0","4.3","0.8","7.1","3.5","0.5","6.6","3.4","0.3"
"ビタミンK(μg)","230","162","11","213","131","38","211","124","28","195","86","27","286","204","51","171","122","27","213","126","27","228","192","36","266","169","30","242","182","27","236","172","13"
"ビタミンB1(mg)","0.90","0.40","0.03","0.56","0.23","0.07","0.89","0.44","0.10","1.29","0.32","0.10","0.96","0.35","0.09","0.73","0.35","0.08","0.93","0.41","0.09","0.85","0.38","0.07","1.03","0.45","0.08","0.90","0.35","0.05","0.90","0.39","0.03"
"ビタミンB2(mg)","1.17","0.55","0.04","0.89","0.49","0.14","1.29","0.44","0.10","1.27","0.37","0.12","1.27","0.56","0.14","1.04","0.45","0.10","0.99","0.34","0.07","1.06","0.53","0.10","1.42","0.88","0.16","1.17","0.41","0.06","1.17","0.57","0.04"
"ナイアシン(mgNE)","15.9","8.5","0.6","8.4","3.9","1.1","11.3","4.8","1.1","19.5","6.0","1.9","16.4","9.9","2.5","14.9","7.4","1.6","16.4","7.7","1.6","18.5","12.9","2.4","18.2","6.4","1.1","15.9","7.6","1.1","16.8","8.7","0.7"
"ビタミンB6(mg)","1.20","0.54","0.04","0.73","0.31","0.09","1.04","0.41","0.09","1.29","0.32","0.10","1.21","0.54","0.13","1.03","0.44","0.10","1.18","0.48","0.10","1.22","0.58","0.11","1.49","0.59","0.11","1.23","0.60","0.09","1.24","0.56","0.04"
"ビタミンB12(μg)","7.1","7.8","0.5","4.0","5.1","1.5","4.8","4.2","1.0","4.6","2.1","0.7","7.9","12.9","3.2","6.0","5.4","1.2","5.9","6.2","1.3","6.7","8.1","1.5","9.5","7.7","1.4","8.8","9.0","1.3","7.7","8.4","0.7"
"葉酸(μg)","283","161","11","162","61","18","233","98","22","232","79","25","325","307","77","239","117","26","270","130","28","269","133","25","372","195","35","304","133","20","300","171","13"
"パントテン酸(mg)","5.64","1.93","0.13","4.59","2.15","0.62","5.91","1.57","0.36","6.78","1.71","0.54","6.60","2.65","0.66","4.89","1.55","0.35","5.20","1.75","0.37","5.30","1.64","0.30","6.35","1.93","0.35","5.49","1.85","0.27","5.61","1.93","0.15"
"ビオチン(μg)","24.6","22.6","1.6","15.8","9.2","2.7","19.3","5.6","1.3","20.8","8.6","2.7","38.8","64.1","16.0","18.8","8.9","2.0","21.9","11.2","2.4","26.1","25.0","4.6","28.9","14.9","2.7","25.1","11.0","1.6","26.1","24.7","1.9"
"ビタミンC(mg)","85","65","5","56","41","12","73","49","11","83","60","19","66","39","10","63","44","10","72","37","8","63","48","9","116","98","18","112","70","10","88","68","5"
"コレステロール(mg)","313","181","13","222","126","36","272","165","38","373","175","55","389","198","49","283","190","42","249","164","35","315","178","33","385","202","36","310","167","25","321","185","14"
"食物繊維(g)","14.3","5.8","0.4","9.2","2.9","0.8","15.2","5.3","1.2","14.2","3.3","1.1","12.3","4.4","1.1","12.8","4.9","1.1","13.7","4.7","1.0","13.5","5.1","0.9","16.9","7.5","1.3","15.7","6.5","1.0","14.6","6.0","0.5"
"うち水溶性(g)","3.4","1.5","0.1","2.3","0.7","0.2","3.9","1.7","0.4","3.5","1.0","0.3","3.1","1.2","0.3","3.0","1.4","0.3","3.7","1.7","0.4","3.3","1.3","0.2","3.9","1.9","0.3","3.5","1.5","0.2","3.5","1.5","0.1"
"うち不溶性(g)","10.2","4.3","0.3","6.7","2.2","0.6","10.7","4.2","1.0","10.0","2.1","0.7","8.9","3.2","0.8","9.3","3.9","0.9","9.8","3.3","0.7","9.7","3.8","0.7","11.8","5.1","0.9","11.4","5.0","0.7","10.4","4.4","0.3"
"食塩(ナトリウム×2.54/1000)(g)","10.5","4.1","0.3","5.0","2.0","0.6","9.4","3.6","0.8","12.2","4.5","1.4","9.8","2.7","0.7","9.7","3.6","0.8","10.7","4.0","0.9","11.1","3.0","0.6","11.8","4.5","0.8","11.4","4.3","0.6","11.0","3.9","0.3"
"飽和脂肪酸(g)","16.3","8.2","0.6","13.8","9.7","2.8","19.1","8.1","1.9","27.2","12.7","4.0","16.2","7.7","1.9","14.5","7.5","1.7","16.3","6.9","1.5","15.8","6.1","1.1","16.0","8.4","1.5","14.8","7.0","1.0","15.5","7.2","0.6"
"一価不飽和脂肪酸(g)","20.9","10.3","0.7","13.9","7.1","2.0","20.2","8.9","2.1","30.2","10.7","3.4","21.8","9.1","2.3","20.5","10.9","2.4","21.1","8.4","1.8","20.5","6.7","1.2","21.8","9.5","1.7","20.3","13.6","2.0","20.9","10.3","0.8"
"n-3系脂肪酸(g)","2.4","1.7","0.1","1.1","1.0","0.3","1.7","1.2","0.3","2.4","1.1","0.4","2.0","1.2","0.3","2.4","1.7","0.4","2.0","1.2","0.3","2.4","1.4","0.3","3.3","2.3","0.4","2.8","1.8","0.3","2.6","1.8","0.1"
"n-6系脂肪酸(g)","10.4","5.1","0.4","6.4","2.5","0.7","9.8","3.1","0.7","12.9","4.1","1.3","11.8","5.1","1.3","10.0","5.3","1.2","10.3","4.4","0.9","10.8","4.8","0.9","10.6","5.7","1.0","10.6","5.9","9.0","10.6","5.3","0.4"
"脂肪エネルギー比率*(%)","27.0","7.3","0.5","29.7","7.7","2.2","28.0","5.8","1.3","30.7","5.8","1.8","27.8","10.1","2.5","27.7","8.5","1.9","27.7","6.8","1.5","26.0","6.1","1.1","25.1","7.8","1.4","26.0","6.8","1.0","26.4","7.4","0.6"
"炭水化物エネルギー比率*(%)","58.3","8.7","0.6","54.9","10.6","3.1","58.0","6.4","1.5","54.4","6.7","2.1","57.5","10.3","2.6","57.0","10.9","2.4","58.2","8.5","1.8","59.3","8","1.5","59.8","9.4","1.7","59.2","7.8","1.1","58.8","8.8","0.7"
"動物性たんぱく質比率*(%)","53.7","13.2","0.9","56.8","13.7","4.0","55.6","7.9","1.8","62.3","10.2","3.2","54.9","15.2","3.8","55.5","10.6","2.4","50.3","13.2","2.8","52.0","15.3","2.8","55.7","9.4","1.7","50.2","15.5","2.3","52.7","13.6","1.1"
