"栄養素等別","総数／平均値","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"ビタミンD(μg)","7.4","7.9","0.5","4.4","2.9","1.1","5.1","8.5","2.1","6.7","4.9","1.4","5.6","5.4","1.5","8.4","9.4","2.5","6.1","7.9","1.2","9.1","7.9","1.4","8.9","8.4","1.3","8.0","8.2","1.2","7.8","8.1","0.6"
"ビタミンE(α-トコフェロール)(mg)","6.4","3.1","0.2","4.4","1.6","0.6","5.7","1.6","0.4","5.8","2.4","0.7","6.1","3.1","0.9","6.7","2.2","0.6","5.9","2.8","0.4","6.8","3.4","0.6","7.1","3.2","0.5","6.6","3.6","0.5","6.6","3.2","0.2"
"ビタミンK(μg)","220","156","10","220","144","54","204","125","30","112","51","15","212","142","41","212","145","39","225","149","22","182","135","25","248","174","27","250","186","27","228","162","12"
"ビタミンB1(mg)","0.82","0.36","0.02","0.59","0.12","0.05","0.80","0.25","0.06","0.79","0.28","0.08","0.95","0.60","0.17","0.77","0.26","0.07","0.81","0.32","0.05","0.83","0.33","0.06","0.84","0.31","0.05","0.82","0.47","0.07","0.83","0.38","0.03"
"ビタミンB2(mg)","1.11","0.44","0.03","0.90","0.21","0.08","1.06","0.25","0.06","1.04","0.48","0.14","1.05","0.38","0.11","1.15","0.38","0.10","1.03","0.38","0.06","1.18","0.44","0.08","1.24","0.50","0.08","1.09","0.51","0.07","1.12","0.45","0.03"
"ナイアシン(mgNE)","13.3","5.9","0.4","7.0","1.7","0.6","10.1","3.5","0.9","12.2","5.3","1.5","15.4","9.6","2.8","15.6","6.4","1.7","12.9","5.0","0.7","15.4","5.5","1.0","14.3","5.7","0.9","12.8","6.2","0.9","13.9","6.0","0.4"
"ビタミンB6(mg)","1.06","0.45","0.03","0.69","0.22","0.08","0.95","0.28","0.07","1.03","0.32","0.09","1.18","0.71","0.21","1.11","0.41","0.11","0.96","0.36","0.05","1.13","0.43","0.08","1.17","0.48","0.08","1.06","0.52","0.07","1.08","0.47","0.03"
"ビタミンB12(μg)","5.9","6.0","0.4","2.7","1.3","0.5","3.6","3.6","0.9","7.1","6.5","1.9","5.8","5.1","1.5","7.1","6.9","1.8","4.6","4.4","0.6","5.8","4.0","0.7","7.3","6.9","1.1","6.6","8.0","1.1","6.2","6.2","0.4"
"葉酸(μg)","274","130","9","183","70","26","238","77","19","215","80","23","272","149","43","272","110","29","243","112","17","283","126","23","313","157","25","306","142","20","284","136","10"
"パントテン酸(mg)","5.23","1.78","0.12","4.55","1.04","0.39","5.42","1.37","0.33","5.26","1.90","0.55","5.32","1.84","0.53","5.70","2.11","0.56","4.90","1.40","0.21","5.36","1.77","0.32","5.66","1.75","0.27","4.97","2.14","0.31","5.24","1.82","0.13"
"ビオチン(μg)","20.9","9.5","0.6","14.3","5.1","1.9","17.1","7.1","1.7","16.2","5.3","1.5","19.4","9.0","2.6","23.4","10.0","2.7","19.3","8.0","1.2","22.5","9.3","1.7","24.0","10.5","1.6","22.0","10.9","1.6","21.8","9.8","0.7"
"ビタミンC(mg)","99","73","5","74","35","13","95","73","18","70","37","11","96","56","16","73","45","12","81","59","9","96","75","14","117","93","15","123","78","11","102","75","5"
"コレステロール(mg)","300","171","11","256","116","44","299","138","33","336","139","40","360","206","59","328","171","46","276","169","25","303","189","35","342","170","27","262","173","25","300","177","13"
"食物繊維(g)","14.1","7.0","0.5","9.7","4.4","1.7","13.1","3.7","0.9","13.0","3.5","1.0","12.6","6.7","1.9","13.3","5.6","1.5","12.5","4.5","0.7","14.8","9.1","1.7","15.9","6.7","1.1","15.6","9.0","1.3","14.4","7.3","0.5"
"うち水溶性(g)","3.3","1.5","0.1","2.5","1.3","0.5","3.4","1.3","0.3","3.0","1.3","0.4","2.8","1.0","0.3","3.2","1.5","0.4","3.1","1.2","0.2","3.4","1.9","0.4","3.6","1.6","0.2","3.4","1.6","0.2","3.3","1.5","0.1"
"うち不溶性(g)","10.3","5.4","0.4","7.0","3.0","1.2","9.4","2.8","0.7","9.5","2.4","0.7","9.3","5.6","1.6","9.2","3.7","1.0","9.2","3.4","0.5","10.8","7.4","1.4","11.4","4.5","0.7","11.5","7.5","1.1","10.5","5.8","0.4"
"食塩(ナトリウム×2.54/1000)(g)","9.0","3.7","0.2","4.7","2.1","0.8","8.6","3.1","0.7","8.9","3.8","1.1","9.0","6.6","1.9","9.8","4.3","1.2","8.5","3.3","0.5","9.3","3.9","0.7","9.9","3.3","0.5","8.9","3.3","0.5","19.1","3.7","0.3"
"飽和脂肪酸(g)","15.6","7.5","0.5","15.0","4.0","1.5","16.9","5.8","1.4","18.7","9.0","2.6","15.6","10.2","2.9","19.3","5.9","1.6","15.7","6.8","1.0","15.9","9.8","1.8","17.1","7.7","1.2","11.9","5.5","0.8","15.3","7.7","0.6"
"一価不飽和脂肪酸(g)","18.7","8.3","0.5","14.5","4.5","1.7","17.8","5.6","1.4","21.2","9.1","2.6","19.6","12.4","3.6","24.7","7.2","1.9","19.9","8.6","1.3","18.3","8.0","1.5","19.4","7.7","1.2","15.4","7.5","1.1","18.7","8.5","0.6"
"n-3系脂肪酸(g)","2.0","1.3","0.1","1.0","0.6","0.2","1.3","0.7","0.2","1.9","1.2","0.4","1.9","0.9","0.3","2.6","1.5","0.4","1.8","1.2","0.2","2.2","1.4","0.3","2.2","1.5","0.2","2.0","1.2","0.2","2.1","1.3","0.1"
"n-6系脂肪酸(g)","8.9","4.4","0.3","6.6","3.0","1.1","8.4","2.3","0.5","9.3","4.0","1.2","8.8","5.9","1.7","10.9","4.7","1.3","9.1","4.3","0.6","9.3","4.9","0.9","8.7","3.6","0.6","8.6","5.1","0.7","9.0","4.6","0.3"
"脂肪エネルギー比率*(%)","28.7","7.3","0.5","31.3","6.2","2.3","29.5","5.4","1.3","29.4","10.2","2.9","29.8","8.6","2.5","32.7","4.8","1.3","29.0","6.4","0.9","27.8","7.8","1.4","29.2","7.4","1.2","26.3","7.7","1.1","28.5","7.4","0.5"
"炭水化物エネルギー比率*(%)","55.9","8.3","0.5","54.6","6.5","2.5","55.7","6.4","1.6","56.2","12.4","3.6","53.5","10.0","2.9","52.0","5.1","1.4","56.6","7.2","1.1","56.8","9.3","1.7","54.8","9.0","1.4","57.4","7.8","1.1","55.9","8.2","0.6"
"動物性たんぱく質比率*(%)","54.0","13.1","0.9","57.1","12.3","4.7","56.4","5.6","1.4","57.4","11.8","3.4","57.0","16.6","4.8","59.6","9.3","2.5","51.3","13.0","1.9","54.9","14.0","2.6","56.3","11.9","1.9","49.7","15.0","2.1","53.5","13.7","1.0"
