"保険者番号","保険者別","受診率／入院","受診率／入院外","受診率／歯科","受診率／計","1件当たり日数／入院(日)","1件当たり日数／入院外(日)","1件当たり日数／歯科(日)","1件当たり日数／計(日)","1日当たり費用額／入院(円)","1日当たり費用額／入院外(円)","1日当たり費用額／歯科(円)","1日当たり費用額／計(円)","1人当たり費用額／入院(円)","1人当たり費用額／入院外(円)","1人当たり費用額／歯科(円)","1人当たり費用額／計(円)"
"6","台東区","15.362","1004.002","142.025","1161.389","6.34","1.59","1.46","1.63","60628","5263","6236","8209","59023","83847","12960","155829"
"7","墨田区","15.335","1014.004","147.880","1177.219","7.38","1.59","1.47","1.65","61145","5505","6594","8865","69195","88859","14291","172345"
"8","江東区","13.159","1009.186","146.952","1169.297","6.46","1.64","1.45","1.67","60386","5460","6981","8022","51358","90192","14912","156462"
"9","品川区","14.639","1012.626","134.690","1161.955","7.49","1.59","1.34","1.64","63618","5534","6719","9000","69782","89062","12167","171012"
"10","目黒区","16.997","1040.981","127.106","1185.084","7.47","1.60","1.36","1.66","62258","5328","7532","9206","79072","88601","13048","180721"
"11","大田区","11.332","1029.503","146.253","1187.088","8.32","1.59","1.43","1.63","67171","5315","6898","8494","63320","86926","14410","164655"
"12","世田谷区","16.325","1031.639","148.352","1196.315","9.26","1.58","1.30","1.65","74580","5677","7367","11107","112694","92744","14189","219627"
"13","渋谷区","15.342","937.031","120.390","1072.764","7.59","1.55","1.36","1.61","54648","5819","6966","9216","63606","84265","11418","159289"
"14","中野区","20.508","1041.207","130.762","1192.477","8.22","1.61","1.39","1.70","66407","5282","7128","10526","111973","88730","12910","213613"
"15","杉並区","18.513","971.305","118.918","1108.736","6.79","1.58","1.39","1.65","64284","5565","7108","9747","80815","85451","11710","177976"
"16","豊島区","17.094","989.939","111.178","1118.211","7.91","1.60","1.51","1.69","57640","5477","6350","9288","77963","86911","10638","175513"
"17","北区","16.993","972.222","131.332","1120.547","7.53","1.71","1.49","1.78","67076","5230","7328","9414","85872","87167","14309","187348"
"18","荒川区","16.710","1020.822","136.596","1174.128","6.97","1.67","1.47","1.72","64727","4940","6794","8568","75374","84201","13640","173216"
"19","板橋区","13.892","1043.93","126.733","1184.556","6.43","1.60","1.45","1.65","67028","5919","6664","8792","59897","99149","12284","171330"
"20","練馬区","13.108","991.695","128.439","1133.241","6.93","1.55","1.43","1.60","61278","5326","7157","8321","55670","81760","13185","150614"
"21","足立区","13.710","1002.659","145.189","1161.558","8.53","1.65","1.61","1.72","65161","5413","6803","9069","76237","89304","15938","181479"
"22","葛飾区","12.585","1051.407","131.918","1195.909","7.86","1.67","1.50","1.71","57799","5146","6669","7835","57166","90150","13163","160479"
"23","江戸川区","14.210","1075.369","149.647","1239.226","7.79","1.73","1.49","1.77","61033","5423","6935","8384","67599","100908","15473","183981"
"24","八王子市","16.485","941.641","134.225","1092.351","7.10","1.49","1.50","1.57","65981","5766","6319","9937","77272","80648","12728","170648"
"25","立川市","16.066","929.204","104.054","1049.324","8.07","1.54","1.53","1.64","68451","6253","6797","10990","88801","89601","10788","189191"
"26","武蔵野市","13.503","915.032","118.981","1047.516","7.71","1.50","1.23","1.55","76582","5393","6560","10052","79704","74247","9594","163545"
"27","三鷹市","16.186","1059.455","141.426","1217.067","7.59","1.53","1.36","1.59","66848","5170","6410","9210","82168","83762","12363","178293"
"28","青梅市","9.434","939.225","122.145","1070.804","6.56","1.44","1.52","1.49","60821","5738","7223","8046","37628","77381","13428","128437"
"29","府中市","13.33","929.796","114.532","1057.658","10.7","1.56","1.40","1.65","67018","5569","8092","10811","95604","80552","12982","189138"
"30","昭島市","22.296","947.461","105.960","1075.717","8.77","1.63","1.64","1.78","55663","6124","6424","11206","108807","94722","11140","214668"
"31","調布市","16.533","1032.943","107.588","1157.064","7.84","1.58","1.41","1.66","71132","5366","6961","9943","92195","87685","10542","190421"
"32","町田市","12.406","887.343","114.912","1014.662","6.84","1.49","1.50","1.55","66899","5585","7036","9042","56734","73691","12093","142517"
"33","福生市","17.377","919.508","82.131","1019.016","10.15","1.48","1.53","1.63","68423","5649","7094","12427","120693","76710","8932","206335"
"34","羽村市","12.526","866.806","112.317","991.649","5.62","1.50","1.70","1.57","49610","6055","6129","8027","34903","78719","11683","125305"
"35","瑞穂町","12.435","853.886","109.326","975.648","4.54","1.40","1.56","1.46","64138","5882","5865","8192","36223","70322","10028","116573"
"36","あきる野市","14.805","1011.709","106.999","1133.513","5.51","1.59","1.62","1.64","44429","5380","6923","7235","36237","86415","12019","134671"
"37","日の出町","14.146","891.220","126.341","1031.707","7.45","1.54","1.62","1.63","112676","5281","7088","12219","118722","72573","14521","205816"
"39","檜原村","26.667","713.333","80.000","820.000","9.75","1.53","1.58","1.80","59262","5033","3683","14444","154081","55029","4665","213775"
