"食品群別","摂取量(g)","エネルギー(kcal)","たんぱく質(g)","脂質(g)","炭水化物(g)","食塩相当量(g)","カリウム(mg)","カルシウム(mg)","鉄(mg)","ビタミンA(ugRE)","ビタミンB1(mg)","ビタミンB2(mg)","ナイアシン(mgNE)","ビタミンＣ(mg)","食物繊維／総量(g)","食物繊維／水溶性(g)","食物繊維／不溶性(g)","コレステロール(mg)","マグネシウム(mg)","リン(mg)","銅(mg)"
"いも類","46.0","33","0.6","0.0","7.7","0.0","145","7","0.2","0","0.02","0.01","0.3","7","0.9","0.2","0.6","0","7","12","0.04"
"いも･加工品","44.8","29","0.6","0.0","6.9","0.0","145","7","0.2","0","0.02","0.01","0.3","7","0.9","0.2","0.6","0","7","12","0.04"
"さつまいも･加工品","4.3","5","0.0","0.0","1.3","0.0","18","2","0.0","0","0.00","0.00","0.0","1","0.1","0.0","0.1","0","1","2","0.01"
"じゃがいも･加工品","26.9","19","0.4","0.0","4.5","0.0","90","1","0.1","0","0.02","0.01","0.2","6","0.4","0.1","0.3","0","5","7","0.02"
"その他のいも･加工品","13.6","5","0.1","0.0","1.1","0.0","37","5","0.1","0","0.00","0.00","0.0","0","0.3","0.1","0.3","0","1","3","0.01"
"でんぷん･加工品","1.2","3","0.0","0.0","0.8","0.0","0","0","0.0","0","0.00","0.00","0.0","0","0.0","0.0","0.0","0","0","0","0.00"
"砂糖･甘味料類","6.3","23","0.0","0.0","6.0","0.0","2","1","0.0","0","0.00","0.00","0.0","0","0.0","0.0","0.0","0","0","0","0.00"
"豆類","57.1","66","4.9","3.8","3.0","0.0","141","56","1.0","0","0.05","0.07","0.2","0","1.2","0.3","0.9","0","30","68","0.13"
"大豆･加工品","55.0","63","4.7","3.8","2.3","0.0","133","55","0.9","0","0.04","0.07","0.2","0","1.0","0.3","0.7","0","30","66","0.13"
"大豆(全粒)･加工品","1.6","3","0.3","0.2","0.2","0.0","10","1","0.0","0","0.00","0.00","0.0","0","0.1","0.0","0.1","0","2","3","0.01"
"豆腐","29.1","20","1.7","1.1","0.5","0.0","40","26","0.3","0","0.02","0.01","0.0","0","0.1","0.0","0.1","0","11","28","0.04"
"油揚げ類","6.1","17","0.9","1.4","0.1","0.0","5","17","0.2","0","0.00","0.00","0.0","0","0.1","0.0","0.0","0","6","12","0.01"
"納豆","9.1","18","1.5","0.9","1.1","0.0","60","8","0.3","0","0.01","0.05","0.1","0","0.6","0.2","0.4","0","9","18","0.05"
"その他の大豆加工品","9.0","5","0.3","0.3","0.4","0.0","17","2","0.1","0","0.00","0.00","0.0","0","0.1","0.0","0.0","0","2","4","0.01"
"その他の豆･加工品","2.2","4","0.2","0.0","0.7","0.0","8","1","0.0","0","0.00","0.00","0.0","0","0.2","0.0","0.2","0","1","2","0.01"
"種実類","2.9","14","0.4","1.1","0.8","0.0","14","12","0.1","0","0.01","0.01","0.1","0","0.3","0.0","0.2","0","6","10","0.03"
"野菜類","272.1","72","3.0","0.5","15.9","0.6","525","87","1.1","273","0.10","0.09","1.0","38","5.2","1.4","3.7","0","35","80","0.13"
"緑黄色野菜","87.1","25","1.2","0.2","5.5","0.0","215","34","0.5","221","0.04","0.05","0.5","18","2.1","0.5","1.5","0","13","29","0.05"
"トマト","24.5","5","0.2","0.0","1.3","0.0","56","2","0.1","13","0.01","0.01","0.2","4","0.3","0.1","0.2","0","2","7","0.01"
"にんじん","18.7","6","0.1","0.0","1.6","0.0","40","5","0.0","119","0.01","0.01","0.1","0","0.5","0.2","0.3","0","2","4","0.01"
"ほうれん草","10.0","2","0.2","0.0","0.3","0.0","33","5","0.1","33","0.00","0.01","0.0","1","0.3","0.0","0.2","0","3","3","0.01"
"ピーマン","4.7","1","0.0","0.0","0.2","0.0","8","0","0.0","2","0.00","0.00","0.0","3","0.1","0.0","0.1","0","0","1","0.00"
"その他の緑黄色野菜","29.1","10","0.6","0.1","2.1","0.0","78","21","0.3","54","0.02","0.02","0.2","9","0.9","0.2","0.7","0","6","14","0.02"
