"","総数","台湾","中国","香港","オーストラリア","韓国","シンガポール","タイ","米国","マレーシア","英国","フランス","ドイツ","インド","ロシア","フィリピン","ベトナム","インドネシア","カナダ","その他"
"主な来日目的／ビジネス／%","100","0","14.3","0.0","0.0","28.6","28.6","0.0","14.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.3"
"主な来日目的／その他／n","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"主な来日目的／その他／%","100","66.7","33.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"旅行形態／航空機とホテルを個別に予約した／n","94","17","5","12","7","5","7","6","6","2","3","2","2","1","1","0","0","0","0","20"
"旅行形態／航空機とホテルを個別に予約した／%","100","18.1","5.3","12.8","7.4","5.3","7.4","6.4","6.4","2.1","3.2","2.1","2.1","1.1","1.1","0.0","0.0","0.0","0.0","21.2"
"旅行形態／個人で自由に観光する旅行商品（パッケージ旅行）を利用した／n","15","6","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"旅行形態／個人で自由に観光する旅行商品（パッケージ旅行）を利用した／%","100","40.0","33.3","13.3","6.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.7"
"旅行形態／団体で観光地を見て回る旅行商品（パッケージ旅行）を利用した（原則ガイド付き）／n","5","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"旅行形態／団体で観光地を見て回る旅行商品（パッケージ旅行）を利用した（原則ガイド付き）／%","100","0.0","40.0","0.0","0.0","20.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0"
"旅行形態／所属する企業・団体が募集する団体旅行（社内旅行）／n","3","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"旅行形態／所属する企業・団体が募集する団体旅行（社内旅行）／%","100","0.0","66.7","0.0","0.0","33.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"旅行形態／その他／n","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"旅行形態／その他／%","100","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","50.0"
