"食品群別","エネルギー／kcal","エネルギー／寄与率(%)","たんぱく質／ｇ","たんぱく質／寄与率(%)","脂質／ｇ","脂質／寄与率(%)","食塩相当量／ｇ","食塩相当量／寄与率(%)","カリウム／ｍｇ","カリウム／寄与率(%)","カルシウム／mg","カルシウム／寄与率(%)","鉄／mg","鉄／寄与率(%)","ビタミンA／ugRE","ビタミンA／寄与率(%)","ビタミンB1／mg","ビタミンB1／寄与率(%)"
"納豆","18","1","1.5","2.2","0.9","1.6","0","0","60","2.7","8","1.6","0.3","4.1","0","0","0.01","0.8"
"その他の大豆加工品","5","0.3","0.3","0.5","0.3","0.4","0","0.1","17","0.7","2","0.4","0.1","1.5","0","0","0","0.5"
"その他の豆･加工品","4","0.2","0.2","0.3","0","0","0","0","8","0.4","1","0.1","0","0.6","0","0","0","0.3"
"種実類","14","0.8","0.4","0.6","1.1","1.9","0","0","14","0.6","12","2.3","0.1","1.9","0","0","0.01","1"
"野菜類","72","3.9","3","4.3","0.5","0.8","0.6","6.2","525","23.2","87","17","1.1","14.4","273","51.5","0.1","12.2"
"緑黄色野菜","25","1.3","1.2","1.7","0.2","0.3","0","0.3","215","9.5","34","6.6","0.5","6.5","221","41.6","0.04","4.7"
"トマト","5","0.3","0.2","0.3","0","0","0","0.1","56","2.5","2","0.4","0.1","0.9","13","2.4","0.01","1.6"
"にんじん","6","0.3","0.1","0.1","0","0","0","0.1","40","1.8","5","1","0","0.5","119","22.4","0.01","0.6"
"ほうれん草","2","0.1","0.2","0.3","0","0.1","0","0","33","1.5","5","1.1","0.1","1","33","6.2","0","0.4"
"ピーマン","1","0.1","0","0.1","0","0","0","0","8","0.4","0","0.1","0","0.3","2","0.3","0","0.2"
"その他の緑黄色野菜","10","0.6","0.6","0.9","0.1","0.1","0","0.1","78","3.4","21","4.1","0.3","4","54","10.1","0.02","1.9"
