"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"510","koentheTAO","20","251","464455","1850.4"
"511","かいとー","20","164","2804050","17097.9"
"512","パソコン工房ゆずりは","20","287","3082650","10740.9"
"513","作業所にしおぎ館","20","223","906410","4064.6"
"514","ワークスペースのぞみ","35","357","6917791","19377.6"
"515","東京都北区立王子福祉作業所","60","669","6636832","9920.5"
"516","東京都北区立赤羽西福祉作業所","55","550","6774337","12317.0"
"517","東京都北区立たばた福祉作業所","20","200","1514523","7572.6"
"518","たいよう","74","852","10433784","12246.2"
"519","作業所ボンエルフ","10","126","1728209","13715.9"
"520","東京都板橋福祉工場就労継続支援Ｂ型事業所","30","303","4121190","13601.3"
"521","やすらぎの杜","22","241","1882220","7810.0"
"522","山彦作業所","30","406","5481082","13500.2"
"523","オープンスペース街","20","146","794920","5444.7"
"524","やすらぎ夢工房","30","303","6314449","20839.8"
"525","あんずの家","20","240","3864167","16100.7"
"526","かがやけ第２共同作業所","60","694","12659900","18241.9"
"527","社会福祉法人東京コロニー東京都葛飾福祉工場立石工場","14","176","5116738","29072.4"
"528","もぐらの家","30","321","3841186","11966.3"
"529","東京光の村授産学園","20","140","1826216","13044.4"
"530","るーぷ","40","406","7241525","17836.3"
"531","浅川園","20","140","6453903","46099.3"
"532","森のぱんやさん","14","97","3192000","32907.2"
"533","いちょう企画","10","198","3131481","15815.6"
"534","木馬工房","12","202","2194002","10861.4"
"535","ぷらさｄｅかたくり","20","264","6133100","23231.4"
"536","ピアわかくさ","20","448","3628561","8099.5"
"537","キッチンさかえ","20","318","1920323","6038.8"
"538","栄福祉作業所","40","490","4083500","8333.7"
"539","なかま亭","36","402","13606380","33846.7"
"540","ジョイントワークひこばえ","14","174","1959742","11262.9"
"541","第２リサイクル洗びんセンター","10","140","6405918","45756.6"
"542","ゆいのもりつつじが丘","30","635","4891838","7703.7"
"543","あきしま福祉作業所","30","314","2733100","8704.1"
"544","昭島ひまわりの家","20","312","2086409","6687.2"
"545","リフレッシュ工房","10","127","636555","5012.2"
"546","クッキングハウス","29","536","5285891","9861.7"
"547","リサイクルショップ不思議屋","20","143","2499753","17480.8"
"548","創造印刷","20","385","20043896","52062.1"
"549","ボワ・アルモニー","40","533","7111230","13341.9"
"550","ラ・ドロン","20","240","849920","3541.3"
"551","クローバーの会","20","160","2271854","14199.1"
"552","富士清掃サービス","40","464","10220020","22025.9"
"553","富士作業所","40","444","4522801","10186.5"
"554","のぞみ作業所","55","725","7788394","10742.6"
"555","あさやけ第二作業所","40","406","6749060","16623.3"
"556","たんぽぽたかはたセンター","40","588","5316830","9042.2"
"557","くつろぎ","20","198","149975","757.4"
"558","あきつの園","40","538","9280160","17249.4"
"559","愛の園実習室","40","502","10631679","21178.6"
"560","お弁当くらぶ","20","168","3553726","21153.1"
"561","十二月","20","389","1144500","2942.2"
"562","久米川共同作業所","20","328","1869000","5698.2"
"563","飛翔クラブ","20","226","3785680","16750.8"
"564","仲間の家","20","329","1837440","5584.9"
"565","かりん","20","152","2031050","13362.2"
"566","さつき共同作業所","25","326","3667870","11251.1"
"567","ワークステーションウーノ（おかし工房マーブル）","20","216","2405200","11135.2"
"568","麦わら帽子","14","257","2527980","9836.5"
"569","第一みんなの家","20","249","2099930","8433.5"
"570","第二みんなの家","20","262","2335380","8913.7"
"571","第三みんなの家","20","260","2395200","9212.3"
"572","かたつむりの会作業所","20","193","4072400","21100.5"
"573","ワークス多摩（工房レスト）","20","281","6505250","23150.4"
"574","ワークセンターれすと","20","357","5369643","15041.0"
"575","AROMA","20","361","5366680","14886.8"
"576","暉望（色えんぴつの家）","20","225","3612188","16054.2"
"577","黒潮作業所","20","119","1430200","12018.5"
"578","波浮港福祉作業所","10","426","1892220","4441.8"
"579","フェニックス","20","131","2311110","17642.1"
"580","就労センター拝島駅作業所","14","301","1873475","6224.2"
"581","ラムダ","20","204","4029138","19750.7"
"582","みどりの歩み","20","340","1375922","4046.8"
"583","就労継続支援事業所ワーク花きりん","20","305","2628600","8618.4"
"584","underthesamesky","20","168","1287500","7663.7"
"585","自立支援塾クリード青梅","23","213","3136920","14727.3"
"586","アリストランプ","20","202","5136004","25425.8"
"587","ワークセンターこむたん","14","216","3681559","17044.3"
"588","わかたけ作業所","20","221","2064531","9341.8"
"589","PACE","12","233","1732653","7436.3"
"590","アイエスエフネットベネフィット青山","40","323","8116522","25128.6"
"591","ほほえみ（喫茶ほほえみ）","20","289","5508755","19061.0"
"592","ハートリボン","20","423","2197360","5194.7"
"593","光の家就労ホーム","10","122","1002810","8219.8"
"594","どんぐりの家","25","288","5237838","18186.9"
"595","福祉作業所スマイル工房","20","234","1690530","7224.5"
"596","原町田スクエア","59","674","5928412","8795.9"
"597","あけぼの事業所","20","240","10144093","42267.1"
"598","ユニークジョブサポート","14","176","2462133","13989.4"
"599","ゆいのもり田中町","20","399","2907370","7286.6"
"600","きずな工房からまつ","20","167","2108155","12623.7"
"601","まんじゅう屋遊夢","20","511","4060159","7945.5"
"602","草夢","40","519","9379751","18072.7"
"603","夢畑","60","652","10175859","15607.1"
"604","遊夢","20","334","8110090","24281.7"
"605","ワークショップ奥多摩","20","192","860700","4482.8"
"606","アイル","20","208","635921","3057.3"
"607","クッキングワーク街の駅","20","242","1576173","6513.1"
"608","わーくあっぷ","40","567","6566000","11580.2"
"609","ワークスペースことのはBooks","20","203","687318","3385.8"
"610","デイセンターたまぷらねっと“わ”","20","219","1170480","5344.7"
"611","就労センター第２拝島駅作業所","20","286","1570044","5490.0"
"612","のんの","20","154","1008700","6550.0"
"613","リバティ世田谷","20","313","2108980","6738.0"
"614","トントゥハウス","20","82","580075","7074.1"
"615","共同作業所かたくり第１","20","291","2697780","9270.7"
"616","黎音","20","234","997511","4262.9"
"617","愛輪の里雅錦","20","227","3379185","14886.3"
"618","れっつ","20","193","4396041","22777.4"
"619","愛輪の里雅小茂根","20","226","4104410","18161.1"
"620","すこやか作業所","20","260","3299374","12689.9"
"621","綾瀬なないろ園","30","355","4128940","11630.8"
"622","木馬の会（ライブワークス）","10","112","1431550","12781.7"
"623","小金井市福祉共同作業所","10","60","1303519","21725.3"
"624","FTLビー・ワーク","12","130","2417150","18593.5"
"625","江東区障害者福祉センター","26","156","2234915","14326.4"
"626","草むらde夢（夢うさぎ）","40","420","4360551","10382.3"
"627","高次脳機能障がい者活動センター調布ドリーム","10","226","1172425","5187.7"
"628","やすらぎラウンジ","30","368","6166105","16755.7"
"629","シャイン","10","130","2174490","16726.8"
"630","はすの実作業所","20","219","2171100","9913.7"
"631","アルファ企画","20","350","2216806","6333.7"
"632","ワークセンター「あい」","20","210","835919","3980.6"
"633","しおん学園（忘れな草）","10","129","2459620","19066.8"
"634","ふらっと","20","141","3472732","24629.3"
"635","イーストフライト","10","134","2739760","20446.0"
"636","錦糸町就労支援センター","20","298","1157702","3884.9"
"637","新生したまち作業所","20","164","1640589","10003.6"
"638","福祉作業所おかし屋ぱれっと","20","207","8414668","40650.6"
"639","ねりま高松事業所","20","225","2575969","11448.8"
"640","ほっとスペース八王子","20","162","446459","2755.9"
"641","府中ひまわり園","10","15","190990","12732.7"
"642","グランデ","12","87","879500","10109.2"
"643","ひなた和楽館","10","78","502887","6447.3"
"644","第２赤い屋根","20","178","2220100","12472.5"
"645","こすもす福祉作業所","14","157","828475","5276.9"
"646","Beech","14","186","1073215","5770.0"
"647","アプローズ南青山","20","492","2779225","5648.8"
"648","西早稲田あした作業所","20","253","9244805","36540.7"
"649","高齢障害者通所施設さくら分室","20","98","938698","9578.6"
"650","のびのび作業所デリバリー","14","108","2880110","26667.7"
"651","のびのび作業所フーズ","14","214","2184500","10207.9"
"652","就労継続支援B型ガーデン","10","166","199685","1202.9"
"653","目黒区高次脳機能障害者支援センターいきいき＊せかんど","10","44","171366","3894.7"
"654","あかねの会清水実習所","20","208","3414813","16417.4"
"655","アン","20","315","521105","1654.3"
"656","中野区立弥生福祉作業所","45","523","4905171","9378.9"
"657","このはの家","20","261","2306308","8836.4"
"658","ワークハウス荒川第２","20","176","3344993","19005.6"
"659","練馬区立白百合福祉作業所","40","402","5324011","13243.8"
"660","あかねの会高松就労支援室","20","174","1450557","8336.5"
"661","大泉障害者支援ホーム","14","138","1802728","13063.2"
"662","やすらぎリバーシティ","30","117","912458","7798.8"
"663","リカバリーセンター転","10","180","673169","3739.8"
"664","柏の葉","20","108","1462528","13541.9"
"665","ワークステージりぷる","20","163","5424700","33280.4"
"666","ワークセンターゆうゆう舎","20","288","7138825","24787.6"
"667","ワークセンタータートルステップ","20","251","3698870","14736.5"
"668","カンタービレ","20","76","1047855","13787.6"
"669","森工房","14","221","1681800","7610.0"
"670","ともにードリーム","12","50","1156778","23135.6"
"671","コレカラ堂","20","297","1152957","3882.0"
"672","桜草追分工房","20","127","443150","3489.4"
"673","ちえホーム","20","114","976750","8568.0"
"674","ワークセンター・さくら","10","90","481030","5344.8"
"675","あいアイ工房","20","144","623800","4331.9"
"676","すたっかぁと","20","172","1011798","5882.5"
"677","パッソ西東京","20","137","1353258","9877.8"
"678","きぼう工房東くるめ","10","45","674578","14990.6"
"679","ひざしひろば","20","197","977864","4963.8"
"680","WORKSPACEhinata","20","192","419986","2187.4"
"681","おあしす","20","84","566934","6749.2"
"682","グリーンカフェ","20","207","893926","4318.5"
"683","ESPRITDEUX","20","467","4271290","9146.2"
"684","そらいろ作業所","20","108","1250636","11580.0"
"685","自立支援塾ぱん工房","10","109","1296007","11890.0"
"686","ノーマライゼーションK","20","146","1487620","10189.2"
"687","だいち調布事業所","20","155","3511496","22654.8"
"688","は～と豊島","20","73","478251","6551.4"
"689","シャロームみなみ風","15","62","943741","15221.6"
"690","コンフィデンス早稲田","10","119","1406100","11816.0"
"691","ワークプレイスぶんぶん","10","66","566025","8576.1"
"692","ふれあい作業所西大井","30","313","15860807","50673.5"
"693","ふれあい作業所西品川","20","196","9719386","49588.7"
"694","しいの実社学芸大学スマイルプラザ","20","234","5362955","22918.6"
"695","さぽーと・さら","20","247","1352942","5477.5"
"696","さくら美術工房","20","87","311920","3585.3"
"697","就労支援施設ゆに（ＵＮＩ）","20","157","779738","4966.5"
"698","広尾ジョイワーク","15","48","378284","7880.9"
"699","ワークセンター翔和","10","59","1182700","20045.8"
"700","自立支援センターまめの樹","15","41","499897","12192.6"
"701","ヴイ長屋","20","174","1973263","11340.6"
"702","ぽけっと工房","20","117","343650","2937.2"
"703","手づくり工房たいさんぼく","20","33","688891","20875.5"
"704","ライフパートナーこぶし","10","80","534743","6684.3"
"705","小金井聖ヨハネ支援センター","20","146","2493961","17081.9"
"706","プラーナ新宿","10","248","233000","939.5"
"707","寒緋桜","20","84","753623","8971.7"
"708","カラコネオフィス","20","109","1333855","12237.2"
"709","わかば第二事業所","20","181","3926310","21692.3"
"710","銀杏","10","151","4867640","32236.0"
"711","ワーカーズコープ青井","20","21","311098","14814.2"
"712","梅坪事業所","20","231","11647382","50421.6"
"713","ミナモ","20","45","416220","9249.3"
"714","ほうや福祉作業所","40","405","5080550","12544.6"
"715","ファースト・ステップ","20","41","120753","2945.2"
"716","しんわ町田事業所","20","17","40400","2376.5"
"717","オフィスサプライ東京","30","169","4929978","29171.5"
"718","デイサービスＴＲＹ","10","41","1197584","29209.4"
"719","東京聴覚障害者支援センター","10","13","16914","1301.1"
"720","ESPRIT","30","628","8472640","13491.5"
"721","にこにこファクトリー","20","6","36370","6061.7"
"722","ビーパス","15","56","558250","9968.8"
"723","コミュニティワークＴ＆Ｋ","20","61","245025","4016.8"
"724","きゃとる","20","11","108970","9906.4"
"725","ぽぷら八王子","10","11","468655","42605.0"
"726","かすたねっと桜台","20","160","3643017","22768.9"
"727","HACHIOJIFARMER'SKITCHENふぁむ","20","21","148830","7087.1"
"728","パソコンサロン夢像","50","85","459542","5406.4"
"729","富士町作業所","40","123","657527","5345.7"
"730","愛輪の里雅前野町","20","24","370855","15452.3"
"731","こすもす浅草橋","10","0","0","0.0"
"732","おれんじルーム","20","0","0","0.0"
"","","","231000","3484763706","15085.6"
