"食品群別","摂取量(g)","エネルギー(kcal)","たんぱく質(g)","脂質(g)","炭水化物(g)","食塩相当量(g)","カリウム(mg)","カルシウム(mg)","鉄(mg)","ビタミンA(ugRE)","ビタミンB1(mg)","ビタミンB2(mg)","ナイアシン(mgNE)","ビタミンＣ(mg)","食物繊維／総量(g)","食物繊維／水溶性(g)","食物繊維／不溶性(g)","コレステロール(mg)","マグネシウム(mg)","リン(mg)","銅(mg)"
"貝類","2.90","2","0.20","0.00","0.10","0.00","4","1","0.10","1","0.00","0.00","0.00","0","0.00","0.00","0.00","1","1","4","0.01"
"いか､たこ類","4.70","4","0.80","0.00","0.00","0.00","11","1","0.00","1","0.00","0.00","0.20","0","0.00","0.00","0.00","11","2","9","0.02"
"えび､かに類","3.10","3","0.60","0.00","0.00","0.00","9","2","0.00","0","0.00","0.00","0.10","0","0.00","0.00","0.00","5","1","9","0.02"
"魚介加工品","27.70","47","5.40","2.20","1.10","0.50","67","21","0.30","7","0.03","0.05","1.40","1","0.00","0.00","0.00","24","9","68","0.02"
"魚介(塩蔵､生干し｡乾物)","17.20","32","3.90","1.70","0.00","0.30","53","15","0.20","6","0.02","0.04","1.10","1","0.00","0.00","0.00","21","7","53","0.02"
"魚介(缶詰)","2.20","5","0.40","0.30","0.00","0.00","4","0","0.10","0","0.00","0.00","0.20","0","0.00","0.00","0.00","1","1","5","0.00"
"魚介(佃煮)","0.20","1","0.10","0.00","0.00","0.00","1","2","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","1","0","2","0.00"
"魚介(練り製品)","7.80","9","0.90","0.20","0.90","0.10","8","3","0.10","0","0.00","0.01","0.10","0","0.00","0.00","0.00","2","1","7","0.00"
"魚肉ハム･ソーセージ","0.30","1","0.00","0.00","0.00","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","1","0.00"
"肉類","95.80","197","15.10","14.20","0.50","0.40","174","5","0.70","74","0.28","0.15","3.80","4","0.00","0.00","0.00","65","15","131","0.06"
"畜肉","67.50","157","10.60","11.90","0.40","0.30","125","3","0.50","2","0.26","0.10","2.60","4","0.00","0.00","0.00","39","10","96","0.04"
"牛肉","13.00","28","2.00","2.10","0.10","0.00","22","1","0.20","0","0.01","0.02","0.40","0","0.00","0.00","0.00","8","2","14","0.01"
"豚肉","40.40","88","6.50","6.40","0.10","0.00","72","2","0.20","2","0.19","0.06","1.50","0","0.00","0.00","0.00","24","6","49","0.02"
"ハム､ソーセージ類","14.10","40","2.10","3.40","0.30","0.30","31","1","0.10","0","0.06","0.02","0.70","3","0.00","0.00","0.00","7","2","33","0.01"
"その他の畜肉","0.00","0","0.00","0.00","0.00","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
