"食品群別","総数／平均値","総数／標準化比","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"種実類(g/日)","2.9","150.7","7.8","0.4","1.9","3.8","0.9","1.2","2.2","0.4","0.3","0.8","0.2","1.0","1.9","0.4","1.9","5.5","0.9","3.0","7.7","0.9","4.1","12.8","1.7","4.9","10.3","1.2","2.7","5.8","0.6","3.3","8.5","0.5"
"野菜類(g/日)","272.1","100.5","155.4","7.5","171.6","150.6","34.5","278.7","118.4","19.7","223.5","95.1","20.3","245.9","167.1","31.6","259.9","135.1","23.2","276.3","168.1","20.4","265.5","148.3","19.3","328.6","171.5","20.2","271.2","154.1","15.8","279.8","160.0","8.5"
"緑黄色野菜(g/日)","87.1","104.9","73.4","3.5","62.4","36.3","8.3","73.8","54.8","9.1","63.2","29.0","6.2","66.0","59.9","11.3","71.8","59.9","10.3","87.5","65.3","7.9","77.5","65.7","8.6","109.4","94.0","11.1","102.9","85.6","8.8","91.2","77.8","4.1"
"その他の野菜(g/日)","158.3","95.5","104.8","5.0","98.0","87.9","20.2","199.8","105.1","17.5","142.5","80.3","17.1","158.3","117.8","22.3","170.0","89.0","15.3","161.3","123.8","15.0","164.3","111.2","14.5","175.0","98.0","11.5","135.5","92.9","9.5","158.3","105.5","5.6"
"果実類(g/日)","107.3","97.3","125.6","6.0","130.6","112.0","25.7","119.7","149.4","24.9","92.0","115.8","24.7","63.9","83.4","15.8","73.5","87.0","14.9","79.2","98.5","11.9","81.2","115.7","15.1","143.1","159.5","18.8","135.8","125.4","12.9","105.8","124.5","6.6"
"生果物(g/日)","91.7","93.5","114.0","5.5","96.2","90.5","20.8","79.1","93.5","15.6","49.8","66.2","14.1","51.5","76.6","14.5","56.9","68.7","11.8","68.6","85.6","10.4","71.4","113.7","14.8","133.5","149.5","17.6","127.2","126.0","12.9","95.4","118.9","6.3"
"ジャム(g/日)","1.4","113.0","5.1","0.2","1.0","3.3","0.8","0.8","2.7","0.4","0.8","2.6","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.8","3.1","0.4","1.1","3.8","0.5","1.5","5.1","0.6","3.5","8.4","0.9","1.6","5.5","0.3"
"果汁･果汁飲料(g/日)","14.1","130.4","56.6","2.7","33.3","78.5","18.0","39.8","106.5","17.8","41.4","108.6","23.2","12.4","45.3","8.6","16.6","65.9","11.3","9.8","45.2","5.5","8.7","37.7","4.9","8.1","35.6","4.2","5.0","25.0","2.6","8.8","40.1","2.1"
"きのこ類(g/日)","13.3","80.1","22.7","1.1","7.4","10.9","2.5","14.6","22.1","3.7","19.0","29.8","6.3","11.2","24.2","4.6","14.2","26.2","4.5","13.6","22.4","2.7","12.3","21.0","2.7","11.2","19.4","2.3","14.7","24.9","2.6","13.1","22.7","1.2"
"藻類(g/日)","10.3","101.3","21.6","1.0","2.3","3.3","0.8","8.5","19.6","3.3","16.8","46.7","9.9","9.9","18.0","3.4","9.5","18.8","3.2","4.9","12.4","1.5","11.2","18.3","2.4","11.3","18.5","2.2","14.0","25.7","2.6","10.5","19.8","1.1"
"魚介類(g/日)","67.4","93.2","68.3","3.3","27.1","34.2","7.8","48.6","48.2","8.0","58.1","51.1","10.9","51.6","70.0","13.2","59.0","54.9","9.4","40.2","46.9","5.7","78.6","72.7","9.5","99.5","80.4","9.5","80.7","73.6","7.5","72.1","71.3","3.8"
"肉類(g/日)","95.8","105.9","73.6","3.5","69.5","35.8","8.2","99.0","53.9","9.0","164.5","120.5","25.7","135.5","105.2","19.9","122.9","60.1","10.3","115.6","67.3","8.2","90.3","73.6","9.6","75.6","52.7","6.2","67.0","61.2","6.3","92.6","71.0","3.8"
"卵類(g/日)","33.1","97.5","33.5","1.6","28.4","26.3","6.0","32.2","32.3","5.4","33.0","30.8","6.6","42.3","41.9","7.9","27.4","33.2","5.7","27.6","30.6","3.7","32.9","37.8","4.9","40.4","34.2","4.0","32.3","31.7","3.3","33.5","34.2","1.8"
"乳類(g/日)","145.8","115.5","158.4","7.6","239.6","242.4","55.6","260.1","153.8","25.6","209.5","215.8","46.0","107.2","140.4","26.5","106.1","106.6","18.3","101.0","121.2","14.7","132.9","166.1","21.6","163.3","155.0","18.3","121.2","135.9","13.9","125.2","141.5","7.5"
"油脂類(g/日)","12.1","117.4","11.1","0.5","7.8","6.3","1.4","13.4","8.6","1.4","16.0","13.0","2.8","11.6","11.2","2.1","14.6","10.2","1.8","12.8","9.4","1.1","12.3","11.0","1.4","10.5","9.4","1.1","11.6","14.2","1.5","12.0","11.3","0.6"
"菓子類(g/日)","27.9","104.4","46.8","2.2","17.8","24.1","5.5","40.0","67.5","11.2","47.5","72.2","15.4","14.8","30.5","5.8","26.0","46.2","7.9","27.5","41.4","5.0","32.6","55.3","7.2","19.9","35.5","4.2","29.0","41.8","4.3","26.1","42.8","2.3"
"嗜好飲料類(g/日)","824.4","135.9","572.8","27.5","341.1","206.1","47.3","519.6","433.7","72.3","782.0","580.8","123.8","726.1","543.6","102.7","989.2","705.9","121.1","946.5","610.4","74.0","942.6","524.5","68.3","908.1","684.2","80.6","792.1","428.7","44.0","883.6","577.1","30.6"
"調味料・香辛料類(g/日)","92.8","104.6","98.6","4.7","64.0","78.8","18.1","65.1","76.8","12.8","68.8","67.0","14.3","98.5","74.1","14.0","94.1","91.1","15.6","122.7","140.9","17.1","123.1","114.6","14.9","84.2","84.3","9.9","78.9","77.9","8.0","98.7","102.3","5.4"
"栄養素調整調味料類およびその他の加工食品等(g/日)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
