地域階層,地域コード,地域,平成18年1月中,2月中,3月中,4月中,5月中,6月中,7月中,8月中,9月中,10月中,11月中,12月中
4,13204,三鷹市,-23,-119,89,461,-23,-73,24,148,29,249,83,-73
4,13205,青梅市,-32,-204,-119,-1,-5,-30,31,-20,-17,32,-41,-35
4,13206,府中市,186,-429,139,1542,27,18,-101,148,257,-643,245,-46
4,13207,昭島市,44,-108,111,125,57,160,18,12,-10,49,78,56
4,13208,調布市,-94,-186,582,203,209,-8,-137,-12,47,170,-33,50
4,13209,町田市,-135,46,886,797,440,157,305,295,371,463,-20,554
4,13210,小金井市,-124,-3,99,142,101,-5,-23,68,-41,-21,2,12
4,13211,小平市,-98,-436,-125,1124,211,-87,96,91,-115,159,27,-163
4,13212,日野市,-34,-166,-38,461,191,112,121,161,95,175,76,194
4,13213,東村山市,-6,-83,127,181,113,19,-4,-11,23,24,209,33
4,13214,国分寺市,-80,-130,-23,455,-31,-63,-113,191,66,139,21,-2
4,13215,国立市,-38,-177,-72,422,-51,-11,-59,22,-21,65,71,-37
4,13218,福生市,-39,-51,69,-22,-5,-41,-86,-64,-75,40,-21,-60
4,13219,狛江市,-42,-173,30,171,106,-188,69,-6,-49,-21,-1,-109
4,13220,東大和市,17,13,-137,185,26,-25,-45,106,255,197,36,130
4,13221,清瀬市,-7,-20,52,79,-9,38,-9,38,-24,-7,17,-75
4,13222,東久留米市,-143,-70,-34,166,29,-14,-16,31,-69,52,-22,-41
4,13223,武蔵村山市,30,25,-96,96,41,83,-20,153,104,64,2,26
4,13224,多摩市,-16,-172,31,546,109,118,119,-25,67,76,-42,17
4,13225,稲城市,47,-68,905,229,176,46,76,121,517,358,173,192
4,13227,羽村市,48,172,18,154,36,54,53,3,-83,98,56,-59
4,13228,あきる野市,-39,-11,130,-29,-17,-13,-17,34,-10,-15,-51,28
4,13229,西東京市,-19,-147,1549,664,197,14,-46,-60,-53,97,47,-103
1,13550,町村部,-72,-8,-420,227,-62,-50,9,4,58,-7,-27,26
2,13300,郡部,-55,28,-22,-10,-53,-28,-5,-31,10,-9,-21,71
4,13303,瑞穂町,-6,-21,-25,-1,-21,-29,-17,-19,17,14,-9,75
4,13305,日の出町,-34,53,22,9,-12,11,24,0,-2,-9,2,22
4,13307,檜原村,-3,0,-10,-13,-1,-7,1,-3,8,-8,-7,-15
4,13308,奥多摩町,-12,-4,-9,-5,-19,-3,-13,-9,-13,-6,-7,-11
2,13350,島部,-17,-36,-398,237,-9,-22,14,35,48,2,-6,-45
3,13360,大島支庁,-2,-4,-177,95,-5,-18,-1,17,11,-6,-14,-25
4,13361,大島町,15,1,-113,82,-5,-10,-2,4,1,-2,-1,-10
4,13362,利島村,0,0,-7,-2,1,1,-3,5,6,0,-5,-5
4,13363,新島村,-9,-2,-33,7,2,-4,6,7,5,-2,-5,-4
4,13364,神津島村,-8,-3,-24,8,-3,-5,-2,1,-1,-2,-3,-6
3,13380,三宅支庁,-2,-11,-59,69,-2,-4,9,7,8,6,-4,-13
4,13381,三宅村,-1,-11,-40,67,1,-5,6,8,4,0,0,-10
4,13382,御蔵島村,-1,0,-19,2,-3,1,3,-1,4,6,-4,-3
3,13400,八丈支庁,-13,-27,-131,52,-12,-4,-1,19,14,7,2,-11
4,13401,八丈町,-13,-26,-129,49,-12,-2,3,16,14,7,4,-10
4,13402,青ヶ島村,0,-1,-2,3,0,-2,-4,3,0,0,-2,-1
3,13420,小笠原支庁,0,6,-31,21,10,4,7,-8,15,-5,10,4
4,13421,小笠原村,0,6,-31,21,10,4,7,-8,15,-5,10,4
,,,,,,,,,,,,,,
人口の動き（平成18年中）,,,,,,,,,,,,,,
第３表  区市町村、月別人口増減（平成18年）,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,
