出火階,火災・計,火災・地上階層・4階建,火災・地上階層・5階建,火災・地上階層・6階建,火災・地上階層・7階建,火災・地上階層・8階建,火災・地上階層・9階建,火災・地上階層・10階建,火災・地上階層・11階建,火災・地上階層・12階建,火災・地上階層・13階建,火災・地上階層・14階建,火災・地上階層・15階建,火災・地上階層・16階建,火災・地上階層・17以階上,火災・地下階数・地階なし,火災・地下階数・地下1階,"件数・地下階数・地下2階","件数・地下階数・地下3階","件数・地下階数・地下4階",件数・地下階数・地下5階,件数・地下階数・地下6階以上,件数・焼損程度・全焼,件数・焼損程度・半焼,件数・焼損程度・部分焼,件数・焼損程度・ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
17階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,2,2,1,1,-,37400,-,1
16階,5,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,1,-,2,1,-,-,-,-,5,5,2,8,-,6180,-,-
15階,5,-,-,-,-,-,-,-,-,-,-,-,1,1,3,1,-,3,-,1,-,-,-,-,-,5,5,1,4,-,6700,-,-
14階,14,-,-,-,-,-,-,-,-,-,-,5,4,-,5,6,2,3,2,-,1,-,-,-,-,14,14,10,20,-,34619,-,3
13階,15,-,-,-,-,-,-,-,-,-,3,7,2,-,3,6,5,2,-,2,-,-,-,-,3,12,15,20,46,91,15680740,-,4
12階,14,-,-,-,-,-,-,-,-,5,2,3,1,-,3,8,4,-,1,1,-,-,-,-,1,13,14,20,38,15,5058639,-,2
11階,21,-,-,-,-,-,-,1,3,3,2,4,4,-,4,10,5,3,1,-,1,1,-,-,4,17,21,30,43,41,46454160,1,5
10階,36,-,-,-,-,-,-,7,1,4,1,10,3,-,10,14,10,8,1,2,1,-,-,-,3,33,36,37,73,60,15346346,-,8
9階,33,-,-,-,-,1,7,8,5,-,3,4,2,-,3,17,6,4,3,3,-,-,-,-,7,26,33,36,69,120,27666417,1,10
8階,40,-,-,-,-,7,9,5,4,2,1,5,1,-,6,18,9,5,3,3,2,-,-,-,8,32,40,29,59,60,9350301,-,12
7階,50,-,-,-,9,8,4,6,2,3,1,7,4,-,6,27,11,5,6,-,-,1,-,-,5,45,50,36,69,70,27850761,1,11
6階,61,-,-,11,10,4,12,4,5,-,-,7,1,-,7,30,21,4,3,2,1,-,-,-,9,52,62,57,100,127,64932274,1,12
5階,109,-,24,14,18,8,5,12,2,4,4,6,4,-,8,69,27,3,7,2,1,-,-,-,11,98,109,104,173,119,214984327,-,34
4階,139,28,40,18,9,11,10,2,1,3,2,4,1,1,9,78,40,10,4,4,2,1,-,-,19,120,141,106,192,208,48193858,-,29
3階,169,32,33,28,12,10,8,8,7,6,7,5,2,1,10,109,46,5,4,1,4,-,-,-,27,142,170,155,265,375,122485787,2,53
2階,185,41,39,22,16,12,13,12,4,4,2,9,-,1,10,109,60,9,4,3,-,-,-,-,27,158,189,126,210,236,96107868,6,39
1階,310,78,62,25,22,24,15,12,13,9,5,19,3,2,21,172,93,22,13,9,1,-,-,-,35,275,311,72,118,174,92142345,3,37
地下1階,87,9,10,13,9,7,6,5,2,3,-,1,2,-,20,-,49,18,9,6,4,1,-,-,6,81,87,7,12,2841,"1,845,433,742",-,5
2階,12,-,-,1,1,1,4,1,-,-,-,-,-,1,3,-,-,6,3,3,-,-,-,-,-,12,12,1,2,-,451600,-,-
3階,4,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,2,1,1,-,-,-,1,3,4,-,-,-,527832600,-,1
4階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,2,2,-,-,-,1100,-,-
5階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,82000,-,-
