消防署,クラブ数,クラブ員数,指導者数,計,消防少年団員数・学年別・小学生・小計,消防少年団員数・学年別・小学生・1年,消防少年団員数・学年別・小学生・2年,消防少年団員数・学年別・小学生・3年,消防少年団員数・学年別・小学生・4年,消防少年団員数・学年別・小学生・5年,消防少年団員数・学年別・小学生・6年,消防少年団員数・学年別・中学生・小計,消防少年団員数・学年別・中学生・1年,消防少年団員数・学年別・中学生・2年,消防少年団員数・学年別・中学生・3年,消防少年団員数・学年別・高校生・小計,消防少年団員数・学年別・高校生・1年,消防少年団員数・学年別・高校生・2年,消防少年団員数・学年別・高校生・3年,消防少年団員数・性別・男・小計,消防少年団員数・性別・男・小学生,消防少年団員数・性別・男・中学生,消防少年団員数・性別・男・高校生,消防少年団員数・性別・女・小計,消防少年団員数・性別・女・小学生,消防少年団員数・性別・女・中学生,消防少年団員数・性別・女・高校生,指導者数・指導者,指導者数・準指導者・一般,指導者数・準指導者・高校生,組織数,人員
田園調布,34,"4,817",-,56,28,-,-,8,5,8,7,9,2,7,-,19,13,4,2,19,5,5,9,37,23,4,10,5,31,-,1,274
蒲田,17,"2,044",-,25,11,-,-,2,2,3,4,9,1,6,2,5,-,1,4,7,3,3,1,18,8,6,4,12,10,-,1,457
矢口,36,"2,713",-,45,24,-,-,4,8,6,6,16,6,5,5,5,2,2,1,24,13,7,4,21,11,9,1,13,-,-,1,178
目黒,31,"3,900",-,46,26,-,-,-,11,8,7,13,9,1,3,7,3,4,-,22,12,6,4,24,14,7,3,9,6,-,1,477
世田谷,22,"2,682",-,31,18,-,2,2,4,7,3,6,2,2,2,7,1,3,3,19,12,4,3,12,6,2,4,14,12,-,1,193
玉川,13,"1,468",-,60,34,-,-,-,16,9,9,20,8,9,3,6,2,3,1,27,15,10,2,33,19,10,4,11,14,-,1,110
成城,45,5789,-,70,32,-,-,-,10,12,10,33,10,10,13,5,2,1,2,29,13,13,3,41,19,20,2,6,8,-,1,77
渋谷,3,180,-,54,41,2,8,15,9,6,1,9,1,5,3,4,1,2,1,26,21,3,2,28,20,6,2,12,7,-,1,187
四谷,4,301,-,43,27,-,1,4,9,8,5,13,4,8,1,3,1,2,-,18,10,6,2,25,17,7,1,4,2,-,1,71
牛込,28,"2,641",-,35,23,2,5,8,3,2,3,6,1,-,5,6,3,2,1,20,12,6,2,15,11,-,4,6,-,-,1,143
新宿,20,1667,-,57,41,-,8,10,11,4,8,9,2,3,4,7,2,-,5,30,22,3,5,27,19,6,2,18,6,-,1,193
中野,7,970,-,42,29,3,4,6,7,6,3,5,2,3,-,8,2,4,2,21,15,1,5,21,14,4,3,7,78,-,1,247
野方,8,1090,-,49,37,2,15,6,7,5,2,9,4,4,1,3,1,2,-,26,18,7,1,23,19,2,2,8,7,-,1,163
杉並,4,341,-,35,25,1,-,5,6,6,7,10,3,5,2,-,-,-,-,25,19,6,-,10,6,4,-,3,2,-,1,418
荻窪,11,"1,977",-,44,31,5,4,5,2,7,8,4,-,2,2,9,1,6,2,24,16,2,6,20,15,2,3,7,-,-,1,170
小石川,12,1445,-,36,17,-,-,3,4,5,5,13,1,5,7,6,4,1,1,22,11,6,5,14,6,7,1,8,8,-,1,135
本郷,10,764,-,41,35,-,-,10,9,8,8,2,-,2,-,4,1,3,-,20,16,1,3,21,19,1,1,10,6,-,1,334
豊島,11,"1,421",-,64,41,-,-,20,9,10,2,14,3,10,1,9,2,4,3,25,15,6,4,39,26,8,5,10,4,-,1,189
池袋,30,"2,750",-,58,40,-,-,9,11,6,14,11,5,2,4,7,4,3,-,24,16,6,2,34,24,5,5,10,6,-,1,174
王子,8,"1,193",-,56,31,-,-,17,4,7,3,15,4,6,5,10,6,4,-,23,9,7,7,33,22,8,3,10,13,-,1,308
赤羽,47,"5,590",-,34,11,-,-,-,4,2,5,17,5,6,6,6,3,1,2,16,6,8,2,18,5,9,4,8,-,-,1,234
滝野川,39,4054,-,58,35,-,-,6,12,6,11,14,3,5,6,9,2,4,3,17,7,7,3,41,28,7,6,24,-,-,1,126
板橋,6,683,-,44,32,-,-,2,5,17,8,10,6,3,1,2,-,1,1,18,13,5,-,26,19,5,2,15,1,-,1,292
志村,19,"3,689",-,78,48,-,-,18,5,16,9,18,5,7,6,12,8,3,1,36,19,9,8,42,29,9,4,7,17,-,1,201
練馬,14,"1,946",-,76,54,-,-,15,21,12,6,14,8,4,2,8,2,4,2,38,28,6,4,38,26,8,4,12,8,-,1,281
光が丘,35,"6,436",-,88,58,-,-,19,13,15,11,17,4,8,5,13,4,5,4,41,28,6,7,47,30,11,6,23,8,-,1,162
石神井,5,"1,288",-,54,27,-,-,4,9,1,13,13,7,3,3,14,5,3,6,28,12,9,7,26,15,4,7,9,23,-,1,70
上野,15,1711,-,61,46,1,2,17,3,13,10,10,5,2,3,5,1,1,3,21,13,6,2,40,33,4,3,25,5,-,1,234
浅草,7,861,-,62,50,12,12,5,5,10,6,10,1,7,2,2,-,1,1,33,29,2,2,29,21,8,-,18,3,-,1,56
日本堤,17,1726,-,37,18,-,-,5,5,6,2,10,2,3,5,9,3,4,2,24,10,6,8,13,8,4,1,21,2,-,1,428
荒川,6,684,-,53,41,3,5,12,7,9,5,11,3,6,2,1,-,1,-,29,21,7,1,24,20,4,-,14,3,-,1,142
尾久,4,739,-,46,26,2,2,8,8,4,2,12,4,4,4,8,7,-,1,28,13,8,7,18,13,4,1,17,5,-,1,62
千住,51,"3,640",-,33,24,1,1,4,3,7,8,9,1,4,4,-,-,-,-,23,17,6,-,10,7,3,-,11,3,-,1,173
足立,15,"1,636",-,44,23,-,-,3,10,6,4,8,3,3,2,13,3,6,4,16,8,-,8,28,15,8,5,12,7,-,1,271
西新井,12,"2,356",-,43,14,1,1,2,3,4,3,24,14,1,9,5,5,-,-,30,11,15,4,13,3,9,1,17,-,-,1,330
本所,45,4495,-,62,43,2,4,8,10,14,5,15,4,7,4,4,3,-,1,28,18,7,3,34,25,8,1,14,-,-,1,105
向島,6,642,-,45,21,1,-,1,9,8,2,12,2,4,6,12,6,2,4,28,15,7,6,17,6,5,6,12,3,-,1,211
深川,5,547,-,61,40,4,5,3,10,8,10,11,5,1,5,10,5,-,5,26,16,6,4,35,24,5,6,15,12,-,1,721
城東,11,"1,999",-,61,37,3,9,8,8,4,5,14,3,8,3,10,8,2,-,33,18,7,8,28,19,7,2,8,3,-,1,285
本田,38,6055,-,41,23,1,1,5,4,3,9,10,3,2,5,8,5,3,-,23,11,8,4,18,12,2,4,17,12,-,1,280
金町,3,388,-,87,45,2,3,5,13,15,7,31,7,15,9,11,4,2,5,44,21,19,4,43,24,12,7,21,15,-,1,271
江戸川,14,"1,967",-,53,24,-,-,5,5,8,6,15,5,5,5,14,5,1,8,33,10,11,12,20,14,4,2,16,11,-,1,106
葛西,12,"2,320",-,47,30,-,6,6,7,4,7,8,1,5,2,9,3,3,3,29,19,3,7,18,11,5,2,20,45,-,1,129
小岩,52,"5,999",-,50,18,-,-,-,-,8,10,19,4,11,4,13,2,7,4,24,11,7,6,26,7,12,7,19,-,-,1,157
受託地区,486,"66,129",-,1018,567,11,33,148,129,115,131,295,113,96,86,156,55,46,55,517,293,144,80,501,274,151,76,333,127,-,24,2955
立川,12,1816,-,75,50,3,3,10,11,10,13,18,5,4,9,7,5,1,1,46,32,11,3,29,18,7,4,9,11,-,2,228
武蔵野,4,839,-,40,25,-,-,3,5,7,10,10,3,3,4,5,4,1,-,16,12,4,-,24,13,6,5,9,-,-,1,28
三鷹,50,"6,351",-,57,32,-,-,5,12,11,4,23,13,8,2,2,-,-,2,31,20,10,1,26,12,13,1,8,-,-,1,75
府中,40,"7,532",-,41,19,1,5,-,4,3,6,16,9,2,5,6,2,3,1,22,12,7,3,19,7,9,3,5,-,-,1,258
昭島,24,"3,030",-,53,22,1,5,2,6,5,3,23,10,8,5,8,1,1,6,34,13,13,8,19,9,10,-,23,2,-,1,86
調布,-,-,-,54,33,-,-,13,5,8,7,16,8,4,4,5,1,3,1,28,17,9,2,26,16,7,3,11,7,-,1,160
小金井,10,"1,443",-,26,15,2,-,3,2,2,6,5,2,2,1,6,1,1,4,7,5,1,1,19,10,4,5,9,5,-,1,76
小平,7,"1,555",-,42,18,-,-,9,3,4,2,15,6,5,4,9,3,6,-,17,5,7,5,25,13,8,4,8,8,-,1,63
東村山,25,"4,517",-,32,15,-,-,7,4,2,2,13,7,3,3,4,3,1,-,14,7,7,-,18,8,6,4,21,18,-,1,68
国分寺,15,"2,058",-,44,32,-,6,5,8,6,7,7,4,1,2,5,2,1,2,13,11,1,1,31,21,6,4,12,7,-,1,47
狛江,16,"2,218",-,64,36,-,-,17,5,7,7,19,5,9,5,9,6,1,2,28,14,9,5,36,22,10,4,13,5,-,1,96
北多摩西部,12,"1,760",-,33,18,-,-,1,5,9,3,9,4,4,1,6,2,1,3,19,12,5,2,14,6,4,4,28,-,-,1,33
清瀬,24,"2,662",-,46,32,-,-,11,12,4,5,14,3,7,4,-,-,-,-,20,12,8,-,26,20,6,-,13,3,-,1,84
東久留米,9,"1,174",-,62,47,1,6,17,8,6,9,7,1,4,2,8,1,3,4,33,25,5,3,29,22,2,5,14,5,-,1,28
西東京,15,"3,601",-,60,29,-,-,12,5,6,6,16,7,2,7,15,5,6,4,38,20,10,8,22,9,6,7,27,2,-,1,48
八王子,42,"5,055",-,46,22,-,-,8,1,-,13,12,2,6,4,12,4,4,4,25,10,5,10,21,12,7,2,23,20,-,1,475
青梅,18,"1,767",-,16,11,-,-,1,1,4,5,5,2,1,2,-,-,-,-,7,6,1,-,9,5,4,-,12,10,-,1,324
町田,23,"2,770",-,46,21,2,4,3,3,4,5,13,4,5,4,12,4,2,6,31,14,10,7,15,7,3,5,13,9,-,1,266
日野,51,"5,533",-,40,18,-,1,6,4,3,4,11,5,1,5,11,2,3,6,16,9,1,6,24,9,10,5,7,6,-,1,192
福生,22,"2,152",-,44,20,-,-,4,6,5,5,14,5,3,6,10,3,2,5,16,9,3,4,28,11,11,6,22,-,-,1,79
多摩,31,"5,295",-,51,29,-,1,9,9,5,5,14,3,9,2,8,3,4,1,27,13,8,6,24,16,6,2,13,5,-,1,83
秋川,34,2894,-,29,12,-,-,1,5,3,3,10,4,1,5,7,3,2,2,20,9,6,5,9,3,4,2,29,4,-,1,123
奥多摩,2,107,-,17,11,1,2,1,5,1,1,5,1,4,-,1,-,-,1,9,6,3,-,8,5,2,1,4,-,-,1,35
