消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）イ（１）,（六）イ（２）,（六）イ（３）,（六）イ（４）,（六）・ロ・（１）,（六）・ロ・（２）,（六）・ロ・（３）,（六）・ロ・（４）,（六）・ロ・（５）,（六）・ハ・（１）,（六）・ハ・（２）,（六）・ハ・（３）,（六）・ハ・（４）,（六）・ハ・（５）,（六）ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五・①,十五・②,十五・③,十六・イ,十六・ロ,十六の二,十六の三,十七
芝,4751,1,1,-,5,2,11,-,314,35,66,728,1,2,7,8,3,-,1,-,-,1,-,5,-,-,2,68,3,-,1,24,88,17,1,48,-,43,25,1142,113,1415,561,1,-,8
麻布,3532,2,-,1,-,-,2,-,143,32,36,1154,1,-,1,3,6,-,-,-,-,-,-,13,-,1,9,31,5,1,1,6,80,10,1,16,-,15,13,279,91,1142,436,-,-,1
赤坂,2857,2,-,1,1,-,4,4,102,56,32,542,4,3,-,1,-,-,-,-,-,-,-,8,-,-,5,14,5,-,-,7,41,4,2,11,-,3,22,415,119,1129,309,-,-,11
高輪,2377,-,-,-,1,-,-,1,70,15,15,918,3,-,2,3,5,-,-,-,-,-,-,19,-,2,8,92,6,-,-,5,57,28,-,18,-,52,44,202,154,357,284,-,-,16
品川,4587,1,1,2,6,-,2,2,74,29,51,1918,1,-,6,10,9,-,-,-,-,1,-,28,1,5,5,62,6,-,1,5,97,103,2,26,-,57,20,518,194,725,616,-,-,3
大井,3144,7,-,-,5,-,1,1,54,16,23,1500,1,-,5,10,9,-,-,-,2,2,1,14,-,7,5,32,2,-,1,3,19,55,-,48,-,50,23,182,135,376,555,-,-,-
荏原,5421,-,1,-,5,-,1,-,83,72,11,2702,4,2,3,13,7,-,-,-,-,7,-,30,-,3,7,89,1,-,5,12,52,60,-,12,-,31,14,124,120,850,1100,-,-,-
大森,8559,7,1,-,7,-,2,-,74,68,46,4119,4,2,13,35,45,-,-,1,3,6,-,42,1,18,22,79,11,-,3,8,75,541,-,81,-,307,58,356,447,852,1215,-,-,10
田園調布,5025,-,-,-,1,-,1,-,44,66,5,2709,1,-,6,23,25,-,-,-,3,13,-,64,2,14,27,118,4,-,3,10,58,110,-,21,-,59,21,113,155,697,648,-,-,4
蒲田,6761,1,-,-,7,1,3,-,103,79,112,2726,4,13,4,12,23,-,-,-,1,6,2,24,-,25,10,58,3,-,7,13,68,350,-,69,4,180,40,269,334,898,1308,-,-,4
矢口,4820,-,1,-,1,-,1,-,72,76,30,2031,1,7,5,15,25,-,-,-,-,4,-,26,-,23,10,33,2,-,3,4,68,246,-,39,-,60,8,199,134,701,994,-,-,1
目黒,9650,1,-,-,8,-,3,-,143,84,23,5002,2,9,14,25,37,-,-,-,3,9,-,74,1,22,17,183,12,-,9,7,57,67,4,26,-,51,40,298,281,1747,1371,-,-,20
世田谷,11387,2,2,1,12,-,4,-,154,128,29,6352,6,1,18,43,43,-,-,2,1,13,-,118,7,19,35,283,7,-,13,15,122,18,1,27,-,60,42,223,254,2043,1278,-,-,11
玉川,7605,7,-,-,2,-,2,1,60,99,11,3613,3,2,10,25,57,-,-,-,-,20,-,65,1,14,22,172,6,-,3,5,90,42,1,20,-,62,57,178,300,1178,1470,-,-,7
成城,5553,3,-,-,4,-,-,-,49,99,5,2823,3,12,7,18,104,-,-,-,6,9,-,65,5,34,22,159,7,-,2,1,69,24,8,17,-,81,27,114,249,760,751,-,-,16
渋谷,11858,10,2,-,7,1,6,-,325,280,178,3833,15,21,4,9,16,-,-,-,1,5,1,54,1,10,15,236,8,-,4,23,120,15,1,29,-,33,30,1121,332,3589,1511,1,-,11
四谷,2968,6,-,-,2,-,3,1,154,21,50,725,7,2,1,9,4,-,-,-,-,2,-,6,-,2,-,32,2,2,-,9,71,2,1,14,-,27,10,423,106,796,466,-,-,12
牛込,4128,-,-,1,1,-,2,7,124,28,42,1722,14,3,-,10,8,-,-,-,-,2,-,9,-,4,1,112,5,-,3,9,78,54,-,14,-,33,47,333,100,744,612,-,-,6
新宿,11173,4,2,1,15,5,26,-,223,121,322,4913,-,6,6,23,14,-,-,-,3,6,1,24,1,18,10,242,10,6,5,18,92,68,-,23,-,59,33,591,302,2205,1765,4,-,6
中野,6509,3,-,1,5,-,-,-,92,61,51,3555,2,1,5,21,16,-,-,-,1,5,-,30,-,9,11,92,2,1,10,11,64,40,-,17,-,19,22,220,136,825,1181,-,-,-
野方,6658,-,-,-,3,-,-,-,40,46,26,3514,-,-,6,25,38,-,1,-,-,8,1,45,1,18,13,62,4,-,5,7,71,19,-,10,-,29,23,97,116,620,1798,-,-,12
杉並,12015,1,4,-,11,-,3,-,159,114,22,5909,1,1,14,39,49,-,-,-,2,15,1,80,1,25,28,193,7,-,9,5,165,58,2,27,-,83,46,274,263,1598,2795,-,-,11
荻窪,7931,-,2,-,5,-,1,-,83,89,7,3713,3,1,9,30,59,-,-,-,8,17,-,70,3,30,17,136,6,-,2,5,76,47,-,20,-,47,21,193,163,1045,2012,-,-,11
小石川,4100,-,1,-,-,-,-,-,26,15,9,1942,2,3,-,6,12,-,-,-,2,1,-,30,-,4,17,191,11,-,3,9,83,30,-,14,-,42,15,298,100,464,758,-,-,12
本郷,4101,-,-,1,-,-,-,1,75,21,35,1549,3,5,18,4,7,-,-,-,-,1,-,20,-,2,4,223,7,1,1,9,59,12,-,29,-,22,19,463,116,677,700,-,-,17
豊島,5714,1,-,2,11,1,8,1,90,61,136,2263,-,2,6,16,12,-,-,-,-,1,-,30,-,12,7,178,3,6,2,10,79,17,1,41,-,46,27,421,172,1216,830,1,-,4
池袋,6250,1,-,2,7,-,4,-,90,41,188,3146,1,1,13,13,24,-,-,-,3,2,-,36,-,22,9,107,4,7,2,8,33,43,1,21,-,33,23,217,120,1012,1009,1,-,6
王子,3616,1,-,-,5,-,2,-,44,45,16,1619,3,10,2,11,15,-,-,-,-,6,-,23,3,13,10,80,3,-,3,8,21,56,-,44,-,67,40,137,147,573,609,-,-,-
赤羽,3615,2,-,1,2,-,-,1,67,39,26,1660,4,7,6,7,17,-,-,-,2,3,-,27,1,9,14,56,1,-,3,5,70,126,-,34,-,88,42,103,175,484,531,-,-,2
滝野川,3691,1,-,-,2,-,-,-,17,21,31,1685,-,2,4,12,7,-,-,-,2,1,-,16,-,8,10,70,5,1,4,3,34,63,-,14,-,50,15,150,107,402,943,-,-,11
板橋,7019,-,-,-,14,-,1,-,65,82,23,3660,6,-,29,25,28,-,-,-,1,8,-,48,1,15,17,110,5,-,8,6,35,97,-,32,-,54,23,167,170,1001,1288,-,-,-
志村,10982,2,-,1,14,-,2,-,89,185,8,5136,14,18,16,20,66,-,-,-,4,15,-,64,-,36,32,159,8,-,12,12,70,714,-,125,-,337,59,335,430,1092,1903,-,-,4
練馬,6703,1,1,1,8,-,1,-,78,97,9,3750,-,19,6,4,56,-,-,1,1,10,1,57,1,20,13,113,3,-,4,10,52,45,1,30,-,57,30,139,154,863,1066,-,-,1
光が丘,3903,-,1,-,4,-,1,-,42,98,-,1781,1,16,2,6,32,-,-,-,1,15,-,15,1,13,28,66,2,-,2,5,28,78,-,58,-,88,40,109,138,425,806,-,-,1
石神井,6932,-,-,-,4,-,4,-,79,155,3,3122,12,15,7,32,82,-,-,-,19,35,4,75,6,50,41,140,10,-,4,4,42,47,16,31,-,57,38,142,256,825,1574,-,-,1
上野,4859,3,4,7,12,-,6,1,206,172,243,1186,-,-,5,3,3,-,-,-,-,2,1,14,-,4,3,41,27,2,7,14,145,26,-,41,-,42,20,632,139,1041,775,-,-,32
浅草,3362,-,-,-,-,-,-,1,70,58,123,887,-,2,-,6,3,-,-,-,-,-,-,10,-,8,2,21,-,-,2,8,74,26,-,39,-,51,10,471,69,630,791,-,-,-
日本堤,2650,4,1,2,11,-,2,3,112,50,243,716,1,5,2,2,9,3,-,-,-,2,5,5,-,4,3,7,-,125,4,3,57,23,-,20,-,55,24,80,61,575,425,1,-,5
荒川,4326,2,-,-,4,-,1,-,25,48,90,1636,1,8,9,3,13,-,-,-,1,6,-,22,-,10,4,71,3,-,9,13,83,161,-,38,-,156,53,217,181,583,870,-,-,5
尾久,2497,-,-,-,5,-,-,-,11,27,11,985,2,3,9,12,14,-,-,-,2,3,-,14,1,13,3,36,2,-,7,2,16,145,-,12,-,56,19,76,73,334,604,-,-,-
千住,3315,-,-,3,2,-,3,-,68,33,21,1284,5,-,5,15,11,-,-,-,-,3,-,30,-,9,3,55,-,-,7,5,46,198,-,38,-,195,65,147,192,389,483,-,-,-
足立,9951,-,-,2,13,-,6,-,128,290,27,5084,9,7,22,55,77,-,-,-,8,22,-,67,2,53,48,121,2,-,8,8,62,283,-,65,-,394,57,310,336,1071,1314,-,-,-
西新井,6147,1,-,-,9,-,1,-,93,185,16,2484,7,2,20,37,43,-,-,-,1,21,1,46,2,25,38,90,1,-,7,8,67,441,-,54,-,405,29,198,241,565,1003,-,-,6
本所,6339,2,-,3,8,-,2,16,70,42,185,2386,1,2,8,9,11,-,-,-,1,3,1,23,1,9,4,58,5,-,4,8,54,152,-,46,-,130,21,381,146,1097,1449,-,-,1
向島,3294,1,-,-,1,-,-,-,24,53,105,1276,3,1,5,16,24,-,-,-,3,6,2,23,-,14,7,56,2,-,7,4,55,314,-,43,-,111,21,109,155,353,499,-,-,1
深川,7388,16,1,1,10,-,1,4,104,104,52,2344,3,7,5,1,13,-,-,-,-,2,3,41,3,12,16,114,11,-,5,29,66,271,3,156,-,421,46,520,533,1033,1435,-,-,2
城東,5374,3,-,-,7,-,2,1,66,68,38,1801,8,3,3,16,18,-,-,-,4,4,-,36,1,19,20,91,4,-,11,7,31,291,2,116,8,413,65,390,325,794,707,-,-,1
本田,8532,1,-,2,18,-,2,3,74,172,128,3669,4,1,12,53,47,-,-,1,5,27,-,69,3,59,23,117,3,-,17,6,57,452,-,61,-,232,64,211,280,1041,1616,-,-,2
金町,4671,-,-,3,11,-,2,5,86,106,13,2365,4,13,17,19,38,-,-,-,3,10,-,49,3,21,18,77,2,3,6,3,60,101,-,24,-,74,64,97,169,601,602,-,-,2
江戸川,5050,1,2,1,8,-,-,3,44,129,18,2217,1,4,11,19,23,-,-,-,4,11,-,39,5,23,31,85,3,-,11,-,49,298,-,42,-,214,18,131,160,633,804,-,-,8
葛西,5228,3,-,-,7,-,1,-,44,101,35,3040,1,3,8,8,37,-,-,-,1,4,-,38,1,17,16,79,3,-,8,2,20,87,-,63,-,137,34,109,178,603,539,-,-,1
小岩,5612,-,-,-,9,-,1,1,56,115,30,2758,2,-,8,48,39,-,-,-,3,8,-,45,3,36,31,84,1,-,12,2,51,99,-,24,-,124,28,141,152,787,913,-,-,1
受託地区,111295,58,26,14,126,4,34,27,2196,3236,723,40499,109,137,292,618,851,9,2,29,293,396,6,1290,87,835,553,3592,178,2,63,126,1244,4211,18,815,10,3387,1069,3386,7469,11436,21609,-,-,230
立川,7718,12,2,-,9,-,3,1,166,198,35,2989,3,8,10,50,62,-,-,4,21,18,1,76,6,41,37,249,5,-,4,14,84,162,-,75,6,234,173,332,499,1016,1093,-,-,20
武蔵野,4881,1,3,2,3,2,3,-,105,110,9,1842,2,1,8,26,25,-,-,-,5,11,-,47,-,22,15,188,11,1,5,1,33,21,-,17,-,24,37,119,226,914,1041,-,-,1
三鷹,5819,-,2,-,2,-,-,-,62,134,3,2191,1,-,17,19,43,-,-,1,6,17,-,61,1,28,37,122,9,-,2,2,51,90,1,38,1,114,41,166,370,460,1719,-,-,8
府中,6800,12,2,1,4,-,-,-,73,138,19,2729,3,7,14,27,49,-,-,1,8,18,-,72,5,31,39,218,13,1,3,11,58,214,-,39,-,206,83,252,433,633,1377,-,-,7
昭島,2995,3,2,-,8,-,1,-,63,102,11,1080,3,1,9,25,18,2,-,-,1,13,1,33,2,25,19,71,2,-,4,4,19,183,-,30,-,117,20,119,241,241,515,-,-,7
調布,6806,8,2,1,5,-,-,-,93,116,5,2844,6,2,7,23,41,-,-,-,11,14,-,75,5,44,22,198,9,-,4,9,78,87,15,35,3,178,30,141,491,774,1423,-,-,7
小金井,3227,-,-,-,2,-,1,-,46,72,1,1166,2,-,8,14,17,-,-,-,5,7,-,46,2,22,12,170,32,-,-,1,33,14,-,5,-,36,10,52,151,307,983,-,-,10
小平,5062,-,-,-,6,-,-,1,93,149,5,1960,4,3,9,38,47,2,-,1,15,14,-,65,4,41,32,248,9,-,2,5,30,91,-,34,-,158,15,120,380,453,1023,-,-,5
東村山,3735,-,1,-,6,-,2,-,71,97,20,1251,15,4,11,23,27,1,-,1,6,11,1,73,-,32,24,91,4,-,-,9,42,138,-,22,-,106,47,108,261,427,801,-,-,2
国分寺,3531,-,-,-,-,-,-,-,59,83,5,1276,2,2,2,19,18,1,-,-,8,6,-,39,3,28,10,63,3,-,1,1,30,19,-,16,-,76,48,82,236,421,966,-,-,8
狛江,2605,-,-,-,1,-,-,-,22,34,5,1087,4,-,3,10,17,-,-,-,2,5,-,21,-,13,4,41,-,-,3,-,24,35,-,15,-,38,22,35,104,228,823,-,-,9
北多摩西部,4041,-,1,1,8,-,4,1,108,194,23,1001,1,1,16,40,32,-,-,2,10,14,-,50,8,40,21,95,7,-,4,4,29,354,-,26,-,247,18,156,319,343,854,-,-,9
清瀬,2309,-,-,-,3,-,-,-,47,53,-,765,4,2,23,12,14,1,-,-,10,5,-,34,5,16,20,67,4,-,-,-,33,45,-,12,-,85,31,47,172,237,557,-,-,5
東久留米,3017,-,1,-,3,-,1,-,43,113,7,1016,-,-,6,18,21,-,-,-,10,10,-,28,5,25,21,93,2,-,2,-,45,126,-,24,-,147,23,101,240,256,628,-,-,2
西東京,4279,1,1,-,6,-,-,-,56,109,8,1806,2,-,7,27,37,-,-,-,5,16,-,51,2,32,30,123,1,-,3,2,41,56,-,69,-,57,21,82,175,596,853,-,-,4
八王子,13720,8,1,5,21,1,3,20,335,476,102,5345,26,32,57,76,123,2,-,7,65,83,2,135,10,130,60,661,9,-,7,13,196,696,-,138,-,368,118,480,693,1405,1797,-,-,14
青梅,4137,1,-,1,7,-,1,-,115,164,50,987,7,3,26,41,42,-,-,2,6,24,-,82,7,52,13,86,13,-,-,16,79,401,1,31,-,258,125,149,478,305,526,-,-,38
町田,9444,10,2,1,9,-,7,-,233,379,30,3548,5,21,28,63,96,-,2,1,31,56,-,128,11,86,63,382,10,-,11,6,130,216,1,61,-,200,58,259,607,1024,1649,-,-,20
日野,5015,-,1,-,4,-,1,-,60,90,3,1933,2,5,12,31,29,-,-,7,31,13,-,51,2,42,23,124,9,-,-,11,69,194,-,39,-,82,30,149,339,408,1213,-,-,8
福生,5216,1,3,-,12,-,5,3,194,237,16,1460,7,32,1,11,29,-,-,-,10,14,1,54,2,30,24,88,8,-,-,4,40,679,-,31,-,307,55,216,373,461,794,-,-,14
多摩,3491,1,-,1,2,1,1,-,36,60,3,1786,4,-,14,11,14,-,-,2,1,9,-,29,2,15,12,110,4,-,2,1,27,32,-,41,-,49,14,91,177,327,610,-,-,2
秋川,3003,-,2,1,5,-,1,1,94,125,177,432,6,13,4,13,44,-,-,-,24,17,-,38,5,37,15,97,10,-,4,7,68,333,-,16,-,290,40,122,410,175,355,-,-,22
奥多摩,444,-,-,-,-,-,-,-,22,3,186,5,-,-,-,1,6,-,-,-,2,1,-,2,-,3,-,7,4,-,2,5,5,25,-,1,-,10,10,8,94,25,9,-,-,8
