消防署,消火設備・屋内消火栓設備・対象物数,消火設備・屋内消火栓設備・設備数,消火設備・スプリンクラー設備・対象物数,消火設備・スプリンクラー設備・設備数,消火設備・水噴霧消火設備・対象物数,消火設備・水噴霧消火設備・設備数,消火設備・泡消火設備・対象物数,消火設備・泡消火設備・設備数,消火設備・二酸化炭素消火設備・対象物数,消火設備・二酸化炭素消火設備・設備数,消火設備・ハロゲン化物消火設備・対象物数,消火設備・ハロゲン化物消火設備・設備数,消火設備・粉末消火設備・対象物数,消火設備・粉末消火設備・設備数,消火設備・屋外消火栓設備・対象物数,消火設備・屋外消火栓設備・設備数,消火設備・動力消防ポンプ設備・対象物数,消火設備・動力消防ポンプ設備・設備数
赤坂,582,560,292,291,7,10,135,130,96,100,148,154,142,131,5,4,3,2
高輪,594,481,283,238,6,2,98,98,95,149,127,149,141,203,17,19,16,5
品川,881,734,402,306,3,3,143,139,134,171,195,238,227,263,4,4,2,4
大井,480,401,193,143,-,-,44,52,29,27,97,114,189,229,41,30,-,-
荏原,280,233,129,105,1,-,23,23,14,14,45,45,87,113,4,4,-,-
大森,892,770,217,179,3,2,70,67,100,88,97,101,347,627,84,87,18,12
田園調布,527,352,99,80,-,-,42,40,11,9,59,68,212,264,-,-,2,2
蒲田,645,481,188,158,3,2,58,59,55,65,78,101,278,376,54,61,5,5
矢口,379,327,140,122,2,1,18,19,22,21,33,45,151,299,6,6,1,1
目黒,916,838,210,189,1,1,106,100,66,64,148,189,273,296,4,4,-,-
世田谷,1082,788,263,225,-,-,108,106,67,58,112,154,317,378,13,12,12,2
玉川,690,532,150,150,-,-,80,98,23,25,103,168,292,390,7,8,1,1
成城,642,441,195,186,1,1,64,65,16,19,58,79,271,319,24,16,8,1
渋谷,1855,1691,759,681,9,8,303,284,255,281,456,627,475,519,9,8,-,-
四谷,485,469,219,207,5,4,44,44,66,66,130,128,97,98,6,6,-,-
牛込,628,540,262,251,2,3,57,59,67,67,100,91,126,119,7,6,-,-
新宿,1202,1169,598,574,3,-,162,163,121,147,241,429,308,347,5,4,2,2
中野,523,394,186,145,-,-,45,41,28,32,58,68,130,134,5,5,-,-
野方,252,208,78,71,-,-,22,22,11,11,30,33,88,119,4,6,1,1
杉並,683,579,222,182,4,2,63,59,33,30,67,88,225,292,15,14,-,-
荻窪,489,340,161,130,-,-,40,34,27,26,49,63,150,227,4,2,-,-
小石川,672,630,302,262,-,-,81,76,63,74,144,165,118,126,11,9,3,3
本郷,664,580,350,284,2,2,37,37,68,70,129,135,134,130,9,5,11,2
豊島,780,694,351,291,1,-,55,49,81,83,189,215,187,188,4,8,-,-
池袋,430,384,187,154,-,-,27,26,25,31,62,80,135,146,5,4,1,1
王子,331,294,129,95,-,-,20,18,24,21,47,64,119,191,11,7,6,4
赤羽,442,290,155,115,4,3,25,25,33,46,35,46,157,246,10,11,5,5
滝野川,268,243,127,110,-,-,21,19,21,20,46,64,67,94,2,1,7,7
板橋,521,408,205,164,-,-,35,33,43,37,72,66,183,152,12,9,12,4
志村,1235,812,318,231,4,1,66,65,41,49,96,109,474,464,36,21,18,17
練馬,620,375,170,136,1,-,39,45,21,22,59,71,230,334,15,16,3,2
光が丘,381,288,129,58,1,-,37,36,14,14,26,25,178,294,3,3,4,3
石神井,542,271,195,155,-,-,28,24,11,10,27,32,178,226,6,3,5,-
上野,648,588,472,329,2,2,44,38,89,96,160,185,140,159,18,18,3,4
浅草,383,315,270,269,1,1,19,19,47,45,85,83,92,89,-,-,1,1
日本堤,246,205,195,129,-,-,16,16,19,18,37,45,60,61,2,2,4,4
荒川,439,353,219,152,-,-,29,28,32,34,40,39,132,147,5,5,1,1
尾久,181,144,75,61,-,-,2,2,11,11,13,12,67,67,1,1,2,1
千住,373,407,165,113,4,-,25,59,19,20,26,53,132,456,20,18,13,12
足立,1012,523,314,219,1,-,34,31,24,25,50,69,370,576,13,12,16,15
西新井,454,301,156,146,2,1,23,22,12,12,15,13,184,241,26,26,47,30
本所,696,552,366,264,4,2,67,65,63,82,94,106,161,164,6,6,4,2
向島,325,288,137,121,-,-,18,20,18,16,24,28,100,148,19,24,4,4
深川,"1,167",1572,428,735,8,4,163,163,120,201,184,343,530,"1,595",94,97,21,18
城東,1070,812,456,224,6,2,72,78,68,82,106,139,452,886,70,58,47,40
本田,470,428,158,148,7,5,22,23,20,18,38,23,297,290,6,5,11,11
金町,346,210,114,112,-,-,11,11,18,27,23,22,124,181,6,5,5,5
江戸川,505,408,135,96,1,1,30,28,17,23,23,25,247,253,22,21,14,13
葛西,752,650,209,142,4,-,35,31,46,48,76,98,336,579,30,14,17,11
小岩,348,281,128,116,-,-,16,15,14,12,31,37,159,170,20,9,8,6
受託地区,"11,108",7712,3431,2962,34,45,657,628,444,497,938,1184,4247,5453,548,458,644,327
立川,947,720,264,264,2,2,57,54,73,78,123,132,355,394,27,27,103,53
武蔵野,523,412,148,146,2,-,43,40,28,35,69,78,163,189,6,5,-,-
三鷹,378,338,138,122,-,-,26,24,18,20,41,47,207,305,19,14,8,3
府中,808,466,240,174,6,1,70,62,45,58,78,138,325,436,89,65,36,27
昭島,336,267,97,66,1,1,16,16,11,10,24,23,141,336,30,29,56,23
調布,594,438,167,136,1,3,44,42,27,46,42,55,267,413,21,13,11,9
小金井,255,201,66,62,1,1,12,12,5,4,22,24,92,122,4,4,2,-
小平,548,354,133,117,5,15,11,11,17,20,36,47,150,253,26,17,7,7
東村山,379,275,123,97,2,5,11,10,11,18,20,25,147,210,20,16,22,19
国分寺,227,169,79,69,-,-,15,15,8,8,27,23,96,75,5,4,3,3
狛江,164,88,41,37,1,-,11,13,2,2,8,16,65,84,5,3,10,3
北多摩西部,315,243,96,79,2,1,12,12,5,5,18,18,115,121,22,21,19,19
清瀬,243,132,72,50,-,-,4,4,9,9,17,22,38,23,6,7,4,2
東久留米,237,200,75,70,-,-,13,13,11,13,11,12,82,93,18,20,10,10
西東京,424,226,125,99,-,-,15,15,12,13,22,23,220,310,4,2,9,9
八王子,1931,1168,587,527,1,-,102,97,64,64,168,249,652,598,98,70,232,35
青梅,364,272,128,111,2,2,14,12,7,5,40,30,131,234,33,26,27,24
町田,907,654,327,296,3,3,66,64,34,37,58,70,390,522,31,32,10,8
日野,458,268,136,117,-,-,17,16,21,18,36,40,156,168,16,13,7,6
福生,363,332,96,104,3,10,25,23,11,10,21,29,124,179,40,44,50,50
多摩,554,302,181,115,1,-,68,68,21,22,49,75,282,311,10,8,1,1
秋川,139,174,103,95,-,-,5,5,4,2,6,8,45,72,18,18,14,13
奥多摩,14,13,9,9,1,1,-,-,-,-,2,-,4,5,-,-,3,3
