業態,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積(㎡)",損害額（円）・建物(収容物含む),損害額（円）・建物以外,死者,負傷者
医療・福祉_医療業,32,32,-,-,1,31,-,-,-,-,-,1,"5,045,665",-,-,1
医療・福祉_社会保険・社会福祉・介護事業,19,19,-,-,2,17,-,-,-,-,-,-,"1,114,350",-,-,2
教育・学習支援業,45,42,-,-,5,37,-,1,-,-,2,48,"27,611,623","70,200",-,4
教育・学習支援業_学校教育,29,27,-,-,4,23,-,1,-,-,1,48,"25,529,800","70,100",-,3
教育・学習支援業_その他の教育・学習支援業,16,15,-,-,1,14,-,-,-,-,1,-,"2,081,823",100,-,1
複合サービス事業,2,2,-,-,-,2,-,-,-,-,-,-,1600,-,-,-
複合サービス事業_郵便局（別掲を除く）,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-,-
複合サービス事業_協同組合（他に分類されないもの）,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-,-
サービス業（他に分類されないもの）,196,125,1,2,17,105,-,37,-,-,34,697,"194,436,203","2,346,850",-,8
サービス業（他に分類されないもの）_専門サービス業（他に分類されないもの）,11,11,-,-,2,9,-,-,-,-,-,17,"3,688,300",-,-,-
サービス業（他に分類されないもの）_学術・開発研究機関,3,3,-,-,-,3,-,-,-,-,-,-,"315,600",-,-,-
サービス業（他に分類されないもの）_洗濯・理容・美容・浴場業,20,20,-,-,3,17,-,-,-,-,-,11,9139410,-,-,2
サービス業（他に分類されないもの）_その他の生活関連サービス業,8,3,-,-,-,3,-,-,-,-,5,-,"145,520","1,600",-,-
サービス業（他に分類されないもの）_娯楽業,56,31,1,-,2,28,-,-,-,-,25,32,"7,408,800","199,050",-,-
サービス業（他に分類されないもの）_廃棄物処理業,63,26,-,2,6,18,-,37,-,-,-,610,"164,307,365","2,146,000",-,2
サービス業（他に分類されないもの）_自動車整備業,6,6,-,-,1,5,-,-,-,-,-,-,"2,322,900",-,-,1
サービス業（他に分類されないもの）_機械等修理業（別掲を除く）,7,7,-,-,-,7,-,-,-,-,-,-,"140,320",-,-,2
サービス業（他に分類されないもの）_物品賃貸業,2,2,-,-,-,2,-,-,-,-,-,-,"20,350",-,-,-
サービス業（他に分類されないもの）_広告業,1,1,-,-,-,1,-,-,-,-,-,-,"1,358",-,-,-
サービス業（他に分類されないもの）_その他の事業サービス業,13,12,-,-,3,9,-,-,-,-,1,26,"6,891,280",200,-,1
サービス業（他に分類されないもの）_政治・経済・文化団体,1,1,-,-,-,1,-,-,-,-,-,-,"5,000",-,-,-
サービス業（他に分類されないもの）_宗教,3,1,-,-,-,1,-,-,-,-,2,1,20000,-,-,-
サービス業（他に分類されないもの）_その他のサービス業,2,1,-,-,-,1,-,-,-,-,1,-,"30,000",-,-,-
公務（他に分類されないもの）,27,17,-,-,-,17,-,1,-,-,9,-,"7,355,298",125930,-,-
公務（他に分類されないもの）_国家公務,2,2,-,-,-,2,-,-,-,-,-,-,"250,300",-,-,-
公務（他に分類されないもの）_地方公務,25,15,-,-,-,15,-,1,-,-,9,-,"7,104,998",125930,-,-
分類不能の産業,1,1,-,-,-,1,-,-,-,-,-,-,"2,060",-,-,-
分類不能の産業_分類不能の産業,1,1,-,-,-,1,-,-,-,-,-,-,2060,-,-,-
業態分類が適用されないもの,2562,1769,54,60,297,1358,1,133,-,-,659,10226,2114764183,62550691,81,578
