消防署,木造・防火造・準耐火造・計画件数,木造・防火造・準耐火造・棟数,"木造・防火造・準耐火造・建築面積(㎡)","木造・防火造・準耐火造・延べ面積（㎡）",耐火造・計画件数,耐火造・棟数,"耐火造・建築面積(㎡)","耐火造・延べ面積（㎡）","危険物等関係施設・計画件数","危険物等関係施設・棟数","放射性物質関係施設・計画件数","放射性物質関係施設・棟数",その他の対象物計画件数
本田,-,-,-,-,34,33,72682.08,291030.57,-,-,-,-,-
金町,-,-,-,-,26,28,87780.96,395663.02,1,1,1,1,4
江戸川,1,1,244,304,30,30,45805.22,188940.82,-,2,-,-,-
葛西,-,-,-,-,29,29,112164.95,485457.95,-,-,-,-,-
小岩,-,-,-,-,20,24,63168.2,191917.16,-,-,-,-,1
受託地区,20,24,12945.91,18011.24,814,866,2712552.46,10574848.63,23,24,12,15,61
立川,-,-,-,-,56,54,209670.19,1079365.14,-,-,-,-,4
武蔵野,-,-,-,-,38,38,96314.67,638552.68,1,1,-,-,4
三鷹,-,-,-,-,18,20,44707.53,205909.88,-,-,-,-,-
府中,-,-,-,-,49,46,194840.86,906210.8,-,-,1,2,5
昭島,-,-,-,-,27,28,123777.27,429503.81,-,-,-,-,-
調布,1,2,1192,1654,43,42,152949.97,636384.3,1,1,-,-,1
小金井,2,2,1683,2911,20,17,37297.11,207552.36,2,2,1,1,-
小平,1,1,1399,1399,27,32,78944.03,256220,2,3,1,1,1
東村山,5,5,2691.91,4113.24,35,47,91862.1,291750.85,1,1,2,2,1
国分寺,1,1,291,291,23,23,55832.39,290953.98,1,1,-,-,1
狛江,-,-,-,-,10,8,23388.42,85786.21,-,-,1,1,1
北多摩西部,2,2,1109,1839,22,21,93853.33,283644.95,-,-,-,-,4
清瀬,-,-,-,-,20,24,67710.98,192717.12,-,-,-,-,-
東久留米,-,-,-,-,14,18,73010.32,231567.95,-,-,-,-,-
西東京,-,-,-,-,32,32,72367.27,337098.43,3,3,-,-,-
八王子,3,6,1561,2147,100,114,334231.78,1339506.29,3,3,4,5,2
青梅,-,-,-,-,40,42,83638.19,267475.11,1,1,-,-,3
町田,2,2,473,657,79,84,201052.38,751169.03,3,3,1,1,18
日野,1,1,320,320,25,36,157776.13,366243.96,-,-,1,2,1
福生,-,-,-,-,39,39,144128.13,399833.04,4,4,-,-,1
多摩,-,-,-,-,42,47,205448.64,919538.02,-,-,-,-,-
秋川,2,2,2226,2680,50,49,160059.96,437560.12,-,-,-,-,8
奥多摩,-,-,-,-,5,5,9690.81,20304.6,1,1,-,-,6
