消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十七,十八,十九,二十,その他,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,少量危険物等・運搬,少量危険物等・貯蔵取扱所少量危険物,少量危険物等・貯蔵取扱所指定可燃物,,,,
赤坂,110,-,-,-,1,-,-,-,1,1,1,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,7,3,-,-,-,-,-,13,9,5,-,-,1,-,-,-,-,2,7,-,-,-
高輪,163,-,-,-,-,-,-,-,1,-,-,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,6,-,-,2,-,1,28,7,18,-,-,-,-,-,-,-,6,10,-,-,-
品川,274,-,-,-,1,-,-,-,-,2,-,165,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,8,-,1,-,3,14,8,38,-,-,-,-,-,-,-,14,17,-,-,-
大井,16,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,6,-,-,2,-,3,-,-,-,-,-,-,-,-,1,-,-,-
荏原,76,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,9,-,-,-,-,-,-,-,-,1,-,-,-
大森,400,-,-,-,-,-,-,-,1,1,-,263,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,8,-,-,2,-,5,41,1,45,-,-,-,-,-,-,-,6,13,-,-,-
田園調布,147,-,-,-,-,-,-,-,-,-,-,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,2,-,1,-,-,3,1,17,-,-,-,-,-,-,-,-,-,-,-,-
蒲田,277,-,-,-,-,-,-,-,-,1,1,139,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,11,-,-,-,6,21,7,-,2,4,4,11,2,28,-,-,3,-,-,-,-,6,28,-,-,-
矢口,128,-,-,-,-,-,-,-,-,7,-,62,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,16,2,-,1,-,4,18,1,12,-,-,-,-,-,-,-,-,4,-,-,-
目黒,259,-,-,-,-,-,-,-,-,-,-,216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,11,-,27,-,-,-,-,-,-,-,1,2,-,-,-
世田谷,68,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,3,-,-,-,-,-,-,-,-,-,-,-,-
玉川,280,-,-,-,-,-,-,-,-,-,-,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,9,-,-,1,-,-,48,3,71,-,-,-,-,-,-,-,1,1,-,-,-
成城,181,-,-,-,-,-,-,-,-,-,-,122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,2,18,1,26,-,-,4,-,-,-,-,-,3,-,-,-
渋谷,24,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,5,4,4,-,-,-,-,-,-,-,3,2,-,-,-
四谷,17,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,2,5,-,-,-
牛込,115,-,-,-,-,-,-,-,2,1,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,1,2,2,1,-,1,-,-,9,9,12,-,-,-,-,-,-,-,2,2,-,-,-
新宿,180,-,-,-,-,-,-,-,-,-,-,145,-,-,1,-,-,-,-,-,-,1,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,11,1,13,-,-,-,-,-,-,-,1,2,-,-,-
中野,193,-,-,-,-,-,-,-,-,-,-,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,2,-,2,-,-,7,-,23,-,-,-,-,-,-,-,1,4,-,-,-
野方,397,-,-,-,-,-,-,-,-,-,-,296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,2,3,89,-,-,-,-,-,-,-,1,3,-,-,-
杉並,550,-,-,-,-,-,-,-,-,-,-,382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,9,-,-,1,-,-,10,1,136,-,-,-,2,-,-,-,-,6,-,-,-
荻窪,511,-,-,-,-,-,-,-,1,-,-,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,27,1,-,-,-,4,28,1,208,-,-,-,-,-,-,-,4,3,-,-,-
小石川,169,-,-,-,-,-,-,-,-,-,-,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,7,2,21,-,-,-,-,-,-,-,3,-,-,-,-
本郷,96,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,6,1,27,-,-,-,-,-,-,-,1,8,-,-,-
豊島,207,-,-,-,-,-,-,-,-,-,2,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,1,5,8,24,-,-,-,-,-,-,-,-,2,-,-,-
池袋,295,-,-,-,-,-,-,-,-,-,1,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,4,1,70,-,-,-,-,-,-,-,-,7,-,-,-
王子,144,-,-,-,-,-,-,-,-,-,-,121,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,16,-,-,-,-,-,-,-,1,2,-,-,-
赤羽,213,-,-,-,-,-,-,-,-,-,-,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,3,-,1,12,-,30,-,-,2,-,-,-,1,2,24,-,-,-
滝野川,260,-,-,-,-,-,-,-,2,1,1,143,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,3,4,1,-,2,-,1,15,9,49,-,-,6,-,-,-,-,12,8,-,-,-
板橋,279,-,-,-,-,-,-,-,-,-,-,241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,17,-,-,-,-,-,-,-,10,3,-,-,-
志村,443,1,-,-,-,-,-,-,-,1,-,237,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,21,-,-,-,-,4,6,-,6,-,4,40,1,90,-,-,-,-,-,-,-,6,21,-,-,-
練馬,259,-,-,-,-,-,-,-,7,6,-,159,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,6,-,-,-,-,3,2,-,2,-,-,16,5,39,-,-,-,-,-,-,-,2,10,-,-,-
光が丘,164,-,-,-,-,-,-,-,1,1,-,109,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,4,-,-,4,1,38,-,-,-,-,-,-,-,-,3,-,-,-
石神井,464,-,-,-,-,-,-,-,-,1,1,268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,191,-,-,-,-,-,-,-,-,-,-,-,-
上野,138,-,1,-,-,-,-,-,-,-,1,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20,1,-,-,-,1,3,4,5,-,-,3,-,-,-,-,3,4,-,-,-
浅草,17,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3,1,6,-,-,-,-,-,-,-,-,3,-,-,-
日本堤,86,-,-,-,-,-,-,-,1,-,3,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,-,6,1,10,-,-,-,-,-,-,-,-,37,-,-,-
荒川,308,-,-,-,-,-,-,-,-,-,-,163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,3,-,1,-,2,20,6,89,-,-,-,-,-,-,-,-,6,-,-,-
尾久,203,-,-,-,-,-,-,-,-,1,-,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,10,-,-,-,1,4,11,61,-,-,-,-,-,-,-,4,18,-,-,-
千住,245,-,-,-,-,-,-,-,-,-,-,146,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,17,-,-,-,-,5,3,-,2,-,2,26,1,34,-,-,-,-,-,-,-,4,3,-,-,-
足立,238,-,-,-,-,-,-,-,-,1,-,188,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,1,-,2,1,-,1,-,2,22,1,8,-,-,-,-,-,-,-,-,7,-,-,-
西新井,343,-,-,-,-,-,-,-,-,-,-,179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,2,-,6,33,-,100,-,-,-,-,-,-,-,1,13,-,-,-
本所,167,-,-,-,-,-,-,1,-,8,19,13,-,-,-,1,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,1,-,-,5,93,17,-,-,-,-,-,-,-,-,3,-,-,-
向島,178,-,-,-,-,-,-,-,-,1,1,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,12,1,-,12,-,4,14,-,28,-,-,-,-,-,-,-,2,7,-,-,-
深川,56,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,3,11,-,-,-,-,-,-,-,-,-,12,13,-,-,-
城東,153,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,-,-,7,2,43,-,-,-,-,-,-,-,10,9,-,-,-
本田,263,-,-,-,-,-,-,-,-,7,1,182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,3,-,2,-,9,18,8,22,-,-,-,-,-,-,-,2,6,-,-,-
金町,241,-,-,-,-,-,-,-,5,4,-,172,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,5,1,-,3,-,2,14,3,18,-,-,-,-,-,-,-,-,11,-,-,-
江戸川,173,-,-,-,-,-,-,-,-,-,-,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,1,1,33,-,-,-,-,-,-,-,-,5,-,-,-
葛西,149,-,-,-,-,-,-,-,-,-,-,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,-,13,-,-,-,-,-,-,-,1,-,-,-,-
小岩,86,-,-,-,-,-,-,-,-,1,1,55,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,2,-,-,-,-,4,1,12,-,-,-,-,-,-,-,2,4,-,-,-
受託地区,"4,653",-,-,-,1,-,-,-,23,57,15,"2,299",1,1,5,7,10,-,-,1,5,5,-,13,-,5,4,120,11,-,1,10,68,39,-,20,-,48,321,61,1267,-,-,38,-,-,-,1,48,148,-,-,-
立川,493,-,-,-,-,-,-,-,1,1,-,289,-,1,1,1,1,-,-,1,2,2,-,5,-,4,-,3,-,-,-,-,22,2,-,5,-,7,41,13,69,-,-,16,-,-,-,-,1,5,-,-,-
武蔵野,105,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,1,-,-,-,-,1,-,1,-,-,2,43,-,-,1,-,3,-,-,2,-,-,15,2,23,-,-,-,-,-,-,-,1,5,-,-,-
三鷹,260,-,-,-,-,-,-,-,-,-,-,122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,2,4,1,124,-,-,-,-,-,-,-,-,4,-,-,-
府中,119,-,-,-,-,-,-,-,-,1,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,1,1,5,-,-,-,-,11,2,49,-,-,-,-,-,-,-,2,8,-,-,-
昭島,148,-,-,-,-,-,-,-,-,1,-,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,17,5,38,-,-,-,-,-,-,-,1,15,-,-,-
調布,169,-,-,-,-,-,-,-,-,5,-,80,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,3,-,-,-,-,4,6,3,59,-,-,-,-,-,-,-,3,4,-,-,-
小金井,49,-,-,-,-,-,-,-,1,2,-,10,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,5,7,-,-,-,-,-,-,-,-,1,5,3,8,-,-,-,-,-,-,-,3,3,-,-,-
小平,367,-,-,-,-,-,-,-,1,23,-,193,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,1,10,-,1,-,-,10,5,96,-,-,-,-,-,-,-,-,3,-,-,-
東村山,221,-,-,-,-,-,-,-,1,2,-,108,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2,-,-,-,-,11,2,90,-,-,1,-,-,-,-,1,1,-,-,-
国分寺,286,-,-,-,-,-,-,-,-,-,-,149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,3,-,-,1,-,-,11,2,108,-,-,-,-,-,-,-,2,4,-,-,-
狛江,108,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,49,-,-,-,-,-,-,-,-,2,-,-,-
北多摩西部,85,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,3,-,37,-,-,2,-,-,-,-,2,10,-,-,-
清瀬,138,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,1,6,1,50,-,-,-,-,-,-,-,14,6,-,-,-
東久留米,165,-,-,-,-,-,-,-,-,2,1,84,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,2,-,5,19,2,43,-,-,-,-,-,-,-,-,5,-,-,-
西東京,237,-,-,-,-,-,-,-,-,-,-,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,13,3,80,-,-,-,-,-,-,-,-,5,-,-,-
八王子,520,-,-,-,1,-,-,-,3,7,4,357,-,-,4,-,7,-,-,-,2,2,-,1,-,-,1,13,-,-,-,-,5,2,-,2,-,2,24,3,61,-,-,-,-,-,-,-,2,17,-,-,-
青梅,98,-,-,-,-,-,-,-,8,8,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,-,-,4,3,2,-,1,-,3,3,4,7,-,-,8,-,-,-,-,5,11,-,-,-
町田,356,-,-,-,-,-,-,-,-,1,-,231,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,11,4,-,1,-,2,42,1,50,-,-,3,-,-,-,-,1,6,-,-,-
日野,223,-,-,-,-,-,-,-,-,2,-,92,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,1,1,1,-,-,-,1,5,4,108,-,-,-,-,-,-,-,2,2,-,-,-
福生,224,-,-,-,-,-,-,-,-,-,-,101,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,3,-,1,-,11,22,3,69,-,-,1,-,-,-,1,1,6,-,-,-
多摩,79,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,4,3,-,-,-,4,16,1,13,-,-,2,-,-,-,-,1,6,-,-,-
秋川,167,-,-,-,-,-,-,-,5,1,5,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,1,-,3,18,1,36,-,-,3,-,-,-,-,5,13,-,-,-
奥多摩,36,-,-,-,-,-,-,-,3,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-,-,-,-,12,-,-,-,-,2,-,-,-,-,1,7,-,-,-
