消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
東久留米,46,94,0,11,0,1,16,0,36,0,9,0,10,0,0,0,0,11,32,25,236,40
西東京,44,72,0,6,0,2,22,0,5,2,5,0,4,0,0,1,0,25,38,129,113,20
八王子,447,700,4,130,23,20,160,2,178,3,51,0,34,0,7,0,0,88,395,901,1051,161
青梅,182,252,2,42,4,5,77,0,24,9,19,0,15,0,3,1,0,51,143,405,723,164
町田,163,231,1,42,0,7,62,1,42,3,29,0,10,0,2,0,0,32,133,1662,466,43
日野,124,135,1,31,6,1,34,0,6,0,14,0,7,0,1,0,0,34,101,290,312,44
福生,213,350,6,83,23,6,78,0,20,12,21,0,27,0,4,2,0,68,224,1424,888,149
多摩,70,122,0,12,2,10,43,0,2,0,11,0,5,0,0,0,0,37,57,154,211,23
秋川,159,199,3,25,10,4,46,0,23,3,17,0,17,0,1,0,0,50,105,500,539,129
奥多摩,30,41,0,0,4,0,11,0,6,1,5,0,2,0,0,0,0,12,25,55,121,13
島しょ地区,199,435,0,20,105,17,54,1,55,52,35,23,6,0,0,0,10,57,537,805,-,-
