消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十七,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,貯蔵取扱所少量危険物,貯蔵取扱所指定可燃物,,,,,,,,,
光が丘,16,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
石神井,40,-,-,-,-,-,-,-,2,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,-,-,-,-,-,-,-,17,-,-,-
上野,144,-,-,-,-,-,-,-,-,-,2,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,22,-,-,-,-,-,4,5,4,-,-,-,-,-,-,-,1,2,-,-,-
浅草,166,-,-,-,-,-,-,-,16,16,-,8,-,-,-,-,-,-,-,-,-,-,-,3,-,3,1,-,-,-,-,-,-,8,-,-,-,14,4,82,11,-,-,-,-,-,-,-,-,-,-,-,-
日本堤,55,-,-,-,-,-,-,-,3,2,4,10,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,2,5,16,5,-,-,-,-,-,-,-,1,3,-,-,-
荒川,160,-,-,-,-,-,-,-,1,2,8,31,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,8,-,-,-,-,10,7,-,-,-,7,15,11,21,-,-,-,-,-,-,-,4,31,-,-,-
尾久,147,-,-,-,-,-,-,-,-,1,-,61,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,1,5,23,40,-,-,-,-,-,-,-,-,8,-,-,-
千住,93,-,-,-,-,-,-,-,-,3,-,18,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,1,6,-,1,-,17,4,16,8,-,-,-,-,-,-,-,-,15,-,-,-
足立,85,-,-,-,-,-,-,-,-,1,-,48,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,4,7,1,7,-,-,-,-,-,-,-,5,6,-,-,-
西新井,330,-,-,-,-,-,-,-,3,25,2,91,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,17,-,-,2,8,4,39,-,3,-,41,15,22,18,-,-,3,-,-,-,-,2,30,-,-,-
本所,77,-,-,-,-,-,-,-,5,5,14,8,-,-,-,2,1,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,1,-,-,-,-,2,28,3,-,-,-,-,-,-,-,3,1,-,-,-
向島,138,-,-,-,-,-,-,-,1,4,17,16,-,-,-,2,1,-,-,-,-,-,-,-,-,2,-,12,-,-,1,4,4,26,-,-,-,16,15,12,4,-,-,-,-,-,-,-,1,-,-,-,-
深川,139,-,-,-,-,-,-,-,-,1,-,46,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,5,1,-,-,1,-,10,-,1,-,9,10,24,14,-,-,-,-,-,-,-,1,13,-,-,-
城東,123,-,-,-,-,-,-,-,1,5,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,2,11,-,5,-,2,7,20,9,-,-,-,-,-,-,-,2,24,-,-,-
本田,118,-,-,-,-,-,-,-,-,7,1,59,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,6,-,3,-,2,4,18,4,-,-,-,-,-,-,-,1,9,-,-,-
金町,182,-,-,-,1,-,-,-,12,11,-,35,-,-,-,-,-,-,-,-,-,-,-,9,-,-,6,30,1,-,-,2,1,6,-,1,-,2,18,6,5,-,-,-,-,-,-,-,4,32,-,-,-
江戸川,76,-,-,-,-,-,-,-,4,2,-,23,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,3,5,-,-,-,9,3,12,2,-,-,-,-,-,-,-,1,8,-,-,-
葛西,46,-,-,-,-,-,-,-,2,3,1,21,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,2,4,5,-,-,-,-,-,-,-,-,4,-,-,-
小岩,187,-,-,-,-,-,-,-,-,-,-,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,9,3,37,-,-,-,-,-,-,-,2,6,-,-,-
受託地区,"2,331",2,1,-,2,-,2,1,73,159,96,604,-,3,3,15,7,-,-,-,3,4,-,31,1,18,24,67,5,-,4,17,33,120,-,10,-,86,162,244,287,-,-,5,-,-,-,1,65,176,-,-,-
立川,97,-,-,-,-,-,-,-,1,5,-,21,-,-,-,5,-,-,-,-,1,-,-,1,-,-,-,16,-,-,-,-,1,12,-,-,-,10,4,12,4,-,-,-,-,-,-,-,2,2,-,-,-
武蔵野,38,-,-,-,1,-,-,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,2,-,-,-,-,-,13,2,-,-,-,-,-,-,-,3,5,-,-,-
三鷹,70,-,-,-,-,-,-,-,3,6,-,19,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,1,-,-,-,-,1,8,12,1,-,-,-,-,-,-,-,4,8,-,-,-
府中,216,1,-,-,1,-,-,-,5,9,-,90,-,-,-,-,1,-,-,-,-,-,-,1,-,1,4,10,-,-,-,1,3,7,-,1,-,2,16,5,45,-,-,-,-,-,-,-,2,11,-,-,-
昭島,93,-,-,-,-,-,-,-,4,8,1,21,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,8,-,3,-,3,3,16,15,-,-,-,-,-,-,-,3,6,-,-,-
調布,71,-,-,-,-,-,-,-,4,11,2,18,-,-,-,-,-,-,-,-,-,2,-,2,-,2,2,-,-,-,-,2,-,-,-,1,-,2,8,6,4,-,-,-,-,-,-,-,5,-,-,-,-
小金井,116,-,-,-,-,-,-,-,2,2,-,27,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,2,10,64,-,-,-,-,-,-,-,1,4,-,-,-
小平,60,-,-,-,-,-,-,-,-,15,-,10,-,-,-,3,1,-,-,-,-,-,-,-,1,3,-,2,-,-,-,3,3,2,-,-,-,5,3,8,1,-,-,-,-,-,-,-,-,-,-,-,-
東村山,150,-,1,-,-,-,-,-,3,6,-,60,-,-,2,2,-,-,-,-,-,1,-,4,-,-,3,12,-,-,-,1,1,4,-,1,-,3,10,21,10,-,-,-,-,-,-,-,3,2,-,-,-
国分寺,49,-,-,-,-,-,-,-,1,7,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,2,5,4,3,-,-,-,-,-,-,-,1,-,-,-,-
狛江,77,-,-,-,-,-,-,-,-,2,-,14,-,-,-,-,-,-,-,-,-,-,-,5,-,-,3,-,-,-,-,-,3,-,-,-,-,1,22,13,8,-,-,5,-,-,-,-,-,1,-,-,-
北多摩西部,136,-,-,-,-,-,1,-,6,29,-,9,-,-,-,1,-,-,-,-,-,-,-,3,-,-,4,-,-,-,1,4,3,11,-,2,-,9,5,22,2,-,-,-,-,-,-,-,6,18,-,-,-
清瀬,95,-,-,-,-,-,-,-,1,1,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,3,2,-,-,-,3,4,13,36,-,-,-,-,-,-,-,-,-,-,-,-
東久留米,95,-,-,-,-,-,-,-,3,7,-,30,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,4,4,-,-,-,-,-,-,-,8,35,-,-,-
西東京,80,-,-,-,-,-,-,-,1,3,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,-,1,9,12,7,-,-,-,-,-,-,-,-,8,-,-,-
八王子,90,-,-,-,-,-,-,-,1,6,23,2,-,-,-,1,1,-,-,-,-,-,-,7,-,5,1,-,-,-,-,-,1,12,-,-,-,7,2,5,6,-,-,-,-,-,-,-,1,9,-,-,-
青梅,269,-,-,-,-,-,-,-,7,14,-,101,-,-,-,1,-,-,-,-,-,-,-,1,-,3,-,8,3,-,-,-,4,17,-,1,-,10,17,6,34,-,-,-,-,-,-,-,10,32,-,-,-
町田,44,-,-,-,-,-,-,-,-,3,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,5,-,-,-,7,9,1,1,-,-,-,-,-,-,-,2,1,-,-,-
日野,30,-,-,-,-,-,-,-,1,-,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4,1,-,-,1,-,-,3,6,2,-,-,-,-,-,-,-,1,4,-,-,-
福生,243,1,-,-,-,-,1,1,16,16,-,61,-,3,-,-,-,-,-,-,-,-,-,4,-,2,3,3,-,-,-,1,2,28,-,-,-,16,13,40,21,-,-,-,-,-,-,1,2,8,-,-,-
多摩,59,-,-,-,-,-,-,-,-,5,-,22,-,-,-,1,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,3,7,12,-,-,-,-,-,-,-,1,4,-,-,-
秋川,113,-,-,-,-,-,-,-,4,2,62,1,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,5,-,-,-,2,13,6,4,-,-,-,-,-,-,-,4,6,-,-,-
奥多摩,40,-,-,-,-,-,-,-,6,-,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,6,12,-,-,-
,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
