消防署,計,消火栓・小計,消火栓・公設・上水,消火栓・公設・工業水,消火栓・私設,防火水槽・貯水池等・小計,防火水槽・貯水池等・所管内・防火水槽・100m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3未満,防火水槽・貯水池等・所管内・貯水池・100m3以上,防火水槽・貯水池等・所管内・貯水池・40m3以上,防火水槽・貯水池等・所管内・貯水池・40m3未満,防火水槽・貯水池等・所管内・受水槽・飲料用,防火水槽・貯水池等・所管内・受水槽・その他,防火水槽・貯水池等・所管外・防火水槽・100m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3未満,防火水槽・貯水池等・所管外・貯水池・100m3以上,防火水槽・貯水池等・所管外・貯水池・40m3以上,防火水槽・貯水池等・所管外・貯水池・40m3未満,防火水槽・貯水池等・所管外・受水槽・飲料用,防火水槽・貯水池等・所管外・受水槽・その他,その他小計,プール,"河川／みぞ","池／ほり",海,井戸,その他
芝,1324,935,934,-,1,308,10,48,-,-,-,-,-,-,54,153,4,-,-,-,7,32,81,8,7,4,62,-,-
麻布,781,615,614,-,1,145,11,40,-,-,-,-,-,-,19,63,-,-,-,-,9,3,21,9,10,2,-,-,-
赤坂,636,461,459,-,2,165,14,45,-,-,-,-,-,-,27,70,2,-,-,-,3,4,10,7,-,3,-,-,-
高輪,766,495,494,-,1,226,17,40,1,-,-,-,-,-,38,105,8,2,-,-,10,5,45,12,12,2,19,-,-
品川,1923,1003,1003,-,-,859,26,50,1,-,-,-,-,-,252,385,115,1,-,-,25,4,61,18,29,1,13,-,-
大井,1358,742,741,-,1,561,28,43,-,-,1,-,-,-,95,261,99,-,1,-,27,6,55,13,1,3,38,-,-
荏原,1482,964,961,-,3,497,40,48,1,-,-,-,-,-,64,220,118,-,-,-,5,1,21,19,-,2,-,-,-
大森,3060,2166,2165,-,1,775,74,95,-,-,-,-,-,-,37,500,10,2,-,-,26,31,119,33,46,3,37,-,-
田園調布,2383,1879,1879,-,-,429,57,72,-,-,-,-,-,-,12,274,4,-,-,-,9,1,75,26,37,12,-,-,-
蒲田,2171,1367,1311,-,56,718,51,58,-,-,-,-,-,-,23,533,12,-,-,-,37,4,86,29,56,-,1,-,-
矢口,1306,935,928,-,7,320,34,49,-,-,-,-,-,-,25,199,1,-,2,1,8,1,51,19,30,2,-,-,-
目黒,3189,2493,2489,-,4,644,76,118,2,-,-,-,-,-,68,349,5,3,1,-,11,11,52,39,5,6,-,-,2
世田谷,4972,3965,3955,-,10,943,110,157,1,1,-,-,-,-,51,585,13,1,2,-,13,9,64,62,-,2,-,-,-
玉川,3102,2380,2372,-,8,677,61,115,2,-,-,-,-,-,44,423,11,1,-,-,9,11,45,36,4,4,-,1,-
成城,3415,2612,2583,-,29,712,73,162,9,-,-,-,-,-,48,398,5,-,-,-,16,1,91,39,49,3,-,-,-
渋谷,3192,2318,2285,-,33,822,67,104,3,-,-,-,-,-,228,378,5,-,-,-,31,6,52,40,2,10,-,-,-
四谷,636,478,472,-,6,151,7,31,1,-,-,-,-,-,6,85,-,2,-,-,13,6,7,6,-,-,-,-,1
牛込,1106,810,799,-,11,267,12,69,-,-,-,-,-,-,22,138,3,-,-,-,22,1,29,19,5,5,-,-,-
新宿,2101,1644,1627,-,17,390,29,73,1,-,-,-,-,-,44,189,2,-,2,1,21,28,67,26,39,2,-,-,-
中野,1614,1253,1253,-,-,292,31,85,1,-,-,-,-,-,11,145,7,-,-,-,8,4,69,18,51,-,-,-,-
野方,2011,1675,1674,-,1,292,63,100,-,-,-,-,-,-,6,102,4,-,-,-,14,3,44,25,18,1,-,-,-
杉並,3624,2945,2939,-,6,565,123,218,1,1,-,-,-,-,19,184,6,-,-,-,10,3,114,43,63,5,-,3,-
荻窪,2879,2372,2372,-,-,434,95,194,6,-,-,-,-,-,10,111,5,-,-,-,7,6,73,34,32,6,-,1,-
小石川,1339,1012,1010,-,2,273,11,75,-,-,-,-,-,-,19,144,10,2,1,-,7,4,54,23,23,8,-,-,-
本郷,1152,893,873,-,20,244,12,74,-,-,-,-,-,-,15,113,4,-,-,-,16,10,15,13,-,2,-,-,-
豊島,1669,1285,1251,-,34,357,24,81,5,-,-,-,-,-,17,221,5,-,-,-,2,2,27,26,-,-,-,1,-
池袋,1463,1184,1184,-,-,256,30,67,-,-,-,-,-,-,16,133,2,-,-,-,6,2,23,23,-,-,-,-,-
王子,1255,942,906,26,10,272,33,49,4,-,-,-,-,-,12,144,3,-,-,1,24,2,41,25,14,1,-,1,-
赤羽,1611,1191,1147,27,17,364,33,75,-,-,1,-,-,-,13,184,7,2,-,1,44,4,56,25,30,1,-,-,-
滝野川,1217,983,970,13,-,217,22,60,10,-,-,-,-,-,10,91,4,-,2,1,15,2,17,17,-,-,-,-,-
板橋,2625,1896,1887,9,-,685,48,69,1,-,-,-,-,-,22,532,-,-,-,-,13,-,44,36,6,2,-,-,-
志村,4359,3067,2976,88,3,1214,79,156,-,-,-,-,-,-,26,879,11,2,9,1,49,2,78,51,22,5,-,-,-
練馬,3163,2613,2613,-,-,478,67,165,12,-,-,-,-,-,9,193,2,-,-,-,25,5,72,38,33,-,-,1,-
光が丘,1848,1469,1445,24,-,331,65,118,9,-,-,-,-,-,12,89,2,-,1,-,26,9,48,36,11,1,-,-,-
石神井,4127,3383,3371,-,12,639,169,270,2,-,-,-,-,-,13,152,1,-,-,-,32,-,105,51,47,6,-,1,-
上野,1243,1007,1007,-,-,208,20,64,-,-,-,-,-,-,14,80,3,2,-,1,13,11,28,14,-,14,-,-,-
浅草,787,614,614,-,-,156,7,37,-,-,-,-,-,-,3,95,8,-,-,-,6,-,17,10,7,-,-,-,-
日本堤,904,695,695,-,-,182,13,52,-,-,-,-,-,-,8,95,3,-,-,-,5,6,27,10,14,3,-,-,-
荒川,1601,1139,1104,34,1,436,26,87,1,-,-,-,-,-,38,246,17,-,1,-,17,3,26,22,3,-,-,1,-
尾久,1080,811,801,10,-,252,20,67,-,-,-,-,-,-,12,142,4,-,-,-,6,1,17,13,3,1,-,-,-
千住,1272,926,904,18,4,272,28,66,-,-,1,-,-,-,43,109,-,-,-,-,23,2,74,14,60,-,-,-,-
足立,4671,3769,3693,61,15,737,136,164,-,-,-,-,-,-,58,251,11,1,-,-,112,4,165,63,99,3,-,-,-
西新井,3254,2653,2625,28,-,546,106,168,1,-,-,-,-,-,29,177,4,-,1,-,42,18,55,39,12,1,-,3,-
本所,1932,1567,1540,27,-,306,17,70,-,-,-,-,-,-,16,177,2,-,-,-,14,10,59,20,36,3,-,-,-
向島,1685,1230,1154,67,9,394,40,56,1,-,-,-,-,-,31,230,11,1,1,-,17,6,61,23,37,1,-,-,-
深川,3057,1990,1947,34,9,770,77,80,-,-,-,-,-,-,64,453,13,-,6,1,68,8,297,40,105,10,142,-,-
城東,2459,1599,1559,31,9,622,57,72,-,-,-,-,-,-,31,359,16,6,-,-,71,10,238,47,135,4,52,-,-
本田,4038,2965,2902,58,5,878,72,150,1,-,-,-,-,-,21,571,12,1,1,-,41,8,195,48,145,2,-,-,-
金町,2469,1859,1818,33,8,520,47,117,1,-,-,-,-,-,23,273,2,5,3,-,47,2,90,32,52,6,-,-,-
江戸川,3163,2614,2533,81,-,383,65,109,2,-,-,-,-,-,7,158,6,-,-,-,33,3,166,35,130,1,-,-,-
?西,2346,1806,1765,40,1,459,51,31,-,-,-,-,-,-,13,326,5,1,-,1,29,2,81,32,47,2,-,-,-
小岩,2806,2339,2326,13,-,352,71,109,-,-,-,-,-,-,8,139,2,1,-,1,19,2,115,33,82,-,-,-,-
受託地区計,61457,46132,45469,-,663,13567,612,5351,260,4,4,6,26,23,545,5879,121,56,71,25,487,97,1758,884,722,152,-,-,-
立川,4254,3072,2960,-,112,1081,95,297,13,-,-,-,-,-,66,563,7,3,4,-,27,6,101,55,32,14,-,-,-
武蔵野,1435,975,961,-,14,434,70,176,13,1,-,1,1,4,38,118,2,-,1,-,6,3,26,26,-,-,-,-,-
三鷹,2209,1732,1691,-,41,437,29,141,4,1,-,-,7,2,10,178,4,4,9,1,42,5,40,30,5,5,-,-,-
府中,3945,3003,2944,-,59,858,30,266,5,-,-,-,-,5,28,465,11,2,2,4,36,4,84,59,19,6,-,-,-
昭島,1996,1520,1489,-,31,436,9,147,4,-,-,-,1,-,19,229,1,8,5,-,11,2,40,25,13,2,-,-,-
調布,2809,2043,2011,-,32,712,62,275,12,-,-,-,-,-,57,269,2,2,2,1,23,7,54,42,8,4,-,-,-
小金井,1449,1149,1147,-,2,268,8,134,2,-,-,-,-,-,5,98,-,3,10,-,7,1,32,23,7,2,-,-,-
小平,2364,1632,1601,-,31,645,26,255,4,-,-,-,3,1,35,266,5,-,-,-,49,1,87,41,40,6,-,-,-
東村山,1757,1213,1192,-,21,462,8,192,12,-,-,-,-,-,32,166,6,2,-,4,40,-,82,30,46,6,-,-,-
国分寺,1594,1206,1203,-,3,355,3,128,6,-,-,-,-,-,20,178,2,2,1,2,13,-,33,19,9,5,-,-,-
狛江,971,735,714,-,21,216,5,73,-,-,-,-,-,-,21,114,-,1,-,-,2,-,20,17,3,-,-,-,-
北多摩西部,2106,1603,1581,-,22,456,26,252,13,-,-,-,-,-,10,129,4,-,3,-,18,1,47,40,1,6,-,-,-
清瀬,868,586,566,-,20,240,15,110,1,-,-,-,-,1,10,68,-,-,1,2,32,-,42,17,25,-,-,-,-
東久留米,1310,1083,1075,-,8,205,15,120,10,-,-,1,2,-,7,49,1,-,-,-,-,-,22,22,-,-,-,-,-
西東京,2048,1561,1559,-,2,448,59,220,3,-,-,-,-,-,37,100,1,5,2,-,21,-,39,36,2,1,-,-,-
八王子,8958,7035,6983,-,52,1603,21,707,36,-,1,2,3,1,22,719,17,3,6,-,51,14,320,141,148,31,-,-,-
青梅,4414,3534,3526,-,8,772,3,189,4,-,1,-,-,-,4,534,16,9,3,2,2,5,108,38,51,19,-,-,-
町田,5890,4411,4343,-,68,1277,77,544,34,1,-,-,5,1,66,462,19,-,2,1,61,4,202,80,107,15,-,-,-
日野,2627,1994,1966,-,28,528,6,167,12,-,-,1,4,-,13,280,1,6,12,4,9,13,105,33,65,7,-,-,-
福生,2942,2148,2139,-,9,733,29,454,15,1,-,-,-,2,19,146,8,5,8,3,22,21,61,40,19,2,-,-,-
多摩,2469,1673,1629,-,44,686,1,7,1,-,-,-,-,-,20,637,7,-,-,-,12,1,110,34,69,7,-,-,-
秋川,2495,1862,1828,-,34,541,12,341,48,-,2,1,-,6,6,105,6,1,-,1,3,9,92,32,47,13,-,-,-
奥多摩,547,362,361,-,1,174,3,156,8,-,-,-,-,-,-,6,1,-,-,-,-,-,11,4,6,1,-,-,-
