発火源,火災件数
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスレンジ　　　　　　　　　,10
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_大型レンジ　　　　　　　　　,32
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスオーブン　　　　　　　　,6
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_かまど　　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス炊飯器　　　　　　　　　,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_瞬間湯沸器,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_給湯器,7
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス鉄板焼器　　　　　　　　,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_コーヒー焙煎機　　　　　　　,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスロースタ（無煙を除く）,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_焼鳥炉　　　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスハースグリラ,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_フライヤ,4
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_食器洗浄機　　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_無煙ガスロースタ,3
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ゆで麺機,3
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスストーブ,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスファンヒータ,3
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス冷暖房機　　　　　　　　,1
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガス衣類乾燥機　　　　　　　,2
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスバーナ,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置,97
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスこんろ,8
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガステーブル,23
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_大型ガスこんろ　　　　　　　,7
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_簡易型ガスこんろ　　　　　　,38
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスレンジ　　　　　　　　　,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_大型レンジ　　　　　　　　　,2
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスオーブン　　　　　　　　,2
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_フライヤ,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_無煙ガスロースタ,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ゆで麺機,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスファンヒータ,1
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガス切断器　　　　　　　　　,10
ガス・油等を燃料とする道具装置_プロパンガスを用いる道具装置_ガスハンドトーチ　　　　　　,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置,32
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_アルコールこんろ　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ストーブ,12
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ファンヒータ,4
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_石油ランプ　　　　　　　　　,1
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_内燃機関　　　　　　　　　　,6
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_アスファルト溶解炉　　　　　,2
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_エンジンカッター　　　　　　,3
ガス・油等を燃料とする道具装置_油を燃料とする道具装置_発電機　　　　　　　　　　　,3
ガス・油等を燃料とする道具装置_その他,50
ガス・油等を燃料とする道具装置_その他_アセチレンガス溶接器　　　　,5
ガス・油等を燃料とする道具装置_その他_アセチレンガス切断器　　　　,10
ガス・油等を燃料とする道具装置_その他_ブタンガストーチバーナ　,35
固体燃料を用いる道具装置,33
固体燃料を用いる道具装置_炭・たどん（練炭）燃料,24
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_木炭七厘こんろ　　　　　　　,7
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_練炭七厘こんろ　　　　　　　,5
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_焼肉炉　　　　　　　　　　　,2
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_屋台こんろ・かまど　　　　　,1
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_無煙ロースタ,4
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_ピザ釜　　　　　　　　　　,1
固体燃料を用いる道具装置_炭・たどん（練炭）燃料_炭おこし　　　　　　　　　　,4
固体燃料を用いる道具装置_薪（鉋屑等）燃料,9
固体燃料を用いる道具装置_薪（鉋屑等）燃料_築造かまど　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_薫製炉・器　　　　　　　　　,1
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ピザ釜　　　　　　　　　　,2
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ストーブ　　　　　　　　　　,2
固体燃料を用いる道具装置_薪（鉋屑等）燃料_ごみ焼却炉　　　　　　　　　,3
火種,831
火種_裸火,117
火種_裸火_炭火,17
火種_裸火_線香（仏具用）　　　　　　　,11
火種_裸火_蚊取線香　　　　　　　　　　,11
火種_裸火_線香（芳香・アロマテラピー）,3
火種_裸火_たき火　　　　　　　　　　　,4
火種_裸火_焼却火　　　　　　　　　　　,20
火種_裸火_虫焼火　　　　　　　　　　　,1
火種_裸火_燃えさし　　　　　　　　　　,1
火種_裸火_たきつけ　　　　　　　　　　,1
火種_裸火_火のついた棒　　　　　　　　,1
火種_裸火_ロウソク　　　　　　　　　　,13
火種_裸火_灯明　　　　　　　　　　　　,19
火種_裸火_薫煙殺虫剤　　　　　　　　　,1
火種_裸火_灸用もぐさ類　　　　　　　　,1
火種_裸火_火のついた紙　　　　　　　　,6
火種_裸火_火のついたゴミ　　　　　　　,1
火種_裸火_火のついた油等　　　　　　　,4
火種_裸火_火炎ビン　　　　　　　　　　,2
火種_たばことマッチ,660
火種_たばことマッチ_たばこ　　　　　　　　　　　,511
火種_たばことマッチ_マッチ　　　　　　　　　　　,23
火種_たばことマッチ_ライター　　　　　　　　　　,126
火種_火花,39
火種_火花_ブレーキの火花　　　　　　　,5
火種_火花_車両等の衝撃火花　　　　　　,2
火種_火花_金属と金属の衝撃火花　　　　,25
火種_火花_金属と非金属の衝撃火花　　　,7
火種_再燃により出火しやすいもの,15
火種_再燃により出火しやすいもの_取灰　　　　　　　　　　　　,3
火種_再燃により出火しやすいもの_消したはずの炭　　　　　　　,2
火種_再燃により出火しやすいもの_寝具類　　　　　　　　　　　,8
火種_再燃により出火しやすいもの_消したはずの木材・廃材　　　,2
高温の固体_再燃により出火しやすいもの,52
高温の固体_高温の気体で熱せられたもの,34
高温の固体_高温の気体で熱せられたもの_排気筒　　　　　　　　　　　,1
高温の固体_高温の気体で熱せられたもの_排気管　　　　　　　　　　　,28
高温の固体_高温の気体で熱せられたもの_触媒装置　　　　　　　　　　,4
高温の固体_高温の気体で熱せられたもの_過給機（ターボチャージャ）,1
高温の固体_摩擦により熱せられたもの,7
高温の固体_摩擦により熱せられたもの_軸受（ベアリング含む）　　　　　　　　　　　　,2
高温の固体_摩擦により熱せられたもの_ブレーキライニング　　　　　,1
高温の固体_摩擦により熱せられたもの_車輪　　　　　　　　　　　　,1
高温の固体_摩擦により熱せられたもの_ブレーキドラム,3
高温の固体_高温の固体,11
高温の固体_高温の固体_溶融金属　　　　　　　　　　,2
高温の固体_高温の固体_熱せられた金属製品　　　　　,8
高温の固体_高温の固体_熱せられた練瓦　　　　　　　,1
自然発火を起こしやすいもの_高温の固体,14
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質,3
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_その他の金属の水素化物　　　,1
自然発火を起こしやすいもの_自然発火性物質及び禁水性物質_石灰　　　　　　　　　　　　,2
自然発火を起こしやすいもの_その他の自然発火しやすいもの,11
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油布　　　　　　　　　　　　,2
自然発火を起こしやすいもの_その他の自然発火しやすいもの_油布製品　　　　　　　　　　,2
自然発火を起こしやすいもの_その他の自然発火しやすいもの_揚げかす　　　　　　　　　　,5
自然発火を起こしやすいもの_その他の自然発火しやすいもの_合成樹脂　　　　　　　　　　,1
自然発火を起こしやすいもの_その他の自然発火しやすいもの_野積みのごみ　　　　　　　　,1
危険物品,7
危険物品_火薬類,7
危険物品_火薬類_花火（玩具用）　　　　　　　,6
危険物品_火薬類_発煙筒　　　　　　　　　　　,1
天災,14
天災_雷,4
天災_雷_直接雷,1
天災_雷_間接雷,3
天災_レンズ類,10
天災_レンズ類_凸レンズ,4
天災_レンズ類_凹面鏡,5
天災_レンズ類_反射板,1
不明,831
不明_不明,831
不明_不明_不明,831
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
