FID,,名称,種別,種別2,位置,経度,緯度,供用開始日,面積（㎡）
73,19,東町トチノキ公園,都市公園以外の公園,児童遊園,小金井市東町四丁目31番,139.52456,35.69983,昭和59年12月16日,300 
130,20,東町四丁目児童遊園,都市公園以外の公園,児童遊園,小金井市東町四丁目45番,139.52646,35.70011,平成30年1月4日,221 
59,21,マルメロ公園,都市公園以外の公園,児童遊園,小金井市東町五丁目19番,139.52091,35.69259,平成7年10月9日,184 
60,22,アオギリ公園,都市公園以外の公園,児童遊園,小金井市東町五丁目26番,139.52237,35.69252,昭和38年5月1日,170 
90,23,梶野町くぬぎ公園,都市公園以外の公園,児童遊園,小金井市梶野町一丁目7番,139.52947,35.70368,昭和58年7月22日,571 
88,24,もくれん公園,都市公園以外の公園,児童遊園,小金井市梶野町二丁目1番,139.53123,35.70575,平成10年7月27日,263 
85,25,梶野町ハナノキ公園,都市公園以外の公園,児童遊園,小金井市梶野町三丁目8番,139.52465,35.71046,平成7年9月20日,"1,281 "
87,26,禄水郷公園,都市公園以外の公園,児童遊園,小金井市梶野町四丁目2番,139.52444,35.70578,平成18年11月29日,126 
112,27,梶野町四丁目児童遊園,都市公園以外の公園,児童遊園,小金井市梶野町四丁目5番,139.52207,35.70584,昭和54年2月10日,140 
117,28,さるすべり公園,都市公園以外の公園,児童遊園,小金井市梶野町四丁目16番,139.52234,35.70689,平成10年7月27日,106 
86,29,梶野町クルミ公園,都市公園以外の公園,児童遊園,小金井市梶野町四丁目19番,139.52483,35.70855,平成7年7月7日,232 
104,30,関野町エノキ公園,都市公園以外の公園,児童遊園,小金井市関野町一丁目6番,139.51984,35.71335,昭和54年8月14日,173 
114,31,緑町二丁目児童遊園,都市公園以外の公園,児童遊園,小金井市緑町二丁目1番,139.52003,35.70467,昭和35年11月1日,310 
113,32,四本けやき公園,都市公園以外の公園,児童遊園,小金井市緑町二丁目2番,139.52133,35.70542,昭和51年2月14日,196 
109,33,梅の木公園,都市公園以外の公園,児童遊園,小金井市緑町二丁目5番,139.51859,35.7067,平成9年8月18日,297 
110,34,ナナカマド公園,都市公園以外の公園,児童遊園,小金井市緑町二丁目11番,139.5202,35.70787,平成13年11月22日,218 
111,35,緑町コニファー公園,都市公園以外の公園,児童遊園,小金井市緑町二丁目11番,139.51894,35.7081,平成16年7月26日,303 
106,36,緑町三丁目児童遊園,都市公園以外の公園,児童遊園,小金井市緑町三丁目11番,139.51648,35.71066,昭和55年3月31日,600 
102,37,みどり公園,都市公園以外の公園,児童遊園,小金井市緑町三丁目12番,139.51562,35.71148,平成11年4月30日,324 
103,38,緑町キンモクセイ公園,都市公園以外の公園,児童遊園,小金井市緑町三丁目12番,139.51643,35.71225,平成12年6月20日,108 
105,39,緑町さくら公園,都市公園以外の公園,児童遊園,小金井市緑町四丁目15番,139.5167,35.70828,昭和51年11月2日,231 
51,40,やまざくら公園,都市公園以外の公園,児童遊園,小金井市緑町五丁目2番,139.51576,35.70192,平成7年7月7日,186 
48,41,やまもも公園,都市公園以外の公園,児童遊園,小金井市緑町五丁目3番,139.5144,35.70172,昭和54年8月14日,172 
107,42,ひさかき公園,都市公園以外の公園,児童遊園,小金井市緑町五丁目14番,139.51622,35.70232,昭和60年11月12日,181 
134,43,はぐくみ公園,都市公園以外の公園,児童遊園,小金井市緑町五丁目18番,139.51462,35.70422,平成25年1月25日,206 
54,44,中町シダレザクラ公園,都市公園以外の公園,児童遊園,小金井市中町三丁目21番,139.50974,35.69483,昭和42年5月1日,280 
58,45,ヤマボウシ公園,都市公園以外の公園,児童遊園,小金井市中町一丁目14番,139.51761,35.69447,平成14年7月31日,206 
135,46,ムジナ坂上公園,都市公園以外の公園,児童遊園,小金井市中町一丁目14番,139.51631,35.69427,平成22年3月4日,201 
56,47,中町二丁目児童遊園,都市公園以外の公園,児童遊園,小金井市中町二丁目19番,139.52052,35.69753,昭和42年12月10日,237 
55,48,中町二丁目第２児童遊園,都市公園以外の公園,児童遊園,小金井市中町二丁目14番,139.51534,35.69732,昭和54年6月29日,312 
57,49,中町二丁目第３児童遊園,都市公園以外の公園,児童遊園,小金井市中町二丁目1番,139.52134,35.69453,昭和58年4月1日,450 
69,50,前原やなぎ公園,都市公園以外の公園,児童遊園,小金井市前原町一丁目12番,139.50836,35.69034,昭和50年2月1日,491 
64,51,野川緑地公園,都市公園以外の公園,児童遊園,小金井市前原町三丁目3番,139.50307,35.69399,昭和62年11月1日,601 
143,52,モッコク公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目1番,139.50193,35.68509,平成13年8月2日,253 
145,53,前原町四丁目公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目1番,139.50188,35.68517,平成13年8月21日,340 
127,54,前原町四丁目児童遊園,都市公園以外の公園,児童遊園,小金井市前原町四丁目2番,139.50194,35.68398,昭和50年2月1日,323 
126,55,イチョウ公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目5番,139.50179,35.68753,平成13年8月2日,"1,585 "
136,56,もみの木公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目6番,139.50342,35.68763,平成23年1月26日,110 
66,57,前原町クスノキ公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目11番,139.5044,35.68887,平成7年3月31日,105 
67,58,メグスリノキ公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目12番,139.50653,35.68878,平成7年3月31日,244 
65,59,丸山台公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目18番,139.50304,35.69064,昭和59年9月14日,325 
68,60,前原町ハナミズキ公園,都市公園以外の公園,児童遊園,小金井市前原町四丁目20番,139.5064,35.69104,平成12年4月28日,335 
124,61,ふじのき公園,都市公園以外の公園,児童遊園,小金井市前原町五丁目2番,139.49668,35.68697,昭和61年5月1日,566 
42,62,ハナミズキ公園,都市公園以外の公園,児童遊園,小金井市前原町五丁目11番,139.50015,35.68968,平成6年8月25日,213 
46,63,本町ハナミズキ公園,都市公園以外の公園,児童遊園,小金井市本町一丁目14番,139.51138,35.69963,平成12年10月12日,578 
96,64,本町公園,都市公園以外の公園,児童遊園,小金井市本町二丁目15番,139.51029,35.70545,昭和48年7月1日,315 
95,65,タブノキ公園,都市公園以外の公園,児童遊園,小金井市本町四丁目1番,139.50717,35.70609,平成14年7月31日,140 
94,66,本町さくら公園,都市公園以外の公園,児童遊園,小金井市本町四丁目16番,139.50682,35.70781,昭和51年8月7日,288 
131,67,むさこぷらっと公園,都市公園以外の公園,児童遊園,小金井市本町五丁目1番,139.50433,35.70122,平成30年4月14日,233 
45,68,本町カツラ公園,都市公園以外の公園,児童遊園,小金井市本町六丁目9番,139.50349,35.70018,平成7年8月28日,460 
137,69,こもれび公園,都市公園以外の公園,児童遊園,小金井市桜町一丁目5番,139.50836,35.70979,平成23年11月21日,209 
101,70,さくら公園,都市公園以外の公園,児童遊園,小金井市桜町一丁目10番,139.5131,35.7123,平成10年8月26日,575 
138,71,桜町なかよし公園,都市公園以外の公園,児童遊園,小金井市桜町二丁目1番,139.50616,35.71001,平成28年5月24日,337 
91,72,きりの木公園,都市公園以外の公園,児童遊園,小金井市桜町二丁目7番,139.50487,35.71181,昭和58年7月22日,756 
92,73,ゆずりは公園,都市公園以外の公園,児童遊園,小金井市桜町二丁目8番,139.50599,35.71081,平成1年4月1日,474 
93,74,桜町こぶし公園,都市公園以外の公園,児童遊園,小金井市桜町三丁目5番,139.50954,35.71327,昭和56年7月20日,122 
139,75,かわせみ公園,都市公園以外の公園,児童遊園,小金井市貫井北町一丁目10番,139.49912,35.70204,平成24年8月21日,120 
121,76,貫井北町二丁目児童遊園,都市公園以外の公園,児童遊園,小金井市貫井北町二丁目8番,139.49895,35.70587,昭和59年9月14日,108 
140,77,コウヤマキ公園,都市公園以外の公園,児童遊園,小金井市貫井北町三丁目8番,139.49365,35.70833,平成23年4月11日,329 
119,78,木の実公園,都市公園以外の公園,児童遊園,小金井市貫井北町三丁目34番,139.49759,35.71175,平成7年10月9日,235 
141,79,貫井橋公園,都市公園以外の公園,児童遊園,小金井市貫井北町三丁目35番,139.50017,35.71171,平成22年8月17日,386 
123,80,貫井北町五丁目児童遊園,都市公園以外の公園,児童遊園,小金井市貫井北町五丁目21番,139.49091,35.703,昭和59年9月14日,114 
37,81,ネムノキ公園,都市公園以外の公園,児童遊園,小金井市貫井南町一丁目16番,139.49395,35.68991,平成5年3月31日,210 
41,82,貫井南遊歩道公園,都市公園以外の公園,児童遊園,小金井市貫井南町一丁目22番,139.49629,35.69136,平成14年11月25日,392 
21,83,かきの木公園,都市公園以外の公園,児童遊園,小金井市貫井南町二丁目3番,139.49652,35.69288,平成5年3月31日,367 
16,84,貫井南町緑の森公園,都市公園以外の公園,児童遊園,小金井市貫井南町三丁目17番,139.49559,35.70009,平成18年10月3日,165 
17,85,貫井南花木公園,都市公園以外の公園,児童遊園,小金井市貫井南町三丁目22番,139.4988,35.69974,平成16年12月20日,421 
28,86,ムクロジ公園,都市公園以外の公園,児童遊園,小金井市貫井南町四丁目10番,139.49188,35.69574,平成7年5月9日,232 
29,87,アオダモ公園,都市公園以外の公園,児童遊園,小金井市貫井南町四丁目11番,139.49099,35.69675,平成6年6月17日,203 
27,88,貫井南町四丁目第４児童遊園,都市公園以外の公園,児童遊園,小金井市貫井南町四丁目12番,139.49244,35.69528,昭和53年6月21日,265 
25,89,貫井南町大けやき公園,都市公園以外の公園,児童遊園,小金井市貫井南町四丁目20番,139.4936,35.6969,昭和53年2月8日,364 
26,90,貫井かしのき公園,都市公園以外の公園,児童遊園,小金井市貫井南町四丁目21番,139.49296,35.69686,平成2年4月9日,498 
18,91,貫井もちのき公園,都市公園以外の公園,児童遊園,小金井市貫井南町四丁目29番,139.49606,35.69778,昭和52年9月5日,275 
36,92,貫井南つつじ公園,都市公園以外の公園,児童遊園,小金井市貫井南町五丁目6番,139.49058,35.69016,平成16年7月26日,237 
35,93,サンシュユ公園,都市公園以外の公園,児童遊園,小金井市貫井南町五丁目6番,139.49068,35.69144,平成5年10月1日,392 
31,94,なつみかん公園,都市公園以外の公園,児童遊園,小金井市貫井南町五丁目15番,139.49013,35.69367,昭和59年12月27日,506 
128,95,リーフィア貫井南公園,都市公園以外の公園,児童遊園,小金井市貫井南町五丁目17番,139.49099,35.69243,平成21年1月30日,262 
142,96,もみじの里公園,都市公園以外の公園,児童遊園,小金井市東町一丁目16番,139.52915,35.69669,平成5年9月16日,90 
83,97,ナツグミ広場,都市公園以外の公園,子供広場,小金井市東町二丁目15番,139.52704,35.69189,平成28年4月1日,628 
82,98,東町いちょう広場,都市公園以外の公園,子供広場,小金井市東町二丁目19番,139.53125,35.69637,昭和54年12月20日,160 
74,99,東町三丁目第２子供広場,都市公園以外の公園,子供広場,小金井市東町三丁目3番,139.52816,35.69819,昭和57年7月10日,84 
80,100,東町ポケット広場,都市公園以外の公園,子供広場,小金井市東町四丁目4番,139.52744,35.69618,平成7年11月27日,57 
89,101,梶野町まつのき広場,都市公園以外の公園,子供広場,小金井市梶野町一丁目8番,139.53066,35.70405,昭和44年1月1日,540 
118,102,雑木林広場,都市公園以外の公園,子供広場,小金井市梶野町三丁目17番,139.52237,35.71222,昭和48年10月1日,598 
116,103,梶野町四丁目子供広場,都市公園以外の公園,子供広場,小金井市梶野町四丁目16番,139.52197,35.70658,昭和52年3月9日,37 
132,104,梶野広場,都市公園以外の公園,子供広場,小金井市梶野町五丁目10番,139.52614,35.70426,平成8年2月1日,739 
115,105,リンゴ広場,都市公園以外の公園,子供広場,小金井市緑町一丁目6番,139.52102,35.70372,平成5年4月27日,43 
52,106,クワノキ広場,都市公園以外の公園,子供広場,小金井市緑町五丁目1番,139.51722,35.70191,平成6年6月17日,53 
108,107,シデザクラ広場,都市公園以外の公園,子供広場,小金井市緑町五丁目14番,139.51635,35.70269,平成9年10月3日,44 
97,108,もみじ広場,都市公園以外の公園,子供広場,小金井市緑町五丁目19番,139.51451,35.70474,昭和52年12月21日,73 
98,109,緑町五丁目第２子供広場,都市公園以外の公園,子供広場,小金井市緑町五丁目18番,139.51472,35.70501,昭和58年7月26日,49 
61,110,中町一丁目第２子供広場,都市公園以外の公園,子供広場,小金井市中町一丁目2番,139.51279,35.69407,昭和50年7月16日,45 
47,111,中町三丁目暫定広場,都市公園以外の公園,子供広場,小金井市中町三丁目19番,139.51338,35.70072,平成5年4月1日,"7,130 "
50,112,中町三丁目子供広場,都市公園以外の公園,子供広場,小金井市中町三丁目22番,139.51465,35.70044,昭和53年2月24日,75 
49,113,中町三丁目第２子供広場,都市公園以外の公園,子供広場,小金井市中町三丁目22番,139.5149,35.70089,昭和53年12月20日,63 
53,114,ハケの上広場,都市公園以外の公園,子供広場,小金井市中町四丁目16番,139.50823,35.6974,平成1年3月31日,71 
71,115,前原町一丁目第２子供広場,都市公園以外の公園,子供広場,小金井市前原町一丁目9番,139.50919,35.69005,昭和51年2月29日,40 
72,116,前原町一丁目第４子供広場,都市公園以外の公園,子供広場,小金井市前原町一丁目10番,139.51016,35.69086,昭和60年11月6日,74 
70,117,七軒家広場,都市公園以外の公園,子供広場,小金井市前原町一丁目10番,139.50962,35.69089,昭和63年9月26日,90 
63,118,前原町二丁目第２子供広場,都市公園以外の公園,子供広場,小金井市前原町二丁目17番,139.51307,35.69334,昭和52年2月15日,29 
62,119,前原町二丁目第３子供広場,都市公園以外の公園,子供広場,小金井市前原町二丁目17番,139.51263,35.69343,昭和52年2月15日,41 
20,120,ナツメ広場,都市公園以外の公園,子供広場,小金井市前原町三丁目25番,139.50029,35.69649,平成8年12月17日,45 
133,121,前原坂ポケット広場,都市公園以外の公園,子供広場,小金井市前原町三丁目40番,139.5061,35.69797,平成24年5月25日,44 
125,122,はなもも広場,都市公園以外の公園,子供広場,小金井市前原町五丁目3番,139.49797,35.68824,平成5年3月25日,59 
43,123,前原町五丁目子供広場,都市公園以外の公園,子供広場,小金井市前原町五丁目8番,139.5006,35.68858,昭和56年6月7日,83 
129,124,前原町さくら広場,都市公園以外の公園,子供広場,小金井市前原町五丁目8番,139.50162,35.688,平成6年7月27日,36 
122,125,ピラカンサ広場,都市公園以外の公園,子供広場,小金井市本町五丁目34番,139.50163,35.70537,昭和52年7月27日,82 
44,126,ゆりのき広場,都市公園以外の公園,子供広場,小金井市本町六丁目9番,139.50194,35.70071,昭和51年2月17日,50 
99,127,大尽の坂広場,都市公園以外の公園,子供広場,小金井市桜町一丁目3番,139.5109,35.70975,昭和48年9月5日,60 
100,128,桜町一丁目第４子供広場,都市公園以外の公園,子供広場,小金井市桜町一丁目8番,139.51097,35.71097,昭和51年2月29日,35 
15,129,楓の木広場,都市公園以外の公園,子供広場,小金井市貫井北町一丁目4番,139.49276,35.7015,昭和59年2月29日,47 
120,130,クスノキ広場,都市公園以外の公園,子供広場,小金井市貫井北町二丁目6番,139.49772,35.706,平成4年2月28日,31 
144,131,ザイフリボク広場,都市公園以外の公園,子供広場,小金井市貫井北町三丁目5番,139.49699,35.70834,平成6年6月17日,40 
39,132,貫井南町一丁目第２子供広場,都市公園以外の公園,子供広場,小金井市貫井南町一丁目16番,139.49288,35.69051,昭和59年6月23日,93 
38,133,貫井南町一丁目第３子供広場,都市公園以外の公園,子供広場,小金井市貫井南町一丁目14番,139.49421,35.68969,昭和53年11月6日,47 
40,134,貫井南町カリン広場,都市公園以外の公園,子供広場,小金井市貫井南町一丁目17番,139.49487,35.69111,平成10年7月27日,53 
23,135,下弁天子供広場,都市公園以外の公園,子供広場,小金井市貫井南町二丁目1番,139.49958,35.69292,昭和47年12月25日,970 
22,136,ロウバイ広場,都市公園以外の公園,子供広場,小金井市貫井南町二丁目1番,139.49853,35.69278,平成12年12月5日,93 
24,137,貫井けやき広場,都市公園以外の公園,子供広場,小金井市貫井南町四丁目14番,139.49449,35.6958,昭和45年3月1日,472 
19,138,貫井南町四丁目第２子供広場,都市公園以外の公園,子供広場,小金井市貫井南町四丁目30番,139.49732,35.69722,昭和49年1月29日,42 
30,139,貫井南町四丁目第３子供広場,都市公園以外の公園,子供広場,小金井市貫井南町四丁目10番,139.49137,35.69503,昭和53年11月15日,67 
34,140,貫井南町五丁目子供広場,都市公園以外の公園,子供広場,小金井市貫井南町五丁目8番,139.48997,35.69227,昭和50年3月23日,69 
32,141,貫井南町五丁目第３子供広場,都市公園以外の公園,子供広場,小金井市貫井南町五丁目12番,139.48958,35.69278,昭和54年6月12日,66 
33,142,ヤマボウシ広場,都市公園以外の公園,子供広場,小金井市貫井南町五丁目21番,139.49211,35.69275,平成8年12月17日,68 
186,143,東町二丁目緑地,都市公園以外の緑地,その他の緑地,小金井市東町二丁目29番,139.53108,35.69877,平成6年5月27日,52 
185,144,東町しだれざくら緑地,都市公園以外の緑地,その他の緑地,小金井市東町二丁目31番,139.53019,35.69821,平成5年2月25日,53 
184,145,ぶどう緑地,都市公園以外の緑地,その他の緑地,小金井市東町三丁目1番,139.52837,35.69759,昭和52年3月28日,48 
183,146,エンジュ緑地,都市公園以外の緑地,その他の緑地,小金井市東町三丁目18番,139.52921,35.70061,平成14年11月25日,41 
174,147,東町五丁目緑地,都市公園以外の緑地,その他の緑地,小金井市東町五丁目5番,139.52092,35.69036,昭和59年6月2日,38 
187,148,二枚橋上緑地,都市公園以外の緑地,その他の緑地,小金井市東町五丁目29番,139.52409,35.69295,平成4年3月26日,84 
190,149,堀端緑地,都市公園以外の緑地,その他の緑地,小金井市梶野町三丁目4番,139.52536,35.70935,平成7年7月7日,77 
188,150,梶野町雑木緑地,都市公園以外の緑地,その他の緑地,小金井市梶野町三丁目8番・12番,139.52483,35.71151,平成7年9月20日,684 
189,151,サルスベリ緑地,都市公園以外の緑地,その他の緑地,小金井市梶野町三丁目11番,139.52664,35.71149,平成7年12月15日,80 
162,152,緑町一丁目緑地,都市公園以外の緑地,その他の緑地,小金井市緑町一丁目2番,139.52059,35.70214,平成4年1月11日,294 
210,153,緑町雑木林緑地,都市公園以外の緑地,その他の緑地,小金井市緑町一丁目2番,139.51959,35.70249,平成11年4月30日,69 
209,154,うめの木緑地,都市公園以外の緑地,その他の緑地,小金井市緑町一丁目6番,139.52177,35.70288,平成7年5月2日,73 
213,155,ヤマモモ緑地,都市公園以外の緑地,その他の緑地,小金井市緑町二丁目2番,139.52102,35.70544,平成5年11月19日,48 
211,156,亀久保緑地,都市公園以外の緑地,その他の緑地,小金井市緑町二丁目5番,139.51991,35.70761,昭和53年4月10日,582 
205,157,木の実緑地,都市公園以外の緑地,その他の緑地,小金井市緑町二丁目14番,139.51992,35.71115,平成10年10月19日,63 
204,158,砂川用水ポケット緑地,都市公園以外の緑地,その他の緑地,小金井市緑町二丁目17番,139.52106,35.71242,昭和60年3月27日,393 
208,159,仙川緑地,都市公園以外の緑地,その他の緑地,小金井市緑町三丁目3番,139.5156,35.70901,平成5年6月22日,232 
206,160,孟宗竹緑地,都市公園以外の緑地,その他の緑地,小金井市緑町三丁目4番,139.51462,35.70949,平成1年9月18日,37 
201,161,イチジク緑地,都市公園以外の緑地,その他の緑地,小金井市緑町四丁目5番,139.51406,35.70623,平成7年12月25日,25 
199,162,緑町ポケット緑地,都市公園以外の緑地,その他の緑地,小金井市緑町四丁目6番,139.51303,35.70564,平成3年12月5日,90 
200,163,緑町ポケット緑地２,都市公園以外の緑地,その他の緑地,小金井市緑町四丁目6番,139.51315,35.70601,平成8年4月30日,131 
217,164,下山谷の森,都市公園以外の緑地,その他の緑地,小金井市緑町四丁目16番,139.51712,35.70702,平成26年12月1日,"1,927 "
207,165,緑町シダレザクラ緑地,都市公園以外の緑地,その他の緑地,小金井市緑町四丁目18番,139.51825,35.70962,平成10年8月3日,83 
161,166,キンカン緑地,都市公園以外の緑地,その他の緑地,小金井市緑町五丁目2番,139.51684,35.70194,平成9年5月8日,48 
176,167,四割堰緑地,都市公園以外の緑地,その他の緑地,小金井市中町一丁目7番,139.50971,35.69336,昭和63年10月6日,40 
167,168,中町さくら緑地,都市公園以外の緑地,その他の緑地,小金井市中町一丁目10番,139.51177,35.69654,昭和50年5月3日,70 
175,169,美術の森緑地,都市公園以外の緑地,その他の緑地,小金井市中町一丁目11番,139.51299,35.69539,平成3年3月27日,"2,419 "
173,170,中町マンサク緑地,都市公園以外の緑地,その他の緑地,小金井市中町一丁目13番,139.51491,35.69519,平成7年11月27日,88 
172,171,こぶし緑地,都市公園以外の緑地,その他の緑地,小金井市中町二丁目1番,139.52155,35.69525,平成2年8月7日,291 
169,172,かしの木緑地,都市公園以外の緑地,その他の緑地,小金井市中町二丁目15番,139.51618,35.69653,平成7年10月9日,453 
171,173,中町雑木緑地,都市公園以外の緑地,その他の緑地,小金井市中町二丁目17番,139.51849,35.69673,平成7年1月31日,328 
170,174,ヤマボウシ緑地,都市公園以外の緑地,その他の緑地,小金井市中町二丁目18番,139.51901,35.6971,平成6年10月21日,98 
168,175,天神橋緑地,都市公園以外の緑地,その他の緑地,小金井市中町四丁目3番,139.50799,35.69394,平成8年11月30日,309 
163,176,はけの森緑地,都市公園以外の緑地,その他の緑地,小金井市中町四丁目16番,139.50655,35.69631,平成2年2月9日,946 
164,177,中町四丁目緑地,都市公園以外の緑地,その他の緑地,小金井市中町四丁目11番,139.50798,35.6965,平成21年10月9日,430 
165,178,はけの森緑地２,都市公園以外の緑地,その他の緑地,小金井市中町四丁目12番,139.50869,35.69677,平成5年3月31日,"2,269 "
166,179,はけのうえ竹の子緑地,都市公園以外の緑地,その他の緑地,小金井市中町四丁目18番,139.50996,35.69667,昭和61年10月1日,80 
180,180,前原町シラカシ緑地,都市公園以外の緑地,その他の緑地,小金井市前原町一丁目10番,139.50998,35.69065,平成11年1月27日,233 
181,181,はなみずきの庭,都市公園以外の緑地,その他の緑地,小金井市前原町一丁目11番,139.50925,35.69091,平成3年12月5日,44 
177,182,野川サクラ緑地,都市公園以外の緑地,その他の緑地,小金井市前原町三丁目3番,139.50362,35.6933,平成9年5月8日,33 
157,183,ユズ緑地,都市公園以外の緑地,その他の緑地,小金井市前原町三丁目33番,139.50218,35.6969,昭和58年7月22日,40 
158,184,西の台緑地,都市公園以外の緑地,その他の緑地,小金井市前原町三丁目23番,139.50191,35.69614,昭和62年9月21日,52 
148,185,雑木林緑地,都市公園以外の緑地,その他の緑地,小金井市前原町三丁目26番,139.49979,35.69636,平成5年6月10日,47 
179,186,サクランボ緑地,都市公園以外の緑地,その他の緑地,小金井市前原町四丁目18番,139.50411,35.69092,平成6年5月27日,63 
152,187,アンズ緑地,都市公園以外の緑地,その他の緑地,小金井市前原町五丁目13番,139.50115,35.69192,平成5年12月9日,37 
178,188,スモモ緑地,都市公園以外の緑地,その他の緑地,小金井市前原町五丁目14番,139.50265,35.69204,平成5年12月16日,54 
159,189,ワダスメモリー緑地,都市公園以外の緑地,その他の緑地,小金井市本町一丁目4番,139.50915,35.69882,平成7年2月7日,34 
195,190,本町二丁目緑地,都市公園以外の緑地,その他の緑地,小金井市本町二丁目6番,139.50774,35.70345,昭和63年3月31日,82 
198,191,本町木の実緑地,都市公園以外の緑地,その他の緑地,小金井市本町二丁目20番,139.50852,35.70489,平成18年5月26日,92 
218,192,上山谷緑地公園,都市公園以外の緑地,その他の緑地,小金井市本町三丁目4番,139.51026,35.70588,平成25年4月1日,874 
203,193,ネムノキ緑地,都市公園以外の緑地,その他の緑地,小金井市本町三丁目12番,139.50918,35.70866,平成9年10月3日,37 
194,194,白樫緑地,都市公園以外の緑地,その他の緑地,小金井市本町四丁目3番,139.50434,35.70651,平成5年4月1日,404 
219,195,築樋緑地,都市公園以外の緑地,その他の緑地,小金井市本町四丁目4番,139.50323,35.70708,平成21年5月15日,520 
197,196,エゴノキ緑地,都市公園以外の緑地,その他の緑地,小金井市本町五丁目15番,139.50717,35.70348,昭和63年7月1日,32 
196,197,アラカシ緑地,都市公園以外の緑地,その他の緑地,小金井市本町五丁目17番,139.50683,35.70292,平成18年5月26日,32 
193,198,桜町二丁目緑地,都市公園以外の緑地,その他の緑地,小金井市桜町二丁目1番,139.50781,35.71028,昭和60年2月23日,136 
192,199,ナツメ緑地,都市公園以外の緑地,その他の緑地,小金井市桜町二丁目12番,139.50581,35.71191,平成7年2月21日,40 
215,200,貫井北町カリン緑地,都市公園以外の緑地,その他の緑地,小金井市貫井北町二丁目4番,139.49759,35.70387,平成4年2月13日,43 
214,201,玉川上水ポケット緑地,都市公園以外の緑地,その他の緑地,小金井市貫井北町三丁目39番,139.50082,35.71241,昭和57年5月10日,47 
216,202,貫井北町五丁目緑地,都市公園以外の緑地,その他の緑地,小金井市貫井北町五丁目22番,139.49295,35.70303,平成3年4月30日,62 
156,203,貫井南町シャラノキ緑地,都市公園以外の緑地,その他の緑地,小金井市貫井南町一丁目10番,139.49653,35.69009,平成6年12月20日,45 
151,204,モクレン緑地,都市公園以外の緑地,その他の緑地,小金井市貫井南町二丁目3番,139.49667,35.6935,平成7年3月31日,40 
147,205,三楽緑地,都市公園以外の緑地,その他の緑地,小金井市貫井南町三丁目7番,139.49574,35.69811,平成3年12月5日,76 
146,206,貫井南町三丁目緑地,都市公園以外の緑地,その他の緑地,小金井市貫井南町三丁目11番,139.49281,35.70011,平成8年4月30日,74 
153,207,マユミ緑地,都市公園以外の緑地,その他の緑地,小金井市貫井南町四丁目12番,139.4929,35.69544,平成7年8月28日,58 
155,208,貫井南町サクラ緑地,都市公園以外の緑地,その他の緑地,小金井市貫井南町五丁目8番,139.4906,35.69163,昭和50年3月28日,70 
