国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和2年中の死亡数
日本人,4,13206,府中市,237,181,184,159,150,174,160,173,185,183,195,181,2162
日本人,4,13207,昭島市,125,74,90,96,64,96,93,101,99,109,105,123,1175
日本人,4,13208,調布市,198,140,151,154,150,148,134,168,154,169,148,181,1895
日本人,4,13209,町田市,424,350,359,325,289,315,307,350,327,294,354,376,4070
日本人,4,13210,小金井市,89,82,67,82,70,81,84,73,72,84,89,85,958
日本人,4,13211,小平市,147,145,151,153,123,128,145,117,157,128,157,146,1697
日本人,4,13212,日野市,171,142,124,126,122,110,118,133,121,133,160,122,1582
日本人,4,13213,東村山市,161,129,123,146,123,113,120,112,135,154,113,125,1554
日本人,4,13214,国分寺市,86,72,71,99,62,64,65,96,89,89,105,84,982
日本人,4,13215,国立市,61,55,55,54,45,53,74,54,49,52,52,58,662
日本人,4,13218,福生市,68,61,62,42,49,44,42,56,43,52,45,54,618
日本人,4,13219,狛江市,75,56,74,74,72,60,48,71,62,49,55,74,770
日本人,4,13220,東大和市,89,71,93,66,57,62,65,67,61,59,71,57,818
日本人,4,13221,清瀬市,70,82,72,68,80,60,63,70,73,76,68,94,876
日本人,4,13222,東久留米市,157,100,112,102,86,86,98,90,116,119,116,120,1302
日本人,4,13223,武蔵村山市,73,48,63,68,48,43,43,54,63,58,62,56,679
日本人,4,13224,多摩市,148,123,114,111,108,88,91,105,96,119,100,112,1315
日本人,4,13225,稲城市,72,53,58,50,61,48,47,62,45,54,48,45,643
日本人,4,13227,羽村市,60,31,54,36,39,40,35,47,36,53,53,54,538
日本人,4,13228,あきる野市,94,74,82,63,77,54,70,86,81,83,88,107,959
日本人,4,13229,西東京市,184,160,151,136,131,127,160,157,145,156,153,167,1827
日本人,1,13550,町村部,160,129,115,120,81,96,114,99,116,133,119,113,1395
日本人,2,13300,郡部,115,97,76,81,57,80,81,69,81,96,85,72,990
日本人,4,13303,瑞穂町,58,41,31,23,23,30,33,23,34,42,30,24,392
日本人,4,13305,日の出町,33,34,27,29,21,30,27,25,25,27,27,33,338
日本人,4,13307,檜原村,9,10,7,12,5,7,5,6,5,11,8,3,88
日本人,4,13308,奥多摩町,15,12,11,17,8,13,16,15,17,16,20,12,172
日本人,2,13350,島部,45,32,39,39,24,16,33,30,35,37,34,41,405
日本人,3,13360,大島支庁,28,21,21,14,13,9,10,16,15,14,18,20,199
日本人,4,13361,大島町,18,13,13,8,8,6,4,6,10,10,13,15,124
日本人,4,13362,利島村,0,1,0,1,0,1,1,0,0,0,1,0,5
日本人,4,13363,新島村,5,5,7,3,3,0,3,5,2,3,3,4,43
日本人,4,13364,神津島村,5,2,1,2,2,2,2,5,3,1,1,1,27
日本人,3,13380,三宅支庁,9,1,7,9,2,0,7,4,2,6,5,3,55
日本人,4,13381,三宅村,7,1,6,9,2,0,6,3,2,5,5,3,49
日本人,4,13382,御蔵島村,2,0,1,0,0,0,1,1,0,1,0,0,6
日本人,3,13400,八丈支庁,7,10,11,13,7,5,15,10,16,16,8,17,135
日本人,4,13401,八丈町,7,9,11,13,7,5,15,10,15,16,8,17,133
日本人,4,13402,青ヶ島村,0,1,0,0,0,0,0,0,1,0,0,0,2
日本人,3,13420,小笠原支庁,1,0,0,3,2,2,1,0,2,1,3,1,16
日本人,4,13421,小笠原村,1,0,0,3,2,2,1,0,2,1,3,1,16
外国人,0,13000,総数,99,80,81,68,70,76,79,81,81,78,85,87,965
外国人,1,13100,区部,80,65,70,58,50,60,61,63,69,58,72,76,782
外国人,1,13200,市部,19,15,11,10,20,16,18,17,12,20,13,10,181
外国人,2,13300,郡部,0,0,0,0,0,0,0,1,0,0,0,1,2
外国人,2,13350,島部,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,1,13100,区部,80,65,70,58,50,60,61,63,69,58,72,76,782
外国人,4,13101,千代田区,1,0,0,0,0,1,0,1,0,0,0,0,3
外国人,4,13102,中央区,1,2,2,0,2,0,1,2,0,1,3,2,16
外国人,4,13103,港区,2,2,3,1,2,3,3,3,2,5,1,3,30
外国人,4,13104,新宿区,5,6,3,1,0,1,4,2,3,1,5,3,34
外国人,4,13105,文京区,1,1,1,1,1,0,1,0,2,2,2,0,12
外国人,4,13106,台東区,2,1,2,3,1,0,4,4,3,1,7,3,31
外国人,4,13107,墨田区,2,0,0,2,3,2,2,3,3,5,1,0,23
外国人,4,13108,江東区,3,3,3,5,3,4,4,2,3,4,5,2,41
外国人,4,13109,品川区,5,3,2,2,5,1,6,3,1,6,5,3,42
外国人,4,13110,目黒区,0,2,2,0,0,0,5,2,2,1,3,2,19
外国人,4,13111,大田区,7,5,5,3,2,6,3,6,3,4,3,7,54
外国人,4,13112,世田谷区,3,4,2,3,4,4,2,2,3,3,2,3,35
外国人,4,13113,渋谷区,1,1,2,1,0,2,2,2,0,1,2,2,16
外国人,4,13114,中野区,3,2,2,0,2,5,3,1,2,0,3,3,26
外国人,4,13115,杉並区,4,1,6,4,5,2,1,0,4,2,1,4,34
外国人,4,13116,豊島区,4,7,1,3,1,2,0,1,3,1,2,2,27
外国人,4,13117,北区,3,5,4,3,3,4,6,1,0,0,1,2,32
外国人,4,13118,荒川区,3,4,10,6,0,2,2,4,6,4,2,6,49
外国人,4,13119,板橋区,1,2,5,0,2,4,1,2,4,0,4,3,28
外国人,4,13120,練馬区,8,4,2,4,2,4,2,1,7,3,2,4,43
外国人,4,13121,足立区,9,2,7,11,6,5,4,9,11,6,8,8,86
外国人,4,13122,葛飾区,4,5,4,3,2,4,3,4,2,4,6,3,44
外国人,4,13123,江戸川区,8,3,2,2,4,4,2,8,5,4,4,11,57
外国人,1,13200,市部,19,15,11,10,20,16,18,17,12,20,13,10,181
外国人,4,13201,八王子市,1,3,1,2,2,3,3,4,2,2,3,0,26
