実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年10月,2017,10,-,-,-,-,1.6,1.9,-24,-52.6,20,-40.1,5.3,5.4,-17.3,2.4,-10,-5.1,-62.8,2.6,15.9,-26.4,24.2,15.8,-14.7,-13.2,1.4
meimoku,tuki,対前年（同期・同月）名目増加率_平成29年11月,2017,11,-,-,-,-,-29.8,-21.5,-25.4,-56.4,9,-2.5,-42.6,-65.6,-73.5,-28.6,-1.3,1.1,30.1,10.4,18.4,-1.8,13.8,-21.9,-75,-8.5,-9.7
jissitu,nen,対前年（同期・同月）実質増加率_平成25年平均,2013,,-,-,-,-,1.4,-0.1,0.2,-32.6,25.2,10.9,-0.5,0,51.8,-0.7,2.8,-0.4,10.2,-1.6,9.7,-0.5,1.8,1.1,-64.8,6.1,-
jissitu,nen,対前年（同期・同月）実質増加率_平成26年平均,2014,,-,-,-,-,-7.1,-5.5,-5.9,-40.8,8.4,16,-6.5,-8.5,-43,-6.7,-6.9,-2,-18.5,-6.1,-4.9,-8.4,-4,0,-39.6,-3.5,-
jissitu,nen,対前年（同期・同月）実質増加率_平成27年平均,2015,,-,-,-,-,-2.5,-2.4,-2.1,84.1,-21.4,19,-3.6,-2.4,-7.7,-4.7,1.7,0.5,4.4,3.2,-4,8.4,-3.8,7.2,338.1,-0.1,-
jissitu,nen,対前年（同期・同月）実質増加率_平成28年平均,2016,,-,-,-,-,-1,-2.9,-10.6,2.4,-17.5,-2.8,-2,-4,75.4,2.7,-9.1,-1.5,-5.1,-3.3,-6.4,-10.3,-16.1,-21.2,-80.1,-14.7,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成28年7～9月,2016,7～9,-,-,-,-,-1.1,-5.6,10.3,13.2,8.7,-31.1,-4.9,-9.8,141.2,-0.1,-4.6,-2.1,3.3,-7.3,10,-17.8,-9,-7.4,-92.7,-10.9,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成29年10～12月,2017,10～12,-,-,-,-,-5.7,-7.2,-45.4,-37.5,-52.1,72.9,-5.4,-4.7,66.2,-6.5,-7.4,-4.7,3.3,2.8,-15.6,-10.6,-30.9,-2.1,-65,-10.3,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成29年1～3月,2017,1～3,-,-,-,-,-1,0.1,-13.3,-21.1,-7.4,26.3,0.2,4.2,-27,-6.3,-0.2,-2.4,-28.5,0,-5.6,15.6,2.3,17.1,-67.9,-12.2,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成29年4～6月,2017,4～6,-,-,-,-,-3.6,-3.1,-14,18.1,-28.6,-24.7,-1.3,2.5,-21.9,-7.4,3.6,2.4,-21.4,-0.6,-1.9,3.1,29.3,11.5,34.6,4.5,-
jissitu,sihan,対前年（同期・同月）実質増加率_平成29年7～9月,2017,7～9,-,-,-,-,-23.3,-19.4,-54,-66.1,-47.9,-25.9,-12,-4,-71.5,-23.6,4.4,0.8,73.6,0.2,-12.1,-26.2,-12.2,33.4,118.5,6.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年11月,2016,11,-,-,-,-,14,4.9,-27.9,24.4,-50.8,79.4,16.3,31.9,111.4,47.1,-11.7,-6.9,-15.4,1.2,-7.3,-24.5,-39.9,-5.4,113.5,-18.9,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成28年12月,2016,12,-,-,-,-,-7.9,-9.2,-57.8,-64.5,-49.5,38.9,-4.4,-3.3,41.9,-7.9,-10.4,-4.1,-52.6,2.1,-7.7,16.1,-23.5,-7.8,-22.6,0.8,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年1月,2017,1,-,-,-,-,-29.8,-29.7,-27.6,-69.5,37.4,-24.7,-34.3,-33.8,-30,-62.1,-0.6,-0.9,-16.6,1.1,-44,28.3,1.5,31.6,-46.2,-14.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年2月,2017,2,-,-,-,-,3.9,4.5,-31.5,-21.5,-37.6,128.8,4,6.1,-35.4,2.3,-1.2,-2.6,-43.3,3.5,19,1.1,7.5,-0.8,-78.7,5.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年3月,2017,3,-,-,-,-,-8.9,-7.5,24.3,64.9,3.5,-8.9,-33.4,-9.9,-17.5,-23.6,1.3,-3.3,-24.3,-4.7,25.7,15.5,-1.3,24.6,-83.6,-23.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年4月,2017,4,-,-,-,-,-1.3,-0.8,13.3,7.9,16.6,-8.2,-1.3,1.4,-24.8,-2.2,1.2,2.3,-9.4,-5.7,2.9,15.3,14.6,15.4,-99.1,2.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年5月,2017,5,-,-,-,-,-37.8,-44,-38.3,9.7,-56.6,-32.1,-54.4,-29,4.2,-124.7,5.8,0.7,-21.3,10,-10.4,-4.6,44.2,7.4,-,1.7,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年6月,2017,6,-,-,-,-,-0.5,0.4,-7.1,45.5,-29.7,-33.1,2.1,4.7,-42.7,-4.7,3.7,4.4,-28.5,-3.7,1.6,0,28.5,13.3,-68.3,10.3,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年7月,2017,7,-,-,-,-,-59.4,-60.5,-67.8,-44.1,-76,-50,-57.1,-0.6,-45.5,-83.9,4.5,0.1,26.8,10.3,-14.5,-19,2.3,11.3,133.7,17.2,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年8月,2017,8,-,-,-,-,-8.9,-7.3,-50.5,-77.8,-31.2,8,-5.4,-4.6,-62.1,-5.9,-1.9,0.6,-29.2,-4,-7.2,-28.5,-26.5,47.9,-80.9,-3.5,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年9月,2017,9,-,-,-,-,-48.1,-31.3,-24.1,-84.1,22.6,-29.3,-37.3,3.4,-84,-52.8,10.2,1.7,239.7,-4.6,-13.9,-31.6,-6.5,40.4,325.8,4.9,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年10月,2017,10,-,-,-,-,1.7,2,-23.9,-52.6,20.1,-40,5.4,5.5,-17.2,2.5,-9.9,-3.1,-62.8,-4.2,15,-26.3,22.1,15.7,-14.8,-13.1,-
jissitu,tuki,対前年（同期・同月）実質増加率_平成29年11月,2017,11,-,-,-,-,-30.1,-21.8,-25.7,-56.6,8.6,-2.9,-42.8,-65.7,-73.6,-28.9,-1.7,1.7,30.2,3.7,18.3,-1.4,12,-22.1,-75,-9,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成29年11月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要指標３　―無職世帯―,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
