"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"4","215","2023/03/13 0:00:00","中野区野方２丁目Ｃ号棟　新築工事","株式会社　大光住販","中野区中央4-6-14","2023/03/08 0:00:00","株式会社　アトリエT.A　一級建築士事務所","神奈川県橫浜市中区山下町112-3　ポートタワー盛徳　602","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2","野方2-1450-75","野方2-14-4","第1種低層住居専用地域","","一戸建ての住宅","新築","8.998","地上3階","木造","べた基礎","66.24","39.85","104.75","2023/04/21 0:00:00","2023/09/21 0:00:00","4-215","139.656624596534","35.7132516237578","令和４年度"
"3","138","2021/11/19 0:00:00","個人","個人","個人","2021/11/15 0:00:00","積水ハウス株式会社　東京北支店","豊島区東池袋3-16-3　アーバンネット池袋ビル　1F","積水ハウス株式会社　東京西支店","新宿区西新宿3-6-11　西新宿ＫＳビル　1F","丸山1-1808-65、66、67","丸山1-20-10","第1種低層住居専用地域","","一戸建ての住宅","新築","9.629","地上3階","鉄骨造","布基礎","269.97","61.91","150.63","2022/02/12 0:00:00","2022/06/20 0:00:00","3-138","139.65655623043","35.7260148169275","令和３年度"
"3","131","2021/11/10 0:00:00","中野区丸山１丁目　B号棟","パラダイスリゾート株式会社","武蔵野市境2-2-7","2021/11/06 0:00:00","株式会社　飯田産業","武蔵野市境南町3-13-14","株式会社　飯田産業","武蔵野市境南町2-2-2","丸山1-1808-20、36、45","丸山1-20-10","第1種低層住居専用地域","","一戸建ての住宅","新築","8.918","地上3階","木造","べた基礎","70.41","39.33","108.88","2022/01/08 0:00:00","2022/03/26 0:00:00","3-131","139.656629250866","35.7260438729494","令和３年度"
"3","79","2021/07/13 0:00:00","取下げ","","","","","","","","","","","","","","","","","","","","","","","3-79","139.656629286448","35.7260439298333","令和３年度"
"4","216","2023/03/13 0:00:00","中野区野方２丁目D号棟　新築工事","株式会社　大光住販","中野区中央4-6-14","2023/03/08 0:00:00","株式会社　アトリエT.A　一級建築士事務所","神奈川県橫浜市中区山下町112-3　ポートタワー盛徳　602","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2","野方2-1450-76","野方2-14-4","第1種低層住居専用地域","","一戸建ての住宅","新築","8.915","地上3階","木造","べた基礎","62.33","41.4","105.54","2023/04/21 0:00:00","2023/09/21 0:00:00","4-216","139.656687091084","35.7132306965935","令和４年度"
"4","198","2023/02/22 0:00:00","中野区野方２丁目E号棟　新築工事","株式会社　大光住販","中野区中央4-6-14","2023/02/08 0:00:00","株式会社　アトリエT.A　一級建築士事務所","神奈川県橫浜市中区山下町112-3　ポートタワー盛徳　602","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2","野方2-1450-77","野方2-14","第1種低層住居専用地域","","一戸建ての住宅","新築","8.915","地上3階","木造","べた基礎","63.12","41.4","103.06","2023/03/31 0:00:00","2023/08/31 0:00:00","4-198","139.656742319736","35.7132112517333","令和４年度"
"5","199","2024/02/22 0:00:00","（仮称）野方１丁目マンション　邸　新築工事","個人","個人","2024/02/06 0:00:00","旭化成ホームズ　株式会社　集合第一支店","新宿区新宿4-1-6　JR新宿ミライナタワー　22F","旭化成ホームズ株式会社","千代田区神田神保町1-105","野方1-1566-1","野方1-23-5","第一種中高層住居専用地域","","共同住宅","新築","9.597","地上３階","S","杭基礎","413.2","279.1","778.94","2024/05/27 0:00:00","2025/03/31 0:00:00","5-199","139.656665085502","35.7118255245842","令和５年度"
"4","197","2023/02/22 0:00:00","中野区野方２丁目B号棟　新築工事","株式会社　大光住販","中野区中央4-6-14","2023/02/08 0:00:00","株式会社　アトリエT.A　一級建築士事務所","神奈川県橫浜市中区山下町112-3　ポートタワー盛徳　602","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2","野方2-1450-74","野方2-14","第1種低層住居専用地域","","一戸建ての住宅","新築","8.837","地上3階","木造","べた基礎","70.35","31.09","82.3","2023/03/31 0:00:00","2023/08/31 0:00:00","4-197","139.656720253","35.713288084381","令和４年度"
"3","117","2021/10/22 0:00:00","個人","個人","個人","2021/10/21 0:00:00","タイセーハウジング株式会社　一級建築士事務所","神奈川県厚木市中町4-14-1　サクセス本厚木ビル　4F","タイセーハウジング株式会社","神奈川県厚木市中町4-14-1　サクセス本厚木ビル　4F","野方4-587-8","野方4-41","第1種低層住居専用地域","","一戸建ての住宅","新築","9.985","地上3階","木造","べた基礎","99.99","60.36","162.19","2022/03/08 0:00:00","2022/08/20 0:00:00","3-117","139.656769902768","35.7222814544571","令和３年度"
"4","199","2023/02/22 0:00:00","中野区野方２丁目F号棟　新築工事","株式会社　大光住販","中野区中央4-6-14","2023/02/08 0:00:00","株式会社　アトリエT.A　一級建築士事務所","神奈川県橫浜市中区山下町112-3　ポートタワー盛徳　602","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2","野方2-1450-78","野方2-14","第1種低層住居専用地域","","一戸建ての住宅","新築","8.925","地上3階","木造","べた基礎","60.07","37.65","90.45","2023/03/31 0:00:00","2023/08/31 0:00:00","4-199","139.656789084674","35.7131942875555","令和４年度"
"3","94","2021/08/19 0:00:00","個人","個人","個人","2021/08/16 0:00:00","株式会社　三栄建築設計　一級建築士事務所","杉並区上荻1-2-1","株式会社　三栄建築設計","新宿区西新宿1-25-1","野方2-1453-21","野方2-11","第1種低層住居専用地域","","一戸建ての住宅","新築","9.822","地上3階","木造","べた基礎","86.73","47.79","119.26","2021/10/10 0:00:00","2022/03/10 0:00:00","3-94","139.656990859907","35.7145525864303","令和３年度"
"4","38","2022/05/30 0:00:00","(仮称)アーバハイツ中野","山廣建設株式会社","中野区本町5-14-23","2022/05/25 0:00:00","アセット・クリエイション　一級建築士事務所","目黒区緑が丘1-12-13","山廣建設株式会社","中野区本町5-14-23","野方1-1632-4","野方1-32","近隣商業地域","","共同住宅","新築","19.64","地上7階","鉄筋コンクリート造","杭基礎","272.12","206.9","1048.58","2022/08/01 0:00:00","2023/04/30 0:00:00","4-38","139.657076643583","35.7099536971615","令和４年度"
"5","102","2023/08/18 0:00:00","野方314Ⅱ③１号棟　新築工事","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","2023/08/16 0:00:00","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","野方3-964-2の一部","野方3-14","第１種低層住居専用地域","","一戸建ての住宅","新築","8.439","地上3階","木造","べた基礎","60.29","32.8","87.16","2023/10/30 0:00:00","2024/03/29 0:00:00","5-102","139.65708711065","35.7179077260286","令和５年度"
"5","103","2023/08/18 0:00:00","野方314Ⅱ③2号棟　新築工事","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","2023/08/16 0:00:00","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","野方3-964-2の一部","野方3-14","第１種低層住居専用地域","","一戸建ての住宅","新築","8.593","地上3階","木造","べた基礎","60","33.01","87.03","2023/10/30 0:00:00","2024/03/29 0:00:00","5-103","139.657130629467","35.7178891642111","令和５年度"
"3","6","2021/04/07 0:00:00","都立中野工業高等学校仮設校舎等の借入れ","大和リース株式会社","千代田区飯田橋2-18-2","2021/04/01 0:00:00","大和リース株式会社　東京本店　一級建築士事務所","千代田区飯田橋2-18-2","大和リース株式会社　東京本店","千代田区飯田橋2-18-2","野方3-954-1","野方3-6-7","第1種低層住居専用地域","","学校","新築","11.904","地上3階","鉄骨造","杭基礎","7130.74","2223.31","5826.67","2021/06/01 0:00:00","2022/04/30 0:00:00","3-6","139.656679734081","35.7174026843743","令和３年度"
"4","55","2022/06/10 0:00:00","(仮称)オープンレジデンシア野方３丁目　新築工事","株式会社　オープンハウス・ディベロップメント","千代田区丸の内2-4-1","2022/06/04 0:00:00","有限会社　湯本建築事務所","港区西麻布3-13-10　パークサイドセピア　11F","未定","","野方3-989-12","野方3-6","第1種低層住居専用地域","","共同住宅","新築","9.43","地上3階／地下1階","鉄筋コンクリート造","杭基礎","610.26","487.48","1595.32","2022/08/01 0:00:00","2023/09/30 0:00:00","4-55","139.65742128231","35.7176581009233","令和４年度"
"4","98","2022/08/08 0:00:00","（仮称）中野区野方４丁目計画　新築工事","フィットハウストゥエンティーワン株式会社","練馬区中村北4-56-13　アイワビル　2F","2022/08/02 0:00:00","株式会社　アトリエ・ジオ　二級建築士事務所","中野区中野3-35-3　フレックス　1F","未定","","野方4-576-17、18","野方4-38","第1種低層住居専用地域","","一戸建ての住宅","新築","8.933","地上3階","木造","べた基礎","38.64","25","57.9","2022/09/15 0:00:00","2023/03/31 0:00:00","4-98","139.657580088765","35.720982857321","令和４年度"
"4","51","2022/06/08 0:00:00","(仮称)野方四丁目共同住宅　新築工事","株式会社　アクティブ","中野区野方4-37-11","2022/06/07 0:00:00","株式会社　泰成建設　一級建築士事務所","中野区新井4-32-4","株式会社　泰成建設","中野区新井4-32-4","野方4-578-5の一部、578-6","野方4-37-12","第1種低層住居専用地域","","共同住宅","新築","9.71","地上3階","鉄筋コンクリート造","直接基礎","197.22","119.25","298.22","2022/09/01 0:00:00","2023/06/30 0:00:00","4-51","139.657651392208","35.7205741383163","令和４年度"
"5","8","2023/04/12 0:00:00","中野区野方２丁目Ⅱ期分譲　新築工事","株式会社　パンコーポレーション","埼玉県春日部市中央1-4-10","2023/04/07 0:00:00","有限会社　酒井建築設計室","埼玉県春日部市備後東8-47-4","株式会社　優誠建設","埼玉県さいたま市浦和区本太2-9-8","野方2-1263-8","野方2-15-1","第１種低層住居専用地域","","一戸建ての住宅","新築","8.75","地上3階","木造","べた基礎","48.6","25.36","73.22","2023/05/25 0:00:00","2023/10/25 0:00:00","5-8","139.657696476755","35.7139262701322","令和５年度"
"5","98","2023/08/07 0:00:00","中野区野方２丁目２棟現場　①号棟","株式会社　東栄ビルド","神奈川県川崎市多摩区登戸2684","2023/08/04 0:00:00","株式会社　東栄ビルド　一級建築士事務所","神奈川県川崎市多摩区登戸2684","株式会社　東栄ビルド","神奈川県川崎市多摩区登戸2684","野方2-1246-12","野方2-15-11","第１種低層住居専用地域","","一戸建ての住宅","新築","9.202","地上3階","木造","べた基礎","84.41","42.64","112.4","2023/08/31 0:00:00","2024/01/09 0:00:00","5-98","139.657680087599","35.7129150506335","令和５年度"
"4","228","2023/03/24 0:00:00","（仮称）野方１MPJ　新築工事","ラニロカヒ合同会社","江戸川区大杉1-6-15","2023/03/21 0:00:00","COCOCHI・DESIGNS　一級建築士事務所","中央区湊1-10-6-802","株式会社　暁建設","埼玉県戸田市笹目2-7-29","野方1-1634-1、7","野方1-30-1","近隣商業地域","","共同住宅","新築","14.485","地上5階","鉄筋コンクリート造","べた基礎","185.18","141.14","674.19","2023/06/10 0:00:00","2024/06/10 0:00:00","4-228","139.657875146896","35.709975026036","令和４年度"
"4","36","2022/05/13 0:00:00","個人","個人","個人","2022/05/13 0:00:00","一級建築士事務所　ｉｋｍo","江東区北砂6-14-5","株式会社　吉田工務店","稲城市東長沼784","野方3-1073-32","野方3-3-3","第1種低層住居専用地域","","一戸建ての住宅","新築","9.635","地上3階","木造","直接基礎","92.57","41.43","95.15","2022/07/01 0:00:00","2023/02/15 0:00:00","4-36","139.657939170277","35.7157915947356","令和４年度"
"5","26","2023/04/28 0:00:00","中野区江古田４丁目","株式会社　グランビル","杉並区阿佐谷南3-50-4","2023/04/24 0:00:00","株式会社　グランビル　一級建築士事務所","杉並区阿佐谷南3-50-4","株式会社　グランビル","杉並区阿佐谷南3-50-4","江古田4-1757-3","江古田4-37","第１種低層住居専用地域","","一戸建ての住宅","新築","9.975","地上3階","木造","べた基礎","98.5","66.28","169.04","2023/06/30 0:00:00","2023/11/30 0:00:00","5-26","139.658086653475","35.7235148349216","令和５年度"
"5","114","2023/09/14 0:00:00","個人","個人","個人","2023/09/11 0:00:00","パナソニックホームズ株式会社　東京一級建築士事務所","新宿区西新宿2-3-1　新宿モノリス　11F","パナソニックホームズ株式会社　東京支社","新宿区西新宿2-3-1　新宿モノリス　11F","野方2-1242-14、17、18、26","野方2-7-20","第１種低層住居専用地域","","長屋","新築","9.87","地上3階","鉄骨造","直接基礎","128.43","79.77","196.2","2024/01/09 0:00:00","2024/08/05 0:00:00","5-114","139.658250773254","35.7133531719639","令和５年度"
"5","78","2023/07/10 0:00:00","中野区沼袋４丁目　新築工事","株式会社　オンズ・コンフィアンス","千代田区神田紺屋町14　千代田寿ビル　9F","2023/07/04 0:00:00","水谷設計　一級建築士事務所","東大和市桜が丘1-1429-3　C-209","株式会社　オープンハウス・アーキテクト","中野区中野4-10-2　中野セントラルパークサウス　15F","沼袋4-538-2","沼袋4-14","第１種低層住居専用地域","","一戸建ての住宅","新築","9.45","地上3階","木造","べた基礎","52.03","34.17","89.25","2023/08/01 0:00:00","2023/11/01 0:00:00","5-78","139.658641906234","35.7211544280702","令和５年度"
"3","143","2021/11/26 0:00:00","中野区沼袋第７期（全１棟）新築工事","株式会社　ホーク・ワン","埼玉県さいたま市大宮区吉敷町3-139","2021/11/22 0:00:00","SCaD株式会社　一級建築士事務所","立川市栄町2-43-10","株式会社　ホーク・ワン","杉並区宮前1-15-13","沼袋3-429-8の一部","沼袋3-16-4","第1種低層住居専用地域","","一戸建ての住宅","新築","9.229","地上3階","木造","べた基礎","61.94","37.09","89.73","2022/01/10 0:00:00","2022/05/10 0:00:00","3-143","139.658769631733","35.7163831531652","令和３年度"
"3","118","2021/10/25 0:00:00","（仮称）中野区野方１丁目プロジェクト","株式会社　トーシンパートナーズ","武蔵野市吉祥寺本町1-33-5","2021/10/20 0:00:00","一級建築士事務所　株式会社　ヴァーミリオン","新宿区西新宿4-32-4-913","未定","","野方1-1637-2","野方1-6","近隣商業地域","","共同住宅","新築","19","地上6階","鉄筋コンクリート造","杭基礎","193.97","169.42","815.61","2022/01/15 0:00:00","2023/03/31 0:00:00","3-118","139.658769465619","35.7099581809782","令和３年度"
"4","203","2023/03/01 0:00:00","江古田４４２Ⅱ⑤１　新築工事","個人","個人","2023/02/24 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","江古田4-1738-15","江古田4-42","第1種低層住居専用地域","","一戸建ての住宅","新築","9.208","地上3階","木造","べた基礎","75.52","44.14","113.91","2023/04/21 0:00:00","2023/10/13 0:00:00","4-203","139.659018920488","35.7248203360932","令和４年度"
"4","112","2022/09/16 0:00:00","江古田442Ⅱ⑤3　新築工事","個人","個人","2022/09/15 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","江古田4-1738-52","江古田4-42","第1種低層住居専用地域","","一戸建ての住宅","新築","9.183","地上3階","木造","べた基礎","73.56","47.11","116.62","2022/11/11 0:00:00","2023/04/20 0:00:00","4-112","139.659113094909","35.7248071520429","令和４年度"
"4","84","2022/07/13 0:00:00","(仮称)グランデュオ中野４　新築工事","株式会社　フェイスネットワーク","渋谷区千駄ヶ谷3-2-1","2022/07/11 0:00:00","株式会社　フェイスネットワーク","渋谷区千駄ヶ谷3-2-1","未定","","野方1-1638-4、5","野方1-6-18","第1種中高層住居専用地域","近隣商業地域","共同住宅","新築","11.15","地上4階","鉄筋コンクリート造","べた基礎","322.01","174.37","646.94","2022/10/01 0:00:00","2023/05/31 0:00:00","4-84","139.659116926926","35.7102694162675","令和４年度"
"4","99","2022/08/09 0:00:00","江古田442Ⅱ⑤5　新築工事","個人","個人","2022/08/08 0:00:00","株式会社　オープンハウス・ディベロップメント　渋谷一級建築士事務所","渋谷区3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区3-12-18","江古田4-1738-54","江古田4-42","第1種低層住居専用地域","","一戸建ての住宅","新築","9.758","地上3階","木造","べた基礎","75.032","46.94","108.54","2022/10/28 0:00:00","2023/04/06 0:00:00","4-99","139.65920224535","35.7248080428656","令和４年度"
"4","61","2022/06/17 0:00:00","(仮称)中野区中野３丁目計画　新築工事","個人","個人","2022/06/14 0:00:00","積水ハウス株式会社　東京西シャーメゾン支店　一級建築士事務所","渋谷区代々木2-1-1新宿マインズタワー24F","積水ハウス株式会社　東京西シャーメゾン支店","渋谷区代々木2-1-1　新宿マインズタワー　24F","中野3-23-11","中野3-50-17","第1種中高層住居専用地域","","共同住宅","新築","12.502","地上4階","鉄骨造","布基礎","143.29","101.86","371.46","2022/09/01 0:00:00","2023/04/30 0:00:00","4-61","139.659283969794","35.7053606743904","令和４年度"
"3","188","2022/02/15 0:00:00","個人","個人","個人","2022/02/04 0:00:00","株式会社　三栄建築設計　一級建築士事務所","杉並区上荻1-2-1","株式会社　三栄建築設計","新宿区西新宿1-25-1","江古田4-1751-6","江古田4-40-9","第1種低層住居専用地域","","一戸建ての住宅","新築","9.431","地上3階","木造","べた基礎","97.28","59.27","141.12","2022/03/15 0:00:00","2022/07/15 0:00:00","3-188","139.659375074565","35.7241879987671","令和３年度"
"3","4","2021/04/05 0:00:00","江古田４４２③２新築工事","個人","個人","2021/04/02 0:00:00","一級建築士事務所　有限会社　四宮建築設計","杉並区上井草1-13-10","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18　渋谷南東急ビル　6F","江古田4-1738-36","江古田4-42","第1種低層住居専用地域","","一戸建ての住宅","新築","8.712","地上3階","木造","べた基礎","62.84","36.43","97.47","2021/06/25 0:00:00","2021/11/25 0:00:00","3-4","139.659486269742","35.7248138065708","令和３年度"
"3","176","2022/01/26 0:00:00","中野区沼袋３丁目３４　Ａ号棟　新築工事","株式会社　ランロウドオフィス","杉並区西荻南3-18-15","2022/01/24 0:00:00","池端建築設計","文京区白山5-4-6-105","株式会社　東勝建設","杉並区本天沼2-44-13","沼袋3-489-1","沼袋3-34","第1種低層住居専用地域","","一戸建ての住宅","新築","9.006","地上3階","木造","べた基礎","66.12","44.34","111.26","2022/03/15 0:00:00","2022/07/20 0:00:00","3-176","139.659480438795","35.7196519900125","令和３年度"
"3","7","2021/04/12 0:00:00","江古田４４２③３新築工事","個人","個人","2021/04/05 0:00:00","飯田デザイン建築研究所","西東京市泉町2-9-9","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","江古田4-1738-50","江古田4-42","第1種低層住居専用地域","","一戸建ての住宅","新築","8.608","地上3階","木造","べた基礎","72.89","30.01","76.31","2021/06/25 0:00:00","2021/11/30 0:00:00","3-7","139.659522900043","35.7248519260835","令和３年度"
"3","177","2022/01/26 0:00:00","中野区沼袋３丁目３４　B号棟　新築工事","株式会社　ランロウドオフィス","杉並区西荻南3-18-15","2022/01/24 0:00:00","池端建築設計","文京区白山5-4-6-105","株式会社　東勝建設","杉並区本天沼2-44-13","沼袋3-489-13","沼袋3-34","第1種低層住居専用地域","","一戸建ての住宅","新築","9.077","地上3階","木造","べた基礎","77.45","54.2","116.36","2022/03/15 0:00:00","2022/07/20 0:00:00","3-177","139.659520384924","35.719615936333","令和３年度"
"5","185","2024/01/30 0:00:00","個人","個人","個人","2024/01/29 0:00:00","有限会社　四宮建築設計","杉並区上井草1-13-10","株式会社　オープンハウス・ディベロップメント","渋谷区3-12-18","沼袋4-542-15","沼袋4-9","第１種低層住居専用地域","","一戸建ての住宅","新築","9.604","地上3階","木造","べた基礎","60.34","34.32","106.33","2024/04/13 0:00:00","2024/09/30 0:00:00","5-185","139.659562253739","35.7213052796898","令和５年度"
"3","178","2022/01/26 0:00:00","中野区沼袋３丁目３４　C号棟　新築工事","株式会社　ランロウドオフィス","杉並区西荻南3-18-15","2022/01/24 0:00:00","池端建築設計","文京区白山5-4-6-105","株式会社　東勝建設","杉並区本天沼2-44-13","沼袋3-489-15","沼袋3-34","第1種低層住居専用地域","","一戸建ての住宅","新築","9.235","地上3階","木造","べた基礎","85.96","54.97","117.82","2022/03/15 0:00:00","2022/07/20 0:00:00","3-178","139.659584953978","35.7195796132803","令和３年度"
"3","92","2021/08/18 0:00:00","（仮称）沼袋３丁目A号棟　新築工事","株式会社　リソー","渋谷区東2-23-12","2021/08/18 0:00:00","株式会社　尾谷建築設計工房","大田区大森北1-11-5　登丸ビル　4F","株式会社　藤井建設","練馬区平和台1-7-15","沼袋3-405-11の一部","沼袋3-14","第1種低層住居専用地域","","一戸建ての住宅","新築","8.998","地上3階","木造","べた基礎","60.24","39.74","96.63","2021/10/01 0:00:00","2022/01/30 0:00:00","3-92","139.659767759394","35.717082718768","令和３年度"
"5","144","2023/11/14 0:00:00","","","","","","","","","","","","","","","","","","","","","","","","5-144","139.659831362281","35.7198174051783","令和５年度"
"3","93","2021/08/18 0:00:00","（仮称）沼袋３丁目Ｂ号棟　新築工事","株式会社　リソー","渋谷区東2-23-12","2021/08/18 0:00:00","株式会社　尾谷建築設計工房","大田区大森北1-11-5　登丸ビル　4F","株式会社　藤井建設","練馬区平和台1-7-15","沼袋3-405-11の一部","沼袋3-14","第1種低層住居専用地域","","一戸建ての住宅","新築","8.758","地上3階","木造","べた基礎","70","33.99","82.93","2021/10/01 0:00:00","2022/01/30 0:00:00","3-93","139.659837121518","35.7170999109859","令和３年度"
"5","32","2023/05/10 0:00:00","中野区沼袋","一建設株式会社","世田谷区用賀2-12-22　イイダアネックスⅤ　102","2023/05/10 0:00:00","ネクサス建築企画","神奈川県川崎市川崎区駅前本町11-2　川崎フロンティアビル 4F","一建設株式会社","豊島区南池袋2-25-5　藤久ビル東５号館","沼袋3-487-8","沼袋3-33","第１種低層住居専用地域","","一戸建ての住宅","新築","8.818","地上3階","木造","べた基礎","69.28","48.83","111.98","2023/07/01 0:00:00","2023/11/30 0:00:00","5-32","139.659895627707","35.7198914782792","令和５年度"
"4","138","2022/11/14 0:00:00","(仮称)グランデュオ中野５　新築工事","株式会社　フェイスネットワーク","渋谷区千駄ヶ谷3-2-1","2022/11/11 0:00:00","株式会社　a.s.t atelier","埼玉県さいたま市南区南浦和2-39-2　大雄ビル　3F","未定","","野方1-1644-2、7、1645-8","野方1-1-3","近隣商業地域","","貸店舗・共同住宅","新築","17.465","地上6階","鉄筋コンクリート造","杭基礎","163.19","117","580.59","2023/02/01 0:00:00","2023/11/30 0:00:00","4-138","139.659930293272","35.7100252600536","令和４年度"
"5","201","2024/02/28 0:00:00","（仮称）中野区沼袋３丁目共同住宅新築工事","ＦＡＲＰＬＥ合同会社","茨城県守谷市中央1-9-1-907","2024/02/27 0:00:00","合同会社　Ｓｕｎｒａｙ　Ａｒｃｈｉｔｅｃｔ　Ｏｆｆｉｃｅ　一級建築士事務所","静岡県浜松市中央区中島3-19-5","株式会社　せんり","中央区日本橋茅場町2-12-10　ＰＭＯ　ＥＸ　日本橋茅場町　12Ｆ","沼袋3-360-11","沼袋3-12-15","第一種低層住居専用地域","","共同住宅","新築","7.185","地上３階","RC","べた基礎","147.46","97.32","246.72","2024/05/01 0:00:00","2025/04/20 0:00:00","5-201","139.660036248987","35.7181310438641","令和５年度"
"5","1","2023/04/03 0:00:00","中野区沼袋４２１④１号棟","株式会社　ホーク・ワン","埼玉県戸田市上戸田1-17-21","2023/04/03 0:00:00","株式会社　デュエルデザイン","埼玉県春日部市中央1-58-13","株式会社　ホーク・ワン","杉並区宮前1-15-13","沼袋4-545-10の一部","沼袋4-21","第１種低層住居専用地域","","一戸建ての住宅","新築","9.697","地上3階","木造","べた基礎","60.07","30.73","87.77","2023/06/01 0:00:00","2023/10/01 0:00:00","5-1","139.660116787969","35.7217461156298","令和５年度"
"3","175","2022/01/25 0:00:00","（仮称）オープンレジデンシア野方１丁目　新築工事","株式会社　オープンハウス・ディベロップメント","千代田区丸の内2-4-1","2022/01/24 0:00:00","株式会社　オーエーシー設計","品川区上大崎3-9-2","未定","","野方1-1611-6","野方1-2","第1種中高層住居専用地域","","共同住宅","新築","15.8","地上5階／地下1階","鉄筋コンクリート造","杭基礎","715.37","500.75","2202.96","2022/05/15 0:00:00","2023/06/30 0:00:00","3-175","139.660035527054","35.7108280747627","令和３年度"
"3","132","2021/11/11 0:00:00","東拓建設様共同住宅　新築工事","株式会社　東拓建設","杉並区下高井戸5-2-1","2021/11/05 0:00:00","大東建託株式会社　世田谷支店　一級建築士事務所","世田谷区用賀4-30-10　ＲＴレジデンス　1F","大東建託株式会社","港区港南2-16-1","野方1-1644-3","野方1-1-12","第1種中高層住居専用地域","近隣商業地域","共同住宅","新築","14.35","地上5階","鉄筋コンクリート造","杭基礎","622.52","377.99","1102.25","2022/02/25 0:00:00","2023/02/28 0:00:00","3-132","139.660078666154","35.7102841647734","令和３年度"
"5","2","2023/04/03 0:00:00","中野区沼袋４２１④3号棟","株式会社　ホーク・ワン","埼玉県戸田市上戸田1-17-21","2023/04/03 0:00:00","株式会社　デュエルデザイン","埼玉県春日部市中央1-58-13","株式会社　ホーク・ワン","杉並区宮前1-15-13","沼袋4-545-10の一部","沼袋4-21","第１種低層住居専用地域","","一戸建ての住宅","新築","9.627","地上3階","木造","べた基礎","60.03","38.8","99.82","2023/06/01 0:00:00","2023/10/01 0:00:00","5-2","139.660228100321","35.7217508400454","令和５年度"
"5","27","2023/04/28 0:00:00","中野区弥生町六丁目善福寺川流域貯留施設","東京都公営企業管理者　下水道局長","新宿区西新宿2-8-1","2023/04/25 0:00:00","日本水工設計株式会社","中央区勝どき3-12-1　フォアフロントタワー","未定","","弥生町6-31-1","弥生町6-6","第１種中高層住居専用地域","","その他（下水道施設）","新築","12.32","地上2階","鉄筋コンクリート造","直接基礎","1019","312.67","433.89","2026/02/02 0:00:00","2027/08/31 0:00:00","5-27","139.660233705372","35.6864594592777","令和５年度"
"4","164","2022/12/23 0:00:00","（仮称）中野区弥生町６丁目計画　新築工事","積水ハウス不動産東京株式会社","渋谷区代々木2-1-1　新宿マインズタワー　3F","2022/12/22 0:00:00","積水ハウス株式会社　東京西シャーメゾン支店","渋谷区代々木2-1-1　新宿マインズタワー　24F","積水ハウス株式会社　東京西シャーメゾン支店","渋谷区代々木2-1-1　新宿マインズタワー　24F","弥生町6-42-1","弥生町6-8-4","第1種中高層住居専用地域","","共同住宅","新築","12.383","地上4階","鉄骨造","布基礎","546.4","368.32","1105.71","2023/03/02 0:00:00","2024/01/22 0:00:00","4-164","139.660344127082","35.6854345961034","令和４年度"
"3","210","2022/03/22 0:00:00","中野区沼袋３丁目Ｂ号棟　新築工事","株式会社　グランビル","杉並区阿佐谷南3-50-4","2022/03/17 0:00:00","株式会社　グランビル　一級建築士事務所","杉並区阿佐谷南3-50-4","株式会社　グランビル","杉並区阿佐谷南3-50-4","沼袋3-470-15の一部","沼袋3-32","第1種低層住居専用地域","","一戸建ての住宅","新築","9.794","地上3階","木造","べた基礎","72.8","48.44","126.58","2022/05/09 0:00:00","2022/10/09 0:00:00","3-210","139.660687081464","35.7198363415675","令和３年度"
"3","106","2021/09/21 0:00:00","沼袋３２５①　新築工事","個人","個人","2021/09/09 0:00:00","一級建築士事務所　まんぼう","世田谷区上祖師谷2-11-6","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","沼袋3-466-16","沼袋3-25","第1種低層住居専用地域","","一戸建ての住宅","新築","8.4","地上3階","木造","べた基礎","60.58","39.07","98.8","2021/10/30 0:00:00","2022/03/30 0:00:00","3-106","139.660744787019","35.7194149631685","令和３年度"
