"年度","番号","受付日","建築物名称","建築主氏名","建築主住所","標識設置日","設計者事務所","設計者住所","施工者事務所","施工者住所","建築敷地地名地番","建築敷地住居表示","用途地域1","用途地域2","建築物用途","工事種別","建築物高さ(ｍ)","建築物階数","建築物構造","建築物基礎","敷地面積(㎡)","建築面積(㎡)","延べ面積(㎡)","工事着工予定","工事完了予定","表示用(ラベル)","経度","緯度","分類"
"3","193","2022/02/21 0:00:00","（仮称）中野区弥生町３丁目　新築工事","個人","個人","2022/02/18 0:00:00","越野建設株式会社　一級建築士事務所","北区王子4-22-9","越野建設株式会社","北区王子4-22-9","弥生町3-36-1","弥生町3-21","第1種中高層住居専用地域","近隣商業地域","共同住宅","新築","11.84","地上4階","鉄筋コンクリート造","杭基礎","508.15","267.64","988.08","2022/05/09 0:00:00","2023/02/28 0:00:00","3-193","139.673715049603","35.687722799659","令和３年度"
"3","208","2022/03/15 0:00:00","個人","個人","個人","2022/03/10 0:00:00","フォーライフ株式会社","神奈川県横浜市西区北幸1-4-1　横浜天理ビル　20F","フォーライフ株式会社","神奈川県横浜市港北区大倉山3-6-5","中野6-19-14の一部","中野6-29-8","第1種低層住居専用地域","","一戸建ての住宅","新築","9.032","地上3階","木造","べた基礎","67.56","42.2","104.89","2022/04/15 0:00:00","2022/09/15 0:00:00","3-208","139.673813442669","35.7077953029045","令和３年度"
"4","183","2023/02/08 0:00:00","中野区上高田１丁目２期","株式会社　グランビル","杉並区阿佐谷南3-50-4","2023/02/07 0:00:00","株式会社　グランビル　一級建築士事務所","杉並区阿佐谷南3-50-4","株式会社　グランビル","杉並区阿佐谷南3-50-4","上高田1-142-9","上高田1-37-28","第1種低層住居専用地域","","一戸建ての住宅","新築","9.736","地上3階","木造","べた基礎","72.45","46.43","113.46","2023/03/15 0:00:00","2023/08/31 0:00:00","4-183","139.673863973346","35.7094247980597","令和４年度"
"4","120","2022/09/29 0:00:00","中野区上高田１丁目 新築工事","株式会社　グランビル","杉並区阿佐谷南3-50-4","2022/09/27 0:00:00","株式会社　グランビル　一級建築士事務所","杉並区阿佐谷南3-50-4","株式会社　グランビル","杉並区阿佐谷南3-50-4","上高田1-142-4","上高田1-37","第1種低層住居専用地域","","一戸建ての住宅","新築","9.733","地上3階","木造","べた基礎","85.04","57.13","124.2","2022/11/04 0:00:00","2023/03/13 0:00:00","4-120","139.673942271432","35.7094104356158","令和４年度"
"4","194","2023/02/21 0:00:00","（仮称）中野区弥生町２丁目計画","合同会社　加藤リアルエステート","目黒区中町1-27-28","2022/12/19 0:00:00","ブリックスハウス株式会社","中央区日本橋蛎殻町2-2-1　エムプレイス日本橋　7F","未定","","弥生町2-33-6","弥生町2-33-12","近隣商業地域","","共同住宅","新築","13.5","地上5階","鉄筋コンクリート造","べた基礎","60.71","53.11","241.82","2023/02/08 0:00:00","2023/12/20 0:00:00","4-194","139.674035980149","35.6901951181025","令和４年度"
"3","156","2021/12/17 0:00:00","（仮称）弥生町２丁目プロジェクト　新築工事","有限会社　秋元不動産事務所","中野区弥生町2-33-12","2021/12/14 0:00:00","一級建築士事務所　バリカン","中野区中央2-47-6 1F","未定","","弥生町2-33-9","弥生町2-33-10","近隣商業地域","","共同住宅","新築","14.84","地上5階","鉄筋コンクリート造","べた基礎","65.26","50.4","238.89","2022/03/12 0:00:00","2022/12/16 0:00:00","3-156","139.674068044331","35.6905283192258","令和３年度"
"3","128","2021/11/08 0:00:00","Style中野区江古田２－１","ケイアイスター不動産株式会社","埼玉県本庄市西富田762-1","2021/11/04 0:00:00","ケイアイスター不動産株式会社　二級建築士事務所","埼玉県本庄市西富田762-1","ケイアイスター不動産株式会社","埼玉県本庄市西富田762-1","江古田1-237-8","江古田1-21","第1種低層住居専用地域","","一戸建ての住宅","新築","9.741","地上3階","木造","べた基礎","78.73","45.13","117.28","2021/12/08 0:00:00","2022/06/30 0:00:00","3-128","139.673995291909","35.7264001985015","令和３年度"
"4","227","2023/03/24 0:00:00","個人","個人","個人","2023/03/20 0:00:00","株式会社　ユニバーサルホーム　一級建築士事務所","中央区八丁堀2-7-1　八丁堀サンケイビル　5F","株式会社　ユニバーサルホーム","中央区八丁堀2-7-1　八丁堀サンケイビル　5F","上高田1-138-4","上高田1-36","第1種低層住居専用地域","","一戸建ての住宅","新築","8.765","地上3階","木造","べた基礎","119.55","35.29","89.72","2023/05/12 0:00:00","2023/08/18 0:00:00","4-227","139.674117506484","35.7094555304191","令和４年度"
"3","87","2021/08/03 0:00:00","中野区上高田１丁目Part３　B棟　新築工事","株式会社　マイライフプランニング","中野区中央1-1-1","2021/07/30 0:00:00","一級建築士事務所　株式会社　マイライフプランニング","中野区中央1-1-1","未定","","上高田1-43-30の一部","上高田1-43","第1種低層住居専用地域","","一戸建ての住宅","新築","9.519","地上3階","木造","べた基礎","61.36","39.26","100.02","2021/09/27 0:00:00","2022/01/31 0:00:00","3-87","139.674162134078","35.7113840482066","令和３年度"
"5","124","2023/10/11 0:00:00","（仮称）中野区江原町１丁目マンション　新築工事","株式会社　アペックス・リンク","渋谷区道玄坂2-19-15","2023/10/11 0:00:00","TOAライブ株式会社　一級建築士事務所","新宿区西新宿7-1-12　クロスオフィス新宿　7F","株式会社　福子工務店","千代田区神田東松下町31-1","江原町1-60-2、5、501-3","江原町1-22","第１種低層住居専用地域","","共同住宅","新築","8.43","地上3階","鉄筋コンクリート造","杭基礎","873.4","556.29","1317.04","2024/03/11 0:00:00","2025/03/20 0:00:00","5-124","139.67396923562","35.727528045396","令和５年度"
"3","86","2021/08/03 0:00:00","中野区上高田１丁目Part３　A棟　新築工事","株式会社　マイライフプランニング","中野区中央1-1-1","2021/07/30 0:00:00","一級建築士事務所　株式会社　マイライフプランニング","中野区中央1-1-1","未定","","上高田1-43-30の一部","上高田1-43","第1種低層住居専用地域","","一戸建ての住宅","新築","9.252","地上3階","木造","べた基礎","60.18","37.36","97.97","2021/09/27 0:00:00","2022/01/31 0:00:00","3-86","139.674206093238","35.7113757966332","令和３年度"
"4","115","2022/09/26 0:00:00","中野630③　新築工事","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18　渋谷南東急ビル　6F","2022/09/15 0:00:00","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","株式会社　オープンハウス・ディベロップメント","渋谷区渋谷3-12-18","中野6-68-6の一部","中野6-30","第1種低層住居専用地域","","一戸建ての住宅","新築","9.59","地上3階","木造","べた基礎","60.57","38.19","94.49","2022/10/30 0:00:00","2023/06/30 0:00:00","4-115","139.674409102946","35.7082317022194","令和４年度"
"3","183","2022/02/01 0:00:00","（仮称）株式会社JUD様マンション新築工事","株式会社　JUD","茨城県つくば市二の宮4-8-1-305","2022/01/28 0:00:00","生和コーポレーション株式会社　一級建築士事務所","千代田区神田淡路町1-3","生和コーポレーション株式会社","千代田区神田淡路町1-3","弥生町3-9-29","弥生町3-35-15","第1種中高層住居専用地域","","共同住宅","新築","16.404","地上5階","鉄筋コンクリート造","杭基礎","767.92","412.82","1416.4","2022/04/04 0:00:00","2023/03/31 0:00:00","3-183","139.674389753984","35.6896809340167","令和３年度"
"3","167","2022/01/18 0:00:00","個人","個人","個人","2022/01/13 0:00:00","大和ハウス工業株式会社　東京住宅　一級建築士事務所","千代田区飯田橋3-13-1","大和ハウス工業株式会社　東京本店","千代田区飯田橋3-13-1","弥生町2-27-21の一部","弥生町2-18-7","第1種住居地域","近隣商業地域","共同住宅","新築","12.372","地上4階","鉄骨造","杭基礎","85.62","51.04","200.01","2022/03/31 0:00:00","2022/09/29 0:00:00","3-167","139.674514965206","35.690804768047","令和３年度"
"4","72","2022/06/29 0:00:00","(仮称)NKハウス　新築工事","個人","個人","2022/06/22 0:00:00","協永建設株式会社　一級建築士事務所","中野区新井2-29-13","協永建設株式会社","中野区新井2-29-13","上高田1-50","上高田1-50-12","近隣商業地域","","共同住宅","新築","12.775","地上4階","鉄筋コンクリート造","杭基礎","74.42","57.34","187.73","2022/09/01 0:00:00","2023/04/01 0:00:00","4-72","139.674453702408","35.712577271244","令和４年度"
