,,,,,
年次,船名,総トン数,,,
　　54年(1979),鞍馬丸,"59,294",,,
　　55年(1980),鞍馬丸,"59,294",,,
　　56年(1981),鞍馬丸,"59,294",,,
　　57年(1982),鞍馬丸,"59,294",,,
　　58年(1983),鞍馬丸,"59,294",,,
　　59年(1984),鞍馬丸,"59,294",,,
　　60年(1985),鞍馬丸,"59,294",,,
　　61年(1986),鞍馬丸,"59,294",,,
　　62年(1987),鞍馬丸,"59,294",,,
　　63年(1988),鞍馬丸,"59,294",,,
平成 元年(1989),ＱＵＥＥＮ　ＥＬＥＺＡＢＥＴＨⅡ,"66,450",,,
　　 2年(1990),ＱＵＥＥＮ　ＥＬＥＺＡＢＥＴＨⅡ,"66,450",,,
　　 3年(1991),ＭＯＮＴＥ　ＲＯＳＡ,"58,653",,,
　　 4年(1992),ＭＯＮＴＥ　ＲＯＳＡ,"58,653",,,
　　 5年(1993),ＮＥＰＴＵＮＥ　ＣＹＰＲＩＮＥ,"58,653",,,
　　 6年(1994),ＮＹＫ　ＡＬＴＡＩＲ,"60,117",,,
　　 7年(1995),ＲＨＩＮＥ／ＭＡＡＳ,"60,133",,,
　　 8年(1996),ＥＶＥＲ　ＵＮＩＴＥＤ／ＥＶＥＲ　ＵＬＴＬＡ,"69,218",,,
　　 9年(1997),ＮＹＫ　ＡＮＴＡＲＥＳ,"75,637",,,
　　10年(1998),Ｐ＆Ｏ　ＮＥＤＬＬＯＹＤ　ＲＯＴＴＥＲＤＡＭ,"80,942",,,
　　11年(1999),Ｐ＆Ｏ　ＮＥＤＬＬＯＹＤ　ＲＯＴＴＥＲＤＡＭ,"80,942",,,
　　12年(2000),Ｐ＆Ｏ　ＮＥＤＬＬＯＹＤ　ＳＯＵＴＨＡＭＰＴＯＮ,"80,942",,,
　　13年(2001),Ｐ＆Ｏ　ＮＥＤＬＬＯＹＤ　ＳＯＵＴＨＡＭＰＴＯＮ,"80,942",,,
　　14年(2002),Ｐ＆Ｏ　ＮＥＤＬＬＯＹＤ　ＫＯＷＬＯＯＮ　,"80,942",,,
　　15年(2003),ＨＯＮＧ　ＫＯＮＧ　ＥＸＰＲＥＳＳ,"88,493",,,
　　16年(2004),Ｐ＆Ｏ ＮＥＤＬＬＯＹＤ ＳＨＡＣＫＬＥＴＯＮ,"80,654",,,
    17年(2005),ＮＹＫ　ＳＩＲＩＵＳ,"76,847",,,
    18年(2006),ＮＹＫ　ＰＥＧＡＳＵＳ　／　ＮＹＫ　ＰＨＯＥＮＩＸ,"76,199",,,
    19年(2007),ＮＹＫ　ＰＥＧＡＳＵＳ　／　ＮＹＫ　ＰＨＯＥＮＩＸ,"76,199",,,
    20年(2008),ＮＹＫ　ＴＥＲＲＡ　／　ＮＹＫ　ＴＨＥＳＥＵＳ　／　ＮＹＫ　ＴＨＥＭＩＳ,"76,928",,,
　　21年(2009),ＯＯＣＬ　ＬＯＮＧ　ＢＥＡＣＨ　／　ＯＯＣＬ　ＮＩＮＧＢＯ,"89,097",,,
    22年(2010),ＮＹＫ　ＡＤＯＮＩＳ　／　ＮＹＫ　ＡＬＴＡＩＲ,"105,644",,,
    23年(2011),ＮＹＫ　ＡＤＯＮＩＳ　／　ＮＹＫ　ＡＲＣＡＤＩＡ　／　ＮＹＫ　ＡＬＴＡＩＲ,"105,644",,,
    24年(2012),ＮＹＫ　ＡＤＯＮＩＳ　／　ＮＹＫ　ＡＲＣＡＤＩＡ　／　ＮＹＫ　ＡＬＴＡＩＲ,"105,644",,,
    25年(2013),ＶＯＹＡＧＥＲ　ＯＦ　ＴＨＥ　ＳＥＡＳ,"137,276",,,
    26年(2014),ＶＯＹＡＧＥＲ　ＯＦ　ＴＨＥ　ＳＥＡＳ,"137,276",,,
    27年(2015),ＶＯＹＡＧＥＲ　ＯＦ　ＴＨＥ　ＳＥＡＳ,"138,194",,,
    28年(2016),ＭＡＲＩＮＥＲ　ＯＦ　ＴＨＥ　ＳＥＡＳ,"138,279",,,
    29年(2017),MOL BRILLIANCE / MOL BREEZE / MOL BRIGHTNESS / MOL BEACON / MOL BEAUTY,"113,042",,,
    30年(2018),MSC PERLE,"141,754",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
