"年月日[西暦]","所管","町丁目","事業所数","従業者数[人]"
"20160210","高輪地区総合支所","白金台５丁目","240","1934"
"20160210","芝浦港南地区総合支所","芝浦１丁目","297","22387"
"20160210","芝浦港南地区総合支所","芝浦２丁目","183","4890"
"20160210","芝浦港南地区総合支所","芝浦３丁目","423","17094"
"20160210","芝浦港南地区総合支所","芝浦４丁目","370","21057"
"20160210","芝浦港南地区総合支所","海岸２丁目","61","2573"
"20160210","芝浦港南地区総合支所","海岸３丁目","303","13392"
"20160210","芝浦港南地区総合支所","港南１丁目","240","29084"
"20160210","芝浦港南地区総合支所","港南２丁目","933","62158"
"20160210","芝浦港南地区総合支所","港南３丁目","77","1392"
"20160210","芝浦港南地区総合支所","港南４丁目","119","3435"
"20160210","芝浦港南地区総合支所","港南５丁目","89","2484"
"20160210","芝浦港南地区総合支所","台場１丁目","185","2719"
"20160210","芝浦港南地区総合支所","台場２丁目","126","11719"

"町丁目別事業者数及び従業員数","Ver201602",,,
